Date,Market Cap,% Change
2023-04-26,17806640310,-4.07%
2023-04-25,18562803540,0.40%
2023-04-24,18489194730,0.88%
2023-04-21,18328593690,-0.51%
2023-04-20,18422277630,-2.45%
2023-04-19,18884005620,0.14%
2023-04-18,18857238780,-1.54%
2023-04-17,19151674020,0.14%
2023-04-14,19124907180,0.42%
2023-04-13,19044606660,2.60%
2023-04-12,18562803540,-1.60%
2023-04-11,18863930490,0.89%
2023-04-10,18696637740,-1.10%
2023-04-06,18904080750,3.37%
2023-04-05,18288443430,-2.32%
2023-04-04,18723404580,0.83%
2023-04-03,18569495250,1.76%
2023-03-31,18248293170,3.53%
2023-03-30,17625964140,-0.60%
2023-03-29,17733031500,-1.27%
2023-03-28,17960549640,-4.38%
2023-03-27,18783629970,2.18%
2023-03-24,18382127370,-0.51%
2023-03-23,18475811310,0.51%
2023-03-22,18382127370,-0.18%
2023-03-21,18415585920,2.88%
2023-03-20,17900324250,1.44%
2023-03-17,17646039270,-0.60%
2023-03-16,17753106630,5.99%
2023-03-15,16749350130,0.16%
2023-03-14,16722583289,5.49%
2023-03-13,15852660990,-1.99%
2023-03-10,16173863070,-2.70%
2023-03-09,16622207640,-3.50%
2023-03-08,17224461540,-3.38%
2023-03-07,17826715440,-0.15%
2023-03-06,17853482280,1.06%
2023-03-03,17666114400,4.18%
2023-03-02,16956793140,1.48%
2023-03-01,16709199870,-0.56%
2023-02-28,16802883810,0.48%
2023-02-27,16722583289,-0.16%
2023-02-24,16749350130,-1.84%
2023-02-23,17063860500,1.43%
2023-02-22,16822958940,2.82%
2023-02-21,16361230950,0.08%
2023-02-17,16347847530,-1.65%
2023-02-16,16622207640,-2.13%
2023-02-15,16983559980,2.84%
2023-02-14,16515140280,-0.08%
2023-02-13,16528523700,-0.56%
2023-02-10,16622207640,0.44%
2023-02-09,16548598830,-4.44%
2023-02-08,17318145480,-2.16%
2023-02-07,17699572950,-5.16%
2023-02-06,18663179190,1.49%
2023-02-03,18388819080,-5.57%
2023-02-02,19472876100,8.99%
2023-02-01,17866865700,1.56%
2023-01-31,17592505590,1.43%
2023-01-30,17344912320,-3.07%
2023-01-27,17893632540,1.40%
2023-01-26,17646039270,0.96%
2023-01-25,17478746520,1.12%
2023-01-24,17284686930,-3.22%
2023-01-23,17860173990,0.34%
2023-01-20,17799948600,-0.64%
2023-01-19,17913707670,2.65%
2023-01-18,17451979680,-2.03%
2023-01-17,17813332020,-0.26%
2023-01-13,17860173990,0.95%
2023-01-12,17692881240,-2.11%
2023-01-11,18074308710,4.12%
2023-01-10,17358295740,4.26%
2023-01-09,16648974480,1.72%
2023-01-06,16367922660,3.69%
2023-01-05,15785743890,-0.80%
2023-01-04,15912886380,3.89%
2023-01-03,15317324190,2.05%
2022-12-30,15010235920,1.93%
2022-12-29,14725857480,4.20%
2022-12-28,14132372040,-2.43%
2022-12-27,14484754020,-4.48%
2022-12-23,15164789420,-0.77%
2022-12-22,15282250080,-1.67%
2022-12-21,15541899960,2.86%
2022-12-20,15109150160,1.12%
2022-12-19,14942232380,-2.54%
2022-12-16,15331707200,-1.43%
2022-12-15,15554264240,-4.04%
2022-12-14,16209571080,-0.76%
2022-12-13,16333213880,11.90%
2022-12-12,14596032540,1.94%
2022-12-09,14317836240,2.39%
2022-12-08,13984000680,-0.26%
2022-12-07,14021093520,-0.18%
2022-12-06,14045822080,-5.06%
2022-12-05,14793861020,-3.74%
2022-12-02,15368800040,-2.81%
2022-12-01,15813914119,0.63%
2022-11-30,15714999880,5.92%
2022-11-29,14837136000,-1.48%
2022-11-28,15059693040,-2.52%
2022-11-25,15449167859,-0.16%
2022-11-23,15473896420,2.16%
