Date,Market Cap,% Change
2023-04-25,610134240,-2.07%
2023-04-24,623024400,-2.03%
2023-04-21,635914560,-0.75%
2023-04-20,640748370,-0.58%
2023-04-19,644508000,-5.51%
2023-04-18,682104300,-3.09%
2023-04-17,703856445,-0.98%
2023-04-14,710838615,-8.09%
2023-04-13,773409600,0.70%
2023-04-12,768038700,-2.79%
2023-04-11,790059390,-2.00%
2023-04-10,806172090,0.40%
2023-04-06,802949550,-0.33%
2023-04-05,805635000,-2.60%
2023-04-04,827118600,-1.53%
2023-04-03,840008760,-1.45%
2023-03-31,852361830,3.93%
2023-03-30,820136430,-2.24%
2023-03-29,838934580,2.02%
2023-03-28,822284790,-1.80%
2023-03-27,837323310,2.36%
2023-03-24,817988070,2.01%
2023-03-23,801875370,-1.32%
2023-03-22,812617170,-0.72%
2023-03-21,818525160,2.70%
2023-03-20,797041560,-0.40%
2023-03-17,800264100,-1.91%
2023-03-16,815839710,2.70%
2023-03-15,794356110,-2.83%
2023-03-14,817450980,1.26%
2023-03-13,807246270,-2.40%
2023-03-10,827118600,-3.08%
2023-03-09,853436010,-2.34%
2023-03-08,873845430,-1.21%
2023-03-07,884587229,-0.30%
2023-03-06,887272680,-2.13%
2023-03-03,906607920,-0.06%
2023-03-02,907145010,-1.40%
2023-03-01,920035170,0.94%
2023-02-28,911441729,-3.47%
2023-02-27,944204219,-2.50%
2023-02-24,968373270,2.50%
2023-02-23,944741310,0.29%
2023-02-22,942055860,0.52%
2023-02-21,937222050,-2.84%
2023-02-17,964613640,0.17%
2023-02-16,963002370,0.84%
2023-02-15,954946020,4.59%
2023-02-14,913053000,1.07%
2023-02-13,903385380,-1.98%
2023-02-10,921646440,-0.75%
2023-02-09,928628610,18.42%
2023-02-08,784151400,-2.54%
2023-02-07,804560820,-2.73%
2023-02-06,827118600,-2.47%
2023-02-03,848065110,-0.32%
2023-02-02,850750560,2.26%
2023-02-01,831952410,1.04%
2023-01-31,823358970,1.19%
2023-01-30,813691350,-0.33%
2023-01-27,816376800,1.95%
2023-01-26,800801190,0.81%
2023-01-25,794356110,-2.18%
2023-01-24,812080080,0.53%
2023-01-23,807783360,-1.64%
2023-01-20,821210610,-0.20%
2023-01-19,822821880,0.46%
2023-01-18,819062250,-2.99%
2023-01-17,844305480,0.32%
2023-01-13,841620030,1.29%
2023-01-12,830878230,1.84%
2023-01-11,815839710,0.93%
2023-01-10,808320450,1.28%
2023-01-09,798115740,-0.47%
2023-01-06,801875370,3.32%
2023-01-05,776095050,0.35%
2023-01-04,773409600,0.21%
2023-01-03,771798330,0.14%
2022-12-30,770724150,3.09%
2022-12-29,747629280,2.81%
2022-12-28,727219860,-1.31%
2022-12-27,736887480,-2.00%
2022-12-23,751926000,-1.48%
2022-12-22,763204890,3.50%
2022-12-21,737424570,2.31%
2022-12-20,720774780,5.34%
2022-12-19,684252660,0.31%
2022-12-16,682104300,0.24%
2022-12-15,680493030,-1.63%
2022-12-14,691771920,0.55%
2022-12-13,688012290,0.79%
2022-12-12,682641390,-1.55%
2022-12-09,693383190,-1.83%
2022-12-08,706273350,-1.87%
2022-12-07,719700600,-3.04%
2022-12-06,742258380,-1.00%
2022-12-05,749777640,-2.92%
2022-12-02,772335420,0.56%
2022-12-01,768038700,0.49%
2022-11-30,764279070,2.37%
2022-11-29,746555100,-0.64%
2022-11-28,751388910,0.43%
2022-11-25,748166370,-2.11%
2022-11-23,764279070,0.99%
2022-11-22,756759810,1.66%
2022-11-21,744406740,-2.39%
2022-11-18,762667800,-0.28%
2022-11-17,764816160,1.64%
2022-11-16,752463090,-2.16%
2022-11-15,769112880,1.85%
2022-11-14,755148540,-0.14%
2022-11-11,756222720,2.62%
2022-11-10,736887480,4.81%
2022-11-09,703050810,-2.53%
2022-11-08,721311870,-1.68%
2022-11-07,733664940,2.09%
2022-11-04,718626420,23.55%
2022-11-03,581668470,-4.58%
2022-11-02,609597150,-1.56%
2022-11-01,619264770,1.05%
2022-10-31,612819690,-0.95%
2022-10-28,618727680,3.41%
2022-10-27,598318260,-2.28%
2022-10-26,612282600,-0.35%
2022-10-25,614430960,2.79%
2022-10-24,597781170,1.64%
2022-10-21,588113550,2.62%
2022-10-20,573075030,-3.53%
2022-10-19,594021540,-1.78%
2022-10-18,604763340,-1.31%
2022-10-17,612819690,2.70%
2022-10-14,596706990,-2.03%
2022-10-13,609060060,4.71%
2022-10-12,581668470,0.37%
2022-10-11,579520110,0.37%
2022-10-10,577371750,1.32%
2022-10-07,569852490,-3.63%
2022-10-06,591336090,1.29%
2022-10-05,583816830,-1.18%
2022-10-04,590799000,4.17%
2022-10-03,567167040,0.57%
2022-09-30,563944500,-0.46%
2022-09-29,566577000,-2.12%
2022-09-28,578847500,1.31%
2022-09-27,571378500,2.68%
2022-09-26,556440500,-0.57%
2022-09-23,559641500,-2.24%
2022-09-22,572445500,-2.01%
2022-09-21,584182500,-2.93%
2022-09-20,601788000,-1.74%
2022-09-19,612458000,2.23%
2022-09-16,599120500,-1.40%
2022-09-15,607656500,1.42%
2022-09-14,599120500,-0.18%
2022-09-13,600187500,-3.02%
2022-09-12,618860000,2.02%
2022-09-09,606589500,0.89%
2022-09-08,601254500,-0.62%
2022-09-07,604989000,1.70%
2022-09-06,594852500,-4.70%
2022-09-02,624195000,-0.59%
2022-09-01,627929500,-2.00%
2022-08-31,640733500,1.26%
2022-08-30,632731000,-1.82%
2022-08-29,644468000,-2.19%
2022-08-26,658872500,-3.52%
2022-08-25,682880000,2.89%
2022-08-24,663674000,-1.03%
2022-08-23,670609500,0.16%
2022-08-22,669542500,-5.57%
2022-08-19,709021500,-1.63%
2022-08-18,720758500,4.81%
2022-08-17,687681500,1.34%
2022-08-16,678612000,0.71%
2022-08-15,673810500,1.04%
2022-08-12,666875000,2.63%
2022-08-11,649803000,-2.01%
2022-08-10,663140500,5.43%
2022-08-09,628996500,-0.84%
2022-08-08,634331500,2.15%
2022-08-05,620994000,-3.72%
2022-08-04,645001500,14.92%
2022-08-03,561242000,3.24%
2022-08-02,543636500,-4.41%
2022-08-01,568711000,-0.84%
2022-07-29,573512500,-1.92%
2022-07-28,584716000,-0.09%
2022-07-27,585249500,3.00%
2022-07-26,568177500,-1.21%
2022-07-25,575113000,-0.09%
2022-07-22,575646500,-3.23%
2022-07-21,594852500,-0.80%
2022-07-20,599654000,
2022-07-19,599654000,2.55%
2022-07-18,584716000,1.39%
2022-07-15,576713500,2.46%
2022-07-14,562842500,-0.19%
2022-07-13,563909500,
2022-07-12,563909500,0.38%
2022-07-11,561775500,-0.75%
2022-07-08,566043500,0.57%
2022-07-07,562842500,0.48%
2022-07-06,560175000,-1.50%
2022-07-05,568711000,2.21%
2022-07-01,556440500,3.68%
2022-06-30,536701000,-0.23%
2022-06-29,537956100,0.92%
2022-06-28,533065590,-3.35%
2022-06-27,551540850,1.81%
2022-06-24,541759830,-5.77%
2022-06-23,574906620,-1.03%
2022-06-22,580883910,1.04%
2022-06-21,574906620,3.02%
2022-06-17,558061530,1.68%
2022-06-16,548823900,-3.16%
2022-06-15,566755770,3.68%
2022-06-14,546650340,
2022-06-13,546650340,-3.36%
2022-06-10,565668990,-1.98%
2022-06-09,577080180,-3.98%
2022-06-08,600989340,-0.90%
2022-06-07,606423240,1.18%
2022-06-06,599359170,1.47%
2022-06-03,590664930,-1.54%
2022-06-02,599902560,1.85%
2022-06-01,589034760,-1.45%
2022-05-31,597729000,-1.70%
2022-05-27,608053410,4.48%
2022-05-26,581970690,2.98%
2022-05-25,565125600,2.56%
2022-05-24,550997460,-0.49%
2022-05-23,553714410,-3.04%
2022-05-20,571102890,-0.76%
2022-05-19,575450010,3.02%
2022-05-18,558604920,-1.53%
2022-05-17,567299160,2.86%
2022-05-16,551540850,-1.55%
2022-05-13,560235090,3.83%
2022-05-12,539586270,2.48%
2022-05-11,526544910,-1.02%
2022-05-10,531978809,3.93%
2022-05-09,511873380,-0.74%
2022-05-06,515677110,-1.15%
2022-05-05,521654400,7.74%
2022-05-04,484160490,4.21%
2022-05-03,464598450,-13.02%
2022-05-02,534152370,3.36%
2022-04-29,516763890,-3.06%
2022-04-28,533065590,3.59%
2022-04-27,514590330,-2.27%
2022-04-26,526544910,-5.65%
2022-04-25,558061530,0.69%
2022-04-22,554257800,-4.76%
2022-04-21,581970690,-2.72%
2022-04-20,598272390,-0.54%
2022-04-19,601532730,0.18%
2022-04-18,600445950,-2.21%
2022-04-14,614030700,-4.64%
2022-04-13,643917150,1.98%
2022-04-12,631419180,0.09%
2022-04-11,630875790,-1.94%
2022-04-08,643373760,-0.92%
2022-04-07,649351050,0.84%
2022-04-06,643917150,-2.07%
2022-04-05,657501900,-1.22%
2022-04-04,665652750,3.03%
2022-04-01,646090710,2.50%
2022-03-31,630332400,-1.83%
2022-03-30,642078750,-0.17%
2022-03-29,643171650,2.62%
2022-03-28,626778150,0.88%
2022-03-25,621313650,-1.22%
2022-03-24,628963950,-1.20%
2022-03-23,636614250,-3.32%
2022-03-22,658472250,
2022-03-21,658472250,-2.98%
2022-03-18,678690900,-0.56%
2022-03-17,682516050,0.89%
2022-03-16,676505100,6.63%
2022-03-15,634428450,1.04%
2022-03-14,627871050,1.50%
2022-03-11,618581400,-1.31%
2022-03-10,626778150,1.24%
2022-03-09,619127850,7.09%
2022-03-08,578144100,1.24%
2022-03-07,571040250,-0.10%
2022-03-04,571586700,-2.97%
2022-03-03,589073100,-3.92%
2022-03-02,613116900,1.91%
2022-03-01,601641450,-2.13%
2022-02-28,614756250,-0.35%
2022-02-25,616942050,2.17%
2022-02-24,603827250,2.98%
2022-02-23,586340850,-0.28%
2022-02-22,587980200,-1.19%
2022-02-18,595084050,-2.24%
2022-02-17,608745300,-0.09%
2022-02-16,609291750,-6.62%
2022-02-15,652461300,8.45%
2022-02-14,601641450,-4.34%
2022-02-11,628963950,-0.86%
2022-02-10,634428450,1.93%
2022-02-09,622406550,-26.85%
2022-02-08,850822650,-1.58%
2022-02-07,864483900,2.53%
2022-02-04,843172350,0.98%
2022-02-03,834975600,-3.41%
2022-02-02,864483900,-0.50%
2022-02-01,868855500,-1.18%
2022-01-31,879238050,2.75%
2022-01-28,855740700,0.71%
2022-01-27,849729750,1.30%
2022-01-26,838800750,-2.97%
2022-01-25,864483900,-0.50%
2022-01-24,868855500,5.58%
2022-01-21,822953700,-2.21%
2022-01-20,841533000,-1.16%
2022-01-19,851369100,-1.89%
2022-01-18,867762600,-2.34%
2022-01-14,888527700,-1.75%
2022-01-13,904374750,-2.76%
2022-01-12,930057900,-3.68%
2022-01-11,965577150,4.62%
2022-01-10,922954050,-1.40%
2022-01-07,936068850,-2.50%
2022-01-06,960112650,-1.24%
2022-01-05,972134550,-2.73%
2022-01-04,999457050,-1.08%
2022-01-03,1010386049,1.65%
2021-12-31,993992550,0.09%
2021-12-30,993051840,0.83%
2021-12-29,984894240,-0.28%
2021-12-28,987613440,-2.37%
2021-12-27,1011542400,1.42%
2021-12-23,997402560,1.66%
2021-12-22,981087360,0.56%
2021-12-21,975648960,4.12%
2021-12-20,937036320,-2.82%
2021-12-17,964228320,-0.45%
2021-12-16,968579039,-3.89%
2021-12-15,1007735520,2.77%
2021-12-14,980543520,0.06%
2021-12-13,979999680,0.73%
2021-12-10,972929760,-0.89%
2021-12-09,981631200,-2.11%
2021-12-08,1002840960,2.39%
2021-12-07,979455840,3.33%
2021-12-06,947913120,11.80%
2021-12-03,847846560,1.17%
2021-12-02,838057440,3.98%
2021-12-01,805970880,-3.20%
2021-11-30,832619040,0.79%
2021-11-29,826092960,-2.32%
2021-11-26,845671200,-2.57%
2021-11-24,867968640,-0.62%
2021-11-23,873407039,-0.99%
2021-11-22,882108479,-1.64%
2021-11-19,896792159,0.12%
2021-11-18,895704479,-1.55%
2021-11-17,909844320,-2.16%
2021-11-16,929966400,-0.52%
2021-11-15,934860960,0.76%
2021-11-12,927791039,2.16%
2021-11-11,908212800,2.08%
2021-11-10,889722240,2.70%
2021-11-09,866337120,0.63%
2021-11-08,860898720,4.28%
2021-11-05,825549120,-1.81%
2021-11-04,840776640,15.03%
2021-11-03,730920960,1.20%
2021-11-02,722219520,-7.52%
2021-11-01,780954240,2.57%
2021-10-29,761376000,-0.92%
2021-10-28,768445920,-0.07%
2021-10-27,768989760,-2.95%
2021-10-26,792374880,-0.14%
2021-10-25,793462560,-1.62%
2021-10-22,806514720,-3.07%
2021-10-21,832075200,0.33%
2021-10-20,829356000,-0.97%
2021-10-19,837513600,-8.28%
2021-10-18,913107360,-1.41%
2021-10-15,926159520,-0.47%
2021-10-14,930510240,-0.58%
2021-10-13,935948640,-0.52%
2021-10-12,940843200,-0.06%
2021-10-11,941387039,-2.31%
2021-10-08,963684479,0.51%
2021-10-07,958789920,1.26%
2021-10-06,946825440,-0.34%
2021-10-05,950088479,0.75%
2021-10-04,943018560,-3.61%
2021-10-01,978368159,2.45%
2021-09-30,954983039,-0.69%
2021-09-29,961615329,0.23%
2021-09-28,959455610,-2.31%
2021-09-27,982132670,1.11%
2021-09-24,971334069,-2.02%
2021-09-23,991311480,1.44%
2021-09-22,977273300,2.09%
2021-09-21,957295890,0.74%
2021-09-20,950276800,-2.60%
2021-09-17,975653510,0.84%
2021-09-16,967554560,-4.02%
2021-09-15,1008049310,0.21%
2021-09-14,1005889590,-0.96%
2021-09-13,1015608329,1.13%
2021-09-10,1004269800,-1.38%
2021-09-09,1018307980,0.69%
2021-09-08,1011288890,1.79%
2021-09-07,993471199,-1.71%
