Date,Market Cap,% Change
2023-04-25,66669338,-3.37%
2023-04-24,68997165,-0.95%
2023-04-21,69658480,-0.63%
2023-04-20,70099357,1.60%
2023-04-19,68997165,-2.49%
2023-04-18,70760671,0.31%
2023-04-17,70540233,-2.44%
2023-04-14,72303739,-0.30%
2023-04-13,72524177,4.11%
2023-04-12,69658480,-2.47%
2023-04-11,71421986,2.21%
2023-04-10,69878918,3.59%
2023-04-06,67454098,-0.65%
2023-04-05,67894974,-1.91%
2023-04-04,69217604,1.29%
2023-04-03,68335851,-4.62%
2023-03-31,71642424,-1.52%
2023-03-30,72744615,-4.62%
2023-03-29,76271627,3.90%
2023-03-28,73405930,0.91%
2023-03-27,72744615,2.80%
2023-03-24,70760671,-6.96%
2023-03-23,76051189,7.48%
2023-03-22,70760671,0.63%
2023-03-21,70319795,-1.85%
2023-03-20,71642424,
2023-03-17,71642424,3.17%
2023-03-16,69438042,-6.80%
2023-03-15,74508121,-1.74%
2023-03-14,75830751,-1.43%
2023-03-13,76932942,-2.54%
2023-03-10,78934521,-1.36%
2023-03-09,80019077,0.28%
2023-03-08,79798639,2.26%
2023-03-07,78035133,-2.21%
2023-03-06,79798639,-1.09%
2023-03-03,80680392,2.81%
2023-03-02,78476009,-0.28%
2023-03-01,78696448,1.71%
2023-02-28,77373818,-0.28%
2023-02-27,77594256,2.03%
2023-02-24,76051189,-2.82%
2023-02-23,78255571,0.85%
2023-02-22,77594256,-0.56%
2023-02-21,78035133,-1.12%
2023-02-17,78916886,1.13%
2023-02-16,78035133,0.85%
2023-02-15,77373818,0.57%
2023-02-14,76932942,1.75%
2023-02-13,75610312,-4.46%
2023-02-10,79137324,-0.55%
2023-02-09,79578201,0.28%
2023-02-08,79357762,-1.10%
2023-02-07,80239515,-1.89%
2023-02-06,81782583,1.37%
2023-02-03,80680392,-0.54%
2023-02-02,81121268,4.25%
2023-02-01,77814695,2.02%
2023-01-31,76271627,-0.57%
2023-01-30,76712504,-0.57%
2023-01-27,77153380,-0.28%
2023-01-26,77373818,0.57%
2023-01-25,76932942,5.44%
2023-01-24,72965054,-0.60%
2023-01-23,73405930,0.91%
2023-01-20,72744615,4.76%
2023-01-19,69438042,-2.78%
2023-01-18,71421986,-2.11%
2023-01-17,72965054,-1.49%
2023-01-13,74067245,
2023-01-12,74067245,4.35%
2023-01-11,70981110,3.21%
2023-01-10,68776727,-1.58%
2023-01-09,69878918,2.76%
2023-01-06,68000785,0.92%
2023-01-05,67379149,-1.40%
2023-01-04,68335851,1.97%
2023-01-03,67013221,9.86%
2022-12-30,60997951,-0.36%
2022-12-29,61218160,4.12%
2022-12-28,58795859,-3.61%
2022-12-27,60997951,-2.12%
2022-12-23,62319206,2.17%
2022-12-22,60997951,-1.07%
2022-12-21,61658578,2.56%
2022-12-20,60117114,-2.85%
2022-12-19,61878788,-0.35%
2022-12-16,62098997,-1.05%
2022-12-15,62759624,-1.04%
2022-12-14,63420252,-2.04%
2022-12-13,64741507,-0.34%
2022-12-12,64961716,-0.34%
2022-12-09,65181926,-1.00%
2022-12-08,65842553,-0.66%
2022-12-07,66282972,-0.33%
2022-12-06,66503181,-3.21%
2022-12-05,68705273,-1.89%
2022-12-02,70026528,
2022-12-01,70026528,-1.24%
2022-11-30,70907365,
2022-11-29,70907365,-1.53%
2022-11-28,72008411,-2.68%
2022-11-25,73990294,-1.75%
2022-11-23,75311549,1.48%
2022-11-22,74210503,-1.17%
2022-11-21,75091340,-2.57%
2022-11-18,77073223,-0.57%
2022-11-17,77513641,
2022-11-16,77513641,-2.76%
2022-11-15,79715734,-0.28%
2022-11-14,79935943,4.61%
2022-11-11,76412595,2.36%
2022-11-10,74650922,2.73%
