Date,Market Cap,% Change
2023-04-26,473942194,-0.92%
2023-04-25,478350959,-0.23%
2023-04-24,479453150,1.26%
2023-04-21,473501318,1.75%
2023-04-20,465345103,4.76%
2023-04-19,444183033,0.75%
2023-04-18,440876460,2.83%
2023-04-17,428752357,0.31%
2023-04-14,427429727,-1.57%
2023-04-13,434263313,-0.40%
2023-04-12,436026818,-1.05%
2023-04-11,440656021,0.45%
2023-04-10,438672077,-7.44%
2023-04-06,473942194,2.41%
2023-04-05,462810063,-1.98%
2023-04-04,472178688,0.09%
2023-04-03,471737812,-1.15%
2023-03-31,477248767,-0.23%
2023-03-30,478350959,3.83%
2023-03-29,460715900,-3.69%
2023-03-28,478350959,9.60%
2023-03-27,436467695,-2.61%
2023-03-24,448150921,0.15%
2023-03-23,447489606,-5.58%
2023-03-22,473942194,-1.83%
2023-03-21,482759723,0.23%
2023-03-20,481657532,1.53%
2023-03-17,474383070,-4.31%
2023-03-16,495765579,-4.30%
2023-03-15,518029840,3.07%
2023-03-14,502599164,9.99%
2023-03-13,456968450,
2023-03-10,456968450,1.07%
2023-03-09,452118809,6.55%
2023-03-08,424343592,-6.64%
2023-03-07,454543652,
2023-03-06,454543630,-8.44%
2023-03-03,496426893,8.27%
2023-03-02,458511518,7.00%
2023-03-01,428531919,-8.35%
2023-02-28,467549463,
2023-02-27,467549463,
2023-02-24,467549463,
2023-02-23,467549463,
2023-02-22,467549463,
2023-02-21,467549485,-3.06%
2023-02-17,482318847,4.94%
2023-02-16,459613709,0.97%
2023-02-15,455204944,
2023-02-14,455204944,0.73%
2023-02-13,451898371,0.10%
2023-02-10,451457495,
2023-02-09,451457495,2.14%
2023-02-08,441978651,0.75%
2023-02-07,438672077,-2.97%
2023-02-06,452118809,-0.19%
2023-02-03,453000562,1.73%
2023-02-02,445285224,1.53%
2023-02-01,438561858,
2023-01-31,438561858,-4.35%
2023-01-30,458511518,2.21%
2023-01-27,448591798,4.36%
2023-01-26,429854548,5.98%
2023-01-25,405606343,
2023-01-24,405606343,
2023-01-23,405606343,-0.54%
2023-01-20,407810725,0.65%
2023-01-19,405165466,-0.65%
2023-01-18,407810725,0.54%
2023-01-17,405606343,1.10%
2023-01-13,401197578,0.28%
2023-01-12,400095387,-0.55%
2023-01-11,402299769,-3.18%
2023-01-10,415526063,-0.79%
2023-01-09,418832637,-0.47%
2023-01-06,420816581,0.74%
2023-01-05,417730445,-0.26%
2023-01-04,418832637,-4.28%
2023-01-03,437569886,0.10%
2022-12-30,437115281,-1.05%
2022-12-29,441739675,9.92%
2022-12-28,401881808,-8.43%
2022-12-27,438859316,0.00%
2022-12-23,438859338,2.31%
2022-12-22,428967541,
2022-12-21,428967541,1.14%
2022-12-20,424122938,-2.92%
2022-12-19,436895072,10.65%
2022-12-16,394835113,-13.80%
2022-12-15,458035134,
2022-12-14,458035156,-3.66%
2022-12-13,475431684,11.22%
2022-12-12,427470118,-1.81%
2022-12-09,435353608,-5.50%
2022-12-08,460677667,2.05%
2022-12-07,451428880,2.14%
2022-12-06,441959884,-1.86%
2022-12-05,450327834,3.28%
2022-12-02,436014235,-1.49%
2022-12-01,442620512,-4.29%
2022-11-30,462439341,0.67%
2022-11-29,459356412,-0.05%
