Date,Market Cap,% Change
2023-04-25,93610399,-6.48%
2023-04-24,100098249,3.85%
2023-04-21,96390906,-6.31%
2023-04-20,102878756,4.72%
2023-04-19,98244577,
2023-04-18,98244577,-1.85%
2023-04-17,100098249,
2023-04-14,100098249,-6.09%
2023-04-13,106586098,
2023-04-12,106586098,-2.54%
2023-04-11,109366605,1.72%
2023-04-10,107512934,-1.69%
2023-04-06,109366605,5.36%
2023-04-05,103805591,-2.61%
2023-04-04,106586098,-8.00%
2023-04-03,115854455,1.63%
2023-03-31,114000783,5.13%
2023-03-30,108439769,
2023-03-29,108439769,0.43%
2023-03-28,107976352,-0.43%
2023-03-27,108439769,5.41%
2023-03-24,102878756,-4.31%
2023-03-23,107512934,
2023-03-22,107512934,-6.45%
2023-03-21,114927619,11.71%
2023-03-20,102878756,-3.48%
2023-03-17,106586098,1.77%
2023-03-16,104732427,11.88%
2023-03-15,93610399,1.00%
2023-03-14,92683564,-1.96%
2023-03-13,94537235,-2.86%
2023-03-10,97317742,-5.41%
2023-03-09,102878756,-5.93%
2023-03-08,109366605,-0.84%
2023-03-07,110293441,-2.46%
2023-03-06,113073948,-2.40%
2023-03-03,115854455,3.31%
2023-03-02,112147112,0.83%
2023-03-01,111220276,3.45%
2023-02-28,107512934,
2023-02-27,107512934,-1.69%
2023-02-24,109366605,-0.84%
2023-02-23,110293441,1.71%
2023-02-22,108439769,-0.85%
2023-02-21,109366605,-2.48%
2023-02-17,112147112,-1.63%
2023-02-16,114000783,-3.15%
2023-02-15,117708126,0.79%
2023-02-14,116781290,5.00%
2023-02-13,111220276,-0.83%
2023-02-10,112147112,
2023-02-09,112147112,-3.20%
2023-02-08,115854455,-2.34%
2023-02-07,118634961,
2023-02-06,118634961,1.59%
2023-02-03,116781290,-3.08%
2023-02-02,120488633,2.36%
2023-02-01,117708126,4.10%
2023-01-31,113073948,-1.61%
2023-01-30,114927619,-2.36%
2023-01-27,117708126,4.96%
2023-01-26,112147112,-1.63%
2023-01-25,114000783,-3.91%
2023-01-24,118634961,0.79%
2023-01-23,117708126,-0.78%
2023-01-20,118634961,-2.29%
2023-01-19,121415468,-4.38%
2023-01-18,126976482,0.74%
2023-01-17,126049647,-2.86%
2023-01-13,129756989,-0.71%
2023-01-12,130683825,-0.70%
2023-01-11,131610660,-1.39%
2023-01-10,133464332,13.39%
2023-01-09,117708126,7.63%
2023-01-06,109366605,-0.84%
2023-01-05,110293441,2.59%
2023-01-04,107512934,-2.52%
2023-01-03,110293441,1.60%
2022-12-30,108553701,3.57%
2022-12-29,104810470,1.82%
2022-12-28,102938854,-3.51%
2022-12-27,106682085,-2.56%
2022-12-23,109489509,-1.68%
2022-12-22,111361124,-1.65%
2022-12-21,113232740,1.68%
2022-12-20,111361124,-2.46%
2022-12-19,114168547,-2.40%
2022-12-16,116975971,0.81%
2022-12-15,116040163,-5.34%
2022-12-14,122590817,-4.38%
2022-12-13,128205664,3.79%
2022-12-12,123526625,10.92%
2022-12-09,111361124,8.18%
2022-12-08,102938854,-5.98%
2022-12-07,109489509,-7.14%
2022-12-06,117911779,-0.79%
2022-12-05,118847586,-6.62%
2022-12-02,127269856,-1.45%
2022-12-01,129141472,2.22%
2022-11-30,126334048,-2.17%
2022-11-29,129141472,-0.72%
2022-11-28,130077280,-4.14%
2022-11-25,135692126,-0.68%
2022-11-23,136627934,0.69%
2022-11-22,135692126,-2.03%
2022-11-21,138499549,-1.33%
2022-11-18,140371165,0.67%
2022-11-17,139435357,-3.25%
2022-11-16,144114396,-5.52%
2022-11-15,152536666,-3.55%
2022-11-14,158151513,14.97%
2022-11-11,137563742,3.52%
2022-11-10,132884703,5.97%
2022-11-09,125398241,4.69%
2022-11-08,119783394,6.67%
2022-11-07,112296932,17.65%
2022-11-04,95452392,-2.86%
2022-11-03,98259815,-7.08%
2022-11-02,105746278,-6.61%
2022-11-01,113232740,
2022-10-31,113232740,2.54%
2022-10-28,110425316,1.72%
2022-10-27,108553701,-4.13%
2022-10-26,113232740,-0.82%
2022-10-25,114168547,3.39%
2022-10-24,110425316,2.61%
2022-10-21,107617893,
2022-10-20,107617893,2.68%
2022-10-19,104810470,-4.27%
2022-10-18,109489509,-0.85%
2022-10-17,110425316,3.51%
2022-10-14,106682085,-8.06%
2022-10-13,116040163,-6.06%
2022-10-12,123526625,3.94%
2022-10-11,118847586,-9.29%
2022-10-10,131013087,-4.11%
2022-10-07,136627934,-3.31%
2022-10-06,141306973,-2.58%
2022-10-05,145050204,
2022-10-04,145050204,-3.73%
2022-10-03,150665050,-2.42%
2022-09-30,154408282,-4.93%
2022-09-29,162423809,-3.87%
2022-09-28,168958100,2.84%
2022-09-27,164290749,-0.56%
2022-09-26,165224220,-4.32%
2022-09-23,172691981,-6.57%
2022-09-22,184827093,-2.94%
2022-09-21,190427914,-0.97%
2022-09-20,192294855,-1.90%
2022-09-19,196028735,-0.47%
2022-09-16,196962205,-0.47%
2022-09-15,197895676,-0.47%
2022-09-14,198829146,-1.84%
2022-09-13,202563026,-3.56%
2022-09-12,210030788,3.21%
2022-09-09,203496497,-0.91%
2022-09-08,205363437,-1.79%
2022-09-07,209097318,-1.32%
2022-09-06,211897728,-1.30%
2022-09-02,214698139,-0.86%
2022-09-01,216565079,6.42%
2022-08-31,203496497,1.40%
2022-08-30,200696086,-0.46%
2022-08-29,201629556,2.37%
2022-08-26,196962205,
2022-08-25,196962205,7.11%
2022-08-24,183893623,1.03%
2022-08-23,182026683,1.56%
2022-08-22,179226272,-4.00%
2022-08-19,186694034,-2.44%
2022-08-18,191361384,-1.91%
2022-08-17,195095265,-3.24%
2022-08-16,201629556,-1.82%
2022-08-15,205363437,-2.00%
2022-08-12,209564053,0.22%
2022-08-11,209097318,2.75%
2022-08-10,203496497,7.92%
2022-08-09,188560974,-4.72%
2022-08-08,197895676,-1.85%
2022-08-05,201629556,
2022-08-04,201629556,3.35%
2022-08-03,195095265,3.47%
2022-08-02,188560974,4.12%
2022-08-01,181093212,-3.48%
2022-07-29,187627504,-1.47%
2022-07-28,190427914,-0.97%
2022-07-27,192294855,
2022-07-26,192294855,-2.37%
2022-07-25,196962205,-0.94%
2022-07-22,198829146,-1.39%
2022-07-21,201629556,
2022-07-20,201629556,4.85%
2022-07-19,192294855,0.98%
2022-07-18,190427914,4.62%
2022-07-15,182026683,1.04%
2022-07-14,180159742,-1.03%
2022-07-13,182026683,1.56%
2022-07-12,179226272,-1.03%
2022-07-11,181093212,-2.51%
2022-07-08,185760563,1.02%
2022-07-07,183893623,-3.43%
2022-07-06,190427914,2.51%
2022-07-05,185760563,-0.50%
2022-07-01,186694034,-2.91%
2022-06-30,192294855,4.57%
2022-06-29,183886447,-1.97%
2022-06-28,187582657,5.18%
2022-06-27,178342132,-5.39%
2022-06-24,188506710,2.00%
2022-06-23,184810500,3.09%
2022-06-22,179266185,3.19%
2022-06-21,173721870,-1.57%
