Date,Market Cap,% Change
2023-04-25,390667000,3.24%
2023-04-24,378409000,-2.46%
2023-04-21,387943000,0.65%
2023-04-20,385446000,-1.85%
2023-04-19,392710000,0.87%
2023-04-18,389304999,-0.23%
2023-04-17,390213000,0.64%
2023-04-14,387715999,-0.29%
2023-04-13,388851000,1.96%
2023-04-12,381360000,-1.06%
2023-04-11,385446000,-0.88%
2023-04-10,388851000,2.94%
2023-04-06,377728000,-1.30%
2023-04-05,382722000,-0.94%
2023-04-04,386354000,-0.70%
2023-04-03,389078000,1.06%
2023-03-31,384992000,0.30%
2023-03-30,383857000,0.36%
2023-03-29,382495000,-0.88%
2023-03-28,385900000,
2023-03-27,385900000,2.04%
2023-03-24,378182000,1.15%
2023-03-23,373869000,0.30%
2023-03-22,372734000,-1.32%
2023-03-21,377728000,0.73%
2023-03-20,375004000,-1.14%
2023-03-17,379317000,-0.83%
2023-03-16,382495000,1.51%
2023-03-15,376820000,-0.84%
2023-03-14,379997999,2.57%
2023-03-13,370464000,2.06%
2023-03-10,362973000,-4.65%
2023-03-09,380679000,1.51%
2023-03-08,375004000,-0.78%
2023-03-07,377954999,-2.00%
2023-03-06,385672999,-1.68%
2023-03-03,392256000,1.71%
2023-03-02,385672999,3.41%
2023-03-01,372961000,-0.67%
2023-02-28,375458000,0.49%
2023-02-27,373642000,0.61%
2023-02-24,371372000,2.25%
2023-02-23,363200000,-1.23%
2023-02-22,367740000,2.21%
2023-02-21,359795000,-2.16%
2023-02-17,367740000,1.95%
2023-02-16,360703000,-2.16%
2023-02-15,368647999,0.31%
2023-02-14,367513000,1.25%
2023-02-13,362973000,-1.11%
2023-02-10,367059000,-0.31%
2023-02-09,368194000,-0.31%
2023-02-08,369329000,-0.73%
2023-02-07,372053000,0.61%
2023-02-06,369783000,-1.39%
2023-02-03,375004000,1.16%
2023-02-02,370690999,-2.62%
2023-02-01,380679000,-1.29%
2023-01-31,385672999,0.65%
2023-01-30,383176000,-0.41%
2023-01-27,384765000,1.07%
2023-01-26,380679000,1.57%
2023-01-25,374777000,-0.06%
2023-01-24,375004000,0.24%
2023-01-23,374096000,-0.12%
2023-01-20,374550000,0.43%
2023-01-19,372961000,0.98%
2023-01-18,369329000,1.81%
2023-01-17,362746000,-0.19%
2023-01-13,363427000,-0.44%
2023-01-12,365015999,0.56%
2023-01-11,362973000,1.40%
2023-01-10,357979000,1.09%
2023-01-09,354120000,0.65%
2023-01-06,351850000,0.32%
2023-01-05,350715000,-0.26%
2023-01-04,351623000,-2.33%
2023-01-03,360022000,-6.32%
2022-12-30,384311999,1.77%
2022-12-29,377620000,0.77%
2022-12-28,374752000,0.26%
2022-12-27,373796000,-1.14%
2022-12-23,378098000,0.32%
2022-12-22,376903000,-0.50%
2022-12-21,378815000,0.63%
2022-12-20,376425000,1.29%
2022-12-19,371645000,-0.70%
2022-12-16,374274000,0.06%
2022-12-15,374035000,-0.82%
2022-12-14,377142000,-0.63%
2022-12-13,379532000,1.40%
2022-12-12,374274000,-1.45%
2022-12-09,379771000,-1.00%
2022-12-08,383595000,1.45%
2022-12-07,378098000,-1.43%
2022-12-06,383595000,0.38%
2022-12-05,382161000,0.38%
2022-12-02,380727000,0.06%
2022-12-01,380488000,-0.62%
2022-11-30,382878000,4.64%
2022-11-29,365909000,0.72%
2022-11-28,363280000,-1.87%
2022-11-25,370211000,
2022-11-23,370211000,-0.06%
2022-11-22,370450000,2.24%
2022-11-21,362324000,-1.56%
2022-11-18,368060000,-1.47%
2022-11-17,373557000,2.16%
2022-11-16,365670000,1.06%
2022-11-15,361846000,1.68%
2022-11-14,355871000,-0.07%
2022-11-11,356110000,4.93%
2022-11-10,339380000,9.06%
2022-11-09,311178000,-3.27%
2022-11-08,321694000,-2.60%
2022-11-07,330298000,-0.22%
2022-11-04,331015000,1.91%
2022-11-03,324801000,-1.24%
2022-11-02,328864000,-1.78%
2022-11-01,334839000,0.14%
2022-10-31,334361000,1.45%
2022-10-28,329581000,0.58%
2022-10-27,327669000,0.96%
2022-10-26,324562000,-0.15%
2022-10-25,325040000,2.33%
2022-10-24,317631000,1.45%
2022-10-21,313090000,1.63%
2022-10-20,308071000,0.31%
2022-10-19,307115000,0.71%
2022-10-18,304964000,0.95%
2022-10-17,302096000,-0.47%
2022-10-14,303530000,-1.78%
2022-10-13,309027000,1.81%
2022-10-12,303530000,1.20%
2022-10-11,299945000,-0.95%
2022-10-10,302813000,-0.71%
2022-10-07,304964000,1.03%
2022-10-06,301857000,-0.55%
2022-10-05,303530000,1.52%
2022-10-04,298989000,6.11%
2022-10-03,281781000,0.26%
2022-09-30,281064000,2.06%
2022-09-29,275394000,1.48%
2022-09-28,271365000,4.09%
2022-09-27,260700000,2.90%
2022-09-26,253353000,-1.84%
2022-09-23,258093000,-2.33%
2022-09-22,264255000,0.45%
2022-09-21,263070000,0.73%
2022-09-20,261174000,-1.08%
2022-09-19,264018000,0.91%
2022-09-16,261647999,-2.13%
2022-09-15,267335999,-0.53%
2022-09-14,268758000,1.16%
2022-09-13,265677000,-2.61%
2022-09-12,272787000,0.61%
2022-09-09,271128000,4.00%
2022-09-08,260700000,
2022-09-07,260700000,-1.43%
2022-09-06,264492000,-1.24%
2022-09-02,267810000,-2.67%
2022-09-01,275157000,-4.76%
2022-08-31,288903000,2.18%
2022-08-30,282741000,-0.33%
2022-08-29,283689000,-2.29%
2022-08-26,290325000,-0.89%
2022-08-25,292932000,0.65%
2022-08-24,291036000,-0.57%
2022-08-23,292695000,-2.06%
2022-08-22,298857000,-2.17%
2022-08-19,305493000,-1.30%
