Date,Market Cap,% Change
2023-04-26,917476840,-0.54%
2023-04-25,922479440,-2.12%
2023-04-24,942489840,-2.18%
2023-04-21,963500760,-0.47%
2023-04-20,968003100,-0.67%
2023-04-19,974506480,-0.92%
2023-04-18,983511160,-3.20%
2023-04-17,1016028059,1.35%
2023-04-14,1002521040,-1.09%
2023-04-13,1013526760,1.50%
2023-04-12,998518960,-1.24%
2023-04-11,1011025460,1.15%
2023-04-10,999519480,0.86%
2023-04-06,991015059,1.23%
2023-04-05,979008820,2.30%
2023-04-04,956997380,1.06%
2023-04-03,946992180,-0.47%
2023-03-31,951494520,2.76%
2023-03-30,925981260,-0.70%
2023-03-29,932484640,0.59%
2023-03-28,926981780,0.22%
2023-03-27,924980739,0.87%
2023-03-24,916976579,-0.70%
2023-03-23,923479960,-0.70%
2023-03-22,929983340,-3.08%
2023-03-21,959498680,-0.93%
2023-03-20,968503360,1.73%
2023-03-17,951994780,-1.65%
2023-03-16,968003100,1.90%
2023-03-15,949993739,0.32%
2023-03-14,946992180,2.55%
2023-03-13,923479960,-1.23%
2023-03-10,934985940,0.43%
2023-03-09,930983860,-0.21%
2023-03-08,932984899,5.85%
2023-03-07,881458120,-1.07%
2023-03-06,890963059,-8.81%
2023-03-03,977007780,1.93%
2023-03-02,958498160,-1.03%
2023-03-01,968503360,-0.82%
2023-02-28,976507520,2.36%
2023-02-27,953995820,-3.10%
2023-02-24,984511680,0.46%
2023-02-23,980009340,-1.56%
2023-02-22,995517399,5.51%
2023-02-21,943490360,-4.07%
2023-02-17,983511160,4.52%
2023-02-16,940989059,-2.49%
2023-02-15,965001540,1.31%
2023-02-14,952495040,-1.40%
2023-02-13,966002059,3.21%
2023-02-10,935986460,1.35%
2023-02-09,923479960,-0.27%
2023-02-08,925981260,-0.32%
2023-02-07,928982820,-1.95%
2023-02-06,947492440,-6.61%
2023-02-03,1014527280,-2.22%
2023-02-02,1037539239,3.34%
2023-02-01,1004021820,2.66%
2023-01-31,978008300,1.72%
2023-01-30,961499720,-1.49%
2023-01-27,976007260,2.58%
2023-01-26,951494520,0.58%
2023-01-25,945991660,2.00%
2023-01-24,927482040,-2.27%
2023-01-23,948993220,2.26%
2023-01-20,927982300,1.15%
2023-01-19,917476840,0.71%
2023-01-18,910973460,
2023-01-17,910973460,0.61%
2023-01-13,905470600,1.06%
2023-01-12,895965660,3.77%
2023-01-11,863448760,2.25%
2023-01-10,844438880,0.84%
2023-01-09,837435239,-0.95%
2023-01-06,845439399,3.43%
2023-01-05,817424840,-1.03%
2023-01-04,825929260,0.92%
2023-01-03,818425360,3.02%
2022-12-30,794412880,-0.69%
2022-12-29,799915740,1.33%
2022-12-28,789410280,-3.49%
2022-12-27,817925100,-1.86%
2022-12-23,833433160,0.36%
2022-12-22,830431600,-2.75%
2022-12-21,853943820,2.89%
2022-12-20,829931340,0.42%
2022-12-19,826429520,-2.31%
2022-12-16,845939660,-2.03%
2022-12-15,863448760,-3.63%
2022-12-14,895965660,-0.78%
2022-12-13,902969300,0.17%
2022-12-12,901468520,-1.31%
2022-12-09,913474760,0.33%
2022-12-08,910473200,-0.49%
2022-12-07,914975540,0.66%
2022-12-06,908972420,-1.30%
2022-12-05,920978660,-1.71%
2022-12-02,936986980,-0.53%
2022-12-01,941989579,-3.29%
2022-11-30,974006220,2.91%
2022-11-29,946491920,0.21%
2022-11-28,944490880,-5.08%
2022-11-25,995017140,1.74%
2022-11-23,978008300,1.03%
2022-11-22,968003100,-0.51%
2022-11-21,973005700,1.99%
2022-11-18,953995820,-0.63%
2022-11-17,959998940,1.16%
2022-11-16,948993220,0.42%
2022-11-15,944991140,2.66%
2022-11-14,920478399,-3.46%
2022-11-11,953495559,1.44%
2022-11-10,939988540,7.19%
2022-11-09,876955780,-2.45%
2022-11-08,898967220,0.34%
2022-11-07,895965660,-6.67%
2022-11-04,959998940,4.58%
2022-11-03,917977100,-4.68%
2022-11-02,963000500,-14.41%
2022-11-01,1125084740,-0.75%
2022-10-31,1133589160,0.71%
2022-10-28,1125585000,4.75%
2022-10-27,1074558480,4.32%
2022-10-26,1030035340,4.46%
2022-10-25,986012460,2.34%
2022-10-24,963500760,0.52%
2022-10-21,958498160,0.63%
2022-10-20,952495040,1.22%
2022-10-19,940989059,1.68%
2022-10-18,925481000,0.54%
2022-10-17,920478399,6.17%
2022-10-14,866950579,-0.52%
2022-10-13,871452920,5.96%
2022-10-12,822427440,-0.06%
2022-10-11,822927700,1.48%
2022-10-10,810921460,2.40%
2022-10-07,791911580,-2.28%
2022-10-06,810421200,-2.23%
2022-10-05,828930820,-6.28%
2022-10-04,884459680,0.97%
2022-10-03,875955260,2.88%
2022-09-30,851442520,-1.47%
2022-09-29,864151260,-3.42%
2022-09-28,894762889,3.48%
2022-09-27,864653090,-2.77%
2022-09-26,889242760,-0.67%
2022-09-23,895264720,-2.73%
2022-09-22,920356220,-2.39%
2022-09-21,942938570,0.97%
2022-09-20,933905630,-1.22%
2022-09-19,945447720,-0.58%
2022-09-16,950967850,0.74%
2022-09-15,943942229,-1.42%
2022-09-14,957491639,-1.90%
2022-09-13,976059350,-9.58%
2022-09-12,1079436330,1.46%
2022-09-09,1063879600,1.87%
2022-09-08,1044308229,-3.43%
2022-09-07,1081443650,0.56%
2022-09-06,1075421690,-0.65%
2022-09-02,1082447310,-2.53%
2022-09-01,1110549790,-0.72%
2022-08-31,1118579070,0.81%
2022-08-30,1109546130,-1.51%
2022-08-29,1126608350,-1.54%
2022-08-26,1144172400,-2.06%
2022-08-25,1168260240,1.09%
2022-08-24,1155714490,0.39%
2022-08-23,1151198020,-1.38%
2022-08-22,1167256580,-2.92%
2022-08-19,1202384680,0.88%
2022-08-18,1191846250,0.25%
2022-08-17,1188835270,-1.78%
2022-08-16,1210413960,-0.70%
2022-08-15,1218945070,1.08%
2022-08-12,1205897490,3.53%
2022-08-11,1164747430,-0.43%
2022-08-10,1169765730,-1.31%
2022-08-09,1185322460,1.55%
2022-08-08,1167256580,1.35%
2022-08-05,1151699850,3.33%
