Date,Market Cap,% Change
2023-04-26,238971244,2.41%
2023-04-25,233354661,-2.42%
2023-04-24,239135232,-6.30%
2023-04-21,255206038,3.53%
2023-04-20,246514683,-15.95%
2023-04-19,293292208,-2.56%
2023-04-18,300999635,0.41%
2023-04-17,299769726,4.97%
2023-04-14,285584780,-7.60%
2023-04-13,309076035,13.50%
2023-04-12,272301767,-4.20%
2023-04-11,284231881,0.48%
2023-04-10,282878981,1.44%
2023-04-06,278861280,23.74%
2023-04-05,225360255,-6.11%
2023-04-04,240037165,-1.84%
2023-04-03,244546830,0.56%
2023-03-31,243193930,10.86%
2023-03-30,219374700,4.17%
2023-03-29,210601352,4.88%
2023-03-28,200803080,-4.58%
2023-03-27,210437364,-1.14%
2023-03-24,212856184,0.58%
2023-03-23,211626276,1.85%
2023-03-22,207772562,-8.17%
2023-03-21,226262188,7.00%
2023-03-20,211462288,6.99%
2023-03-17,197646314,-8.38%
2023-03-16,215725971,0.27%
2023-03-15,215152014,-1.52%
2023-03-14,218472767,-2.61%
2023-03-13,224335331,6.15%
2023-03-10,211339297,-5.83%
2023-03-09,224417325,-3.81%
2023-03-08,233313664,-2.27%
2023-03-07,238725262,-4.59%
2023-03-06,250204409,-8.45%
2023-03-03,273285694,6.72%
2023-03-02,256066974,3.43%
2023-03-01,247580604,-3.45%
2023-02-28,256435946,0.90%
2023-02-27,254140117,-0.66%
2023-02-24,255820992,-6.32%
2023-02-23,273080709,-6.13%
2023-02-22,290914384,5.16%
2023-02-21,276647444,-8.59%
2023-02-17,302639513,-5.75%
2023-02-16,321088142,-8.41%
2023-02-15,350564952,8.43%
2023-02-14,323301978,3.57%
2023-02-13,312150806,1.17%
2023-02-10,308543075,-0.76%
2023-02-09,310920898,-10.51%
2023-02-08,347449184,-0.68%
2023-02-07,349827007,-3.51%
2023-02-06,362536063,-3.20%
2023-02-03,374507173,-3.65%
2023-02-02,388692119,17.76%
2023-02-01,330066475,0.71%
2023-01-31,327729649,3.12%
2023-01-30,317808386,-4.97%
2023-01-27,334412152,1.24%
2023-01-26,330312457,2.22%
2023-01-25,323137990,-0.23%
2023-01-24,323875935,-6.89%
2023-01-23,347859153,6.05%
2023-01-20,328016628,11.13%
2023-01-19,295178068,-0.28%
2023-01-18,295998007,-3.68%
2023-01-17,307313166,1.50%
2023-01-13,302762504,10.77%
2023-01-12,273326691,8.72%
2023-01-11,251393321,3.34%
2023-01-10,243275924,3.00%
2023-01-09,236183451,10.66%
2023-01-06,213430142,0.50%
2023-01-05,212364221,-7.25%
2023-01-04,228967987,9.53%
2023-01-03,209043467,-0.80%
2022-12-30,210720454,-1.78%
2022-12-29,214547953,10.88%
2022-12-28,193496709,2.56%
2022-12-27,188670732,-13.80%
2022-12-23,218874691,-4.81%
2022-12-22,229941155,-6.32%
2022-12-21,245459167,-3.02%
2022-12-20,253114165,-3.35%
2022-12-19,261892450,-12.78%
2022-12-16,300250645,-7.77%
2022-12-15,325545421,-7.31%
2022-12-14,351214625,
2022-12-13,351214625,-0.01%
2022-12-12,351256228,-0.67%
2022-12-09,353627613,-4.60%
2022-12-08,370684945,4.02%
2022-12-07,356373428,-3.73%
2022-12-06,370185706,-6.46%
2022-12-05,395771704,-3.10%
2022-12-02,408419092,-2.80%
2022-12-01,420192811,3.18%
2022-11-30,407254201,7.44%
2022-11-29,379047198,0.83%
2022-11-28,375926955,-6.32%
2022-11-25,401304936,-0.56%
2022-11-23,403551512,2.99%
2022-11-22,391819396,2.20%
2022-11-21,383373936,-6.13%
2022-11-18,408419092,-3.75%
2022-11-17,424353136,-4.67%
2022-11-16,445154761,-10.08%
2022-11-15,495078659,3.48%
2022-11-14,478437360,0.88%
2022-11-11,474277035,4.59%
2022-11-10,453475410,20.30%
2022-11-09,376967036,-16.87%
2022-11-08,453475410,3.81%
2022-11-07,436834111,7.75%
2022-11-04,405423658,-3.51%
2022-11-03,420192811,5.14%
2022-11-02,399640807,-5.82%
2022-11-01,424353136,-0.97%
2022-10-31,428513461,-0.96%
2022-10-28,432673786,0.97%
2022-10-27,428513461,-4.63%
2022-10-26,449315085,-0.92%
2022-10-25,453475410,13.54%
2022-10-24,399391187,-11.11%
2022-10-21,449315085,0.93%
2022-10-20,445154761,21.47%
2022-10-19,366483017,-10.12%
2022-10-18,407753440,5.04%
2022-10-17,388199913,4.84%
2022-10-14,370268913,-2.67%
2022-10-13,380420106,1.13%
2022-10-12,376176574,-3.47%
2022-10-11,389697630,-9.93%
2022-10-10,432673786,-1.89%
2022-10-07,440994436,-1.85%
2022-10-06,449315085,-3.57%
2022-10-05,465956385,-3.45%
2022-10-04,482597684,9.43%
2022-10-03,440994436,3.92%
2022-09-30,424353136,-4.17%
2022-09-29,442802467,-5.31%
2022-09-28,467632512,4.63%
2022-09-27,446940808,12.48%
2022-09-26,397363485,-4.93%
2022-09-23,417972422,-3.81%
2022-09-22,434525786,-3.67%
2022-09-21,451079149,-0.91%
2022-09-20,455217490,-5.98%
2022-09-19,484185875,1.74%
2022-09-16,475909194,-7.26%
2022-09-15,513154261,1.64%
2022-09-14,504877580,-3.17%
2022-09-13,521430943,-9.35%
2022-09-12,575229373,2.96%
2022-09-09,558676010,4.65%
2022-09-08,533845965,3.20%
2022-09-07,517292602,3.31%
2022-09-06,500739239,-3.20%
2022-09-02,517292602,-3.85%
2022-09-01,537984306,-2.26%
2022-08-31,550399329,
2022-08-30,550399329,-2.92%
2022-08-29,566952692,-3.52%
2022-08-26,587644396,-8.39%
2022-08-25,641442827,5.44%
2022-08-24,608336100,1.38%
2022-08-23,600059418,-6.45%
2022-08-22,641442827,-5.49%
2022-08-19,678687894,-8.38%
2022-08-18,740763006,-6.28%
2022-08-17,790423096,-3.54%
2022-08-16,819391482,5.32%
2022-08-15,778008074,-1.05%
2022-08-12,786284755,7.34%
2022-08-11,732486325,8.59%
2022-08-10,674549553,3.82%
2022-08-09,649719508,-8.72%
2022-08-08,711794621,2.38%
2022-08-05,695241257,7.01%
2022-08-04,649719508,-13.26%
2022-08-03,749039688,5.23%
2022-08-02,711794621,11.69%
2022-08-01,637304486,-2.53%
2022-07-29,653857849,3.27%
2022-07-28,633166145,3.38%
2022-07-27,612474441,7.25%
2022-07-26,571091033,-4.83%
2022-07-25,600059418,-2.68%
2022-07-22,616612782,-9.15%
2022-07-21,678687894,2.50%
2022-07-20,662134531,11.89%
2022-07-19,591782737,10.85%
2022-07-18,533845965,
2022-07-15,533845965,5.74%
2022-07-14,504877580,-3.94%
2022-07-13,525569284,1.60%
2022-07-12,517292602,-1.57%
2022-07-11,525569284,-7.97%
2022-07-08,571091033,-5.48%
2022-07-07,604197759,6.57%
2022-07-06,566952692,-1.44%
2022-07-05,575229373,10.32%
2022-07-01,521430943,1.61%
2022-06-30,513154261,1.39%
2022-06-29,506115591,-5.34%
2022-06-28,534686632,-9.66%
2022-06-27,591828715,-4.61%
2022-06-24,620399757,2.70%
2022-06-23,604073447,6.47%
2022-06-22,567339251,
2022-06-21,567339251,2.21%
2022-06-17,555094519,4.62%
2022-06-16,530605055,-9.09%
2022-06-15,583665561,10.85%
2022-06-14,526523478,-8.51%
2022-06-13,575502406,-11.32%
2022-06-10,648970798,-9.14%
2022-06-09,714276036,-10.26%
2022-06-08,795907583,8.33%
2022-06-07,734683923,-1.64%
2022-06-06,746928655,9.58%
2022-06-03,681623417,-9.24%
2022-06-02,751010232,4.55%
2022-06-01,718357613,-7.37%
2022-05-31,775499696,-2.06%
2022-05-27,791826005,6.59%
2022-05-26,742847077,8.98%
2022-05-25,681623417,4.38%
2022-05-24,653052376,-8.05%
2022-05-23,710194458,-4.92%
2022-05-20,746928655,-5.67%
2022-05-19,791826005,8.99%
2022-05-18,726520768,-3.78%
2022-05-17,755091809,7.56%
2022-05-16,702031304,-5.49%
2022-05-13,742847077,6.43%
2022-05-12,697949726,14.77%
2022-05-11,608155025,-8.59%
2022-05-10,665297108,-5.23%
2022-05-09,702031304,-12.24%
2022-05-06,799989160,-5.77%
2022-05-05,848968088,-9.57%
2022-05-04,938762790,6.98%
2022-05-03,877539130,-4.02%
2022-05-02,914273326,9.27%
2022-04-29,836723356,-6.39%
2022-04-28,893865439,5.29%
2022-04-27,848968088,-2.80%
2022-04-26,873457552,-7.36%
2022-04-25,942844367,3.59%
2022-04-22,910191749,2.76%
2022-04-21,885702284,-8.05%
2022-04-20,963252254,-4.07%
2022-04-19,1004068028,6.49%
2022-04-18,942844367,-3.75%
2022-04-14,979578564,-6.98%
2022-04-13,1053046956,0.39%
2022-04-12,1048965378,
2022-04-11,1048965378,-1.15%
2022-04-08,1061210111,-7.80%
2022-04-07,1151004812,-3.09%
2022-04-06,1187739008,-4.59%
2022-04-05,1244881091,-8.41%
2022-04-04,1359165257,12.12%
2022-04-01,1212228472,-1.00%
2022-03-31,1224473205,-4.43%
2022-03-30,1281276113,-7.54%
2022-03-29,1385706141,13.11%
2022-03-28,1225044559,-0.65%
2022-03-25,1233077638,-8.08%
2022-03-24,1341524206,-2.62%
2022-03-23,1377673062,2.39%
2022-03-22,1345540745,6.69%
2022-03-21,1261193415,-3.68%
2022-03-18,1309391890,6.54%
2022-03-17,1229061099,5.52%
2022-03-16,1164796466,27.19%
2022-03-15,915771015,6.05%
2022-03-14,863556001,-8.12%
2022-03-11,939870252,-6.40%
2022-03-10,1004134885,-5.30%
2022-03-09,1060366438,8.20%
2022-03-08,980035647,4.27%
2022-03-07,939870252,-6.77%
2022-03-04,1008151424,-4.56%
2022-03-03,1056349899,-9.62%
2022-03-02,1168813006,-2.02%
2022-03-01,1192912243,-4.50%
2022-02-28,1249143796,1.30%
2022-02-25,1233077638,6.23%
2022-02-24,1160779927,-19.94%
2022-02-23,1449970773,
2022-02-22,1449970773,-5.00%
2022-02-18,1526285025,-6.17%
2022-02-17,1626698513,-6.47%
2022-02-16,1739161620,-5.04%
2022-02-15,1831542030,14.86%
2022-02-14,1594566197,-5.02%
2022-02-11,1678913527,-3.24%
2022-02-10,1735145081,-5.68%
2022-02-09,1839575109,12.25%
2022-02-08,1638748132,5.15%
2022-02-07,1558417341,3.19%
