Date,Market Cap,% Change
2023-04-25,11607693,-12.57%
2023-04-24,13276348,
2023-04-21,13276348,24.39%
2023-04-20,10673142,1.23%
2023-04-19,10542982,1.25%
2023-04-18,10412822,
2023-04-17,10412822,-29.82%
2023-04-14,14838271,9.62%
2023-04-13,13536668,1.96%
2023-04-12,13276348,20.00%
2023-04-11,11063623,6.25%
2023-04-10,10412822,-1.23%
2023-04-06,10542982,1.25%
2023-04-05,10412822,-20.00%
2023-04-04,13016027,
2023-04-03,13016027,-13.79%
2023-03-31,15098591,16.00%
2023-03-30,13016027,4.17%
2023-03-29,12495386,-20.00%
2023-03-28,15619233,
2023-03-27,15619233,46.31%
2023-03-24,10675745,-31.64%
2023-03-23,15617931,9.08%
2023-03-22,14317630,-6.78%
2023-03-21,15358912,-1.67%
2023-03-20,15619233,33.33%
2023-03-17,11714424,-6.25%
2023-03-16,12495386,8.57%
2023-03-15,11508771,0.48%
2023-03-14,11454104,
2023-03-13,11454104,-0.45%
2023-03-10,11506168,-27.54%
2023-03-09,15879553,1.67%
2023-03-08,15619233,-62.03%
2023-03-07,41130646,-1.86%
2023-03-06,41911608,-6.40%
2023-03-03,44775134,4.24%
2023-03-02,42952890,-1.79%
2023-03-01,43733852,1.20%
2023-02-28,43213211,3.11%
2023-02-27,41911608,-4.73%
2023-02-24,43994172,
2023-02-23,43994172,-2.87%
2023-02-22,45295775,0.58%
2023-02-21,45035455,6.79%
2023-02-17,42171929,0.62%
2023-02-16,41911608,-13.90%
2023-02-15,48679942,
2023-02-14,48679942,
2023-02-13,48679942,-4.10%
2023-02-10,50762507,-15.95%
2023-02-09,60394367,1.75%
2023-02-08,59353085,2.24%
2023-02-07,58051482,-3.04%
2023-02-06,59873726,-0.43%
2023-02-03,60134047,1.32%
2023-02-02,59353085,-2.98%
2023-02-01,61175329,11.90%
2023-01-31,54667315,4.48%
2023-01-30,52324430,-6.07%
2023-01-27,55708597,1.90%
2023-01-26,54667315,-0.47%
2023-01-25,54927636,2.43%
2023-01-24,53626033,-2.37%
2023-01-23,54927636,-2.76%
2023-01-20,56489559,2.84%
2023-01-19,54927636,8.76%
2023-01-18,50502186,-9.35%
2023-01-17,55708597,0.94%
2023-01-13,55187956,-0.93%
2023-01-12,55708597,-0.93%
2023-01-11,56229238,11.92%
2023-01-10,50241866,18.40%
2023-01-09,42432249,15.60%
2023-01-06,36705197,-4.08%
2023-01-05,38267120,-1.34%
2023-01-04,38787761,-6.29%
2023-01-03,41390967,3.92%
2022-12-30,39829044,15.04%
2022-12-29,34622633,13.68%
2022-12-28,30457504,-2.50%
2022-12-27,31238466,-4.00%
2022-12-23,32540068,-5.30%
2022-12-22,34362312,5.60%
2022-12-21,32540068,
2022-12-20,32540068,5.93%
2022-12-19,30717824,-9.23%
2022-12-16,33841671,0.78%
2022-12-15,33581350,-10.42%
2022-12-14,37486159,-3.36%
2022-12-13,38787761,-1.97%
2022-12-12,39568723,0.66%
2022-12-09,39308403,2.03%
2022-12-08,38527441,0.68%
2022-12-07,38267120,-2.65%
2022-12-06,39308403,-5.03%
2022-12-05,41390967,-7.56%
2022-12-02,44775134,-1.15%
2022-12-01,45295775,-3.33%
2022-11-30,46857699,3.45%
2022-11-29,45295775,0.58%
2022-11-28,45035455,-1.98%
2022-11-25,45946577,0.86%
2022-11-23,45556096,5.42%
2022-11-22,43213211,-2.35%
2022-11-21,44254493,-5.03%
2022-11-18,46597378,0.56%
2022-11-17,46337057,2.30%
2022-11-16,45295775,2.35%
2022-11-15,44254493,-7.10%
2022-11-14,47638660,-9.85%
2022-11-11,52845071,10.93%
