Date,Market Cap,% Change
2023-04-25,3766299680,-0.59%
2023-04-24,3788664880,2.42%
2023-04-21,3699204080,-2.99%
2023-04-20,3813266600,0.47%
2023-04-19,3795374439,-0.82%
2023-04-18,3826685720,0.59%
2023-04-17,3804320520,1.92%
2023-04-14,3732751880,-0.71%
2023-04-13,3759590119,0.48%
2023-04-12,3741697960,-0.65%
2023-04-11,3766299680,-0.41%
2023-04-10,3781955320,0.30%
2023-04-06,3770772720,0.84%
2023-04-05,3739461439,1.39%
2023-04-04,3688021479,-2.14%
2023-04-03,3768536200,-0.35%
2023-03-31,3781955320,1.68%
2023-03-30,3719332760,2.34%
2023-03-29,3634345000,2.20%
2023-03-28,3556066800,-1.61%
2023-03-27,3614216320,3.59%
2023-03-24,3488971200,-0.38%
2023-03-23,3502390320,-0.25%
2023-03-22,3511336400,
2023-03-21,3511336400,0.71%
2023-03-20,3486734680,1.63%
2023-03-17,3430821680,0.13%
2023-03-16,3426348640,-0.45%
2023-03-15,3442004280,-0.77%
2023-03-14,3468842520,-0.26%
2023-03-13,3477788600,0.13%
2023-03-10,3473315560,-5.25%
2023-03-09,3665656280,-3.13%
2023-03-08,3784191840,-0.47%
2023-03-07,3802084000,-0.58%
2023-03-06,3824449200,0.35%
2023-03-03,3811030080,0.24%
2023-03-02,3802084000,-2.02%
2023-03-01,3880362200,-0.29%
2023-02-28,3891544799,-1.75%
2023-02-27,3960876920,-18.91%
2023-02-24,4884559680,0.88%
2023-02-23,4842065800,
2023-02-22,4842065800,6.02%
2023-02-21,4566973840,0.99%
2023-02-17,4522243440,-1.70%
2023-02-16,4600521640,0.49%
2023-02-15,4578156440,0.84%
2023-02-14,4540135600,0.94%
2023-02-13,4497641720,0.90%
2023-02-10,4457384360,-0.45%
2023-02-09,4477513040,-1.14%
2023-02-08,4528953000,-0.69%
2023-02-07,4560264280,1.95%
2023-02-06,4473040000,-1.09%
2023-02-03,4522243440,-0.69%
2023-02-02,4553554720,1.24%
2023-02-01,4497641720,0.90%
2023-01-31,4457384360,1.12%
2023-01-30,4408180920,0.36%
2023-01-27,4392525280,-1.21%
2023-01-26,4446201760,2.74%
2023-01-25,4327666200,0.16%
2023-01-24,4320956640,-0.72%
2023-01-23,4352267920,-2.70%
2023-01-20,4473040000,-0.05%
2023-01-19,4475276520,
2023-01-18,4475276520,0.76%
2023-01-17,4441728720,-1.97%
2023-01-13,4531189520,-0.83%
2023-01-12,4569210360,-3.27%
2023-01-11,4723530240,1.20%
2023-01-10,4667617240,0.82%
2023-01-09,4629596400,-0.62%
2023-01-06,4658671160,-0.19%
2023-01-05,4667617240,-0.86%
2023-01-04,4707874600,-0.75%
2023-01-03,4743658920,0.09%
2022-12-30,4739185880,-0.38%
2022-12-29,4757078040,2.26%
2022-12-28,4651961600,-0.19%
2022-12-27,4660907680,0.63%
2022-12-23,4631832920,2.58%
2022-12-22,4515533880,0.40%
2022-12-21,4497641720,0.90%
2022-12-20,4457384360,0.35%
2022-12-19,4441728720,0.20%
2022-12-16,4432782640,0.92%
2022-12-15,4392525280,-1.01%
2022-12-14,4437255680,0.20%
2022-12-13,4428309600,
2022-12-12,4428309600,-0.80%
2022-12-09,4464093920,-0.80%
2022-12-08,4499878240,1.41%
2022-12-07,4437255680,-0.55%
2022-12-06,4461857400,-1.24%
2022-12-05,4517770400,1.30%
2022-12-02,4459620880,0.96%
2022-12-01,4417127000,0.05%
2022-11-30,4414890480,0.97%
2022-11-29,4372396600,0.46%
2022-11-28,4352267920,-0.97%
2022-11-25,4394761800,-0.30%
2022-11-23,4408180920,1.08%
2022-11-22,4361214000,0.67%
2022-11-21,4332139240,-2.61%
2022-11-18,4448438280,-0.55%
2022-11-17,4473040000,0.91%
2022-11-16,4432782640,2.59%
2022-11-15,4320956640,1.90%
2022-11-14,4240441920,-0.16%
2022-11-11,4247151479,-2.37%
2022-11-10,4350031400,1.89%
2022-11-09,4269516680,-0.93%
2022-11-08,4309774040,-0.26%
2022-11-07,4320956640,-0.46%
2022-11-04,4341085320,-2.32%
2022-11-03,4443965240,-3.21%
2022-11-02,4591575560,-1.25%
2022-11-01,4649725080,-0.43%
2022-10-31,4669853760,1.31%
2022-10-28,4609467720,0.44%
2022-10-27,4589339040,-0.48%
2022-10-26,4611704240,-1.15%
2022-10-25,4665380720,-0.33%
2022-10-24,4681036360,
2022-10-21,4681036360,1.31%
2022-10-20,4620650320,1.27%
2022-10-19,4562500800,-1.69%
2022-10-18,4640779000,-0.05%
2022-10-17,4643015520,0.63%
2022-10-14,4613940760,-0.43%
2022-10-13,4634069440,1.32%
2022-10-12,4573683400,0.05%
2022-10-11,4571446880,0.34%
2022-10-10,4555791240,-1.59%
2022-10-07,4629596400,1.47%
2022-10-06,4562500800,-3.09%
2022-10-05,4707874600,-0.24%
2022-10-04,4719057200,-0.19%
2022-10-03,4728003280,2.22%
2022-09-30,4625123360,-4.22%
2022-09-29,4828750080,0.56%
2022-09-28,4801873920,1.47%
2022-09-27,4732443840,-0.52%
2022-09-26,4757080320,-1.44%
2022-09-23,4826510400,-0.78%
2022-09-22,4864584960,0.42%
2022-09-21,4844427840,-0.64%
2022-09-20,4875783360,-0.37%
2022-09-19,4893700800,0.78%
2022-09-16,4855626240,0.65%
2022-09-15,4824270720,0.28%
2022-09-14,4810832640,0.23%
2022-09-13,4799634240,-2.32%
2022-09-12,4913857920,0.97%
2022-09-09,4866824640,0.93%
2022-09-08,4822031040,1.17%
2022-09-07,4766039040,0.24%
2022-09-06,4754840640,-0.79%
2022-09-02,4792915200,-0.47%
2022-09-01,4815312000,0.47%
2022-08-31,4792915200,-0.19%
2022-08-30,4801873920,-0.09%
