Date,Market Cap,% Change
2023-04-26,185664930035,0.38%
2023-04-25,184965062232,1.47%
2023-04-24,182290567413,-0.25%
2023-04-21,182740482429,0.19%
2023-04-20,182390548527,-1.91%
2023-04-19,185939878100,-1.02%
2023-04-18,187864514558,-0.11%
2023-04-17,188076974427,0.60%
2023-04-14,186952186887,-0.52%
2023-04-13,187927002755,0.58%
2023-04-12,186852205772,-0.29%
2023-04-11,187402101903,-0.03%
2023-04-10,187452092460,0.25%
2023-04-06,186977182165,0.33%
2023-04-05,186364797838,1.92%
2023-04-04,182852961183,-0.31%
2023-04-03,183415354953,1.33%
2023-03-31,181015808200,0.19%
2023-03-30,180678371938,0.53%
2023-03-29,179728551348,0.71%
2023-03-28,178453792135,-0.77%
2023-03-27,179841030102,0.95%
2023-03-24,178141351152,0.17%
2023-03-23,177841407808,-0.81%
2023-03-22,179291133971,-0.84%
2023-03-21,180803348331,-0.65%
2023-03-20,181978126429,2.22%
2023-03-17,178028872398,0.66%
2023-03-16,176854094300,-2.01%
2023-03-15,180490907348,0.99%
2023-03-14,178728740201,2.35%
2023-03-13,174629514497,0.16%
2023-03-10,174354566432,-1.12%
2023-03-09,176329193448,-1.46%
2023-03-08,178941200070,0.22%
2023-03-07,178553773250,-0.59%
2023-03-06,179616072594,1.28%
2023-03-03,177341502234,0.53%
2023-03-02,176404179284,-0.10%
2023-03-01,176579146234,-0.63%
2023-02-28,177691436136,-1.35%
2023-02-27,180128475807,-0.19%
2023-02-24,180478409708,-0.22%
2023-02-23,180878334167,-1.76%
2023-02-22,184127720396,0.16%
2023-02-21,183827777052,-1.51%
2023-02-17,186652243542,1.79%
2023-02-16,183377862035,-0.56%
2023-02-15,184402668461,0.04%
2023-02-14,184327682625,0.62%
2023-02-13,183190397445,2.00%
2023-02-10,179591077315,0.60%
2023-02-09,178528777971,-0.67%
2023-02-08,179728551348,0.57%
2023-02-07,178703744922,0.72%
2023-02-06,177428985709,-2.22%
2023-02-03,181453225577,-1.20%
2023-02-02,183652810101,-2.66%
2023-02-01,188676861115,1.11%
2023-01-31,186602252985,1.59%
2023-01-30,183690303019,0.17%
2023-01-27,183377862035,-1.32%
2023-01-26,185827399346,0.42%
2023-01-25,185052545707,1.55%
2023-01-24,182228079216,1.00%
2023-01-23,180428419151,-0.52%
2023-01-20,181365742102,-0.01%
2023-01-19,181390737380,-0.52%
2023-01-18,182340557970,-0.73%
2023-01-17,183690303019,-1.80%
2023-01-13,187064665641,-0.15%
2023-01-12,187352111345,0.75%
2023-01-11,185964873379,-0.51%
2023-01-10,186914693969,0.53%
2023-01-09,185927380461,0.13%
2023-01-06,185677427674,2.83%
2023-01-05,180565893184,3.23%
2023-01-04,174916960202,0.66%
2023-01-03,173767177383,-0.69%
2022-12-30,174966950760,0.43%
2022-12-29,174217092399,0.30%
2022-12-28,173692191547,-1.43%
2022-12-27,176204217054,0.69%
2022-12-23,174991946038,0.35%
2022-12-22,174379561711,-1.37%
2022-12-21,176804103742,0.81%
2022-12-20,175391870497,-0.90%
2022-12-19,176991568333,-0.52%
2022-12-16,177916393644,1.54%
2022-12-15,175216903546,-1.52%
2022-12-14,177916393644,1.27%
