Date,Market Cap,% Change
2023-04-26,12470221,-2.20%
2023-04-25,12750964,-7.00%
2023-04-24,13710714,-8.50%
2023-04-21,14983852,-0.69%
2023-04-20,15088314,-10.08%
2023-04-19,16779302,-1.15%
2023-04-18,16975170,-0.12%
2023-04-17,16994756,7.34%
2023-04-14,15832610,-7.12%
2023-04-13,17046988,-4.01%
2023-04-12,17758639,3.42%
2023-04-11,17171037,-9.03%
2023-04-10,18875083,22.50%
2023-04-06,15408231,-4.18%
2023-04-05,16080709,16.62%
2023-04-04,13789061,-3.87%
2023-04-03,14344018,-9.44%
2023-03-31,15839139,-9.48%
2023-03-30,17497483,-10.37%
2023-03-29,19521445,49.50%
2023-03-28,13057823,-9.71%
2023-03-27,14461539,2.45%
2023-03-24,14115506,21.12%
2023-03-23,11654107,2.82%
2023-03-22,11334190,-16.94%
2023-03-21,13645425,-2.79%
2023-03-20,14037159,-5.87%
2023-03-17,14912034,-4.79%
2023-03-16,15662858,16.68%
2023-03-15,13423442,-12.70%
2023-03-14,15375586,-5.80%
2023-03-13,16322279,-6.51%
2023-03-10,17458309,-24.78%
2023-03-09,23210280,3.77%
2023-03-08,22368051,-38.82%
2023-03-07,36561904,-26.85%
2023-03-06,49978818,48.64%
2023-03-03,33623894,-4.35%
2023-03-02,35151660,17.66%
2023-03-01,29876299,16.59%
2023-02-28,25625978,-2.61%
2023-02-27,26311513,32.13%
2023-02-24,19913180,17.40%
2023-02-23,16962112,2.89%
2023-02-22,16485501,-10.46%
2023-02-21,18411530,28.12%
2023-02-17,14370134,-4.01%
2023-02-16,14970794,-4.10%
2023-02-15,15610627,13.80%
2023-02-14,13717243,-5.49%
2023-02-13,14513770,18.24%
2023-02-10,12274353,-5.72%
2023-02-09,13018649,-6.34%
2023-02-08,13900052,-11.25%
2023-02-07,15662858,-4.04%
2023-02-06,16322279,-3.81%
2023-02-03,16968641,27.28%
2023-02-02,13332037,-0.15%
2023-02-01,13351624,-3.86%
2023-01-31,13886994,11.95%
2023-01-30,12404932,21.02%
2023-01-27,10250391,0.26%
2023-01-26,10224275,-17.14%
2023-01-25,12339642,-2.98%
2023-01-24,12718319,5.30%
2023-01-23,12078486,14.84%
2023-01-20,10518076,8.41%
2023-01-19,9701963,4.43%
2023-01-18,9290641,-5.13%
2023-01-17,9793367,13.21%
2023-01-13,8650808,-0.90%
2023-01-12,8729155,-4.50%
2023-01-11,9140476,16.67%
2023-01-10,7834694,3.72%
2023-01-09,7553951,3.49%
2023-01-06,7299323,-1.58%
2023-01-05,7416844,-3.32%
2023-01-04,7671471,5.38%
2023-01-03,7279736,-3.88%
2022-12-30,7573537,-8.95%
2022-12-29,8317833,-8.93%
2022-12-28,9133947,-3.52%
2022-12-27,9466922,8.86%
2022-12-23,8696510,-5.13%
2022-12-22,9166592,10.55%
2022-12-21,8291718,15.45%
2022-12-20,7181803,4.86%
2022-12-19,6848828,4.90%
2022-12-16,6528912,-5.66%
2022-12-15,6920646,2.91%
2022-12-14,6724779,-13.45%
2022-12-13,7769405,-1.82%
2022-12-12,7913041,6.32%
2022-12-09,7442959,-6.94%
2022-12-08,7997917,5.51%
2022-12-07,7580066,-10.69%
2022-12-06,8487585,-7.80%
2022-12-05,9205765,
2022-12-02,9205765,2.55%
2022-12-01,8977253,8.10%
2022-11-30,8304776,-18.98%
2022-11-29,10250391,-2.48%
2022-11-28,10511547,-30.90%
2022-11-25,15212364,1.22%
2022-11-23,15029554,-5.27%
2022-11-22,15865255,2.75%
2022-11-21,15440875,-2.27%
2022-11-18,15799966,-8.82%
2022-11-17,17327731,0.15%
2022-11-16,17301615,-11.67%
2022-11-15,19586734,7.14%
2022-11-14,18280952,5.78%
2022-11-11,17282029,12.30%
2022-11-10,15388644,2.48%
2022-11-09,15016496,-6.50%
2022-11-08,16061122,-5.49%
2022-11-07,16994756,3.42%
2022-11-04,16433270,-1.60%
2022-11-03,16700955,-8.64%
2022-11-02,18280952,-3.98%
2022-11-01,19038306,-0.75%
2022-10-31,19181942,-2.00%
2022-10-28,19573611,0.81%
2022-10-27,19416983,-2.52%
2022-10-26,19919709,5.13%
2022-10-25,18946901,2.65%
2022-10-24,18457233,1.87%
2022-10-21,18117729,-2.36%
2022-10-20,18555166,-0.63%
2022-10-19,18672687,2.77%
2022-10-18,18169960,-3.50%
2022-10-17,18829381,1.76%
2022-10-14,18502935,-1.90%
2022-10-13,18862025,2.05%
2022-10-12,18483348,-3.87%
2022-10-11,19227644,0.58%
2022-10-10,19116653,-2.27%
2022-10-07,19560619,-2.31%
2022-10-06,20024171,3.54%
2022-10-05,19338636,-15.64%
2022-10-04,22923008,3.26%
2022-10-03,22198299,
2022-09-30,22198299,0.12%
2022-09-29,22172183,-8.22%
2022-09-28,24156972,10.65%
2022-09-27,21832680,-11.37%
2022-09-26,24633583,-6.19%
2022-09-23,26259282,0.52%
2022-09-22,26122175,-1.40%
2022-09-21,26494323,-11.78%
2022-09-20,30032993,14.40%
2022-09-19,26252753,33.28%
2022-09-16,19697726,-29.36%
2022-09-15,27884981,-8.15%
2022-09-14,30359438,14.03%
2022-09-13,26624901,1.47%
2022-09-12,26239695,1.11%
2022-09-09,25952423,-16.42%
2022-09-08,31051503,-26.83%
2022-09-07,42437925,-5.80%
2022-09-06,45049490,-2.80%
2022-09-02,46348743,2.14%
2022-09-01,45375935,-1.36%
