Date,Market Cap,% Change
2023-04-26,112748598,0.45%
2023-04-25,112244130,-2.41%
2023-04-24,115018703,2.36%
2023-04-21,112370247,-1.00%
2023-04-20,113505300,-0.22%
2023-04-19,113757534,0.33%
2023-04-18,113379183,-0.55%
2023-04-17,114009767,-0.66%
2023-04-14,114766470,1.11%
2023-04-13,113505300,-0.22%
2023-04-12,113757534,-1.10%
2023-04-11,115018703,0.22%
2023-04-10,114766470,3.76%
2023-04-06,110604609,5.92%
2023-04-05,104424875,-1.55%
2023-04-04,106064397,-0.71%
2023-04-03,106821099,-1.51%
2023-03-31,108460620,9.41%
2023-03-30,99127962,4.80%
2023-03-29,94587750,15.38%
2023-03-28,81976050,-6.47%
2023-03-27,87651315,6.92%
2023-03-24,81976050,-7.93%
2023-03-23,89038602,2.47%
2023-03-22,86894613,-3.77%
2023-03-21,90299772,10.49%
2023-03-20,81723816,-1.22%
2023-03-17,82732752,-7.99%
2023-03-16,89921421,1.86%
2023-03-15,88281900,-3.45%
2023-03-14,91434825,1.97%
2023-03-13,89669187,0.42%
2023-03-10,89290836,-3.80%
2023-03-09,92822112,-7.77%
2023-03-08,100641366,-2.33%
2023-03-07,103037589,-1.09%
2023-03-06,104172642,-5.49%
2023-03-03,110226258,-0.34%
2023-03-02,110604609,-5.70%
2023-03-01,117288810,-1.27%
2023-02-28,118802214,0.86%
2023-02-27,117793278,3.43%
2023-02-24,113883650,-4.95%
2023-02-23,119811150,2.48%
2023-02-22,116910459,9.06%
2023-02-21,107199450,-3.19%
2023-02-17,110730725,2.33%
2023-02-16,108208386,-5.71%
2023-02-15,114766470,-0.76%
2023-02-14,115649289,0.77%
2023-02-13,114766470,1.11%
2023-02-10,113505300,0.56%
2023-02-09,112874714,
2023-02-08,112874714,-2.93%
2023-02-07,116279874,2.44%
2023-02-06,113505300,-5.26%
2023-02-03,119811150,-2.56%
2023-02-02,122964075,7.50%
2023-02-01,114388119,-1.84%
2023-01-31,116532108,1.54%
2023-01-30,114766470,-3.91%
2023-01-27,119432799,6.64%
2023-01-26,111991896,-0.78%
2023-01-25,112874714,-2.40%
2023-01-24,115649289,-2.45%
2023-01-23,118549980,8.55%
2023-01-20,109217322,1.88%
2023-01-19,107199450,-5.66%
2023-01-18,113631417,-9.36%
2023-01-17,125360298,1.22%
2023-01-13,123846894,-2.58%
2023-01-12,127125936,3.49%
2023-01-11,122837958,0.10%
2023-01-10,122711841,1.35%
2023-01-09,121072320,0.31%
2023-01-06,120693969,2.90%
2023-01-05,117288810,0.54%
2023-01-04,116658225,5.71%
2023-01-03,110352375,17.80%
2022-12-30,93674947,3.16%
2022-12-29,90802249,3.86%
2022-12-28,87429951,-3.98%
2022-12-27,91052048,5.35%
2022-12-23,86430751,4.06%
2022-12-22,83058453,0.15%
2022-12-21,82933553,4.57%
2022-12-20,79311455,2.92%
2022-12-19,77063256,-2.68%
2022-12-16,79186555,-2.46%
2022-12-15,81184954,-3.56%
2022-12-14,84182552,-5.20%
2022-12-13,88803850,1.57%
2022-12-12,87429951,-6.04%
2022-12-09,93050447,-1.32%
2022-12-08,94299447,0.53%
2022-12-07,93799847,-6.12%
2022-12-06,99919944,-2.68%
2022-12-05,102667742,-7.74%
2022-12-02,111285837,-1.00%
2022-12-01,112409937,4.65%
2022-11-30,107413939,1.06%
2022-11-29,106289840,-4.81%
2022-11-28,111660537,1.13%
2022-11-25,110411538,4.00%
2022-11-23,106164940,3.03%
2022-11-22,103042442,2.87%
2022-11-21,100169743,-3.14%
2022-11-18,103417142,-0.24%
2022-11-17,103666941,-2.47%
2022-11-16,106289840,-5.34%
2022-11-15,112285037,-0.66%
2022-11-14,113034436,3.78%
2022-11-11,108912738,0.23%
2022-11-10,108662939,4.82%
2022-11-09,103666941,-6.43%
2022-11-08,110786237,9.64%
2022-11-07,101044043,1.51%
2022-11-04,99545244,-4.09%
2022-11-03,103791841,-4.15%
2022-11-02,108288239,-1.59%
2022-11-01,110036838,1.15%
2022-10-31,108787839,7.93%
2022-10-28,100794243,7.60%
2022-10-27,93674947,-2.34%
2022-10-26,95923146,4.49%
2022-10-25,91801448,6.37%
2022-10-24,86305851,0.44%
2022-10-21,85931151,-0.43%
2022-10-20,86305851,-3.22%
2022-10-19,89178550,-6.67%
2022-10-18,95548446,-0.39%
2022-10-17,95923146,7.11%
2022-10-14,89553249,-1.65%
2022-10-13,91052048,3.11%
2022-10-12,88304250,-1.94%
2022-10-11,90052849,0.70%
2022-10-10,89428349,-1.78%
2022-10-07,91052048,-6.90%
2022-10-06,97796645,-5.43%
2022-10-05,103417142,-4.39%
2022-10-04,108163339,4.84%
2022-10-03,103167342,5.76%
2022-09-30,97546845,4.27%
2022-09-29,93550047,-4.34%
2022-09-28,97796645,0.51%
2022-09-27,97297045,-1.27%
2022-09-26,98546044,-1.37%
2022-09-23,99919944,-0.25%
2022-09-22,100169743,-6.53%
2022-09-21,107164139,-4.45%
2022-09-20,112160137,-0.55%
2022-09-19,112784636,0.56%
2022-09-16,112160137,-8.09%
2022-09-15,122027231,-2.01%
2022-09-14,124525230,-3.39%
2022-09-13,128896727,-6.18%
2022-09-12,137389923,-1.43%
2022-09-09,139388321,-1.41%
2022-09-08,141386720,1.07%
2022-09-07,139887921,14.75%
2022-09-06,121902331,-7.40%
2022-09-02,131644526,3.33%
2022-09-01,127397928,-6.42%
2022-08-31,136140923,-3.88%
2022-08-30,141636520,2.90%
2022-08-29,137639722,-2.99%
2022-08-26,141886320,-0.61%
2022-08-25,142760619,-2.72%
2022-08-24,146757417,2.17%
2022-08-23,143634919,-2.46%
2022-08-22,147257017,2.25%
2022-08-19,144009619,-1.54%
2022-08-18,146257818,-2.50%
2022-08-17,150004815,-7.04%
2022-08-16,161370709,-3.29%
2022-08-15,166866306,3.89%
2022-08-12,160621309,5.15%
2022-08-11,152752614,-0.57%
2022-08-10,153626913,2.16%
2022-08-09,150379515,-6.96%
2022-08-08,161620509,4.52%
2022-08-05,154626113,8.22%
2022-08-04,142885519,-2.64%
2022-08-03,146757417,0.09%
2022-08-02,146632517,-0.68%
2022-08-01,147631717,-2.64%
2022-07-29,151628515,5.47%
2022-07-28,143759819,
2022-07-27,143759819,0.26%
2022-07-26,143385119,-0.95%
2022-07-25,144759018,-5.77%
2022-07-22,153626913,-6.18%
2022-07-21,163743808,-5.14%
2022-07-20,172611703,3.91%
2022-07-19,166116906,6.40%
2022-07-18,156124912,3.05%
2022-07-15,151503615,5.30%
2022-07-14,143884719,-2.29%
2022-07-13,147257017,2.08%
2022-07-12,144259419,3.49%
2022-07-11,139388321,-3.96%
2022-07-08,145133718,4.78%
2022-07-07,138514022,-0.63%
2022-07-06,139388321,-0.98%
2022-07-05,140762221,2.92%
2022-07-01,136765423,1.08%
2022-06-30,135303583,-3.29%
2022-06-29,139906570,-5.02%
2022-06-28,147295575,-8.57%
2022-06-27,161104535,1.29%
2022-06-24,159045304,-0.45%
2022-06-23,159772092,-1.79%
2022-06-22,162679241,-1.40%
2022-06-21,164980735,-2.01%
2022-06-17,168372409,2.51%
2022-06-16,164253947,-7.06%
2022-06-15,176730464,0.83%
2022-06-14,175276889,-1.96%
2022-06-13,178789695,-6.52%
2022-06-10,191266212,-3.31%
2022-06-09,197807298,-2.80%
2022-06-08,203500466,-2.47%
2022-06-07,208648543,11.71%
2022-06-06,186784356,-8.65%
2022-06-03,204469516,-1.95%
2022-06-02,208527412,-0.26%
2022-06-01,209072502,3.17%
2022-05-31,202652547,-5.21%
2022-05-27,213796620,5.63%
2022-05-26,202410285,9.22%
2022-05-25,185330781,6.69%
2022-05-24,173702183,-1.58%
2022-05-23,176488202,-0.07%
2022-05-20,176609333,-2.08%
2022-05-19,180364401,-1.06%
2022-05-18,182302501,7.04%
2022-05-17,170310509,5.40%
2022-05-16,161589060,-2.91%
2022-05-13,166434310,4.73%
2022-05-12,158924173,2.02%
2022-05-11,155774761,0.23%
2022-05-10,155411368,2.31%
2022-05-09,151898562,-4.27%
2022-05-06,158681911,3.72%
2022-05-05,152988743,0.32%
2022-05-04,152504218,2.69%
2022-05-03,148506887,4.61%
2022-05-02,141965801,4.27%
