Date,Market Cap,% Change
2023-04-25,9761414616,-4.18%
2023-04-24,10187192231,-3.89%
2023-04-21,10600011396,-0.21%
2023-04-20,10622225880,-2.68%
2023-04-19,10914716589,-1.95%
2023-04-18,11131307811,-0.17%
2023-04-17,11149819881,1.02%
2023-04-14,11036896253,-0.38%
2023-04-13,11079474014,2.96%
2023-04-12,10761066407,-1.54%
2023-04-11,10929526246,-1.01%
2023-04-10,11040598667,-1.84%
2023-04-06,11247933853,2.43%
2023-04-05,10981360042,-7.59%
2023-04-04,11882897861,-0.09%
2023-04-03,11894005103,-3.57%
2023-03-31,12334592374,5.14%
2023-03-30,11731098885,0.72%
2023-03-29,11647794569,1.34%
2023-03-28,11494144387,-0.40%
2023-03-27,11540424562,1.40%
2023-03-24,11381220758,-1.44%
2023-03-23,11547829390,-0.49%
2023-03-22,11605216808,-4.41%
2023-03-21,12140215637,4.79%
2023-03-20,11584853531,-0.45%
2023-03-17,11636687327,-2.06%
2023-03-16,11881046654,1.23%
2023-03-15,11736652506,0.65%
2023-03-14,11660753018,-0.35%
2023-03-13,11701479573,-1.79%
2023-03-10,11914368380,-6.59%
2023-03-09,12754816367,-4.46%
2023-03-08,13350905028,-2.14%
2023-03-07,13643395737,-0.24%
2023-03-06,13676717463,
2023-03-03,13676717463,3.13%
2023-03-02,13262047091,8.97%
2023-03-01,12169834949,-2.19%
2023-02-28,12441962381,5.39%
2023-02-27,11805147166,-0.51%
2023-02-24,11866236998,-1.22%
2023-02-23,12012482352,-1.58%
2023-02-22,12205007882,-0.84%
2023-02-21,12308675475,-5.91%
2023-02-17,13082480010,-6.34%
2023-02-16,13967356965,14.23%
2023-02-15,12227222367,6.36%
2023-02-14,11495995594,1.27%
2023-02-13,11351601446,2.08%
2023-02-10,11120200569,-2.02%
2023-02-09,11349750239,-1.83%
2023-02-08,11560787839,-1.72%
2023-02-07,11762569405,3.25%
2023-02-06,11392328001,-1.54%
2023-02-03,11570043875,-4.51%
2023-02-02,12116149945,5.07%
2023-02-01,11531168527,4.09%
2023-01-31,11077622807,3.21%
2023-01-30,10733298301,-3.99%
2023-01-27,11179439193,1.63%
2023-01-26,10999872112,5.06%
2023-01-25,10470426905,0.27%
2023-01-24,10442658799,0.09%
2023-01-23,10433402764,3.87%
2023-01-20,10044649290,4.15%
2023-01-19,9644788574,-2.82%
2023-01-18,9924320834,-2.99%
2023-01-17,10229769992,2.30%
2023-01-13,10000220322,2.47%
2023-01-12,9759563409,2.31%
2023-01-11,9539269774,2.20%
2023-01-10,9333785794,-0.12%
2023-01-09,9344893036,0.72%
2023-01-06,9278249584,-0.14%
2023-01-05,9291208033,-3.70%
2023-01-04,9648490988,3.37%
2023-01-03,9333785794,4.18%
2022-12-30,8959388100,1.77%
2022-12-29,8803843168,6.23%
2022-12-28,8287799981,1.57%
2022-12-27,8159704154,-0.36%
