Date,Market Cap,% Change
2022-10-28,41179146900,
2022-10-27,41179146900,0.66%
2022-10-26,40910753950,1.08%
2022-10-25,40473656860,2.45%
2022-10-24,39507442240,3.27%
2022-10-21,38257497930,-4.86%
2022-10-20,40212932280,1.18%
2022-10-19,39745161710,0.10%
2022-10-18,39706819860,2.05%
2022-10-17,38909309380,0.57%
2022-10-14,38686926650,0.22%
2022-10-13,38602574580,0.80%
2022-10-12,38295839780,-0.26%
2022-10-11,38395528590,-0.58%
2022-10-10,38617911320,2.40%
2022-10-07,37713043660,-0.43%
2022-10-06,37874079430,-3.72%
2022-10-05,39338738100,-1.35%
2022-10-04,39875524000,22.24%
2022-10-03,32621245980,-2.97%
2022-09-30,33618134080,2.57%
2022-09-29,32774613380,-1.18%
2022-09-28,33165700250,2.76%
2022-09-27,32276169330,1.37%
2022-09-26,31839072240,-0.14%
2022-09-23,31885082460,0.43%
2022-09-22,31747051800,0.32%
2022-09-21,31647362990,-0.98%
2022-09-20,31961766160,0.05%
2022-09-19,31946429419,0.51%
2022-09-16,31785393650,-1.64%
2022-09-15,32314511180,0.57%
2022-09-14,32130470300,0.38%
2022-09-13,32007776380,0.80%
2022-09-12,31754720169,-1.85%
2022-09-09,32352853030,0.81%
2022-09-08,32092128450,1.58%
2022-09-07,31593684400,6.60%
2022-09-06,29638250050,0.05%
2022-09-02,29622913310,0.03%
2022-09-01,29615244939,-0.34%
2022-08-31,29714933750,-1.45%
2022-08-30,30152030840,-1.80%
2022-08-29,30704153480,-1.04%
2022-08-26,31026225020,-1.44%
2022-08-25,31478658849,0.64%
2022-08-24,31279281230,2.33%
2022-08-23,30566122820,-7.32%
2022-08-22,32981659370,-2.23%
2022-08-19,33733159630,0.30%
2022-08-18,33633470820,-0.30%
2022-08-17,33733159630,-0.92%
2022-08-16,34047562800,-0.22%
2022-08-15,34124246500,0.54%
2022-08-12,33940205620,0.73%
2022-08-11,33694817780,-1.10%
2022-08-10,34070567910,3.74%
2022-08-09,32843628710,-0.26%
2022-08-08,32927980780,0.99%
2022-08-05,32605909240,3.56%
2022-08-04,31486327220,0.15%
2022-08-03,31440317000,0.05%
2022-08-02,31424980259,0.22%
2022-08-01,31355964930,-1.73%
2022-07-29,31908087570,1.76%
2022-07-28,31355964930,2.61%
2022-07-27,30558454450,1.30%
2022-07-26,30167367580,0.25%
2022-07-25,30090683880,-1.51%
2022-07-22,30550786080,0.81%
2022-07-21,30305398240,-0.20%
2022-07-20,30366745200,0.28%
2022-07-19,30282393130,2.81%
2022-07-18,29454209169,1.78%
2022-07-15,28940428380,4.00%
2022-07-14,27828514730,-1.25%
2022-07-13,28181259750,7.90%
2022-07-12,26118468220,4.32%
2022-07-11,25037228050,-11.30%
2022-07-08,28227269970,-5.10%
2022-07-07,29745607230,1.52%
2022-07-06,29300841770,-0.44%
2022-07-05,29431204060,0.39%
2022-07-01,29316178509,2.25%
2022-06-30,28672035430,-1.08%
2022-06-29,28986438599,-2.55%
2022-06-28,29745607230,-1.02%
2022-06-27,30052342030,-0.56%
2022-06-24,30221046169,1.89%
2022-06-23,29661255160,0.39%
2022-06-22,29546229610,-0.98%
2022-06-21,29837627669,2.99%
2022-06-17,28971101860,1.12%
2022-06-16,28649030320,-1.66%
2022-06-15,29132137630,2.07%
2022-06-14,28541673140,0.51%
2022-06-13,28395974110,-5.00%
2022-06-10,29891306259,-1.39%
2022-06-09,30313066610,-2.25%
2022-06-08,31010888280,0.77%
2022-06-07,30773168810,1.44%
2022-06-06,30336071720,-1.49%
2022-06-03,30796173919,0.63%
2022-06-02,30604464669,1.55%
2022-06-01,30136694099,-0.76%
2022-05-31,30366745200,-1.42%
2022-05-27,30803842290,1.64%
2022-05-26,30305398240,6.35%
2022-05-25,28495662919,3.91%
2022-05-24,27422091120,-5.55%
2022-05-23,29032448820,-1.12%
2022-05-20,29362188730,2.68%
2022-05-19,28595351730,1.19%
2022-05-18,28257943450,-3.84%
2022-05-17,29385193840,2.49%
2022-05-16,28672035430,-8.18%
2022-05-13,31225602640,-9.67%
2022-05-12,34569011960,-2.19%
2022-05-11,35343517330,-2.48%
2022-05-10,36240716620,-1.46%
2022-05-09,36777502520,-3.69%
2022-05-06,38188482600,-1.11%
2022-05-05,38617911320,2.65%
2022-05-04,37621023220,0.39%
2022-05-03,37475324190,-0.55%
2022-05-02,37682370180,0.24%
2022-04-29,37590349740,-0.18%
2022-04-28,37659365070,0.97%
2022-04-27,37298951680,-2.09%
2022-04-26,38096462160,-3.91%
2022-04-25,39645472900,5.66%
2022-04-22,37521334410,3.93%
2022-04-21,36102685960,0.77%
2022-04-20,35826624640,1.21%
2022-04-19,35397195920,-4.73%
2022-04-18,37153252650,7.48%
2022-04-14,34569011960,-1.68%
2022-04-13,35159476450,3.08%
2022-04-12,34108909759,-5.38%
2022-04-11,36049007370,1.69%
2022-04-08,35450874510,-3.75%
2022-04-07,36831181110,-5.40%
2022-04-06,38932314490,-0.41%
2022-04-05,39093350260,2.02%
2022-04-04,38318844890,27.12%
2022-04-01,30144362470,1.60%
2022-03-31,29668923530,-2.34%
2022-03-30,30378543000,-4.15%
2022-03-29,31694946530,4.01%
2022-03-28,30472015439,1.35%
2022-03-25,30066968200,-0.57%
2022-03-24,30238334340,2.16%
2022-03-23,29599606000,-1.12%
2022-03-22,29934548910,2.64%
2022-03-21,29163401280,-0.87%
2022-03-18,29420450490,1.26%
2022-03-17,29054350099,5.46%
2022-03-16,27551001689,4.12%
2022-03-15,26460489890,2.85%
2022-03-14,25728289110,0.09%
2022-03-11,25704921000,-3.28%
2022-03-10,26577330439,-0.73%
2022-03-09,26772064689,5.17%
2022-03-08,25455661160,0.80%
2022-03-07,25253137540,-2.91%
2022-03-04,26008706430,-0.30%
2022-03-03,26086600130,-3.26%
2022-03-02,26966798939,-2.64%
2022-03-01,27698999720,0.03%
2022-02-28,27691210349,0.74%
2022-02-25,27488686730,0.89%
2022-02-24,27247216259,6.78%
2022-02-23,25517976120,-0.52%
2022-02-22,25650395410,-4.05%
2022-02-18,26733117840,-3.13%
2022-02-17,27597737910,-2.24%
2022-02-16,28228676880,-2.00%
2022-02-15,28805090259,3.61%
2022-02-14,27800261530,-0.42%
2022-02-11,27917102080,-3.34%
2022-02-10,28882983960,-1.98%
2022-02-09,29467186710,5.14%
2022-02-08,28026153259,-0.17%
2022-02-07,28072889480,-2.44%
2022-02-04,28773932780,7.13%
2022-02-03,26857747759,-5.56%
2022-02-02,28438989870,-4.22%
2022-02-01,29693078439,1.63%
2022-01-31,29217926870,6.35%
2022-01-28,27473107990,4.23%
2022-01-27,26359228080,0.65%
2022-01-26,26187861939,-1.61%
2022-01-25,26616277290,-2.54%
2022-01-24,27309531220,0.69%
2022-01-21,27122586340,-6.60%
2022-01-20,29038771360,-0.19%
2022-01-19,29093296950,0.13%
2022-01-18,29054350099,-2.97%
2022-01-14,29942338280,-0.67%
2022-01-13,30144861900,-3.85%
2022-01-12,31352214250,-1.01%
2022-01-11,31671578419,1.73%
2022-01-10,31134111890,0.76%
2022-01-07,30900430790,0.20%
2022-01-06,30838115830,0.23%
2022-01-05,30768011500,-3.30%
2022-01-04,31819576450,-4.24%
2022-01-03,33229452419,-1.30%
2021-12-31,33665657140,-5.27%
2021-12-30,35539990200,3.98%
2021-12-29,34181061200,-1.54%
2021-12-28,34716639100,-2.03%
2021-12-27,35436072100,0.38%
2021-12-23,35300179200,0.59%
2021-12-22,35092343000,-1.04%
2021-12-21,35460053200,3.21%
2021-12-20,34356922599,-0.21%
2021-12-17,34428865900,-0.14%
2021-12-16,34476828100,-2.13%
2021-12-15,35228235900,-0.63%
2021-12-14,35452059500,-0.56%
2021-12-13,35651902000,-2.11%
2021-12-10,36419297200,-1.94%
2021-12-09,37138730200,1.62%
2021-12-08,36547196400,2.83%
2021-12-07,35539990200,-0.02%
2021-12-06,35547983900,5.70%
2021-12-03,33629495900,-1.36%
2021-12-02,34093130500,-0.40%
2021-12-01,34229023400,-2.55%
2021-11-30,35124317800,-4.02%
2021-11-29,36595158600,-2.74%
2021-11-26,37626345900,-0.95%
2021-11-24,37986062400,0.81%
2021-11-23,37682301800,-0.36%
2021-11-22,37818194700,-2.25%
2021-11-19,38689508000,-0.41%
2021-11-18,38849382000,-3.97%
2021-11-17,40456115700,-2.88%
2021-11-16,41655170700,-1.59%
2021-11-15,42326641500,1.34%
2021-11-12,41767082500,0.52%
2021-11-11,41551252600,-0.67%
2021-11-10,41831032100,-2.55%
2021-11-09,42926169000,-0.70%
2021-11-08,43229929600,1.75%
2021-11-05,42486515500,-0.99%
2021-11-04,42910181600,-1.56%
2021-11-03,43589646100,1.00%
2021-11-02,43157986300,-2.03%
2021-11-01,44053280700,2.93%
2021-10-29,42798269800,-1.38%
2021-10-28,43397797300,-0.95%
2021-10-27,43813469700,-10.78%
2021-10-26,49105299100,-1.09%
2021-10-25,49648870700,-0.21%
2021-10-22,49752788800,-4.83%
2021-10-21,52278798000,-0.61%
2021-10-20,52598546000,-0.47%
2021-10-19,52846350700,1.96%
2021-10-18,51831150800,3.30%
2021-10-15,50176454900,-0.63%
2021-10-14,50496202900,1.56%
2021-10-13,49720814000,1.22%
2021-10-12,49121286500,-1.05%
2021-10-11,49640877000,-2.48%
2021-10-08,50903881600,-0.45%
2021-10-07,51135698900,4.37%
2021-10-06,48993387300,2.39%
2021-10-05,47850288200,2.52%
2021-10-04,46675214300,-5.79%
2021-10-01,49544952600,2.63%
2021-09-30,48273954300,0.71%
2021-09-29,47934958950,-3.81%
2021-09-28,49834163250,-4.47%
2021-09-27,52164279450,-2.75%
2021-09-24,53640551700,0.79%
2021-09-23,53217619650,3.80%
2021-09-22,51270536250,2.34%
2021-09-21,50097498300,3.00%
2021-09-20,48637185750,-2.43%
2021-09-17,49850122950,0.29%
2021-09-16,49706485650,0.73%
2021-09-15,49347392400,2.74%
2021-09-14,48030717150,0.89%
2021-09-13,47607785100,-3.09%
2021-09-10,49123956600,-1.44%
2021-09-09,49842143100,0.31%
2021-09-08,49690525950,-4.17%
2021-09-07,51853065300,0.49%
2021-09-03,51597710100,0.09%
2021-09-02,51549830999,-1.45%
2021-09-01,52307916750,1.63%
2021-08-31,51470032500,-0.31%
2021-08-30,51629629500,2.00%
2021-08-27,50616188550,1.31%
2021-08-26,49961840850,-2.43%
2021-08-25,51206697450,0.30%
2021-08-24,51055080300,-0.23%
2021-08-23,51174778050,2.58%
2021-08-20,49890022200,0.76%
2021-08-19,49514969250,-0.11%
2021-08-18,49570828200,-1.21%
2021-08-17,50177296800,-1.41%
2021-08-16,50895483300,-1.60%
2021-08-13,51725387699,-0.20%
2021-08-12,51829125750,-0.78%
2021-08-11,52236098099,-0.33%
2021-08-10,52411654800,-1.98%
2021-08-09,53472974850,-0.53%
2021-08-06,53760249450,-2.76%
2021-08-05,55284400800,0.84%
2021-08-04,54821569500,0.10%
2021-08-03,54765710550,-0.72%
2021-08-02,55164703050,-0.89%
2021-07-30,55659453750,-0.88%
2021-07-29,56154204450,0.59%
2021-07-28,55827030599,2.39%
2021-07-27,54526315050,-0.52%
2021-07-26,54813589650,-4.18%
2021-07-23,57207544650,3.05%
2021-07-22,55515816449,0.04%
2021-07-21,55491876900,2.36%
2021-07-20,54215100900,2.91%
2021-07-19,52682969700,-0.59%
2021-07-16,52994183850,-2.44%
2021-07-15,54318838949,-3.13%
2021-07-14,56074405950,0.96%
2021-07-13,55539755999,-0.37%
2021-07-12,55747232100,1.29%
2021-07-09,55037025450,3.20%
2021-07-08,53329337550,-2.81%
2021-07-07,54869448600,-2.07%
2021-07-06,56026526849,1.46%
2021-07-02,55220562000,1.60%
2021-07-01,54350758350,-1.02%
2021-06-30,54909347850,-0.09%
2021-06-29,54956568000,1.04%
2021-06-28,54391072880,0.53%
2021-06-25,54104342960,-0.47%
2021-06-24,54359214000,2.65%
2021-06-23,52957423279,4.25%
2021-06-22,50798984160,2.94%
2021-06-21,49349405120,1.82%
2021-06-18,48465321200,0.23%
2021-06-17,48353815120,1.30%
2021-06-16,47732566960,-0.50%
2021-06-15,47971508560,-0.99%
2021-06-14,48449391760,0.55%
2021-06-11,48186556000,0.33%
2021-06-10,48027261600,0.99%
2021-06-09,47557343120,1.53%
2021-06-08,46840518320,-1.38%
2021-06-07,47493625360,1.07%
2021-06-04,46991848000,3.49%
2021-06-03,45406868720,-0.26%
2021-06-02,45526339520,-0.49%
2021-06-01,45749351680,-0.97%
2021-05-28,46195376000,-0.14%
2021-05-27,46259093760,0.40%
2021-05-26,46075905200,1.49%
2021-05-25,45398904000,-0.11%
