Date,Market Cap,% Change
2023-04-26,220100000,0.35%
2023-04-25,219325000,-4.07%
2023-04-24,228625000,1.03%
2023-04-21,226300000,-0.68%
2023-04-20,227850000,-0.68%
2023-04-19,229400000,0.34%
2023-04-18,228625000,-0.67%
2023-04-17,230175000,1.37%
2023-04-14,227075000,-0.68%
2023-04-13,228625000,-1.01%
2023-04-12,230950000,
2023-04-11,230950000,-1.65%
2023-04-10,234824999,3.41%
2023-04-06,227075000,1.03%
2023-04-05,224750000,-0.68%
2023-04-04,226300000,-2.67%
2023-04-03,232500000,1.01%
2023-03-31,230175000,2.06%
2023-03-30,225525000,1.04%
2023-03-29,223200000,-2.70%
2023-03-28,229400000,-0.34%
2023-03-27,230175000,-1.00%
2023-03-24,232500000,1.35%
2023-03-23,229400000,-1.00%
2023-03-22,231725000,-1.97%
2023-03-21,236375000,-0.65%
2023-03-20,237925000,1.99%
2023-03-17,233274999,-4.14%
2023-03-16,243350000,7.17%
2023-03-15,227075000,-1.35%
2023-03-14,230175000,0.34%
2023-03-13,229400000,-5.43%
2023-03-10,242575000,-9.01%
2023-03-09,266600000,0.58%
2023-03-08,265050000,5.88%
2023-03-07,250325000,-3.00%
2023-03-06,258075000,-2.63%
2023-03-03,265050000,2.70%
2023-03-02,258075000,12.50%
2023-03-01,229400000,
2023-02-28,229400000,-1.33%
2023-02-27,232500000,4.53%
2023-02-24,222425000,-2.05%
2023-02-23,227075000,0.69%
2023-02-22,225525000,-2.02%
2023-02-21,230175000,-1.00%
2023-02-17,232500000,1.69%
2023-02-16,228625000,-6.35%
2023-02-15,244125000,5.35%
2023-02-14,231725000,4.18%
2023-02-13,222425000,-2.05%
2023-02-10,227075000,-3.93%
2023-02-09,236375000,-2.87%
2023-02-08,243350000,-0.32%
2023-02-07,244125000,3.28%
2023-02-06,236375000,-4.98%
2023-02-03,248775000,0.31%
2023-02-02,248000000,-0.93%
2023-02-01,250325000,2.54%
2023-01-31,244125000,3.96%
2023-01-30,234824999,-7.34%
2023-01-27,253425000,9.73%
2023-01-26,230950000,1.36%
2023-01-25,227850000,7.30%
2023-01-24,212350000,2.62%
2023-01-23,206925000,3.09%
2023-01-20,200725000,5.71%
2023-01-19,189875000,-3.54%
2023-01-18,196850000,-2.68%
2023-01-17,202275000,0.38%
2023-01-13,201500000,2.77%
2023-01-12,196074999,
2023-01-11,196074999,5.42%
2023-01-10,186000000,2.56%
2023-01-09,181350000,-0.43%
2023-01-06,182125000,5.38%
2023-01-05,172825000,-9.35%
2023-01-04,190650000,14.42%
2023-01-03,166625000,14.97%
2022-12-30,144925000,48.41%
2022-12-29,97650000,-4.55%
2022-12-28,102300000,-7.69%
2022-12-27,110825000,0.70%
2022-12-23,110050000,1.43%
2022-12-22,108500000,-0.71%
2022-12-21,109275000,5.22%
2022-12-20,103850000,-2.19%
2022-12-19,106175000,-6.80%
2022-12-16,113925000,2.08%
2022-12-15,111600000,-5.88%
2022-12-14,118575000,-1.92%
2022-12-13,120900000,4.00%
2022-12-12,116250000,11.11%
2022-12-09,104625000,-1.46%
2022-12-08,106175000,-7.43%
2022-12-07,114700000,2.07%
2022-12-06,112375000,-0.68%
2022-12-05,113150000,2.82%
2022-12-02,110050000,17.36%
2022-12-01,93775000,0.83%
2022-11-30,93000000,6.19%
2022-11-29,87574999,-5.83%
2022-11-28,93000000,0.84%
2022-11-25,92225000,8.18%
2022-11-23,85250000,7.84%
2022-11-22,79050000,-3.77%
2022-11-21,82150000,1.92%
2022-11-18,80600000,
2022-11-17,80600000,
2022-11-16,80600000,4.00%
2022-11-15,77500000,5.26%
2022-11-14,73625000,6.15%
2022-11-11,69362500,11.26%
2022-11-10,62341000,-0.43%
2022-11-09,62612249,-1.46%
2022-11-08,63542250,-0.56%
2022-11-07,63898750,3.06%
2022-11-04,62000000,1.27%
2022-11-03,61225000,-1.25%
2022-11-02,62000000,5.67%
2022-11-01,58675250,2.62%
2022-10-31,57179500,-4.76%
2022-10-28,60039250,0.61%
2022-10-27,59675000,-3.75%
2022-10-26,62000000,-2.44%
2022-10-25,63549999,1.23%
2022-10-24,62775000,4.69%
2022-10-21,59961750,-0.68%
2022-10-20,60372500,5.27%
2022-10-19,57350000,-6.03%
2022-10-18,61031250,6.56%
2022-10-17,57272500,-1.47%
2022-10-14,58125000,1.17%
2022-10-13,57450750,9.87%
2022-10-12,52289250,0.70%
2022-10-11,51925000,-2.91%
2022-10-10,53482750,-5.47%
2022-10-07,56575000,-19.78%
2022-10-06,70525000,12.92%
2022-10-05,62457249,1.38%
2022-10-04,61604750,5.59%
2022-10-03,58342000,7.51%
2022-09-30,54265500,-3.53%
2022-09-29,56252240,-9.16%
2022-09-28,61924800,-2.68%
2022-09-27,63631999,
2022-09-26,63631999,-5.75%
2022-09-23,67512000,-11.69%
2022-09-22,76451520,-9.61%
2022-09-21,84584000,-12.80%
2022-09-20,97000000,-4.58%
2022-09-19,101656000,-6.43%
2022-09-16,108640000,-2.10%
2022-09-15,110968000,0.70%
2022-09-14,110192000,-2.07%
2022-09-13,112520000,-0.68%
2022-09-12,113296000,0.69%
2022-09-09,112520000,-0.68%
2022-09-08,113296000,-3.95%
2022-09-07,117952000,-1.94%
2022-09-06,120280000,
2022-09-02,120280000,
2022-09-01,120280000,1.31%
2022-08-31,118728000,
2022-08-30,118728000,-0.65%
2022-08-29,119504000,0.65%
2022-08-26,118728000,-4.37%
2022-08-25,124160000,2.56%
2022-08-24,121056000,0.65%
2022-08-23,120280000,-0.64%
2022-08-22,121056000,-1.89%
2022-08-19,123384000,-3.64%
2022-08-18,128040000,-0.60%
2022-08-17,128816000,-0.60%
2022-08-16,129592000,
2022-08-15,129592000,1.83%
2022-08-12,127263999,1.23%
2022-08-11,125712000,-0.61%
2022-08-10,126487999,2.52%
2022-08-09,123384000,-3.05%
2022-08-08,127263999,0.61%
2022-08-05,126487999,-4.68%
2022-08-04,132696000,-5.00%
2022-08-03,139680000,5.88%
2022-08-02,131920000,1.19%
2022-08-01,130368000,-6.67%
2022-07-29,139680000,2.27%
2022-07-28,136576000,-1.68%
2022-07-27,138904000,4.07%
2022-07-26,133472000,-2.82%
2022-07-25,137352000,-1.12%
2022-07-22,138904000,-3.76%
2022-07-21,144336000,-0.53%
2022-07-20,145112000,-1.06%
2022-07-19,146664000,3.28%
2022-07-18,142008000,1.67%
2022-07-15,139680000,2.86%
2022-07-14,135800000,1.74%
2022-07-13,133472000,2.38%
2022-07-12,130368000,-2.89%
2022-07-11,134248000,-0.57%
2022-07-08,135024000,10.13%
2022-07-07,122608000,2.60%
2022-07-06,119504000,-3.75%
2022-07-05,124160000,-3.03%
2022-07-01,128040000,-4.62%
2022-06-30,134248000,0.13%
2022-06-29,134075000,-9.42%
2022-06-28,148025000,-4.98%
2022-06-27,155774999,-2.90%
2022-06-24,160425000,5.08%
2022-06-23,152675000,1.03%
2022-06-22,151125000,1.56%
2022-06-21,148800000,2.67%
2022-06-17,144925000,-5.08%
2022-06-16,152675000,-2.96%
2022-06-15,157324999,2.01%
2022-06-14,154225000,-9.95%
2022-06-13,171275000,-6.75%
2022-06-10,183675000,-6.69%
2022-06-09,196850000,-1.55%
2022-06-08,199950000,-6.18%
2022-06-07,213125000,9.13%
2022-06-06,195300000,-1.95%
2022-06-03,199175000,1.98%
2022-06-02,195300000,5.00%
