Date,Market Cap,% Change
2023-04-25,154720400000,0.54%
2023-04-24,153890800000,-0.59%
2023-04-21,154803360000,0.35%
2023-04-20,154264120000,-3.65%
2023-04-19,160112800000,-0.87%
2023-04-18,161523120000,-1.32%
2023-04-17,163680080000,0.61%
2023-04-14,162684560000,-0.25%
2023-04-13,163099360000,0.31%
2023-04-12,162601600000,-0.63%
2023-04-11,163638600000,0.25%
2023-04-10,163223800000,-0.33%
2023-04-06,163763040000,-1.57%
2023-04-05,166376280000,1.16%
2023-04-04,164468200000,1.10%
2023-04-03,162684560000,0.85%
2023-03-31,161315720000,0.59%
2023-03-30,160361680000,0.47%
2023-03-29,159615040000,1.26%
2023-03-28,157624000000,-0.13%
2023-03-27,157831400000,1.04%
2023-03-24,156213680000,0.78%
2023-03-23,155010760000,0.16%
2023-03-22,154761880000,-1.14%
2023-03-21,156545520000,0.83%
2023-03-20,155259640000,1.74%
2023-03-17,152604920000,0.57%
2023-03-16,151733840000,-1.30%
2023-03-15,153724880000,0.49%
2023-03-14,152978240000,0.93%
2023-03-13,151567920000,-0.38%
2023-03-10,152148640000,0.36%
2023-03-09,151609400000,-2.61%
2023-03-08,155674440000,-1.00%
2023-03-07,157250680000,-0.63%
2023-03-06,158246200000,-0.29%
2023-03-03,158702480000,-0.39%
2023-03-02,159324680000,0.29%
2023-03-01,158868400000,-1.31%
2023-02-28,160983880000,-0.18%
2023-02-27,161274240000,0.36%
2023-02-24,160693520000,0.55%
2023-02-23,159822440000,-1.91%
2023-02-22,162933440000,0.20%
2023-02-21,162601600000,-2.54%
2023-02-17,166832560000,0.95%
2023-02-16,165256320000,-1.34%
2023-02-15,167496240000,0.12%
2023-02-14,167288840000,0.02%
2023-02-13,167247360000,0.77%
2023-02-10,165961480000,0.50%
2023-02-09,165131880000,-1.75%
2023-02-08,168076960000,-0.07%
2023-02-07,168201400000,-1.77%
2023-02-06,171229440000,-0.55%
2023-02-03,172183480000,-0.76%
2023-02-02,173510840000,0.34%
2023-02-01,172930120000,0.29%
2023-01-31,172432360000,1.27%
2023-01-30,170275400000,1.01%
2023-01-27,168574720000,0.92%
2023-01-26,167039960000,-0.15%
2023-01-25,167288840000,-0.22%
2023-01-24,167662160000,1.99%
2023-01-23,164385240000,-0.93%
2023-01-20,165920000000,-0.15%
2023-01-19,166168880000,0.23%
2023-01-18,165795560000,-2.15%
2023-01-17,169445800000,-2.41%
2023-01-13,173635280000,0.12%
2023-01-12,173427880000,1.53%
2023-01-11,170814640000,-1.84%
2023-01-10,174008600000,1.40%
2023-01-09,171602760000,-1.94%
2023-01-06,175004120000,1.18%
2023-01-05,172971600000,1.39%
2023-01-04,170607240000,2.52%
2023-01-03,166417760000,0.47%
2022-12-30,165637600000,0.36%
2022-12-29,165049040000,1.16%
2022-12-28,163157240000,-1.12%
