Date,Market Cap,% Change
2023-04-25,31102680000,-4.12%
2023-04-24,32438080000,-1.62%
2023-04-21,32972240000,-1.81%
2023-04-20,33579240000,-3.22%
2023-04-19,34696120000,0.14%
2023-04-18,34647560000,-1.79%
2023-04-17,35278840000,5.44%
2023-04-14,33457840000,-1.85%
2023-04-13,34089119999,-0.14%
2023-04-12,34137680000,-5.83%
2023-04-11,36250040000,-3.05%
2023-04-10,37391200000,1.92%
2023-04-06,36687080000,2.16%
2023-04-05,35910120000,-2.38%
2023-04-04,36784200000,2.30%
2023-04-03,35958680000,-1.92%
2023-03-31,36662800000,1.68%
2023-03-30,36055800000,1.30%
2023-03-29,35594480000,1.24%
2023-03-28,35157440000,0.98%
2023-03-27,34817520000,2.43%
2023-03-24,33992000000,-3.65%
2023-03-23,35278840000,0.14%
2023-03-22,35230280000,-3.84%
2023-03-21,36638520000,5.97%
2023-03-20,34574720000,-0.70%
2023-03-17,34817520000,1.27%
2023-03-16,34380480000,4.35%
2023-03-15,32947960000,-3.42%
2023-03-14,34113400000,0.21%
2023-03-13,34040560000,-2.30%
2023-03-10,34841800000,-2.84%
2023-03-09,35861560000,-3.72%
2023-03-08,37245520000,3.51%
2023-03-07,35982960000,-2.05%
2023-03-06,36735640000,-2.20%
2023-03-03,37561160000,1.51%
2023-03-02,37002720000,1.46%
2023-03-01,36468560000,-3.84%
2023-02-28,37925360000,-2.01%
2023-02-27,38702320000,2.51%
2023-02-24,37755400000,-1.14%
2023-02-23,38192440000,2.01%
2023-02-22,37439760000,4.54%
2023-02-21,35813000000,-4.41%
2023-02-17,37464040000,0.78%
2023-02-16,37172680000,-0.26%
2023-02-15,37269800000,4.21%
2023-02-14,35764440000,-1.27%
2023-02-13,36225760000,4.92%
2023-02-10,34526160000,-1.04%
2023-02-09,34890360000,-1.30%
2023-02-08,35351680000,-5.02%
2023-02-07,37221240000,-0.45%
2023-02-06,37391200000,-0.13%
2023-02-03,37439760000,-3.14%
2023-02-02,38653760000,3.65%
2023-02-01,37294080000,3.64%
2023-01-31,35982960000,3.06%
2023-01-30,34914640000,-3.55%
2023-01-27,36201480000,-0.60%
2023-01-26,36420000000,3.23%
2023-01-25,35278840000,8.59%
2023-01-24,32486640000,-0.96%
2023-01-23,32802280000,3.76%
2023-01-20,31612560000,4.41%
2023-01-19,30277160000,-0.95%
2023-01-18,30568520000,-4.84%
2023-01-17,32122440000,0.68%
2023-01-13,31903920000,-0.08%
2023-01-12,31928200000,4.37%
2023-01-11,30592800000,0.32%
2023-01-10,30495680000,8.18%
2023-01-09,28189080000,2.56%
2023-01-06,27484960000,4.24%
2023-01-05,26368080000,4.62%
2023-01-04,25202640000,8.81%
2023-01-03,23163119999,25.95%
2022-12-30,18391200000,0.53%
2022-12-29,18294200000,6.31%
2022-12-28,17207800000,-3.90%
2022-12-27,17906200000,0.65%
2022-12-23,17789800000,-0.65%
2022-12-22,17906200000,2.10%
2022-12-21,17537600000,0.11%
2022-12-20,17518200000,-2.38%
2022-12-19,17945000000,-6.66%
2022-12-16,19225400000,-0.90%
2022-12-15,19400000000,-8.93%
2022-12-14,21301200000,0.83%
2022-12-13,21126600000,-3.37%
2022-12-12,21863800000,1.62%
