Date,Market Cap,% Change
2023-04-25,2082330140,-2.72%
2023-04-24,2140619840,-0.87%
2023-04-21,2159494600,0.46%
2023-04-20,2149502080,0.28%
2023-04-19,2143395540,0.42%
2023-04-18,2134513300,-0.23%
2023-04-17,2139509560,1.02%
2023-04-14,2117859100,-1.24%
2023-04-13,2144505820,1.58%
2023-04-12,2111197420,-1.68%
2023-04-11,2147281520,1.92%
2023-04-10,2106756300,0.03%
2023-04-06,2106201159,0.03%
2023-04-05,2105646020,0.16%
2023-04-04,2102315179,-2.09%
2023-04-03,2147281520,-0.23%
2023-03-31,2152277780,1.31%
2023-03-30,2124520780,0.74%
2023-03-29,2108976860,2.76%
2023-03-28,2052352580,0.65%
2023-03-27,2039029219,1.38%
2023-03-24,2011272219,-0.19%
2023-03-23,2015158199,-0.49%
2023-03-22,2025150719,-2.54%
2023-03-21,2077889020,0.05%
2023-03-20,2076778739,2.21%
2023-03-17,2031812400,0.49%
2023-03-16,2021819880,0.69%
2023-03-15,2007941380,2.12%
2023-03-14,1966305880,-0.53%
2023-03-13,1976853540,-1.30%
2023-03-10,2002945120,0.33%
2023-03-09,1996283440,-17.35%
2023-03-08,2415414140,0.28%
2023-03-07,2408752460,-1.63%
2023-03-06,2448722540,-2.11%
2023-03-03,2501460840,0.51%
2023-03-02,2488692620,0.97%
2023-03-01,2464821600,-0.20%
2023-02-28,2469817860,-0.47%
2023-02-27,2481475800,-0.33%
2023-02-24,2489802900,0.52%
2023-02-23,2477034680,0.95%
2023-02-22,2453718800,0.32%
2023-02-21,2445946840,-2.69%
2023-02-17,2513673920,-1.18%
2023-02-16,2543651480,-1.02%
2023-02-15,2569743060,-0.26%
2023-02-14,2576404740,-1.00%
2023-02-13,2602496320,1.25%
2023-02-10,2570298200,-0.56%
2023-02-09,2584731840,-1.34%
2023-02-08,2619705660,-1.50%
2023-02-07,2659675740,1.01%
2023-02-06,2633029020,-2.91%
2023-02-03,2711858900,-0.29%
2023-02-02,2719630860,3.25%
2023-02-01,2634139300,3.60%
2023-01-31,2542541200,1.78%
2023-01-30,2498130000,-0.38%
2023-01-27,2507567380,0.49%
2023-01-26,2495354300,1.26%
2023-01-25,2464266460,-0.54%
2023-01-24,2477589820,-0.62%
2023-01-23,2493133740,0.02%
2023-01-20,2492578600,3.70%
2023-01-19,2403756200,0.77%
2023-01-18,2385436580,-2.45%
2023-01-17,2445391700,-0.09%
2023-01-13,2447612260,1.33%
2023-01-12,2415414140,-0.50%
2023-01-11,2427627220,2.03%
2023-01-10,2379330040,0.61%
2023-01-09,2364896400,0.88%
2023-01-06,2344356220,2.28%
2023-01-05,2292173060,-1.76%
2023-01-04,2333253420,2.36%
2023-01-03,2279404840,2.50%
2022-12-30,2223890840,0.02%
2022-12-29,2223335700,3.22%
2022-12-28,2153943200,-1.57%
2022-12-27,2188361880,0.05%
2022-12-23,2187251600,-0.81%
2022-12-22,2205016080,0.61%
2022-12-21,2191692720,1.28%
2022-12-20,2163935720,-0.61%
2022-12-19,2177259080,0.77%
2022-12-16,2160604880,-3.52%
2022-12-15,2239434760,-3.86%
2022-12-14,2329367440,-0.55%
2022-12-13,2342135660,1.35%
2022-12-12,2311047820,1.34%
2022-12-09,2280515120,-4.93%
2022-12-08,2398759940,0.96%
2022-12-07,2375999200,-5.18%
2022-12-06,2505901960,-2.76%
2022-12-05,2576959880,-0.77%
2022-12-02,2596944920,-0.36%
2022-12-01,2606382300,-0.97%
2022-11-30,2631918740,2.98%
2022-11-29,2555864560,-0.65%
2022-11-28,2572518760,-2.48%
2022-11-25,2638025280,0.06%
2022-11-23,2636359860,-0.04%
2022-11-22,2637470140,2.88%
2022-11-21,2563636520,-1.24%
2022-11-18,2595834640,0.06%
2022-11-17,2594169220,-0.64%
2022-11-16,2610823420,-0.13%
2022-11-15,2614154260,1.09%
2022-11-14,2585842120,-0.11%
2022-11-11,2588617820,3.00%
2022-11-10,2513118780,7.20%
2022-11-09,2344356220,0.09%
2022-11-08,2342135660,-1.33%
2022-11-07,2373778640,2.15%
2022-11-04,2323816040,2.75%
2022-11-03,2261640360,-0.54%
2022-11-02,2273853440,-2.22%
2022-11-01,2325481460,-0.71%
2022-10-31,2342135660,0.40%
2022-10-28,2332786680,2.09%
2022-10-27,2284951760,0.20%
2022-10-26,2280502000,1.81%
2022-10-25,2239897940,3.50%
2022-10-24,2164252020,1.20%
2022-10-21,2138665900,1.18%
2022-10-20,2113636000,-1.27%
2022-10-19,2140890780,-1.05%
2022-10-18,2163695800,0.80%
2022-10-17,2146452980,2.91%
2022-10-14,2085825000,-2.60%
2022-10-13,2141447000,2.94%
2022-10-12,2080262800,0.62%
2022-10-11,2067469740,0.08%
2022-10-10,2065801080,-0.05%
2022-10-07,2066913519,-3.43%
2022-10-06,2140334559,-1.13%
2022-10-05,2164808240,-0.59%
2022-10-04,2177601300,2.86%
2022-10-03,2116973320,1.33%
2022-09-30,2089162320,-1.73%
2022-09-29,2125872840,-3.14%
2022-09-28,2194844120,1.88%
2022-09-27,2154240060,0.31%
2022-09-26,2147565420,-3.98%
2022-09-23,2236560620,-2.78%
2022-09-22,2300525920,-2.41%
2022-09-21,2357260360,-1.21%
2022-09-20,2386183800,-0.88%
2022-09-19,2407320160,-1.41%
2022-09-16,2441805800,0.78%
2022-09-15,2422894320,-2.48%
2022-09-14,2484634740,-0.47%
2022-09-13,2496315360,-3.42%
2022-09-12,2584754340,1.80%
2022-09-09,2539144300,-0.93%
2022-09-08,2563061760,10.82%
2022-09-07,2312762760,-9.82%
2022-09-06,2564730420,-0.35%
2022-09-02,2573629940,0.35%
2022-09-01,2564730420,0.17%
2022-08-31,2560280660,-0.45%
2022-08-30,2571961280,-3.06%
2022-08-29,2653169400,-4.33%
2022-08-26,2773312920,-3.91%
2022-08-25,2886225580,1.47%
2022-08-24,2844509080,0.08%
2022-08-23,2842284200,-2.28%
2022-08-22,2908474380,-1.25%
2022-08-19,2945184900,-0.04%
2022-08-18,2946297340,0.27%
2022-08-17,2938510260,-0.53%
2022-08-16,2954084420,-0.97%
2022-08-15,2983007860,0.28%
2022-08-12,2974664560,0.68%
2022-08-11,2954640640,-0.24%
2022-08-10,2961871500,2.29%
2022-08-09,2895681320,0.19%
2022-08-08,2890119120,0.21%
2022-08-05,2884000700,-0.58%
2022-08-04,2900687300,-0.32%
2022-08-03,2910143040,1.65%
2022-08-02,2862864340,-3.90%
2022-08-01,2979114320,2.36%
2022-07-29,2910533920,0.06%
2022-07-28,2908861840,1.56%
2022-07-27,2864273040,3.21%
2022-07-26,2775095440,2.41%
2022-07-25,2709884320,1.02%
2022-07-22,2682573680,0.42%
2022-07-21,2671426480,0.78%
2022-07-20,2650804160,0.66%
2022-07-19,2633526000,2.65%
2022-07-18,2565528080,0.13%
2022-07-15,2562183920,0.72%
2022-07-14,2543791040,-1.11%
2022-07-13,2572216400,0.02%
2022-07-12,2571659040,-1.03%
2022-07-11,2598412320,-0.87%
2022-07-08,2621264080,0.66%
2022-07-07,2603985920,1.13%
2022-07-06,2575003200,-0.37%
2022-07-05,2584478320,-3.54%
2022-07-01,2679229520,0.65%
2022-06-30,2661951360,-0.75%
2022-06-29,2682016320,0.04%
2022-06-28,2680901600,-1.17%
2022-06-27,2712671120,2.20%
2022-06-24,2654148320,2.87%
2022-06-23,2580019440,0.65%
2022-06-22,2563298640,-0.58%
2022-06-21,2578347360,-1.05%
2022-06-17,2605658000,1.30%
2022-06-16,2572216400,-7.07%
2022-06-15,2767849760,3.22%
2022-06-14,2681458960,-2.55%
2022-06-13,2751686320,-4.10%
2022-06-10,2869289280,-2.19%
2022-06-09,2933385680,0.08%
2022-06-08,2931156240,-2.21%
2022-06-07,2997482080,0.50%
2022-06-06,2982433360,-0.58%
2022-06-03,2999711520,-1.03%
2022-06-02,3030923680,2.31%
2022-06-01,2962368400,0.36%
2022-05-31,2951778560,-1.67%
2022-05-27,3001940960,2.83%
2022-05-26,2919451680,1.71%
