Date,Market Cap,% Change
2023-04-25,2130072179,-1.34%
2023-04-24,2158939460,-3.43%
2023-04-21,2235548780,3.63%
2023-04-20,2157274040,0.23%
2023-04-19,2152277780,0.13%
2023-04-18,2149502080,1.18%
2023-04-17,2124520780,
2023-04-14,2124520780,
2023-04-13,2124520780,
2023-04-12,2124520780,
2023-04-11,2124520780,
2023-04-10,2124520780,2.88%
2023-04-06,2065120855,
2023-04-05,2065120855,
2023-04-04,2065120855,
2023-04-03,2065120855,
2023-03-28,2065120800,0.40%
2023-03-27,2056793699,-2.37%
2023-03-24,2106756355,
2023-03-23,2106756355,
2023-03-22,2106756355,
2023-03-21,2106756300,10.13%
2023-03-20,1913012384,
2023-03-17,1913012384,
2023-03-16,1913012384,
2023-03-15,1913012384,
2023-03-14,1913012440,-4.01%
2023-03-13,1992952600,-0.69%
2023-03-10,2006831100,0.08%
2023-03-09,2005165679,-16.27%
2023-03-08,2394873960,-2.93%
2023-03-07,2467042104,
2023-03-06,2467042104,
2023-03-03,2467042104,
2023-03-02,2467042104,
2023-03-01,2467042104,
2023-02-28,2467042104,
2023-02-27,2467042104,
2023-02-24,2467042104,
2023-02-23,2467042104,
2023-02-22,2467042104,
2023-02-21,2467042160,-9.66%
2023-02-17,2730733604,
2023-02-16,2730733604,
2023-02-15,2730733604,
2023-02-14,2730733604,
2023-02-13,2730733604,
2023-02-10,2730733604,
2023-02-09,2730733604,
2023-02-08,2730733604,
2023-02-07,2730733604,
2023-02-06,2730733604,
2023-02-03,2730733604,
2023-02-02,2730733660,10.81%
2023-02-01,2464266404,
2023-01-31,2464266404,
2023-01-30,2464266404,
2023-01-27,2464266404,
2023-01-26,2464266460,-1.22%
2023-01-25,2494799104,
2023-01-24,2494799104,
2023-01-23,2494799160,2.09%
2023-01-20,2443726280,
2023-01-19,2443726280,-0.25%
2023-01-18,2449832875,
2023-01-17,2449832820,0.05%
2023-01-13,2448722540,2.61%
2023-01-12,2386546971,
2023-01-11,2386546860,1.54%
2023-01-10,2350462760,
2023-01-09,2350462760,1.47%
2023-01-06,2316488192,-0.55%
2023-01-05,2329367440,6.96%
2023-01-04,2177814220,
2023-01-03,2177814220,
2022-12-30,2177814220,
2022-12-29,2177814220,
2022-12-28,2177814220,
2022-12-27,2177814220,
2022-12-23,2177814220,
2022-12-22,2177814220,
2022-12-21,2177814220,
2022-12-20,2177814220,
2022-12-19,2177814220,
2022-12-16,2177814220,-6.60%
2022-12-15,2331588000,
2022-12-14,2331588000,-0.57%
2022-12-13,2344911360,1.25%
2022-12-12,2316044080,1.93%
2022-12-09,2272188020,-4.77%
2022-12-08,2385991720,0.12%
2022-12-07,2383216020,-8.21%
2022-12-06,2596389780,
2022-12-05,2596389780,
2022-12-02,2596389780,-1.74%
2022-12-01,2642466288,
2022-11-30,2642466288,
2022-11-29,2642466288,
2022-11-28,2642466288,
2022-11-25,2642466400,1.97%
2022-11-23,2591315800,
2022-11-22,2591315800,
2022-11-21,2591315800,
2022-11-18,2591315800,1.12%
2022-11-17,2562526240,1.10%
2022-11-16,2534769240,
2022-11-15,2534769240,
2022-11-14,2534769240,
2022-11-11,2534769240,8.35%
2022-11-10,2339359904,
2022-11-09,2339359960,0.17%
2022-11-08,2335473980,1.99%
2022-11-07,2289952500,
2022-11-04,2289952500,
2022-11-03,2289952500,
2022-11-02,2289952500,
2022-11-01,2289952500,
2022-10-31,2289952500,-0.19%
2022-10-28,2294407500,-1.24%
2022-10-27,2323330940,0.87%
2022-10-26,2303307020,5.52%
2022-10-25,2182740772,1.06%
2022-10-24,2159802260,1.09%
2022-10-21,2136441019,
2022-10-20,2136441019,-1.01%
2022-10-19,2158133544,
2022-10-18,2158133600,1.46%
2022-10-17,2126985391,
2022-10-14,2126985391,
2022-10-13,2126985391,
2022-10-12,2126985391,
2022-10-11,2126985391,
2022-10-10,2126985391,
2022-10-07,2126985391,
2022-10-06,2126985391,
2022-10-05,2126985391,
2022-10-04,2126985391,
2022-10-03,2126985391,
2022-09-30,2126985391,0.00%
2022-09-29,2126985280,-2.77%
2022-09-28,2187613371,0.00%
2022-09-27,2187613260,-0.10%
2022-09-26,2189838140,-7.76%
2022-09-23,2373946960,
2022-09-22,2373946960,
2022-09-21,2373946960,
2022-09-20,2373946960,-1.00%
2022-09-19,2397864420,7.51%
2022-09-16,2230442200,-9.89%
2022-09-15,2475179000,
2022-09-14,2475179000,-1.34%
2022-09-13,2508830310,8.79%
2022-09-12,2306088064,
2022-09-09,2306088064,
2022-09-08,2306088064,
2022-09-07,2306088120,-12.20%
2022-09-06,2626470895,
2022-09-02,2626470895,
2022-09-01,2626470895,
2022-08-31,2626470895,
2022-08-30,2626470895,
2022-08-29,2626470840,-9.38%
2022-08-26,2898462475,
2022-08-25,2898462475,
2022-08-24,2898462475,
2022-08-23,2898462475,
2022-08-22,2898462475,
2022-08-19,2898462475,
2022-08-18,2898462475,
2022-08-17,2898462475,
2022-08-16,2898462475,
2022-08-15,2898462475,
2022-08-12,2898462475,
2022-08-11,2898462475,
2022-08-10,2898462475,
2022-08-09,2898462475,
2022-08-08,2898462475,
2022-08-05,2898462475,
2022-08-04,2898462475,
2022-08-03,2898462475,
2022-08-02,2898462475,
2022-08-01,2898462420,7.69%
2022-07-29,2691491495,
2022-07-28,2691491495,
2022-07-27,2691491495,
2022-07-26,2691491495,
2022-07-25,2691491495,
2022-07-22,2691491440,4.93%
2022-07-21,2564970720,
2022-07-20,2564970720,
2022-07-19,2564970720,
2022-07-18,2564970720,0.35%
