Date,Market Cap,% Change
2023-04-26,10107883620,-4.09%
2023-04-25,10538933760,-2.11%
2023-04-24,10766566980,-1.20%
2023-04-21,10897335000,-0.16%
2023-04-20,10914286410,-1.57%
2023-04-19,11088643770,0.95%
2023-04-18,10984513680,-0.46%
2023-04-17,11035367910,-0.18%
2023-04-14,11054740950,-0.48%
2023-04-13,11108016810,0.28%
2023-04-12,11076535620,2.14%
2023-04-11,10844059140,-0.42%
2023-04-10,10890070110,0.40%
2023-04-06,10846480770,2.54%
2023-04-05,10577679840,-0.75%
2023-04-04,10657593630,-1.65%
2023-04-03,10836794250,0.63%
2023-03-31,10768988610,3.71%
2023-03-30,10383949440,-0.86%
2023-03-29,10473549750,1.86%
2023-03-28,10282240980,-0.72%
2023-03-27,10357311510,-1.52%
2023-03-24,10517139090,0.16%
2023-03-23,10500187680,3.36%
2023-03-22,10158737850,-1.60%
2023-03-21,10323408690,4.90%
2023-03-20,9841504320,0.10%
2023-03-17,9831817800,-2.24%
2023-03-16,10057029390,2.22%
2023-03-15,9839082690,0.52%
2023-03-14,9788228460,0.55%
2023-03-13,9734952600,2.55%
2023-03-10,9492789600,-0.41%
2023-03-09,9531535680,-5.99%
2023-03-08,10139364810,0.29%
2023-03-07,10110305250,-1.60%
2023-03-06,10274976090,-1.83%
2023-03-03,10466284860,2.54%
2023-03-02,10207170450,1.62%
2023-03-01,10044921240,-1.24%
2023-02-28,10170846000,0.02%
2023-02-27,10168424370,2.14%
2023-02-24,9955320930,-2.65%
2023-02-23,10226543490,-0.61%
2023-02-22,10289505870,-2.43%
2023-02-21,10546198650,-5.10%
2023-02-17,11112860070,-4.20%
2023-02-16,11599607700,0.86%
2023-02-15,11500320870,4.28%
2023-02-14,11028103020,1.58%
2023-02-13,10856167290,4.26%
2023-02-10,10413009000,-0.83%
2023-02-09,10500187680,-2.43%
2023-02-08,10761723720,-4.14%
2023-02-07,11226676680,3.44%
2023-02-06,10853745660,-2.88%
2023-02-03,11175822450,-2.12%
2023-02-02,11417985450,4.82%
2023-02-01,10892491740,1.74%
2023-01-31,10706026230,1.94%
2023-01-30,10502609310,-2.67%
2023-01-27,10790783280,1.90%
2023-01-26,10589787990,3.50%
2023-01-25,10231386750,-5.31%
2023-01-24,10805313060,0.45%
2023-01-23,10756880460,2.92%
2023-01-20,10451755080,3.23%
2023-01-19,10124835030,-1.53%
2023-01-18,10282240980,-0.86%
2023-01-17,10371841290,-1.43%
2023-01-13,10521982350,0.51%
2023-01-12,10468706490,2.08%
2023-01-11,10255603050,3.65%
2023-01-10,9894780180,5.45%
2023-01-09,9383816250,8.00%
2023-01-06,8688808440,2.22%
2023-01-05,8499921300,-1.43%
2023-01-04,8623424430,5.73%
2023-01-03,8156049840,4.56%
2022-12-30,7800070230,0.75%
2022-12-29,7741951110,2.17%
2022-12-28,7577280270,-3.72%
2022-12-27,7870297500,-1.90%
2022-12-23,8022860190,-0.99%
2022-12-22,8102773980,-1.44%
2022-12-21,8221433850,0.98%
2022-12-20,8141520059,-2.21%
2022-12-19,8325563940,-4.63%
2022-12-16,8729976150,-0.41%
2022-12-15,8766300600,-4.61%
2022-12-14,9190085850,-0.05%
2022-12-13,9194929110,7.14%
2022-12-12,8582256719,0.97%
2022-12-09,8499921300,0.46%
2022-12-08,8461175219,-1.91%
2022-12-07,8625846060,-3.52%
2022-12-06,8940657960,-1.65%
2022-12-05,9090799020,-2.95%
2022-12-02,9366864840,0.94%
2022-12-01,9279686160,0.90%
2022-11-30,9197350740,7.56%
2022-11-29,8550775530,0.06%
2022-11-28,8545932270,
2022-11-25,8545932270,-0.54%
2022-11-23,8591943240,2.99%
2022-11-22,8342515350,0.85%
2022-11-21,8272288079,-3.12%
2022-11-18,8538667379,-5.49%
2022-11-17,9035101530,0.95%
2022-11-16,8950344480,-2.09%
2022-11-15,9141653250,2.36%
2022-11-14,8930971440,-2.74%
2022-11-11,9182820960,5.89%
2022-11-10,8671857030,11.42%
2022-11-09,7783118820,-2.90%
2022-11-08,8015595300,-1.78%
2022-11-07,8160893100,3.63%
2022-11-04,7875140760,-0.28%
2022-11-03,7896935430,10.54%
2022-11-02,7143808500,-4.78%
2022-11-01,7502209740,0.39%
2022-10-31,7473150180,
2022-10-28,7473150180,0.75%
2022-10-27,7417452690,-0.13%
2022-10-26,7427139210,-1.73%
2022-10-25,7557907230,7.18%
2022-10-24,7051786560,-0.58%
2022-10-21,7092954270,2.66%
2022-10-20,6908910390,-0.66%
2022-10-19,6954921360,-0.21%
2022-10-18,6969451140,-0.17%
2022-10-17,6981559290,6.90%
2022-10-14,6531136110,-3.85%
2022-10-13,6792672150,-2.47%
2022-10-12,6964607880,2.57%
2022-10-11,6790250520,-4.50%
2022-10-10,7109905680,0.44%
2022-10-07,7078424490,-4.16%
2022-10-06,7385971500,1.77%
2022-10-05,7257625110,-4.95%
2022-10-04,7635399390,6.95%
2022-10-03,7138965240,3.04%
2022-09-30,6928283430,-1.20%
2022-09-29,7012736800,-1.85%
2022-09-28,7144780800,2.44%
2022-09-27,6974324000,-0.79%
2022-09-26,7029542400,-0.78%
2022-09-23,7084760800,-2.93%
2022-09-22,7298432000,-2.78%
2022-09-21,7507301600,-3.31%
