Date,Market Cap,% Change
2023-04-26,3362209842,-2.28%
2023-04-25,3440793550,-1.36%
2023-04-24,3488178354,-0.09%
2023-04-21,3491462449,0.31%
2023-04-20,3480671850,-1.33%
2023-04-19,3527587497,-1.66%
2023-04-18,3587170369,-1.14%
2023-04-17,3628456138,0.48%
2023-04-14,3611097349,-1.17%
2023-04-13,3653790588,1.25%
2023-04-12,3608751567,-1.60%
2023-04-11,3667396125,1.09%
2023-04-10,3627986982,0.82%
2023-04-06,3598430124,1.17%
2023-04-05,3556675199,-0.91%
2023-04-04,3589516151,-1.66%
2023-04-03,3650037336,-0.32%
2023-03-31,3661766248,2.93%
2023-03-30,3557613512,-0.01%
2023-03-29,3558082668,0.65%
2023-03-28,3535094001,-0.62%
2023-03-27,3557144355,0.81%
2023-03-24,3528525810,1.08%
2023-03-23,3490993293,0.84%
2023-03-22,3461905592,-2.36%
2023-03-21,3545415443,1.23%
2023-03-20,3502253048,0.70%
2023-03-17,3477856912,-0.51%
2023-03-16,3495684857,0.99%
2023-03-15,3461436435,-0.79%
2023-03-14,3489116667,1.54%
2023-03-13,3436101986,-0.77%
2023-03-10,3462843905,-2.95%
2023-03-09,3567934954,-2.25%
2023-03-08,3650037336,-0.33%
2023-03-07,3662235404,-0.05%
2023-03-06,3664112030,-1.38%
2023-03-03,3715250085,0.97%
2023-03-02,3679594194,0.28%
2023-03-01,3669272751,-0.97%
2023-02-28,3705397800,-2.49%
2023-02-27,3800167407,1.54%
2023-02-24,3742461161,-2.24%
2023-02-23,3828316795,-0.67%
2023-02-22,3854120401,0.77%
2023-02-21,3824563543,-1.53%
2023-02-17,3884146415,0.93%
2023-02-16,3848490523,-7.75%
2023-02-15,4171739331,0.40%
2023-02-14,4155318854,-1.65%
2023-02-13,4225223168,1.02%
2023-02-10,4182529930,-1.37%
2023-02-09,4240705332,-1.45%
2023-02-08,4303103142,-1.91%
2023-02-07,4387082150,1.53%
2023-02-06,4320931088,-1.08%
2023-02-03,4368315892,-0.20%
2023-02-02,4377229865,3.96%
2023-02-01,4210679318,0.30%
2023-01-31,4198012093,2.61%
2023-01-30,4091044418,-2.70%
2023-01-27,4204580284,0.13%
2023-01-26,4198950406,1.61%
2023-01-25,4132330187,0.79%
2023-01-24,4099958391,0.45%
2023-01-23,4081661289,1.99%
2023-01-20,4001904689,4.70%
2023-01-19,3822217761,-0.26%
2023-01-18,3832070046,-1.01%
2023-01-17,3871010033,-1.81%
2023-01-13,3942321817,-1.23%
2023-01-12,3991583246,1.18%
2023-01-11,3945136756,1.31%
2023-01-10,3893998701,1.07%
2023-01-09,3852712931,1.96%
2023-01-06,3778586209,1.67%
2023-01-05,3716657555,-1.74%
2023-01-04,3782339461,1.54%
2023-01-03,3725102371,2.61%
2022-12-30,3630209704,-0.11%
2022-12-29,3634340158,2.48%
2022-12-28,3546223816,-1.04%
2022-12-27,3583397898,0.08%
2022-12-23,3580644262,0.01%
2022-12-22,3580185323,-1.23%
2022-12-21,3624702433,1.94%
2022-12-20,3555861541,-1.79%
2022-12-19,3620571979,-1.69%
2022-12-16,3682987722,-0.78%
2022-12-15,3711900896,-4.66%
2022-12-14,3893181912,-0.75%
2022-12-13,3922554026,-0.47%
2022-12-12,3940911597,-0.05%
2022-12-09,3942747354,-1.24%
2022-12-08,3992312796,-1.18%
2022-12-07,4040042481,-1.37%
2022-12-06,4096033074,-2.98%
2022-12-05,4221782436,-1.43%
2022-12-02,4282821360,-0.21%
2022-12-01,4292000146,1.37%
2022-11-30,4234173797,4.41%
2022-11-29,4055187478,-0.56%
2022-11-28,4078134442,-1.12%
2022-11-25,4124487309,0.02%
2022-11-23,4123569430,1.86%
2022-11-22,4048303388,0.50%
2022-11-21,4028110060,-0.95%
2022-11-18,4066660960,-0.57%
2022-11-17,4090066863,-0.03%
2022-11-16,4091443681,-0.62%
2022-11-15,4117144280,3.35%
