Date,Market Cap,% Change
2023-04-26,9870563880,-3.98%
2023-04-25,10279819350,-2.19%
2023-04-24,10509874200,-1.50%
2023-04-21,10669701780,0.05%
2023-04-20,10664858520,-1.54%
2023-04-19,10831950990,0.65%
2023-04-18,10761723720,-0.27%
2023-04-17,10790783280,-0.27%
2023-04-14,10819842840,-0.56%
2023-04-13,10880383590,0.40%
2023-04-12,10836794250,2.15%
2023-04-11,10609161030,-0.59%
2023-04-10,10672123410,0.34%
2023-04-06,10635798960,2.59%
2023-04-05,10366998030,-1.13%
2023-04-04,10485657900,-1.48%
2023-04-03,10643063850,0.57%
2023-03-31,10582523100,3.63%
2023-03-30,10212013710,-0.99%
2023-03-29,10313722170,2.31%
2023-03-28,10081245690,-0.64%
2023-03-27,10146629700,-1.55%
2023-03-24,10306457280,0.21%
2023-03-23,10284662610,2.91%
2023-03-22,9994067010,-1.60%
2023-03-21,10156316220,5.30%
2023-03-20,9645352290,0.05%
2023-03-17,9640509030,-2.55%
2023-03-16,9892358550,2.33%
2023-03-15,9667146960,0.78%
2023-03-14,9592076430,0.38%
2023-03-13,9555751980,2.10%
2023-03-10,9359599950,-0.34%
2023-03-09,9391081140,-5.60%
2023-03-08,9948056040,0.17%
2023-03-07,9931104630,-1.82%
2023-03-06,10115148510,-1.83%
2023-03-03,10304035650,2.43%
2023-03-02,10059451020,1.79%
2023-03-01,9882672030,-1.31%
2023-02-28,10013440050,-0.14%
2023-02-27,10027969830,2.25%
2023-02-24,9807601500,-2.57%
2023-02-23,10066715910,-0.41%
2023-02-22,10107883620,-2.27%
2023-02-21,10342781730,-5.00%
2023-02-17,10887648480,-4.44%
2023-02-16,11393769150,0.84%
2023-02-15,11299325580,3.94%
2023-02-14,10870697070,1.68%
2023-02-13,10691496450,4.57%
2023-02-10,10224121860,-0.96%
2023-02-09,10323408690,-2.67%
2023-02-08,10606739400,-3.67%
2023-02-07,11011151610,3.32%
2023-02-06,10657593630,-2.27%
2023-02-03,10904599890,-2.41%
2023-02-02,11173400820,5.34%
2023-02-01,10606739400,1.96%
2023-01-31,10403322480,1.85%
2023-01-30,10214435340,-2.47%
2023-01-27,10473549750,1.84%
2023-01-26,10284662610,3.23%
2023-01-25,9962585820,-5.05%
2023-01-24,10492922790,0.32%
2023-01-23,10459019970,2.78%
2023-01-20,10175689260,2.91%
2023-01-19,9887515290,-1.31%
2023-01-18,10018283310,-0.72%
2023-01-17,10090932210,-1.33%
2023-01-13,10226543490,0.38%
2023-01-12,10187797410,2.43%
2023-01-11,9945634410,3.37%
2023-01-10,9621135990,5.16%
2023-01-09,9148918140,8.07%
2023-01-06,8466018480,2.07%
2023-01-05,8294082750,-1.41%
2023-01-04,8412742620,5.85%
2023-01-03,7947789660,5.16%
2022-12-30,7557907230,0.35%
2022-12-29,7531269300,2.34%
2022-12-28,7359333570,-3.65%
2022-12-27,7637821020,-1.81%
2022-12-23,7778275559,-0.99%
2022-12-22,7855767719,-1.85%
2022-12-21,8003487149,1.16%
2022-12-20,7911465210,-2.42%
2022-12-19,8107617239,-4.40%
2022-12-16,8480548260,-1.02%
2022-12-15,8567726940,-4.74%
2022-12-14,8993933820,0.19%
2022-12-13,8976982410,7.61%
2022-12-12,8342515350,1.17%
2022-12-09,8245650149,0.27%
2022-12-08,8223855480,-3.11%
2022-12-07,8487813149,-3.60%
2022-12-06,8805046680,-1.89%
2022-12-05,8974560780,-2.96%
2022-12-02,9248204970,0.71%
2022-12-01,9182820960,1.39%
2022-11-30,9056896200,7.44%
2022-11-29,8429694030,0.06%
2022-11-28,8424850770,-0.09%
2022-11-25,8432115660,-0.63%
2022-11-23,8485391520,2.82%
2022-11-22,8252915040,1.13%
2022-11-21,8160893100,-3.19%
2022-11-18,8429694030,-5.59%
2022-11-17,8928549810,1.01%
2022-11-16,8838949500,-2.04%
2022-11-15,9022993380,2.11%
2022-11-14,8836527870,-2.64%
2022-11-11,9076269240,5.73%
2022-11-10,8584678350,11.30%
2022-11-09,7712891550,-2.81%
2022-11-08,7935681510,-2.00%
2022-11-07,8097930719,3.88%
2022-11-04,7795226969,-0.71%
2022-11-03,7850924460,10.16%
2022-11-02,7126857090,-4.94%
2022-11-01,7497366480,0.10%
2022-10-31,7490101590,-0.03%
2022-10-28,7492523220,0.78%
2022-10-27,7434404100,-0.13%
2022-10-26,7444090620,-1.76%
2022-10-25,7577280270,7.19%
2022-10-24,7068737970,-0.61%
2022-10-21,7112327310,2.55%
2022-10-20,6935548320,-0.59%
2022-10-19,6976716030,-0.35%
2022-10-18,7000932330,-0.34%
2022-10-17,7025148630,7.36%
2022-10-14,6543244260,-3.84%
2022-10-13,6804780300,-2.46%
2022-10-12,6976716030,2.38%
2022-10-11,6814466820,-4.22%
2022-10-10,7114748940,0.38%
2022-10-07,7088111010,-4.38%
2022-10-06,7412609430,1.59%
2022-10-05,7296371190,-4.50%
2022-10-04,7640242650,6.91%
2022-10-03,7146230130,3.07%
2022-09-30,6933126690,-1.30%
2022-09-29,7024740800,-1.91%
2022-09-28,7161586400,2.61%
2022-09-27,6979125600,-0.68%
2022-09-26,7027141600,-0.91%
2022-09-23,7091963200,-3.27%
2022-09-22,7332043200,-2.74%
2022-09-21,7538512000,-3.06%
2022-09-20,7776191200,-1.91%
2022-09-19,7927441600,-3.17%
2022-09-16,8186728000,-5.83%
2022-09-15,8693296800,0.67%
2022-09-14,8635677600,0.28%
2022-09-13,8611669600,-4.47%
2022-09-12,9015004000,-1.70%
