Date,Market Cap,% Change
2023-04-26,17715306546,-1.02%
2023-04-25,17896972884,-4.18%
2023-04-24,18677570433,2.84%
2023-04-21,18160956782,-2.62%
2023-04-20,18649185067,-3.03%
2023-04-19,19231085058,0.71%
2023-04-18,19094835304,-0.52%
2023-04-17,19194184083,-2.71%
2023-04-14,19727828953,-0.97%
2023-04-13,19920849437,3.99%
2023-04-12,19157283108,-3.59%
2023-04-11,19869755780,-1.64%
2023-04-10,20201864555,-0.95%
2023-04-06,20394885039,1.05%
2023-04-05,20181994799,-3.45%
2023-04-04,20902983080,-0.04%
2023-04-03,20911498690,-0.23%
2023-03-31,20959753811,2.50%
2023-03-30,20448817234,2.04%
2023-03-29,20040067972,3.01%
2023-03-28,19455329445,-0.04%
2023-03-27,19463845054,-0.68%
2023-03-24,19597256272,-0.22%
2023-03-23,19639834320,0.64%
2023-03-22,19514938712,-4.31%
2023-03-21,20394885039,3.68%
2023-03-20,19671058222,0.16%
2023-03-17,19639834320,-1.98%
2023-03-16,20037229435,-0.62%
2023-03-15,20162125043,2.96%
2023-03-14,19583063589,0.47%
2023-03-13,19492230420,2.31%
2023-03-10,19052257256,-0.74%
2023-03-09,19194184083,-1.87%
2023-03-08,19560355297,-1.06%
2023-03-07,19770407001,-2.36%
2023-03-06,20247281139,0.73%
2023-03-03,20099677239,0.25%
2023-03-02,20048583582,1.45%
2023-03-01,19761891391,-6.66%
2023-02-28,21172644051,1.18%
2023-02-27,20925691372,-0.28%
2023-02-24,20985300640,-0.86%
2023-02-23,21166966978,1.61%
2023-02-22,20832019667,1.27%
2023-02-21,20570874305,-4.78%
2023-02-17,21604101605,-2.31%
2023-02-16,22115038183,-3.54%
2023-02-15,22926859633,3.68%
2023-02-14,22112199646,1.86%
2023-02-13,21709127457,3.06%
2023-02-10,21064779663,-3.33%
2023-02-09,21791445017,-3.25%
2023-02-08,22523787444,-6.27%
2023-02-07,24031050347,9.85%
2023-02-06,21876601113,-3.11%
2023-02-03,22577719639,-3.98%
2023-02-02,23514436697,6.06%
2023-02-01,22171808913,4.15%
2023-01-31,21289024050,-1.99%
2023-01-30,21721971411,-0.88%
2023-01-27,21914070477,3.59%
2023-01-26,21154540321,3.90%
2023-01-25,20359545721,-0.78%
2023-01-24,20519135715,-2.17%
2023-01-23,20974262735,2.12%
2023-01-20,20539823307,3.99%
2023-01-19,19752217132,-0.96%
2023-01-18,19942838514,-3.42%
2023-01-17,20649172006,0.55%
2023-01-13,20536867936,-0.60%
2023-01-12,20660993487,-0.14%
2023-01-11,20690547190,-1.20%
2023-01-10,20941753662,1.11%
2023-01-09,20711234782,0.82%
2023-01-06,20542778677,5.93%
2023-01-05,19393139646,-3.00%
2023-01-04,19993079808,1.49%
2023-01-03,19700498153,-1.59%
2022-12-30,20019678141,-0.38%
2022-12-29,20096517768,4.04%
2022-12-28,19316300019,-0.15%
2022-12-27,19345853721,-0.65%
2022-12-23,19472934643,-0.08%
2022-12-22,19487711494,-5.71%
2022-12-21,20666904228,2.00%
2022-12-20,20262018502,-0.77%
2022-12-19,20418653126,-1.10%
2022-12-16,20646216636,-0.48%
2022-12-15,20746699225,-4.12%
2022-12-14,21639221043,-1.12%
2022-12-13,21884516775,0.49%
2022-12-12,21778123445,2.12%
2022-12-09,21325951796,-0.28%
2022-12-08,21385059201,3.56%
2022-12-07,20649172006,-2.24%
2022-12-06,21122031248,-1.96%
2022-12-05,21544649195,-1.90%
2022-12-02,21961356402,-4.03%
2022-12-01,22883431923,2.65%
2022-11-30,22292357871,6.89%
2022-11-29,20856047924,-1.42%
2022-11-28,21157495691,-5.05%
2022-11-25,22283491760,-0.97%
2022-11-23,22502189159,-1.31%
2022-11-22,22800681555,-3.87%
2022-11-21,23719801706,-1.69%
2022-11-18,24127642802,-1.15%
2022-11-17,24408402977,-1.09%
2022-11-16,24677341671,-4.51%
2022-11-15,25841757553,3.66%
2022-11-14,24928548143,-4.50%
2022-11-11,26101830136,7.41%
2022-11-10,24302009647,14.46%
2022-11-09,21231379947,-8.26%
2022-11-08,23143504506,-1.63%
2022-11-07,23527702639,2.78%
2022-11-04,22892298033,-1.19%
2022-11-03,23167147468,-0.27%
2022-11-02,23229210243,-5.18%
2022-11-01,24497064085,-0.66%
2022-10-31,24659609449,-0.91%
2022-10-28,24887172959,1.94%
2022-10-27,24414313717,-0.91%
2022-10-26,24638921857,-0.86%
2022-10-25,24851708516,4.32%
2022-10-24,23823239665,-0.46%
2022-10-21,23932588365,1.28%
2022-10-20,23631140598,4.76%
2022-10-19,22558341194,-2.43%
2022-10-18,23119861543,2.01%
