Date,Market Cap
2023-04-24,497800.0
2023-04-21,497800.0
2023-04-20,497800.0
2023-04-19,497800.0
2023-04-18,497800.0
2023-04-17,497800.0
2023-04-14,497800.0
2023-04-13,497800.0
2023-04-12,497800.0
2023-04-11,995700.0
2023-04-10,995700.0
2023-04-06,995700.0
2023-04-05,746700.0
2023-04-04,746700.0
2023-04-03,497800.0
2023-03-31,497800.0
2023-03-30,497800.0
2023-03-29,497800.0
2023-03-28,497800.0
2023-03-27,995700.0
2023-03-24,995700.0
2023-03-23,746700.0
2023-03-22,497800.0
2023-03-21,497800.0
2023-03-20,477500.0
2023-03-17,648500.0
2023-03-16,864700.0
2023-03-15,864700.0
2023-03-14,432300.0
2023-03-13,432300.0
2023-03-10,864700.0
2023-03-09,432300.0
2023-03-08,864700.0
2023-03-07,432300.0
2023-03-06,432300.0
2023-03-03,432300.0
2023-03-02,432300.0
2023-03-01,864700.0
2023-02-28,648500.0
2023-02-27,864700.0
2023-02-24,432300.0
2023-02-23,648500.0
2023-02-22,432300.0
2023-02-21,648500.0
2023-02-17,864700.0
2023-02-16,648500.0
2023-02-15,864700.0
2023-02-14,864700.0
2023-02-13,864700.0
2023-02-10,864700.0
2023-02-09,864700.0
2023-02-08,432300.0
2023-02-07,432300.0
2023-02-06,432300.0
2023-02-03,864700.0
2023-02-02,648500.0
2023-02-01,864700.0
2023-01-31,864700.0
2023-01-30,864700.0
2023-01-27,864700.0
2023-01-26,1081000.0
2023-01-25,864700.0
2023-01-24,864700.0
2023-01-23,864700.0
2023-01-20,1081000.0
2023-01-19,864700.0
2023-01-18,1297000.0
2023-01-17,864700.0
2023-01-13,1297000.0
2023-01-12,1297000.0
2023-01-11,864700.0
2023-01-10,864700.0
2023-01-09,1081000.0
2023-01-06,864700.0
2023-01-05,864700.0
2023-01-04,1297000.0
2023-01-03,1081000.0
2022-12-30,864700.0
2022-12-29,864700.0
2022-12-28,864700.0
2022-12-27,864700.0
2022-12-23,1297000.0
2022-12-22,1297000.0
2022-12-21,1081000.0
2022-12-20,1297000.0
2022-12-19,1297000.0
2022-12-16,1081000.0
2022-12-15,1081000.0
2022-12-14,1012999.9999999999
2022-12-13,1012999.9999999999
2022-12-12,810600.0
2022-12-09,810600.0
2022-12-08,1216000.0
2022-12-07,1216000.0
2022-12-06,810600.0
2022-12-05,1216000.0
2022-12-02,1216000.0
2022-12-01,1216000.0
2022-11-30,1216000.0
2022-11-29,1216000.0
2022-11-28,1012999.9999999999
2022-11-25,1216000.0
2022-11-23,1216000.0
2022-11-22,1216000.0
2022-11-21,1216000.0
2022-11-18,1216000.0
2022-11-17,1216000.0
2022-11-16,1216000.0
2022-11-15,1216000.0
2022-11-14,1216000.0
2022-11-11,1012999.9999999999
2022-11-10,1216000.0
2022-11-09,891700.0
2022-11-08,1216000.0
2022-11-07,1216000.0
2022-11-04,1216000.0
2022-11-03,1216000.0
2022-11-02,1216000.0
2022-11-01,1419000.0
2022-10-31,1419000.0
2022-10-28,1640000.0
2022-10-27,1230000.0
2022-10-26,1640000.0
2022-10-25,1230000.0
2022-10-24,1230000.0
2022-10-21,1640000.0
2022-10-20,1640000.0
2022-10-19,1640000.0
2022-10-18,1230000.0
2022-10-17,1640000.0
2022-10-14,1313000.0
2022-10-13,1313000.0
2022-10-12,984800.0
2022-10-11,1280000.0
2022-10-10,1313000.0
2022-10-07,1313000.0
2022-10-06,1280000.0
2022-10-05,1313000.0
2022-10-04,1313000.0
2022-10-03,1313000.0
2022-09-30,1313000.0
2022-09-29,1280000.0
2022-09-28,1641000.0
2022-09-27,1970000.0
2022-09-26,1765000.0
2022-09-23,1765000.0
2022-09-22,1765000.0
2022-09-21,1765000.0
2022-09-20,1765000.0
2022-09-19,1765000.0
2022-09-16,2354000.0
2022-09-15,2060000.0
2022-09-14,2354000.0
2022-09-13,2648000.0
2022-09-12,2648000.0
2022-09-09,2795000.0
2022-09-08,3089000.0
2022-09-07,3236000.0
