Date,Market Cap
2023-04-25,1921000.0
2023-04-24,1659000.0
2023-04-21,1831000.0
2023-04-20,1839000.0
2023-04-19,1824000.0
2023-04-18,1824000.0
2023-04-17,1734000.0
2023-04-14,1884000.0
2023-04-13,1943000.0
2023-04-12,2033000.0
2023-04-11,1831000.0
2023-04-10,1936000.0
2023-04-06,1719000.0
2023-04-05,1794000.0
2023-04-04,2242000.0
2023-04-03,2322000.0
2023-03-31,2496000.0
2023-03-30,1943000.0
2023-03-29,1794000.0
2023-03-28,2017999.9999999998
2023-03-27,2220000.0
2023-03-24,2175000.0
2023-03-23,2242000.0
2023-03-22,1794000.0
2023-03-21,1861000.0
2023-03-20,1861000.0
2023-03-17,1742000.0
2023-03-16,1776000.0
2023-03-15,1739000.0
2023-03-14,1761000.0
2023-03-13,1727000.0
2023-03-10,1761000.0
2023-03-09,1884000.0
2023-03-08,1973000.0
2023-03-07,2003000.0
2023-03-06,2063000.0000000002
2023-03-03,2063000.0000000002
2023-03-02,2182000.0
2023-03-01,2422000.0
2023-02-28,2088000.0
2023-02-27,2065999.9999999998
2023-02-24,2013000.0
2023-02-23,2155000.0
2023-02-22,2088000.0
2023-02-21,2162000.0
2023-02-17,1909000.0
2023-02-16,2088000.0
2023-02-15,1864000.0
2023-02-14,2021000.0
2023-02-13,2133000.0
2023-02-10,2162000.0
2023-02-09,2073000.0
2023-02-08,2386000.0
2023-02-07,1939000.0
2023-02-06,2088000.0
2023-02-03,2051000.0000000002
2023-02-02,2148000.0
2023-02-01,2162000.0
2023-01-31,2342000.0
2023-01-30,1932000.0
2023-01-27,1889000.0
2023-01-26,1839000.0
2023-01-25,1918000.0
2023-01-24,1875000.0
2023-01-23,1976000.0
2023-01-20,2048000.0
2023-01-19,2019000.0000000002
2023-01-18,2120000.0
2023-01-17,1947000.0
2023-01-13,2163000.0
2023-01-12,2235000.0
2023-01-11,2019000.0000000002
2023-01-10,2019000.0000000002
2023-01-09,2380000.0
2023-01-06,2307000.0
2023-01-05,2704000.0
2023-01-04,2668000.0
2023-01-03,2740000.0
2022-12-30,2524000.0
2022-12-29,2480000.0
2022-12-28,2884000.0
2022-12-27,1442000.0
2022-12-23,1832000.0
2022-12-22,1846000.0
2022-12-21,1586000.0
2022-12-20,1666000.0
2022-12-19,1586000.0
2022-12-16,1803000.0
2022-12-15,1586000.0
2022-12-14,1673000.0
2022-12-13,1731000.0
2022-12-12,1911000.0
2022-12-09,1673000.0
2022-12-08,1759000.0
2022-12-07,1702000.0
2022-12-06,2019000.0000000002
2022-12-05,1731000.0
2022-12-02,1875000.0
2022-12-01,1865000.0
2022-11-30,1865000.0
2022-11-29,1729000.0
2022-11-28,1765000.0
2022-11-25,1765000.0
2022-11-23,1765000.0
2022-11-22,1779000.0
2022-11-21,1879000.0
2022-11-18,1722000.0
2022-11-17,1793000.0
2022-11-16,1765000.0
2022-11-15,1779000.0
2022-11-14,1836000.0
2022-11-11,1779000.0
2022-11-10,1779000.0
2022-11-09,1808000.0
2022-11-08,1844000.0
2022-11-07,1894000.0
2022-11-04,1793000.0
2022-11-03,1822000.0
2022-11-02,1808000.0
2022-11-01,1937000.0
2022-10-31,1793000.0
2022-10-28,1598000.0
2022-10-27,1653000.0
2022-10-26,1791000.0
2022-10-25,1956000.0
2022-10-24,1963000.0
2022-10-21,2053000.0
2022-10-20,2128000.0
2022-10-19,2115000.0
2022-10-18,2163000.0
2022-10-17,2004000.0
2022-10-14,1791000.0
2022-10-13,1984000.0
2022-10-12,2177000.0
2022-10-11,1860000.0
2022-10-10,2246000.0
2022-10-07,2190000.0
2022-10-06,2314000.0
