Date,Market Cap
2023-04-25,0.0
2023-04-24,0.0
2023-04-21,0.0
2023-04-20,0.0
2023-04-19,0.0
2023-04-18,0.0
2023-04-17,0.0
2023-04-14,0.0
2023-04-13,0.0
2023-04-12,0.0
2023-04-11,0.0
2023-04-10,0.0
2023-04-06,0.0
2023-04-05,0.0
2023-04-04,0.0
2023-04-03,0.0
2023-03-31,0.0
2023-03-30,0.0
2023-03-29,0.0
2023-03-28,0.0
2023-03-27,0.0
2023-03-24,0.0
2023-03-23,0.0
2023-03-22,0.0
2023-03-21,0.0
2023-03-20,0.0
2023-03-17,0.0
2023-03-16,0.0
2023-03-15,0.0
2023-03-14,0.0
2023-03-13,0.0
2023-03-10,0.0
2023-03-09,0.0
2023-03-08,0.0
2023-03-07,0.0
2023-03-06,0.0
2023-03-03,671600.0
2023-03-02,671600.0
2023-03-01,671600.0
2023-02-28,671600.0
2023-02-27,0.0
2023-02-24,0.0
2023-02-23,0.0
2023-02-22,0.0
2023-02-21,0.0
2023-02-17,0.0
2023-02-16,0.0
2023-02-15,0.0
2023-02-14,671600.0
2023-02-13,0.0
2023-02-10,0.0
2023-02-09,0.0
2023-02-08,0.0
2023-02-07,671600.0
2023-02-06,671600.0
2023-02-03,671600.0
2023-02-02,671600.0
2023-02-01,335800.0
2023-01-31,671600.0
2023-01-30,671600.0
2023-01-27,671600.0
2023-01-26,671600.0
2023-01-25,0.0
2023-01-24,0.0
2023-01-23,671600.0
2023-01-20,671600.0
2023-01-19,671600.0
2023-01-18,671600.0
2023-01-17,671600.0
2023-01-13,671600.0
2023-01-12,671600.0
2023-01-11,671600.0
2023-01-10,671600.0
2023-01-09,671600.0
2023-01-06,671600.0
2023-01-05,671600.0
2023-01-04,0.0
2023-01-03,0.0
2022-12-30,0.0
2022-12-29,0.0
2022-12-28,0.0
2022-12-27,0.0
2022-12-23,0.0
2022-12-22,0.0
2022-12-21,0.0
2022-12-20,0.0
2022-12-19,671600.0
2022-12-16,671600.0
2022-12-15,0.0
2022-12-14,671600.0
2022-12-13,671600.0
2022-12-12,671600.0
2022-12-09,671600.0
2022-12-08,671600.0
2022-12-07,671600.0
2022-12-06,671600.0
2022-12-05,0.0
2022-12-02,671600.0
2022-12-01,671600.0
2022-11-30,671600.0
2022-11-29,671600.0
2022-11-28,671600.0
2022-11-25,671600.0
2022-11-23,671600.0
2022-11-22,671600.0
2022-11-21,671600.0
2022-11-18,671600.0
2022-11-17,671600.0
2022-11-16,671600.0
2022-11-15,671600.0
2022-11-14,0.0
2022-11-11,671600.0
2022-11-10,671600.0
2022-11-09,671600.0
2022-11-08,0.0
2022-11-07,0.0
2022-11-04,0.0
2022-11-03,0.0
2022-11-02,671600.0
2022-11-01,671600.0
2022-10-31,671600.0
2022-10-28,671600.0
2022-10-27,671600.0
2022-10-26,671600.0
2022-10-25,671600.0
2022-10-24,671600.0
2022-10-21,671600.0
2022-10-20,671600.0
2022-10-19,671600.0
2022-10-18,671600.0
2022-10-17,671600.0
2022-10-14,671600.0
2022-10-13,671600.0
2022-10-12,671600.0
2022-10-11,671600.0
2022-10-10,671600.0
2022-10-07,671600.0
2022-10-06,671600.0
2022-10-05,6700.0
2022-10-04,671600.0
2022-10-03,671600.0
2022-09-30,671600.0
2022-09-29,6700.0
2022-09-28,6700.0
2022-09-27,6700.0
2022-09-26,6700.0
2022-09-23,6700.0
2022-09-22,6700.0
2022-09-21,6700.0
2022-09-20,6700.0
2022-09-19,6700.0
2022-09-16,6700.0
2022-09-15,6700.0
2022-09-14,6700.0
2022-09-13,6700.0
2022-09-12,6700.0
2022-09-09,6700.0
2022-09-08,6700.0
2022-09-07,6700.0
2022-09-06,6700.0
2022-09-02,6700.0
2022-09-01,6700.0
2022-08-31,6700.0
2022-08-30,6700.0
2022-08-29,671600.0
2022-08-24,6700.0
2022-08-23,6700.0
2022-08-22,6700.0
2022-08-19,6700.0
2022-08-18,6700.0
2022-08-17,6700.0
2022-08-16,6700.0
2022-08-15,6700.0
2022-08-12,6700.0
2022-08-11,6700.0
2022-08-10,6700.0
2022-08-09,6700.0
2022-08-08,6700.0
2022-08-05,6700.0
2022-08-04,6700.0
2022-08-03,6700.0
2022-08-02,6700.0
2022-08-01,6700.0
2022-07-29,6700.0
2022-07-28,6700.0
2022-07-27,6700.0
2022-07-26,6700.0
2022-07-25,6700.0
2022-07-22,6700.0
2022-07-21,6700.0
2022-07-20,6700.0
2022-07-19,6700.0
2022-07-18,6700.0
2022-07-15,6700.0
2022-07-14,6700.0
2022-07-13,6700.0
2022-07-12,6700.0
2022-07-11,6700.0
2022-07-08,6700.0
2022-07-07,6700.0
2022-07-06,6700.0
2022-07-05,6700.0
2022-07-01,6700.0
2022-06-30,6700.0
2022-06-29,6700.0
2022-06-28,6700.0
2022-06-27,6700.0
2022-06-24,6700.0
2022-06-23,6700.0
2022-06-22,6700.0
2022-06-21,6700.0
2022-06-17,6700.0
2022-06-16,6700.0
2022-06-15,6700.0
2022-06-14,6700.0
2022-06-13,6700.0
2022-06-10,6700.0
2022-06-09,6700.0
2022-06-08,6700.0
2022-06-07,6700.0
2022-06-06,6700.0
2022-06-03,6700.0
2022-06-02,6700.0
2022-06-01,6700.0
2022-05-31,6700.0
2022-05-27,6700.0
2022-05-26,6700.0
2022-05-25,6700.0
2022-05-24,6700.0
2022-05-23,6700.0
2022-05-20,6700.0
2022-05-19,6700.0
2022-05-18,6700.0
2022-05-17,6700.0
2022-05-16,671600.0
2022-05-13,671600.0
2022-05-12,671600.0
2022-05-11,671600.0
2022-05-10,671600.0
2022-05-09,671600.0
2022-05-06,671600.0
2022-05-05,671600.0
2022-05-04,671600.0
2022-05-03,671600.0
2022-05-02,6700.0
2022-04-29,6700.0
2022-04-28,6700.0
2022-04-27,6700.0
2022-04-26,6700.0
2022-04-25,6700.0
2022-04-22,6700.0
2022-04-21,6700.0
2022-04-20,6700.0
2022-04-19,6700.0
2022-04-18,6700.0
2022-04-14,6700.0
2022-04-13,6700.0
2022-04-12,6700.0
2022-04-11,6700.0
2022-04-08,6700.0
2022-04-07,6700.0
2022-04-06,6700.0
2022-04-05,6700.0
2022-04-04,6700.0
2022-04-01,6700.0
2022-03-31,6700.0
2022-03-30,6700.0
2022-03-29,6700.0
2022-03-28,6700.0
2022-03-25,6700.0
2022-03-24,6700.0
2022-03-23,6700.0
2022-03-22,6700.0
2022-03-21,6700.0
2022-03-18,6700.0
2022-03-17,6700.0
2022-03-16,6700.0
2022-03-15,6700.0
2022-03-14,6700.0
2022-03-11,6700.0
2022-03-10,6700.0
2022-03-09,6700.0
2022-03-08,6700.0
2022-03-07,6700.0
2022-03-04,6700.0
2022-03-03,6700.0
2022-03-02,6700.0
2022-03-01,6700.0
2022-02-28,6700.0
2022-02-25,6700.0
2022-02-24,6700.0
2022-02-23,6700.0
2022-02-22,6700.0
2022-02-18,6700.0
2022-02-17,6700.0
2022-02-16,6700.0
2022-02-15,6700.0
2022-02-14,6700.0
2022-02-11,6700.0
2022-02-10,6700.0
2022-02-09,6700.0
2022-02-08,6700.0
2022-02-07,6700.0
2022-02-04,6700.0
2022-02-03,6700.0
2022-02-02,6700.0
2022-02-01,6700.0
2022-01-31,6700.0
2022-01-28,6700.0
2022-01-27,6700.0
2022-01-26,6700.0
2022-01-25,6700.0
2022-01-24,6700.0
2022-01-21,6700.0
2022-01-20,6700.0
2022-01-19,6700.0
2022-01-18,6700.0
2022-01-14,671600.0
2022-01-13,671600.0
2022-01-12,671600.0
2022-01-11,671600.0
2022-01-10,67200.0
2022-01-07,6700.0
2022-01-06,6700.0
2022-01-05,6700.0
2022-01-04,6700.0
2022-01-03,6700.0
2021-12-31,6700.0
2021-12-30,6700.0
2021-12-29,6700.0
2021-12-28,67200.0
2021-12-27,6700.0
2021-12-23,6700.0
2021-12-22,6700.0
2021-12-21,6700.0
2021-12-20,6700.0
2021-12-17,671600.0
2021-12-16,671600.0
2021-12-15,6700.0
2021-12-14,671600.0
2021-12-13,671600.0
2021-12-10,671600.0
2021-12-09,6700.0
2021-12-08,671600.0
2021-12-07,671600.0
2021-12-06,671600.0
2021-12-03,6700.0
2021-12-02,6700.0
2021-12-01,671600.0
2021-11-30,671600.0
2021-11-29,671600.0
2021-11-26,671600.0
2021-11-24,671600.0
2021-11-23,671600.0
2021-11-22,6700.0
2021-11-19,6700.0
2021-11-18,6700.0
2021-11-17,671600.0
2021-11-16,671600.0
2021-11-15,671600.0
2021-11-12,671600.0
2021-11-11,671600.0
2021-11-10,6700.0
2021-11-09,671600.0
2021-11-08,6700.0
2021-11-05,6700.0
2021-11-04,671600.0
2021-11-03,671600.0
2021-11-02,671600.0
2021-11-01,671600.0
2021-10-29,6700.0
2021-10-28,671600.0
