Date,Market Cap
2023-04-25,438400.0
2023-04-24,438400.0
2023-04-21,438400.0
2023-04-20,438400.0
2023-04-19,438400.0
2023-04-18,438400.0
2023-04-17,438400.0
2023-04-14,438400.0
2023-04-13,438400.0
2023-04-12,438400.0
2023-04-11,438400.0
2023-04-10,438400.0
2023-04-06,438400.0
2023-04-05,438400.0
2023-04-04,438400.0
2023-04-03,438400.0
2023-03-31,438400.0
2023-03-30,438400.0
2023-03-29,438400.0
2023-03-28,438400.0
2023-03-27,438400.0
2023-03-24,438400.0
2023-03-23,438400.0
2023-03-22,438400.0
2023-03-21,438400.0
2023-03-20,438400.0
2023-03-17,438400.0
2023-03-16,438400.0
2023-03-15,438400.0
2023-03-14,438400.0
2023-03-13,438400.0
2023-03-10,438400.0
2023-03-09,438400.0
2023-03-08,438400.0
2023-03-07,438400.0
2023-03-06,438400.0
2023-03-03,438400.0
2023-03-02,438400.0
2023-03-01,438400.0
2023-02-28,438400.0
2023-02-27,438400.0
2023-02-24,438400.0
2023-02-23,438400.0
2023-02-22,438400.0
2023-02-21,438400.0
2023-02-17,438400.0
2023-02-16,438400.0
2023-02-15,438400.0
2023-02-14,438400.0
2023-02-13,438400.0
2023-02-10,438400.0
2023-02-09,438400.0
2023-02-08,438400.0
2023-02-07,438400.0
2023-02-06,438400.0
2023-02-03,584600.0
2023-02-02,584600.0
2023-02-01,584600.0
2023-01-31,438400.0
2023-01-30,438400.0
2023-01-27,438400.0
2023-01-26,438400.0
2023-01-25,438400.0
2023-01-24,438400.0
2023-01-23,438400.0
2023-01-20,438400.0
2023-01-19,438400.0
2023-01-18,438400.0
2023-01-17,438400.0
2023-01-13,438400.0
2023-01-12,438400.0
2023-01-11,438400.0
2023-01-10,438400.0
2023-01-09,438400.0
2023-01-06,438400.0
2023-01-05,438400.0
2023-01-04,438400.0
2023-01-03,438400.0
2022-12-30,438400.0
2022-12-29,438400.0
2022-12-28,438400.0
2022-12-27,584600.0
2022-12-23,438400.0
2022-12-22,438400.0
2022-12-21,438400.0
2022-12-20,584600.0
2022-12-19,584600.0
2022-12-16,438400.0
2022-12-15,438400.0
2022-12-14,438400.0
