Date,Market Cap
2023-04-25,27500.0
2023-04-24,27500.0
2023-04-21,28900.0
2023-04-20,33000.0
2023-04-19,27500.0
2023-04-18,30300.0
2023-04-17,33000.0
2023-04-14,31700.0
2023-04-13,27500.0
2023-04-12,29600.0
2023-04-11,30300.0
2023-04-10,34400.0
2023-04-06,37200.0
2023-04-05,27500.0
2023-04-04,33000.0
2023-04-03,30300.0
2023-03-31,30300.0
2023-03-30,34400.0
2023-03-29,38600.0
2023-03-28,39900.0
2023-03-27,37200.0
2023-03-24,31700.0
2023-03-23,31000.0
2023-03-22,33000.0
2023-03-21,38600.0
2023-03-20,23400.0
2023-03-17,28900.0
2023-03-16,23800.0
2023-03-15,22000.0
2023-03-14,24800.0
2023-03-13,23400.0
2023-03-10,23400.0
2023-03-09,26200.0
2023-03-08,25200.0
2023-03-07,27500.0
2023-03-06,31700.0
2023-03-03,31700.0
2023-03-02,34400.0
2023-03-01,37200.0
2023-02-28,31700.0
2023-02-27,35800.0
2023-02-24,34800.0
2023-02-23,31700.0
2023-02-22,35800.0
2023-02-21,34700.0
2023-02-17,34700.0
2023-02-16,34700.0
2023-02-15,34400.0
2023-02-14,33000.0
2023-02-13,33000.0
2023-02-10,34400.0
2023-02-09,27500.0
2023-02-08,27500.0
2023-02-07,27500.0
2023-02-06,27500.0
2023-02-03,27500.0
2023-02-02,27500.0
2023-02-01,27500.0
2023-01-31,31700.0
2023-01-30,28900.0
2023-01-27,31700.0
2023-01-26,31700.0
2023-01-25,26200.0
2023-01-24,26200.0
2023-01-23,26200.0
2023-01-20,26200.0
2023-01-19,26200.0
2023-01-18,26200.0
2023-01-17,28900.0
2023-01-13,28900.0
2023-01-12,24800.0
2023-01-11,23400.0
2023-01-10,28900.0
2023-01-09,28200.0
2023-01-06,27500.0
2023-01-05,23400.0
2023-01-04,28900.0
2023-01-03,28900.0
2022-12-30,22000.0
2022-12-29,27500.0
2022-12-28,27500.0
2022-12-27,28900.0
2022-12-23,27500.0
2022-12-22,27500.0
2022-12-21,27500.0
2022-12-20,27500.0
2022-12-19,27500.0
2022-12-16,33000.0
2022-12-15,27500.0
2022-12-14,27500.0
2022-12-13,31700.0
2022-12-12,31700.0
2022-12-09,34400.0
2022-12-08,31700.0
2022-12-07,31700.0
2022-12-06,31700.0
2022-12-05,30300.0
2022-12-02,31700.0
2022-12-01,35000.0
2022-11-30,35800.0
2022-11-29,31700.0
2022-11-28,31700.0
2022-11-25,34400.0
2022-11-23,37200.0
2022-11-22,31700.0
2022-11-21,33000.0
2022-11-18,37200.0
2022-11-17,37200.0
2022-11-16,33000.0
2022-11-15,38600.0
2022-11-14,31700.0
2022-11-11,31700.0
2022-11-10,38600.0
2022-11-09,38600.0
2022-11-08,38600.0
2022-11-07,34400.0
2022-11-04,33000.0
2022-11-03,37200.0
2022-11-02,37200.0
2022-11-01,37200.0
2022-10-31,35800.0
2022-10-28,35800.0
2022-10-27,41300.0
2022-10-26,41300.0
2022-10-25,35800.0
2022-10-24,41300.0
2022-10-21,33000.0
2022-10-20,31700.0
2022-10-19,34400.0
2022-10-18,34400.0
2022-10-17,33000.0
2022-10-14,33000.0
2022-10-13,33000.0
2022-10-12,33000.0
2022-10-11,34400.0
2022-10-10,34400.0
2022-10-07,34400.0
2022-10-06,37900.0
2022-10-05,37900.0
2022-10-04,37200.0
2022-10-03,33000.0
2022-09-30,33000.0
2022-09-29,31700.0
2022-09-28,38600.0
2022-09-27,33000.0
2022-09-26,30300.0
2022-09-23,37200.0
2022-09-22,37200.0
2022-09-21,37200.0
2022-09-20,38600.0
2022-09-19,41300.0
2022-09-16,38600.0
2022-09-15,38600.0
2022-09-14,39900.0
2022-09-13,44100.0
2022-09-12,42700.0
2022-09-09,41300.0
2022-09-08,44100.0
2022-09-07,44100.0
2022-09-06,42700.0
2022-09-02,42700.0
2022-09-01,49600.0
2022-08-31,49600.0
2022-08-30,41300.0
2022-08-29,44800.0
2022-08-26,42700.0
2022-08-25,53700.0
2022-08-24,45400.0
2022-08-23,44100.0
2022-08-22,48200.0
2022-08-19,48200.0
2022-08-18,48200.0
2022-08-17,48200.0
2022-08-16,55100.0
2022-08-15,60600.0
2022-08-12,81200.0
2022-08-11,66100.0
2022-08-10,59200.0
2022-08-09,57800.0
2022-08-08,62000.0
2022-08-05,64699.99999999999
2022-08-04,68900.0
2022-08-03,64699.99999999999
2022-08-02,64699.99999999999
2022-08-01,66100.0
2022-07-29,63299.99999999999
2022-07-28,68900.0
2022-07-27,73700.0
2022-07-26,67500.0
2022-07-25,56500.0
2022-07-22,55100.0
2022-07-21,57800.0
2022-07-20,56500.0
2022-07-19,63299.99999999999
2022-07-18,71600.0
2022-07-15,73000.0
2022-07-14,71600.0
2022-07-13,64699.99999999999
2022-07-12,62000.0
2022-07-11,52300.0
2022-07-08,39900.0
2022-07-07,41300.0
2022-07-06,48200.0
2022-07-05,39900.0
2022-07-01,39900.0
2022-06-30,46800.0
2022-06-29,37200.0
2022-06-28,41300.0
2022-06-27,42700.0
2022-06-24,46800.0
2022-06-23,39900.0
2022-06-22,45400.0
2022-06-21,41300.0
2022-06-17,42700.0
2022-06-16,38600.0
2022-06-15,41300.0
2022-06-14,38600.0
2022-06-13,41300.0
2022-06-10,41300.0
2022-06-09,39900.0
2022-06-08,42700.0
2022-06-07,44100.0
2022-06-06,41300.0
2022-06-03,46800.0
2022-06-02,41300.0
2022-06-01,41300.0
2022-05-31,37200.0
2022-05-27,42700.0
2022-05-26,42700.0
2022-05-25,44200.0
2022-05-24,37200.0
2022-05-23,44100.0
2022-05-20,48200.0
2022-05-19,53700.0
2022-05-18,55100.0
2022-05-17,57800.0
2022-05-16,62000.0
2022-05-13,68900.0
2022-05-12,60600.0
2022-05-11,59200.0
2022-05-10,64699.99999999999
2022-05-09,64699.99999999999
2022-05-06,75700.0
2022-05-05,68900.0
2022-05-04,74400.0
2022-05-03,61100.0
2022-05-02,79900.0
2022-04-29,62799.99999999999
2022-04-28,68900.0
2022-04-27,74400.0
2022-04-26,75700.0
2022-04-25,77100.0
2022-04-22,77100.0
2022-04-21,81200.0
2022-04-20,77100.0
2022-04-19,77100.0
2022-04-18,79900.0
2022-04-14,85400.0
2022-04-13,82600.0
2022-04-12,84000.0
2022-04-11,79900.0
2022-04-08,85400.0
2022-04-07,80700.0
2022-04-06,82600.0
2022-04-05,75700.0
2022-04-04,81200.0
2022-04-01,77100.0
2022-03-31,81200.0
2022-03-30,78500.0
2022-03-29,79900.0
2022-03-28,78500.0
2022-03-25,84000.0
2022-03-24,78500.0
2022-03-23,78500.0
2022-03-22,73000.0
2022-03-21,75700.0
2022-03-18,86800.0
2022-03-17,82600.0
2022-03-16,84000.0
2022-03-15,78500.0
2022-03-14,77100.0
2022-03-11,88100.0
2022-03-10,82600.0
2022-03-09,82600.0
2022-03-08,85400.0
2022-03-07,78500.0
2022-03-04,88100.0
2022-03-03,85400.0
2022-03-02,85400.0
2022-03-01,81200.0
2022-02-28,89500.0
2022-02-25,86800.0
2022-02-24,88500.0
2022-02-23,92900.0
2022-02-22,97900.0
2022-02-18,108800.0
2022-02-17,121200.0
2022-02-16,119800.0
2022-02-15,118400.0
2022-02-14,100500.0
2022-02-11,110200.0
2022-02-10,100500.0
2022-02-09,95000.0
2022-02-08,100500.0
2022-02-07,96400.0
2022-02-04,117000.0
2022-02-03,118300.0
2022-02-02,89500.0
2022-02-01,99100.0
2022-01-31,120500.0
2022-01-28,101900.0
2022-01-27,104700.0
2022-01-26,103300.0
2022-01-25,108800.0
2022-01-24,85400.0
