Date,Market Cap
2023-04-25,0.0
2023-04-24,0.0
2023-04-21,0.0
2023-04-20,0.0
2023-04-19,0.0
2023-04-18,0.0
2023-04-17,0.0
2023-04-14,0.0
2023-04-13,0.0
2023-04-12,0.0
2023-04-11,0.0
2023-04-10,0.0
2023-04-06,0.0
2023-04-05,0.0
2023-04-04,0.0
2023-04-03,0.0
2023-03-31,0.0
2023-03-30,0.0
2023-03-29,0.0
2023-03-28,0.0
2023-03-27,0.0
2023-03-24,0.0
2023-03-23,0.0
2023-03-22,0.0
2023-03-21,0.0
2023-03-20,0.0
2023-03-17,0.0
2023-03-16,0.0
2023-03-15,0.0
2023-03-14,0.0
2023-03-13,0.0
2023-03-10,0.0
2023-03-09,0.0
2023-03-08,0.0
2023-03-07,0.0
2023-03-06,0.0
2023-03-03,0.0
2023-03-02,0.0
2023-03-01,0.0
2023-02-28,800.0
2023-02-27,800.0
2023-02-24,800.0
2023-02-23,800.0
2023-02-22,800.0
2023-02-21,800.0
2023-02-17,800.0
2023-02-16,800.0
2023-02-15,0.0
2023-02-14,0.0
2023-02-13,0.0
2023-02-10,0.0
2023-02-09,0.0
2023-02-08,0.0
2023-02-07,0.0
2023-02-06,0.0
2023-02-03,0.0
2023-02-02,0.0
2023-02-01,0.0
2023-01-31,0.0
2023-01-30,0.0
2023-01-27,0.0
2023-01-26,0.0
2023-01-25,0.0
2023-01-24,0.0
2023-01-23,0.0
2023-01-20,0.0
2023-01-19,0.0
2023-01-18,0.0
2023-01-17,0.0
2023-01-13,0.0
2023-01-12,0.0
2023-01-11,0.0
2023-01-10,0.0
2023-01-09,0.0
2023-01-06,0.0
2023-01-05,0.0
2023-01-04,0.0
2023-01-03,0.0
2022-12-30,0.0
2022-12-29,0.0
2022-12-28,0.0
2022-12-27,0.0
2022-12-23,0.0
2022-12-22,0.0
2022-12-21,0.0
2022-12-20,0.0
2022-12-19,0.0
2022-12-16,0.0
2022-12-15,0.0
2022-12-14,0.0
2022-12-13,0.0
2022-12-12,0.0
2022-12-09,0.0
2022-12-08,0.0
2022-12-07,0.0
2022-12-06,0.0
2022-12-05,0.0
2022-12-02,0.0
2022-12-01,0.0
2022-11-30,0.0
2022-11-29,0.0
2022-11-28,0.0
2022-11-25,0.0
2022-11-22,0.0
2022-11-21,0.0
2022-11-18,0.0
2022-11-17,0.0
2022-11-16,0.0
2022-11-15,800.0
2022-11-14,800.0
2022-11-11,800.0
2022-11-10,800.0
2022-11-09,800.0
2022-11-08,800.0
2022-11-07,800.0
2022-11-04,800.0
2022-11-03,800.0
2022-11-02,800.0
2022-11-01,800.0
2022-05-17,800.0
2022-05-16,800.0
2022-05-13,800.0
2022-05-12,800.0
2022-05-11,800.0
2022-05-10,800.0
2022-05-09,800.0
2022-05-06,800.0
2022-05-05,800.0
2022-05-04,800.0
2022-05-03,800.0
2022-05-02,800.0
2022-04-29,800.0
2022-04-28,800.0
2022-04-27,800.0
2022-04-26,800.0
2022-03-02,800.0
2022-03-01,800.0
2022-02-28,800.0
2022-02-25,800.0
2022-02-24,800.0
2022-02-23,800.0
2022-02-22,800.0
2022-02-18,800.0
2022-02-17,800.0
2022-02-16,800.0
2022-02-15,800.0
2022-02-14,800.0
2022-02-11,800.0
2022-02-10,800.0
2022-02-09,800.0
2022-02-08,800.0
2022-02-07,800.0
2022-02-04,800.0
2022-02-03,800.0
2022-02-02,800.0
2022-02-01,800.0
2022-01-31,800.0
2022-01-28,800.0
2022-01-27,800.0
2022-01-26,800.0
2022-01-25,800.0
2022-01-24,800.0
2022-01-21,800.0
2022-01-20,800.0
2022-01-19,800.0
2022-01-18,800.0
2022-01-14,800.0
2022-01-13,800.0
2022-01-12,800.0
2022-01-11,800.0
2022-01-10,800.0
2022-01-07,800.0
2022-01-06,800.0
2022-01-05,800.0
2022-01-04,800.0
2022-01-03,800.0
2021-12-31,800.0
2021-12-30,800.0
2021-12-29,800.0
2021-12-28,800.0
2021-12-27,800.0
2021-12-23,800.0
2021-12-22,800.0
2021-12-21,800.0
2021-12-20,800.0
2021-12-17,1600.0
2021-12-16,1600.0
2021-12-15,1600.0
2021-12-14,1600.0
2021-12-13,1600.0
2021-12-10,1600.0
2021-12-09,1600.0
2021-12-08,800.0
2021-10-18,1600.0
2021-10-15,1600.0
2021-10-14,1600.0
2021-10-13,1600.0
2021-10-12,1600.0
2021-10-11,1600.0
2021-10-08,1600.0
2021-10-07,1600.0
2021-10-06,1600.0
2021-10-05,1600.0
2021-10-04,1600.0
2021-10-01,1600.0
2021-09-30,1600.0
2021-09-29,1600.0
2021-09-28,1600.0
2021-09-27,1600.0
2021-09-24,1600.0
2021-09-23,1600.0
2021-09-22,1600.0
2021-09-21,1600.0
2021-09-20,1600.0
2021-09-17,1600.0
2021-09-16,1600.0
2021-09-15,1600.0
2021-09-14,1600.0
2021-09-13,1600.0
2021-09-10,1600.0
2021-09-09,1600.0
2021-09-08,1600.0
2021-09-07,1600.0
2021-09-03,1600.0
2021-09-02,1600.0
2021-09-01,1600.0
2021-08-31,1600.0
2021-08-30,1600.0
2021-08-27,1600.0
2021-08-26,1600.0
2021-08-25,1600.0
2021-08-24,1600.0
2021-08-23,1600.0
2021-08-20,1600.0
2021-08-19,1600.0
2021-08-18,1600.0
2021-08-17,1600.0
2021-08-16,1600.0
2021-08-13,1600.0
2021-08-12,1600.0
2021-08-11,1600.0
2021-08-10,1600.0
2021-08-09,1600.0
2021-08-06,1600.0
2021-08-05,1600.0
2021-08-04,1600.0
2021-08-03,1600.0
2021-08-02,1600.0
2021-07-30,1600.0
2021-07-29,14400.0
2021-07-28,800.0
2021-07-27,800.0
2021-06-15,16000.0
2021-06-14,16000.0
2021-06-11,16000.0
2021-06-10,16000.0
2021-06-09,16000.0
2021-06-08,16000.0
2021-06-07,16000.0
2021-06-04,16000.0
2021-06-03,16000.0
2021-06-02,16000.0
2021-06-01,16000.0
2021-05-28,16000.0
2021-05-27,16000.0
2021-05-26,16000.0
2021-05-25,16000.0
2021-05-24,16000.0
2021-05-21,12800.0
2021-05-20,16800.0
2021-05-19,16800.0
2021-05-18,16800.0
2021-05-17,23200.0
2021-05-14,23200.0
2021-05-13,24800.0
2021-05-12,24800.0
2021-05-11,28000.0
2021-05-10,16000.0
2021-05-07,16000.0
2021-05-06,16000.0
2021-05-05,16000.0
2021-05-04,16000.0
2021-05-03,16000.0
2021-04-30,16000.0
2021-04-29,18400.0
2021-04-28,18400.0
2021-04-27,32000.0
2021-04-26,45500.0
2021-04-23,47900.0
2021-04-22,17600.0
2021-04-21,17600.0
2021-04-20,17600.0
2021-04-19,17600.0
2021-04-16,17600.0
2021-04-15,17600.0
2021-04-14,17600.0
2021-04-13,17600.0
2021-04-12,17600.0
2021-04-09,17600.0
2021-04-08,17600.0
2021-04-07,17600.0
2021-04-06,17600.0
2021-04-05,50300.0
2021-04-01,17600.0
2021-03-31,17600.0
2021-03-30,17600.0
2021-03-29,17600.0
2021-03-26,17600.0
2021-03-25,17600.0
2021-03-24,17600.0
2021-03-23,17600.0
2021-03-22,17600.0
2021-03-19,17600.0
2021-03-18,17600.0
2021-03-17,19200.0
2021-03-16,19200.0
2021-03-15,19200.0
2021-03-12,17600.0
2021-03-11,17600.0
2021-03-10,17600.0
2021-03-09,111800.0
2021-03-08,111800.0
2021-03-05,43900.0
2021-03-04,43900.0
2021-03-03,43900.0
2021-03-02,43900.0
2021-03-01,43900.0
2021-02-26,44700.0
2021-02-25,44700.0
2021-02-24,39900.0
2021-02-23,39900.0
2021-02-22,32000.0
2021-02-19,111800.0
2021-02-18,79900.0
2021-02-17,79900.0
2021-02-16,127800.0
2021-02-12,111800.0
2021-02-11,82300.0
2021-02-10,679000.0
2021-02-09,14400.0
2021-02-08,16000.0
2021-02-05,2400.0
2021-02-04,5600.0
2021-02-03,5600.0
2021-02-02,5600.0
2021-02-01,5600.0
2021-01-29,4800.0
2021-01-28,4800.0
2021-01-27,4800.0
2021-01-26,4800.0
2021-01-25,24000.0
2021-01-22,32000.0
2021-01-21,4800.0
2021-01-20,4800.0
2021-01-19,4800.0
2021-01-15,4800.0
2021-01-14,4800.0
2021-01-13,4800.0
2021-01-12,4000.0
2021-01-11,4000.0
2021-01-08,4000.0
2021-01-07,4000.0
2021-01-06,4000.0
2021-01-05,4000.0
2021-01-04,4000.0
2020-12-31,4000.0
2020-12-30,4000.0
2020-12-29,4000.0
2020-12-28,39100.0
2020-12-24,39100.0
2020-12-23,39100.0
2020-12-22,39100.0
2020-12-21,39100.0
2020-12-18,6400.0
2020-12-17,6400.0
2020-12-16,6400.0
2020-12-15,6400.0
2020-12-14,6400.0
2020-12-11,6400.0
2020-12-10,6400.0
2020-12-09,6400.0
2020-12-08,6400.0
