Date,Market Cap
2023-04-25,9800.0
2023-04-24,7900.000000000001
2023-04-21,7900.000000000001
2023-04-20,7900.000000000001
2023-04-19,9800.0
2023-04-18,9800.0
2023-04-17,5900.0
2023-04-14,5900.0
2023-04-13,5900.0
2023-04-12,5900.0
2023-04-11,5900.0
2023-04-10,5900.0
2023-04-06,5900.0
2023-04-05,9800.0
2023-04-04,9800.0
2023-04-03,9800.0
2023-03-31,9800.0
2023-03-30,9800.0
2023-03-29,9800.0
2023-03-28,5900.0
2023-03-27,5900.0
2023-03-24,5900.0
2023-03-23,5900.0
2023-03-22,5900.0
2023-03-21,5900.0
2023-03-20,5900.0
2023-03-17,5900.0
2023-03-16,5900.0
2023-03-15,5900.0
2023-03-14,5900.0
2023-03-13,5900.0
2023-03-10,5900.0
2023-03-09,3900.0
2023-03-08,3900.0
2023-03-07,3900.0
2023-03-06,3900.0
2023-03-03,3900.0
2023-03-02,3900.0
2023-03-01,5900.0
2023-02-28,5900.0
2023-02-27,5900.0
2023-02-24,5900.0
2023-02-23,5900.0
2023-02-22,5900.0
2023-02-21,5900.0
2023-02-17,5900.0
2023-02-16,5900.0
2023-02-15,5900.0
2023-02-14,5900.0
2023-02-13,5900.0
2023-02-10,3900.0
2023-02-09,3900.0
2023-02-08,3900.0
2023-02-07,3900.0
2023-02-06,3900.0
2023-02-03,3900.0
2023-02-02,3900.0
2023-02-01,3900.0
2023-01-31,3900.0
2023-01-30,3900.0
2023-01-27,3900.0
2023-01-26,3900.0
2023-01-25,3900.0
2023-01-24,3900.0
2023-01-23,3900.0
2023-01-20,3900.0
2023-01-19,3900.0
2023-01-18,3900.0
2023-01-17,3900.0
2023-01-13,3900.0
2023-01-12,3900.0
2023-01-11,3900.0
2023-01-10,3900.0
2023-01-09,3900.0
2023-01-06,3900.0
2023-01-05,3900.0
2023-01-04,3900.0
2023-01-03,3900.0
2022-12-30,3900.0
2022-12-29,3900.0
2022-12-28,3900.0
2022-12-27,3900.0
2022-12-23,3900.0
2022-12-22,3900.0
2022-12-21,3900.0
2022-12-20,3900.0
2022-12-19,5900.0
2022-12-16,3900.0
2022-12-15,3900.0
2022-12-14,3900.0
2022-12-13,3900.0
2022-12-12,3900.0
2022-12-09,3900.0
2022-12-08,3900.0
2022-12-07,3900.0
2022-12-06,3900.0
2022-12-05,3900.0
2022-12-02,3900.0
2022-12-01,3900.0
2022-11-30,3900.0
2022-11-29,3900.0
2022-11-28,3900.0
2022-11-25,3900.0
2022-11-23,3900.0
2022-11-22,3900.0
2022-11-21,3900.0
2022-11-18,5900.0
2022-11-17,5900.0
2022-11-16,5900.0
2022-11-15,5900.0
2022-11-14,5900.0
2022-11-11,5900.0
2022-11-10,5900.0
2022-11-09,5900.0
2022-11-08,5900.0
2022-11-07,5900.0
2022-11-04,5900.0
2022-11-03,5900.0
2022-11-02,7900.000000000001
2022-11-01,7900.000000000001
2022-10-31,7900.000000000001
2022-10-28,7900.000000000001
2022-10-27,5900.0
2022-10-26,5900.0
2022-10-25,5900.0
2022-10-24,7900.000000000001
2022-10-21,7900.000000000001
2022-10-20,5900.0
2022-10-19,7900.000000000001
2022-10-18,7900.000000000001
2022-10-17,7900.000000000001
2022-10-14,7900.000000000001
2022-10-13,7900.000000000001
2022-10-12,7900.000000000001
2022-10-11,7900.000000000001
2022-10-10,7900.000000000001
2022-10-07,7900.000000000001
2022-10-06,5900.0
2022-10-05,7900.000000000001
2022-10-04,7900.000000000001
2022-10-03,7900.000000000001
2022-09-30,5900.0
2022-09-29,5900.0
2022-09-28,13800.0
2022-09-27,13800.0
2022-09-26,13800.0
2022-09-23,13800.0
2022-09-22,15699.999999999998
2022-09-21,13800.0
2022-09-20,15699.999999999998
2022-09-19,13800.0
2022-09-16,15699.999999999998
2022-09-15,15699.999999999998
2022-09-14,17700.0
2022-09-13,17700.0
2022-09-12,19600.0
2022-09-09,19600.0
2022-09-08,17700.0
2022-09-07,15699.999999999998
2022-09-06,19600.0
2022-09-02,19600.0
2022-09-01,19600.0
2022-08-31,19600.0
2022-08-30,17700.0
2022-08-29,19600.0
2022-08-26,19600.0
2022-08-25,19600.0
2022-08-24,19600.0
2022-08-23,19600.0
2022-08-22,19600.0
2022-08-19,19600.0
2022-08-18,21600.0
2022-08-17,17700.0
2022-08-16,19600.0
2022-08-15,21600.0
2022-08-12,23600.0
2022-08-11,25500.0
2022-08-10,21600.0
2022-08-09,21600.0
2022-08-08,23600.0
2022-08-05,25500.0
2022-08-04,21600.0
2022-08-03,21600.0
2022-08-02,19600.0
2022-08-01,19600.0
2022-07-29,19600.0
2022-07-28,19600.0
2022-07-27,19600.0
2022-07-26,17700.0
2022-07-25,17700.0
2022-07-22,17700.0
2022-07-21,17700.0
2022-07-20,17700.0
2022-07-19,17700.0
2022-07-18,17700.0
2022-07-15,17700.0
2022-07-14,17700.0
2022-07-13,19600.0
2022-07-12,17700.0
2022-07-11,17700.0
2022-07-08,15699.999999999998
2022-07-07,17700.0
2022-07-06,15699.999999999998
2022-07-05,17700.0
2022-07-01,17700.0
2022-06-30,17700.0
2022-06-29,17700.0
2022-06-28,17700.0
2022-06-27,17700.0
2022-06-24,15699.999999999998
2022-06-23,15699.999999999998
2022-06-22,19600.0
2022-06-21,17700.0
2022-06-17,18700.0
2022-06-16,17700.0
2022-06-15,15699.999999999998
2022-06-14,17700.0
2022-06-13,17700.0
2022-06-10,19600.0
2022-06-09,21600.0
2022-06-08,19600.0
2022-06-07,19600.0
2022-06-06,21600.0
2022-06-03,23600.0
2022-06-02,21600.0
2022-06-01,23600.0
2022-05-31,19600.0
2022-05-27,19600.0
2022-05-26,21600.0
2022-05-25,19600.0
2022-05-24,23600.0
2022-05-23,21600.0
2022-05-20,21600.0
2022-05-19,23600.0
2022-05-18,25500.0
2022-05-17,21600.0
2022-05-16,21600.0
