Date,Market Cap
2023-04-25,443400.0
2023-04-24,443400.0
2023-04-21,443400.0
2023-04-20,443400.0
2023-04-19,443400.0
2023-04-18,443400.0
2023-04-17,443400.0
2023-04-14,443400.0
2023-04-13,443400.0
2023-04-12,443400.0
2023-04-11,443400.0
2023-04-10,443400.0
2023-04-06,443400.0
2023-04-05,443400.0
2023-04-04,443400.0
2023-04-03,443400.0
2023-03-31,443400.0
2023-03-30,443400.0
2023-03-29,443400.0
2023-03-28,443400.0
2023-03-27,443400.0
2023-03-24,443400.0
2023-03-23,443400.0
2023-03-22,443400.0
2023-03-21,443400.0
2023-03-20,443400.0
2023-03-17,443400.0
2023-03-16,443400.0
2023-03-15,443400.0
2023-03-14,443400.0
2023-03-13,443400.0
2023-03-10,443400.0
2023-03-09,443400.0
2023-03-08,441100.0
2023-03-07,441100.0
2023-03-06,441100.0
2023-03-03,441100.0
2023-03-02,441100.0
2023-03-01,441100.0
2023-02-28,441100.0
2023-02-27,441100.0
2023-02-24,441100.0
2023-02-23,441100.0
2023-02-22,441100.0
2023-02-21,441100.0
2023-02-17,443400.0
2023-02-16,443400.0
2023-02-15,443400.0
2023-02-14,443400.0
2023-02-13,443400.0
2023-02-10,438800.0
2023-02-09,438800.0
2023-02-08,438800.0
2023-02-07,438800.0
2023-02-06,438800.0
2023-02-03,438800.0
2023-02-02,371800.0
2023-02-01,371800.0
2023-01-31,371800.0
2023-01-30,371800.0
2023-01-27,371800.0
2023-01-26,346400.0
2023-01-25,346400.0
2023-01-24,346400.0
2023-01-23,346400.0
2023-01-20,346400.0
2023-01-19,346400.0
2023-01-18,334800.0
2023-01-17,334800.0
2023-01-13,334800.0
2023-01-12,334800.0
2023-01-11,334800.0
2023-01-10,334800.0
2023-01-09,334800.0
2023-01-06,334800.0
2023-01-05,279400.0
2023-01-04,279400.0
2023-01-03,279400.0
2022-12-30,279400.0
2022-12-29,277100.0
2022-12-28,277100.0
2022-12-27,277100.0
2022-12-23,277100.0
2022-12-22,277100.0
2022-12-21,277100.0
2022-12-20,277100.0
2022-12-19,277100.0
2022-12-16,277100.0
2022-12-15,277100.0
2022-12-14,277100.0
2022-12-13,277100.0
2022-12-12,277100.0
2022-12-09,277100.0
2022-12-08,277100.0
2022-12-07,277100.0
2022-12-06,277100.0
2022-12-05,353300.0
2022-12-02,353300.0
2022-12-01,353300.0
2022-11-30,353300.0
2022-11-29,353300.0
2022-11-28,353300.0
2022-11-25,353300.0
2022-11-23,353300.0
2022-11-22,353300.0
2022-11-21,353300.0
2022-11-18,353300.0
2022-11-17,353300.0
2022-11-16,353300.0
2022-11-15,353300.0
2022-11-14,353300.0
2022-11-11,353300.0
2022-11-10,353300.0
2022-11-09,353300.0
2022-11-08,353300.0
2022-11-07,353300.0
2022-11-04,353300.0
2022-11-03,353300.0
2022-11-02,353300.0
2022-11-01,353300.0
2022-10-31,353300.0
2022-10-28,353300.0
2022-10-27,353300.0
2022-10-26,353300.0
2022-10-25,353300.0
2022-10-24,353300.0
2022-10-21,353300.0
2022-10-20,353300.0
2022-10-19,353300.0
2022-10-18,353300.0
2022-10-17,353300.0
2022-10-14,353300.0
2022-10-13,353300.0
2022-10-12,346400.0
2022-10-11,346400.0
2022-10-10,346400.0
2022-10-07,346400.0
2022-10-06,346400.0
2022-10-05,346400.0
2022-10-04,346400.0
2022-10-03,346400.0
2022-09-30,325600.0
2022-09-29,325600.0
2022-09-28,325600.0
2022-09-27,325600.0
2022-09-26,325600.0
2022-09-23,325600.0
2022-09-22,325600.0
2022-09-21,325600.0
2022-09-20,325600.0
2022-09-19,325600.0
2022-09-16,325600.0
2022-09-15,325600.0
2022-09-14,325600.0
2022-09-13,325600.0
2022-09-12,325600.0
2022-09-09,325600.0
2022-09-08,325600.0
2022-09-07,325600.0
2022-09-06,325600.0
2022-09-02,325600.0
2022-09-01,325600.0
2022-08-31,325600.0
2022-08-30,325600.0
2022-08-29,325600.0
2022-08-26,325600.0
2022-08-25,325600.0
2022-08-24,325600.0
2022-08-23,325600.0
2022-08-22,230900.0
2022-08-19,212500.0
2022-08-18,150100.0
2022-08-17,150100.0
2022-08-16,150100.0
2022-08-15,150100.0
2022-08-12,150100.0
2022-08-11,150100.0
2022-08-10,140900.0
2022-08-09,140900.0
2022-08-08,140900.0
2022-08-05,140900.0
2022-08-04,140900.0
2022-08-03,140900.0
2022-08-02,140900.0
2022-08-01,140900.0
2022-07-29,140900.0
2022-07-28,140900.0
2022-07-27,140900.0
2022-07-26,140900.0
2022-07-25,140900.0
2022-07-22,140900.0
2022-07-21,140900.0
2022-07-20,140900.0
