Date,Market Cap
2023-04-25,933200.0
2023-04-24,933200.0
2023-04-21,933200.0
2023-04-20,933200.0
2023-04-19,933200.0
2023-04-18,933200.0
2023-04-17,1105000.0
2023-04-14,1064000.0
2023-04-13,1052000.0
2023-04-12,754300.0
2023-04-11,757800.0
2023-04-10,757800.0
2023-04-06,817400.0
2023-04-05,817400.0
2023-04-04,817400.0
2023-04-03,817400.0
2023-03-31,817400.0
2023-03-30,817400.0
2023-03-29,872400.0
2023-03-28,818600.0
2023-03-27,877100.0
2023-03-24,877100.0
2023-03-23,877100.0
2023-03-22,877100.0
2023-03-21,878300.0
2023-03-20,878300.0
2023-03-17,1052000.0
2023-03-16,1052000.0
2023-03-15,1052000.0
2023-03-14,1098000.0
2023-03-13,1099000.0
2023-03-10,1099000.0
2023-03-09,1099000.0
2023-03-08,1046999.9999999999
2023-03-07,1046999.9999999999
2023-03-06,1046999.9999999999
2023-03-03,1046999.9999999999
2023-03-02,1051000.0
2023-03-01,1063000.0
2023-02-28,1072000.0
2023-02-27,1042999.9999999999
2023-02-24,812800.0
2023-02-23,1110000.0
2023-02-22,1082000.0
2023-02-21,1082000.0
2023-02-17,1111000.0
2023-02-16,1109000.0
2023-02-15,1158000.0
2023-02-14,1158000.0
2023-02-13,1052000.0
2023-02-10,960100.0
2023-02-09,1111000.0
2023-02-08,1111000.0
2023-02-07,1111000.0
2023-02-06,1111000.0
2023-02-03,1111000.0
2023-02-02,1111000.0
2023-02-01,1158000.0
2023-01-31,1158000.0
2023-01-30,1158000.0
2023-01-27,1158000.0
2023-01-26,1040999.9999999999
2023-01-25,1324000.0
2023-01-24,1208000.0
2023-01-23,1208000.0
2023-01-20,1322000.0
2023-01-19,1322000.0
2023-01-18,1322000.0
2023-01-17,1170000.0
2023-01-13,1290000.0
2023-01-12,1290000.0
2023-01-11,1290000.0
2023-01-10,1332000.0
2023-01-09,1345000.0
2023-01-06,1204000.0
2023-01-05,1210000.0
2023-01-04,1210000.0
2023-01-03,1152000.0
2022-12-30,1403000.0
2022-12-29,1140000.0
2022-12-28,1140000.0
2022-12-27,1462000.0
2022-12-23,1421000.0
2022-12-22,1392000.0
2022-12-21,1415000.0
2022-12-20,1403000.0
2022-12-19,1403000.0
2022-12-16,1485000.0
2022-12-15,1507000.0
2022-12-14,1630000.0
2022-12-13,1322000.0
2022-12-12,1403000.0
2022-12-09,1705000.0
2022-12-08,1965000.0
2022-12-07,1608000.0
2022-12-06,2248000.0
2022-12-05,1691000.0
2022-12-02,1369000.0
2022-12-01,1193000.0
2022-11-30,1113000.0
2022-11-29,1548000.0
2022-11-28,1579000.0
2022-11-25,1573000.0
2022-11-23,1608000.0
2022-11-22,1608000.0
2022-11-21,1608000.0
2022-11-18,1580000.0
2022-11-17,1649000.0
2022-11-16,1649000.0
2022-11-15,1684000.0
2022-11-14,1684000.0
2022-11-11,1684000.0
2022-11-10,1457000.0
2022-11-09,1683000.0
2022-11-08,1520000.0
2022-11-07,1634000.0
2022-11-04,1631000.0
2022-11-03,1403000.0
2022-11-02,1683000.0
2022-11-01,1684000.0
2022-10-31,1684000.0
2022-10-28,1683000.0
2022-10-27,1683000.0
2022-10-26,1683000.0
2022-10-25,1696000.0
2022-10-24,1696000.0
2022-10-21,1696000.0
2022-10-20,1403000.0
2022-10-19,1403000.0
2022-10-18,1346000.0
2022-10-17,1403000.0
2022-10-14,1329000.0
2022-10-13,1329000.0
2022-10-12,1392000.0
2022-10-11,1392000.0
2022-10-10,1392000.0
2022-10-07,1266000.0
2022-10-06,1266000.0
2022-10-05,1266000.0
2022-10-04,1266000.0
2022-10-03,1266000.0
2022-09-30,1316000.0
2022-09-29,1316000.0
2022-09-28,1316000.0
2022-09-27,1316000.0
2022-09-26,1316000.0
2022-09-23,1372000.0
2022-09-22,1372000.0
2022-09-21,1333000.0
2022-09-20,1333000.0
2022-09-19,1292000.0
2022-09-16,1175000.0
2022-09-15,1344000.0
2022-09-14,1344000.0
2022-09-13,1344000.0
2022-09-12,1345000.0
2022-09-09,1345000.0
2022-09-08,1374000.0
2022-09-07,1374000.0
2022-09-06,1392000.0
2022-09-02,1392000.0
2022-09-01,1392000.0
2022-08-31,1392000.0
2022-08-30,1392000.0
2022-08-29,1403000.0
2022-08-26,1403000.0
2022-08-25,1403000.0
2022-08-24,1403000.0
2022-08-23,1403000.0
2022-08-22,1403000.0
2022-08-19,1403000.0
2022-08-18,1403000.0
2022-08-17,1637000.0
2022-08-16,1661000.0
2022-08-15,1661000.0
2022-08-12,1661000.0
2022-08-11,1661000.0
2022-08-10,1661000.0
2022-08-09,1742000.0
2022-08-08,1742000.0
2022-08-05,1754000.0
2022-08-04,1813000.0
2022-08-03,1754000.0
2022-08-02,1392000.0
2022-08-01,1286000.0
2022-07-29,1099000.0
2022-07-28,1099000.0
2022-07-27,1099000.0
2022-07-26,1099000.0
2022-07-25,1099000.0
2022-07-22,1099000.0
2022-07-21,1099000.0
2022-07-20,1099000.0
2022-07-19,1099000.0
2022-07-18,1016999.9999999999
2022-07-15,1168000.0
2022-07-14,1168000.0
2022-07-13,1158000.0
2022-07-12,1158000.0
2022-07-11,1158000.0
2022-07-08,1158000.0
2022-07-07,1158000.0
2022-07-06,1158000.0
2022-07-05,1158000.0
2022-07-01,1158000.0
2022-06-30,1158000.0
2022-06-29,1168000.0
2022-06-28,988200.0
2022-06-27,971800.0
2022-06-24,1181000.0
2022-06-23,1286000.0
2022-06-22,818600.0
2022-06-21,818600.0
2022-06-17,818600.0
2022-06-16,806900.0
2022-06-15,934400.0
2022-06-14,1111000.0
2022-06-13,1111000.0
2022-06-10,1111000.0
2022-06-09,1111000.0
2022-06-08,935600.0
2022-06-07,1136000.0
2022-06-06,1140000.0
2022-06-03,1140000.0
2022-06-02,1388000.0
2022-06-01,1388000.0
2022-05-31,1388000.0
2022-05-27,1392000.0
2022-05-26,1392000.0
2022-05-25,1392000.0
2022-05-24,1392000.0
2022-05-23,1579000.0
2022-05-20,1579000.0
2022-05-19,818600.0
2022-05-18,818600.0
2022-05-17,818600.0
2022-05-16,818600.0
2022-05-13,1028999.9999999999
2022-05-12,935600.0
2022-05-11,935600.0
2022-05-10,1111000.0
2022-05-09,1111000.0
2022-05-06,1176000.0
2022-05-05,1176000.0
2022-05-04,1176000.0
2022-05-03,1176000.0
2022-05-02,1178000.0
2022-04-29,1696000.0
2022-04-28,1696000.0
2022-04-27,1280000.0
2022-04-26,1280000.0
2022-04-25,1297000.0
2022-04-22,1297000.0
2022-04-21,1298000.0
2022-04-20,1298000.0
2022-04-19,1298000.0
2022-04-18,1333000.0
2022-04-14,1333000.0
2022-04-13,1228000.0
2022-04-12,935600.0
2022-04-11,1040999.9999999999
2022-04-08,1051000.0
2022-04-07,1051000.0
2022-04-06,1051000.0
2022-04-05,935600.0
2022-04-04,935600.0
2022-04-01,1085000.0
2022-03-31,1028999.9999999999
2022-03-30,818600.0
2022-03-29,818600.0
2022-03-28,857200.0
2022-03-25,857200.0
2022-03-24,857200.0
2022-03-23,857200.0
2022-03-22,861900.0
2022-03-21,861900.0
2022-03-18,815100.0
2022-03-17,748400.0
2022-03-16,748400.0
2022-03-15,747300.0
2022-03-14,747300.0
2022-03-11,666000.0
2022-03-10,748400.0
2022-03-09,508700.00000000006
2022-03-08,701700.0
2022-03-07,585900.0
2022-03-04,644400.0
2022-03-03,1166000.0
2022-03-02,945500.0
2022-03-01,1588000.0
2022-02-28,1609000.0
2022-02-25,1610000.0
2022-02-24,1170000.0
2022-02-23,1614000.0
2022-02-22,1614000.0
2022-02-18,1626000.0
2022-02-17,1626000.0
2022-02-16,1637000.0
2022-02-15,1637000.0
2022-02-14,1637000.0
2022-02-11,1637000.0
2022-02-10,1637000.0
2022-02-09,1637000.0
2022-02-08,1637000.0
2022-02-07,1637000.0
2022-02-04,1633000.0
2022-02-03,1146000.0
2022-02-02,1458000.0
2022-02-01,1458000.0
2022-01-31,1458000.0
2022-01-28,929700.0
2022-01-27,928500.0
2022-01-26,928500.0
2022-01-25,701700.0
2022-01-24,1168000.0
2022-01-21,1630000.0
2022-01-20,1630000.0
2022-01-19,1631000.0
2022-01-18,1631000.0
2022-01-14,1631000.0
2022-01-13,1631000.0
2022-01-12,1631000.0
2022-01-11,1754000.0
2022-01-10,1754000.0
2022-01-07,1754000.0
2022-01-06,1754000.0
2022-01-05,1485000.0
2022-01-04,1988000.0
2022-01-03,1988000.0
2021-12-31,1871000.0
2021-12-30,1930000.0
2021-12-29,1930000.0
2021-12-28,1930000.0
2021-12-27,1930000.0
