Date,Market Cap,% Change
2023-04-26,75452788,0.01%
2023-04-25,75446940,-1.15%
2023-04-24,76324230,0.38%
2023-04-21,76031800,-1.14%
2023-04-20,76909090,
2023-04-19,76909090,1.94%
2023-04-18,75446940,-1.15%
2023-04-17,76324230,-0.76%
2023-04-14,76909090,0.77%
2023-04-13,76324230,-2.25%
2023-04-12,78078810,-0.74%
2023-04-11,78663670,-1.10%
2023-04-10,79540960,-0.37%
2023-04-06,79833390,-2.85%
2023-04-05,82172830,1.44%
2023-04-04,81003110,-1.07%
2023-04-03,81880400,-2.10%
2023-03-31,83634980,4.38%
2023-03-30,80125820,2.24%
2023-03-29,78371240,0.37%
2023-03-28,78078810,-2.20%
2023-03-27,79833390,1.49%
2023-03-24,78663670,0.75%
2023-03-23,78078810,-1.84%
2023-03-22,79540960,-1.81%
2023-03-21,81003110,
2023-03-20,81003110,1.47%
2023-03-17,79833390,-2.85%
2023-03-16,82172830,1.81%
2023-03-15,80710680,-1.78%
2023-03-14,82172830,4.07%
2023-03-13,78956100,-4.26%
2023-03-10,82465260,-3.75%
2023-03-09,85681990,-3.30%
2023-03-08,88606290,-0.33%
2023-03-07,88898720,0.33%
2023-03-06,88606290,-0.33%
2023-03-03,88898720,1.00%
2023-03-02,88021430,-0.33%
2023-03-01,88313860,-0.98%
2023-02-28,89191150,
2023-02-27,89191150,0.66%
2023-02-24,88606290,-0.33%
2023-02-23,88898720,0.66%
2023-02-22,88313860,0.33%
2023-02-21,88021430,
2023-02-17,88021430,0.33%
2023-02-16,87729000,-0.66%
2023-02-15,88313860,0.33%
2023-02-14,88021430,
2023-02-13,88021430,0.67%
2023-02-10,87436570,-0.33%
2023-02-09,87729000,-0.66%
2023-02-08,88313860,
2023-02-07,88313860,0.33%
2023-02-06,88021430,-0.66%
2023-02-03,88606290,-2.26%
2023-02-02,90653300,1.31%
2023-02-01,89483580,1.66%
2023-01-31,88021430,
2023-01-30,88021430,-0.99%
2023-01-27,88898720,0.33%
2023-01-26,88606290,0.33%
2023-01-25,88313860,-0.66%
2023-01-24,88898720,-0.65%
2023-01-23,89483580,0.66%
2023-01-20,88898720,1.00%
2023-01-19,88021430,
2023-01-18,88021430,-0.66%
2023-01-17,88606290,
2023-01-13,88606290,1.00%
2023-01-12,87729000,0.67%
2023-01-11,87144140,-0.67%
2023-01-10,87729000,0.17%
