Date,Market Cap,% Change
2023-04-25,5909198635,0.21%
2023-04-24,5896817794,-0.61%
2023-04-21,5933075972,-0.18%
2023-04-20,5943688121,
2023-04-19,5943688121,-0.15%
2023-04-18,5952531579,-0.24%
2023-04-17,5966681112,2.07%
2023-04-14,5845525737,-0.39%
2023-04-13,5868518728,0.44%
2023-04-12,5842872700,-1.54%
2023-04-11,5933960317,-0.62%
2023-04-10,5971102841,1.06%
2023-04-06,5908314289,-0.34%
2023-04-05,5928654243,-0.92%
2023-04-04,5983483682,-0.29%
2023-04-03,6001170598,-1.09%
2023-03-31,6067496533,1.63%
2023-03-30,5970218495,-0.06%
2023-03-29,5973755879,0.49%
2023-03-28,5944572467,0.33%
2023-03-27,5925116860,-0.13%
2023-03-24,5933075972,3.31%
2023-03-23,5742941625,-0.02%
2023-03-22,5743825971,-3.45%
2023-03-21,5948994196,-2.28%
2023-03-20,6087836487,0.70%
2023-03-17,6045387888,0.18%
2023-03-16,6034775739,-0.63%
2023-03-15,6072802608,0.15%
2023-03-14,6063959150,0.22%
2023-03-13,6050693963,2.46%
2023-03-10,5905661252,-3.78%
2023-03-09,6137359852,-0.59%
2023-03-08,6173618029,-0.40%
2023-03-07,6198379712,-0.60%
2023-03-06,6235522235,-0.16%
2023-03-03,6245250039,0.18%
2023-03-02,6233753544,0.61%
2023-03-01,6195726674,-1.02%
2023-02-28,6259399572,-0.81%
2023-02-27,6310691628,-0.67%
2023-02-24,6353140227,-1.95%
2023-02-23,6479601676,0.31%
2023-02-22,6459261723,-0.73%
2023-02-21,6507016396,-1.63%
2023-02-17,6614906584,0.29%
2023-02-16,6595450976,0.95%
2023-02-15,6533546770,2.93%
2023-02-14,6347834152,-1.58%
2023-02-13,6449533919,0.34%
2023-02-10,6427425274,1.23%
2023-02-09,6349602844,-2.05%
2023-02-08,6482254714,-0.56%
2023-02-07,6518512891,-0.67%
2023-02-06,6562730181,0.19%
2023-02-03,6550349340,-0.86%
2023-02-02,6606947471,0.44%
2023-02-01,6577764060,-0.33%
2023-01-31,6599872705,0.65%
2023-01-30,6557424107,-0.16%
2023-01-27,6568036256,-0.12%
2023-01-26,6575995368,0.47%
2023-01-25,6545043265,0.33%
2023-01-24,6523818966,-0.75%
2023-01-23,6573342331,0.03%
2023-01-20,6571573639,0.24%
2023-01-19,6555655415,0.53%
2023-01-18,6521165929,-1.50%
2023-01-17,6620212658,0.05%
2023-01-13,6616675275,-0.41%
2023-01-12,6644089995,1.98%
2023-01-11,6514975508,3.24%
2023-01-10,6310691628,-1.05%
2023-01-09,6377901909,1.89%
2023-01-06,6259399572,2.52%
2023-01-05,6105523403,-2.28%
2023-01-04,6247903077,0.10%
2023-01-03,6241712656,11.87%
2022-12-30,5579306489,-0.64%
2022-12-29,5615489782,1.33%
2022-12-28,5541550009,-1.05%
2022-12-27,5600544509,-0.42%
2022-12-23,5624142309,1.33%
2022-12-22,5550202536,-0.66%
2022-12-21,5587172422,1.72%
2022-12-20,5492781223,-0.67%
2022-12-19,5529751109,-0.51%
2022-12-16,5558068469,-0.72%
2022-12-15,5598184729,-0.08%
2022-12-14,5602904289,-0.50%
2022-12-13,5631221649,-0.06%
2022-12-12,5634368022,-0.07%
2022-12-09,5638300989,-0.73%
2022-12-08,5679990435,0.31%
2022-12-07,5662685382,0.81%
2022-12-06,5617062969,1.26%
2022-12-05,5547056163,-0.25%
2022-12-02,5561214843,0.71%
2022-12-01,5521885176,0.36%
2022-11-30,5502220343,1.32%
2022-11-29,5430640350,0.89%
2022-11-28,5382658157,-2.89%
2022-11-25,5543123196,0.23%
2022-11-23,5530537703,-0.50%
2022-11-22,5558068469,0.51%
2022-11-21,5529751109,0.46%
2022-11-18,5504580123,1.27%
2022-11-17,5435359910,0.29%
2022-11-16,5419628043,-0.99%
2022-11-15,5473902983,-0.03%
2022-11-14,5475476170,0.43%
2022-11-11,5451878370,-1.59%
2022-11-10,5539976823,2.65%
2022-11-09,5396816837,0.69%
2022-11-08,5359846950,0.07%
2022-11-07,5355913983,-0.29%
2022-11-04,5371645850,0.71%
2022-11-03,5333889370,2.00%
2022-11-02,5229272457,-2.99%
2022-11-01,5390524090,-0.25%
2022-10-31,5403896177,0.51%
2022-10-28,5376365410,1.64%
2022-10-27,5289840144,0.73%
2022-10-26,5251297071,0.35%
2022-10-25,5233205424,1.56%
2022-10-24,5152972904,0.35%
2022-10-21,5134881258,1.43%
2022-10-20,5062514671,-0.37%
2022-10-19,5081392911,-1.75%
2022-10-18,5171851144,1.99%
2022-10-17,5071167198,1.54%
2022-10-14,4994081052,-3.64%
2022-10-13,5182863451,0.56%
2022-10-12,5153759498,0.43%
2022-10-11,5131734884,1.59%
2022-10-10,5051502365,-1.06%
2022-10-07,5105777305,0.98%
2022-10-06,5056221925,-2.27%
2022-10-05,5173424331,-1.48%
2022-10-04,5251297071,-1.26%
2022-10-03,5318157504,0.04%
2022-09-30,5315797724,1.46%
2022-09-29,5239552680,-4.93%
2022-09-28,5511333554,1.68%
2022-09-27,5420474259,-1.96%
2022-09-26,5528867804,-2.52%
2022-09-23,5671532837,0.38%
2022-09-22,5650013531,0.13%
2022-09-21,5642840428,0.14%
2022-09-20,5634870315,-2.68%
