Date,Market Cap,% Change
2023-04-26,234535064,0.51%
2023-04-25,233344530,-1.01%
2023-04-24,235725597,-0.08%
2023-04-21,235924019,0.93%
2023-04-20,233741375,-0.42%
2023-04-19,234733486,1.63%
2023-04-18,230963464,-2.35%
2023-04-17,236519286,2.58%
2023-04-14,230566619,-0.51%
2023-04-13,231757152,2.82%
2023-04-12,225407641,1.16%
2023-04-11,222828153,-1.23%
2023-04-10,225606064,-1.04%
2023-04-06,227987130,0.61%
2023-04-05,226598175,-1.89%
2023-04-04,230963464,-2.51%
2023-04-03,236916130,-1.81%
2023-03-31,241281419,1.25%
2023-03-30,238305086,-5.51%
2023-03-29,252194641,-0.16%
2023-03-28,252591486,2.09%
2023-03-27,247432508,1.63%
2023-03-24,243464063,1.83%
2023-03-23,239098775,-0.74%
2023-03-22,240884575,-4.03%
2023-03-21,251004108,4.46%
2023-03-20,240289308,0.75%
2023-03-17,238503508,-2.51%
2023-03-16,244654597,-0.16%
2023-03-15,245051441,0.41%
2023-03-14,244059330,-2.15%
2023-03-13,249416730,-3.31%
2023-03-10,257948886,-7.14%
2023-03-09,277791108,-1.48%
2023-03-08,281957974,-8.03%
2023-03-07,306562329,0.32%
2023-03-06,305570218,-0.71%
2023-03-03,307752863,0.45%
2023-03-02,306363907,-0.96%
2023-03-01,309340240,0.65%
2023-02-28,307356018,1.31%
2023-02-27,303387574,-1.74%
2023-02-24,308744974,-1.83%
2023-02-23,314499218,0.63%
2023-02-22,312514996,-0.13%
2023-02-21,312911840,-1.62%
2023-02-17,318070818,1.71%
2023-02-16,312713418,-1.87%
2023-02-15,318666085,0.12%
2023-02-14,318269240,-0.12%
2023-02-13,318666085,1.84%
2023-02-10,312911840,1.61%
2023-02-09,307951285,-1.27%
2023-02-08,311919729,-1.32%
2023-02-07,316086596,0.70%
2023-02-06,313903952,-1.31%
2023-02-03,318070818,0.19%
2023-02-02,317475552,1.98%
2023-02-01,311324463,-0.06%
2023-01-31,311522885,1.16%
2023-01-30,307951285,-0.58%
2023-01-27,309737085,0.13%
2023-01-26,309340240,0.19%
2023-01-25,308744974,-0.19%
2023-01-24,309340240,-1.52%
2023-01-23,314102374,-0.50%
2023-01-20,315689752,0.63%
2023-01-19,313705529,-3.12%
2023-01-18,323825063,-0.43%
2023-01-17,325214018,-1.56%
2023-01-13,330372996,0.97%
2023-01-12,327198240,1.04%
2023-01-11,323825063,2.71%
2023-01-10,315292907,1.21%
2023-01-09,311522885,-0.63%
2023-01-06,313507107,1.48%
2023-01-05,308943396,0.13%
2023-01-04,308546552,-0.13%
2023-01-03,308943396,-1.02%
2022-12-30,312118152,-0.13%
2022-12-29,312514996,-1.07%
2022-12-28,315888174,-2.75%
2022-12-27,324817174,-0.91%
2022-12-23,327793507,0.49%
2022-12-22,326206129,0.06%
2022-12-21,326007707,-1.08%
2022-12-20,329579307,0.42%
2022-12-19,328190351,-2.36%
2022-12-16,336127240,1.68%
2022-12-15,330571418,1.77%
2022-12-14,324817174,-1.50%
2022-12-13,329777729,-1.07%
2022-12-12,333349329,0.12%
2022-12-09,332952485,0.30%
2022-12-08,331960374,0.18%
2022-12-07,331365107,-0.95%
2022-12-06,334539862,-1.69%
2022-12-05,340294107,-1.66%
2022-12-02,346048351,-0.91%
2022-12-01,349223107,0.69%
2022-11-30,346842040,2.88%
2022-11-29,337119351,1.49%
2022-11-28,332158796,-1.59%
2022-11-25,337516196,1.19%
2022-11-23,333547751,-0.24%
2022-11-22,334341440,0.72%
2022-11-21,331960374,-1.36%
2022-11-18,336524085,4.18%
2022-11-17,323031374,1.94%
2022-11-16,316880285,
2022-11-15,316880285,0.44%
2022-11-14,315491329,0.44%
2022-11-11,314102374,0.51%
2022-11-10,312514996,2.61%
2022-11-09,304578107,-6.86%
2022-11-08,326999818,-3.06%
2022-11-07,337317774,1.37%
2022-11-04,332754062,1.08%
2022-11-03,329182462,-0.24%
2022-11-02,329976151,-2.92%
2022-11-01,339897262,
2022-10-31,339897262,0.35%
2022-10-28,338706729,1.55%
2022-10-27,333547751,0.72%
2022-10-26,331166685,-0.06%
2022-10-25,331365107,5.16%
2022-10-24,315094485,
2022-10-21,315094485,1.53%
2022-10-20,310332352,-1.32%
2022-10-19,314499218,-2.46%
2022-10-18,322436107,0.06%
2022-10-17,322237685,1.31%
2022-10-14,318070818,-0.25%
2022-10-13,318864507,3.48%
2022-10-12,308149707,0.52%
2022-10-11,306562329,-0.06%
2022-10-10,306760752,-1.53%
2022-10-07,311522885,-3.74%
2022-10-06,323626640,1.30%
2022-10-05,319459774,-1.77%
2022-10-04,325214018,2.57%
2022-10-03,317078707,4.44%
2022-09-30,303585996,-2.73%
2022-09-29,312108058,-7.48%
2022-09-28,337332956,0.72%
2022-09-27,334930584,1.21%
2022-09-26,330926632,0.06%
2022-09-23,330726435,-1.26%
2022-09-22,334930584,-0.48%
2022-09-21,336532165,-0.12%
2022-09-20,336932560,1.08%
2022-09-19,333329004,0.12%
2022-09-16,332928608,-4.21%
2022-09-15,347543033,
2022-09-14,347543033,-0.17%
2022-09-13,348143626,-1.14%
2022-09-12,352147578,0.57%
2022-09-09,350145602,1.57%
2022-09-08,344740267,0.29%
2022-09-07,343739279,2.45%
2022-09-06,335531177,0.72%
2022-09-02,333128806,-0.18%
2022-09-01,333729399,-4.14%
2022-08-31,348143626,0.46%
2022-08-30,346542045,-2.48%
2022-08-29,355350740,-0.50%
2022-08-26,357152518,-1.00%
2022-08-25,360756075,0.45%
2022-08-24,359154494,0.28%
2022-08-23,358153506,0.39%
2022-08-22,356752123,-4.65%
2022-08-19,374169314,0.92%
2022-08-18,370765955,0.71%
2022-08-17,368163386,-1.87%
2022-08-16,375170302,0.70%
2022-08-15,372567733,2.14%
2022-08-12,364760027,0.66%
2022-08-11,362357656,
2022-08-10,362357656,1.46%
2022-08-09,357152518,
2022-08-08,357152518,1.42%
2022-08-05,352147578,1.62%
2022-08-04,346542045,2.30%
2022-08-03,338734339,3.80%
2022-08-02,326322088,-0.73%
2022-08-01,328724459,0.12%
2022-07-29,328324064,-0.43%
2022-07-28,329725447,2.68%
2022-07-27,321116950,1.26%
2022-07-26,317112998,-0.50%
2022-07-25,318714579,-1.00%
2022-07-22,321917740,-1.35%
2022-07-21,326322088,0.93%
2022-07-20,323319124,3.26%
2022-07-19,313109046,-0.26%
2022-07-18,313909836,0.71%
2022-07-15,311707663,0.39%
2022-07-14,310506477,-0.77%
2022-07-13,312908848,1.03%
2022-07-12,309705687,0.52%
2022-07-11,308104106,-1.16%
2022-07-08,311707663,-0.57%
2022-07-07,313509441,1.69%
2022-07-06,308304304,-1.28%
2022-07-05,312308256,-0.76%
2022-07-01,314710627,2.54%
2022-06-30,306902920,0.04%
2022-06-29,306777054,-6.49%
2022-06-28,328070063,-1.83%
2022-06-27,334181945,0.71%
2022-06-24,331816055,1.57%
2022-06-23,326689960,-0.48%
2022-06-22,328267220,-0.48%
2022-06-21,329844480,5.22%
2022-06-17,313480409,
2022-06-16,313480409,1.34%
2022-06-15,309340101,-1.38%
2022-06-14,313677566,-1.24%
2022-06-13,317620716,-6.06%
2022-06-10,338125095,-2.45%
2022-06-09,346602867,-2.66%
2022-06-08,356066426,-0.44%
2022-06-07,357643686,1.57%
2022-06-06,352123277,0.34%
2022-06-03,350940332,-0.22%
2022-06-02,351728962,
2022-06-01,351728962,-0.45%
2022-05-31,353306222,1.99%
2022-05-27,346405709,0.17%
2022-05-26,345814237,0.29%
2022-05-25,344828450,
2022-05-24,344828450,1.16%
2022-05-23,340885300,1.35%
2022-05-20,336350677,-1.27%
2022-05-19,340688142,-0.35%
2022-05-18,341871087,-1.70%
2022-05-17,347785812,4.19%
2022-05-16,333787630,-5.05%
2022-05-13,351531804,4.64%
2022-05-12,335956362,2.65%
2022-05-11,327281433,9.07%
2022-05-10,300073699,0.59%
2022-05-09,298299282,-4.30%
2022-05-06,311705991,-1.25%
2022-05-05,315649141,-3.20%
2022-05-04,326098488,2.73%
2022-05-03,317423558,1.45%
2022-05-02,312888936,-0.87%
2022-04-29,315649141,-3.38%
2022-04-28,326689960,2.86%
2022-04-27,317620716,-0.19%
2022-04-26,318212188,-4.21%
2022-04-25,332210370,-0.82%
2022-04-22,334970575,-1.11%
2022-04-21,338716567,-2.83%
2022-04-20,348574442,-0.90%
2022-04-19,351728962,-1.16%
2022-04-18,355869269,-0.28%
2022-04-14,356855056,-0.17%
2022-04-13,357446529,-0.11%
2022-04-12,357840844,0.83%
2022-04-11,354883482,-1.10%
2022-04-08,358826631,0.22%
2022-04-07,358038001,0.17%
2022-04-06,357446529,-3.72%
2022-04-05,371247553,-2.44%
2022-04-04,380513955,-0.57%
2022-04-01,382682688,1.52%
2022-03-31,376965120,1.62%
2022-03-30,370943865,-7.25%
2022-03-29,399923855,0.83%
2022-03-28,396639456,1.99%
2022-03-25,388911459,1.21%
2022-03-24,384274660,0.76%
2022-03-23,381376661,-0.20%
2022-03-22,382149461,4.16%
2022-03-21,366886667,-0.05%
2022-03-18,367079867,-2.11%
