Date,Market Cap,% Change
2023-04-26,124090140,4.34%
2023-04-25,118934040,2.67%
2023-04-24,115840380,0.30%
2023-04-21,115496640,-0.30%
2023-04-20,115840380,-1.46%
2023-04-19,117559080,
2023-04-18,117559080,1.48%
2023-04-17,115840380,8.01%
2023-04-14,107246880,-5.17%
2023-04-13,113090460,15.44%
2023-04-12,97965900,3.64%
2023-04-11,94528500,1.48%
2023-04-10,93153540,-2.87%
2023-04-06,95903460,2.57%
2023-04-05,93497280,-3.89%
2023-04-04,97278420,-11.29%
2023-04-03,109653060,-0.62%
2023-03-31,110340540,6.64%
2023-03-30,103465740,-5.94%
2023-03-29,109996800,4.58%
2023-03-28,105184440,7.75%
2023-03-27,97622160,3.27%
2023-03-24,94528500,
2023-03-23,94528500,-1.43%
2023-03-22,95903460,-8.22%
2023-03-21,104496960,3.75%
2023-03-20,100715820,-4.56%
2023-03-17,105528180,-6.69%
2023-03-16,113090460,-0.60%
2023-03-15,113777940,-3.78%
2023-03-14,118246560,-1.15%
2023-03-13,119621520,-7.94%
2023-03-10,129933720,-6.44%
2023-03-09,138870960,-8.39%
2023-03-08,151589340,-1.12%
2023-03-07,153308040,-4.09%
2023-03-06,159839100,-3.93%
2023-03-03,166370160,0.62%
2023-03-02,165338940,-0.41%
2023-03-01,166026420,-2.42%
2023-02-28,170151300,-6.07%
2023-02-27,181150980,-0.19%
2023-02-24,181494720,-3.47%
2023-02-23,188025780,0.92%
2023-02-22,186307080,-4.75%
2023-02-21,195588060,-2.90%
2023-02-17,201431640,-3.78%
2023-02-16,209337660,-1.77%
2023-02-15,213118800,-0.48%
2023-02-14,214150020,
2023-02-13,214150020,2.13%
2023-02-10,209681400,-2.87%
2023-02-09,215868720,-1.72%
2023-02-08,219649860,-4.20%
2023-02-07,229274580,-0.74%
2023-02-06,230993280,-3.86%
2023-02-03,240274260,-2.65%
2023-02-02,246805320,0.84%
2023-02-01,244742880,3.34%
2023-01-31,236836860,4.08%
