Date,Market Cap,% Change
2023-04-25,1147353600,-1.29%
2023-04-24,1162293100,-1.89%
2023-04-21,1184702350,-1.25%
2023-04-20,1199641850,-0.99%
2023-04-19,1211593450,-0.37%
2023-04-18,1216075300,4.90%
2023-04-17,1159305200,2.11%
2023-04-14,1135402000,-1.17%
2023-04-13,1148847550,0.39%
2023-04-12,1144365700,-0.78%
2023-04-11,1153329400,
2023-04-10,1153329400,0.26%
2023-04-06,1150341500,1.85%
2023-04-05,1129426200,
2023-04-04,1129426200,-2.58%
2023-04-03,1159305200,0.91%
2023-03-31,1148847550,4.63%
2023-03-30,1098053250,1.10%
2023-03-29,1086101650,1.96%
2023-03-28,1065186350,
2023-03-27,1065186350,
2023-03-24,1065186350,3.18%
2023-03-23,1032319450,-0.86%
2023-03-22,1041283150,-3.46%
2023-03-21,1078631900,0.56%
2023-03-20,1072656100,3.91%
2023-03-17,1032319450,-2.54%
2023-03-16,1059210550,-0.56%
2023-03-15,1065186350,-2.19%
2023-03-14,1089089550,2.24%
2023-03-13,1065186350,-2.73%
2023-03-10,1095065350,-3.68%
2023-03-09,1136895950,-2.56%
2023-03-08,1166774950,1.43%
2023-03-07,1150341500,-1.41%
2023-03-06,1166774950,0.26%
2023-03-03,1163787050,0.78%
2023-03-02,1154823350,3.90%
2023-03-01,1111498800,-0.80%
2023-02-28,1120462500,
2023-02-27,1120462500,-0.53%
2023-02-24,1126438300,-0.26%
2023-02-23,1129426200,2.58%
2023-02-22,1101041150,0.14%
2023-02-21,1099547200,-3.29%
2023-02-17,1136895950,-0.13%
2023-02-16,1138389900,0.13%
2023-02-15,1136895950,-0.78%
2023-02-14,1145859650,-0.78%
2023-02-13,1154823350,0.91%
2023-02-10,1144365700,0.39%
2023-02-09,1139883850,-0.91%
2023-02-08,1150341500,0.65%
2023-02-07,1142871750,0.39%
2023-02-06,1138389900,-1.17%
2023-02-03,1151835450,-1.15%
2023-02-02,1165281000,2.77%
2023-02-01,1133908050,1.07%
2023-01-31,1121956450,2.18%
2023-01-30,1098053250,-3.42%
2023-01-27,1136895950,0.79%
2023-01-26,1127932250,-0.40%
2023-01-25,1132414100,-0.79%
2023-01-24,1141377800,1.60%
2023-01-23,1123450400,0.40%
2023-01-20,1118968550,0.67%
2023-01-19,1111498800,-0.13%
2023-01-18,1112992750,-0.80%
2023-01-17,1121956450,-0.53%
2023-01-13,1127932250,-2.08%
2023-01-12,1151835450,1.05%
2023-01-11,1139883850,3.67%
2023-01-10,1099547200,0.27%
2023-01-09,1096559300,
2023-01-06,1096559300,3.53%
2023-01-05,1059210550,-3.54%
2023-01-04,1098053250,3.52%
2023-01-03,1060704500,0.15%
2022-12-30,1059135600,-0.97%
2022-12-29,1069548450,2.57%
2022-12-28,1042772550,-1.54%
2022-12-27,1059135600,-2.73%
2022-12-23,1088886600,
2022-12-22,1088886600,-1.35%
2022-12-21,1103762100,
2022-12-20,1103762100,-0.80%
2022-12-19,1112687400,-2.86%
2022-12-16,1145413500,-3.02%
2022-12-15,1181114700,-1.24%
2022-12-14,1195990199,-1.23%
2022-12-13,1210865700,0.87%
2022-12-12,1200452850,0.62%
2022-12-09,1193015100,-1.60%
2022-12-08,1212353250,0.62%
2022-12-07,1204915500,0.50%
2022-12-06,1198965300,-0.49%
2022-12-05,1204915500,-1.82%
2022-12-02,1227228750,-0.72%
2022-12-01,1236154050,-0.84%
2022-11-30,1246566900,3.84%
2022-11-29,1200452850,0.50%
2022-11-28,1194502650,-2.19%
2022-11-25,1221278550,1.48%
2022-11-23,1203427950,-0.25%
2022-11-22,1206403050,1.50%
2022-11-21,1188552450,0.25%
2022-11-18,1185577350,2.05%
2022-11-17,1161776550,-0.64%
2022-11-16,1169214300,1.42%
2022-11-15,1152851250,1.57%
2022-11-14,1135000650,-1.42%
2022-11-11,1151363700,-0.51%
2022-11-10,1157313900,8.21%
2022-11-09,1069548450,-0.83%
2022-11-08,1078473750,-1.89%
2022-11-07,1099299450,-1.60%
2022-11-04,1117150050,1.62%
2022-11-03,1099299450,-0.81%
2022-11-02,1108224750,-6.17%
2022-11-01,1181114700,
2022-10-31,1181114700,1.79%
2022-10-28,1160289000,1.96%
2022-10-27,1137975750,
2022-10-26,1137975750,-2.42%
2022-10-25,1166239200,3.70%
2022-10-24,1124587800,-0.79%
2022-10-21,1133513100,4.67%
2022-10-20,1082936400,1.53%
2022-10-19,1066573350,-1.38%
2022-10-18,1081448850,2.39%
2022-10-17,1056160500,6.29%
2022-10-14,993683400,-2.62%
2022-10-13,1020459300,1.18%
2022-10-12,1008558900,-3.83%
2022-10-11,1048722750,-0.28%
2022-10-10,1051697850,-0.42%
2022-10-07,1056160500,-3.53%
2022-10-06,1094836800,-2.00%
2022-10-05,1117150050,-2.34%
2022-10-04,1143925950,2.95%
2022-10-03,1111199850,2.33%
2022-09-30,1085911500,1.09%
2022-09-29,1074206980,-2.31%
2022-09-28,1099640850,1.94%
2022-09-27,1078695310,-2.30%
2022-09-26,1104129180,-6.11%
2022-09-23,1175942460,-2.72%
2022-09-22,1208856880,-2.53%
2022-09-21,1240275189,-1.54%
2022-09-20,1259724620,-4.86%
2022-09-19,1324057350,0.11%
2022-09-16,1322561240,-1.01%
2022-09-15,1336026230,-0.33%
2022-09-14,1340514560,-1.32%
2022-09-13,1358467880,-1.52%
2022-09-12,1379413420,0.99%
2022-09-09,1365948430,1.00%
2022-09-08,1352483439,-0.77%
2022-09-07,1362956210,1.33%
2022-09-06,1345002890,2.63%
2022-09-02,1310592360,-0.11%
2022-09-01,1312088470,-0.79%
2022-08-31,1322561240,-0.67%
2022-08-30,1331537900,-0.34%
2022-08-29,1336026230,-0.78%
2022-08-26,1346499000,-2.70%
2022-08-25,1383901750,-0.22%
2022-08-24,1386893970,0.98%
2022-08-23,1373428980,0.55%
2022-08-22,1365948430,-0.87%
2022-08-19,1377917310,-0.86%
2022-08-18,1389886189,-0.11%
2022-08-17,1391382300,-0.43%
2022-08-16,1397366740,-0.74%
2022-08-15,1407839510,-1.98%
2022-08-12,1436265600,4.35%
2022-08-11,1376421200,1.88%
2022-08-10,1350987330,4.39%
2022-08-09,1294135150,2.25%
2022-08-08,1265709060,2.17%
2022-08-05,1238779080,4.81%
2022-08-04,1181926900,3.40%
2022-08-03,1143028040,-4.38%
2022-08-02,1195391890,-2.08%
2022-08-01,1220825760,-1.92%
2022-07-29,1244763520,2.46%
2022-07-28,1214841320,3.31%
2022-07-27,1175942460,2.08%
2022-07-26,1152004700,0.52%
2022-07-25,1146020260,1.59%
2022-07-22,1128066940,0.67%
2022-07-21,1120586390,1.90%
2022-07-20,1099640850,0.96%
2022-07-19,1089168080,3.26%
2022-07-18,1054757550,0.28%
2022-07-15,1051765330,2.63%
2022-07-14,1024835350,-0.72%
2022-07-13,1032315900,1.62%
2022-07-12,1015858690,3.03%
2022-07-11,985936490,-0.45%
2022-07-08,990424820,-1.63%
2022-07-07,1006882030,-0.44%
2022-07-06,1011370360,-0.59%
2022-07-05,1017354800,-0.15%
2022-07-01,1018850910,6.41%
2022-06-30,957510400,3.40%
2022-06-29,926024000,-0.96%
2022-06-28,935000000,-0.16%
2022-06-27,936496000,0.97%
2022-06-24,927520000,1.64%
2022-06-23,912560000,0.33%
2022-06-22,909568000,3.58%
2022-06-21,878152000,0.69%
2022-06-17,872168000,1.04%
2022-06-16,863191999,-1.87%
2022-06-15,879648000,0.34%
2022-06-14,876656000,-0.17%
2022-06-13,878152000,-5.32%
2022-06-10,927520000,-0.64%
2022-06-09,933504000,-0.16%
2022-06-08,935000000,-0.95%
2022-06-07,943976000,1.77%
2022-06-06,927520000,-0.96%
2022-06-03,936496000,-1.11%
2022-06-02,946968000,0.96%
2022-06-01,937991999,-0.16%
2022-05-31,939488000,-1.87%
2022-05-27,957440000,2.89%
2022-05-26,930512000,1.30%
2022-05-25,918544000,1.32%
2022-05-24,906576000,1.34%
2022-05-23,894608000,1.36%
2022-05-20,882640000,
2022-05-19,882640000,-0.51%
2022-05-18,887128000,-3.26%
2022-05-17,917048000,5.15%
2022-05-16,872168000,0.17%
2022-05-13,870672000,3.74%
2022-05-12,839256000,2.56%
2022-05-11,818312000,0.74%
2022-05-10,812328000,-5.40%
2022-05-09,858704000,-4.49%
2022-05-06,899096000,-0.66%
2022-05-05,905080000,-4.12%
2022-05-04,943976000,1.12%
2022-05-03,933504000,0.81%
2022-05-02,926024000,-1.75%
2022-04-29,942480000,-4.69%
2022-04-28,988856000,1.69%
2022-04-27,972400000,-2.55%
2022-04-26,997832000,-1.19%
2022-04-25,1009800000,0.75%
2022-04-22,1002320000,-4.01%
2022-04-21,1044208000,0.14%
2022-04-20,1042712000,2.35%
2022-04-19,1018776000,0.89%
2022-04-18,1009800000,-2.46%
2022-04-14,1035232000,1.91%
2022-04-13,1015784000,1.04%
2022-04-12,1005312000,-0.59%
2022-04-11,1011296000,-2.59%
2022-04-08,1038224000,-0.43%
2022-04-07,1042712000,-1.97%
2022-04-06,1063656000,
2022-04-05,1063656000,-0.97%
2022-04-04,1074128000,-2.84%
2022-04-01,1105544000,0.96%
2022-03-31,1095072000,-1.61%
2022-03-30,1112939700,-1.07%
2022-03-29,1124922900,1.35%
2022-03-28,1109943900,
2022-03-25,1109943900,1.09%
2022-03-24,1097960700,-0.14%
2022-03-23,1099458600,-2.52%
2022-03-22,1127918700,0.53%
2022-03-21,1121927100,0.67%
2022-03-18,1114437600,-1.33%
2022-03-17,1129416600,2.17%
2022-03-16,1105450200,1.51%
2022-03-15,1088973300,4.01%
2022-03-14,1047032100,-0.85%
2022-03-11,1056019500,-2.08%
2022-03-10,1078488000,-0.28%
2022-03-09,1081483800,1.26%
2022-03-08,1068002700,
2022-03-07,1068002700,-2.60%
2022-03-04,1096462800,0.41%
2022-03-03,1091969100,-0.41%
2022-03-02,1096462800,4.87%
2022-03-01,1045534200,-2.24%
2022-02-28,1069500600,-1.92%
2022-02-25,1090471200,4.30%
2022-02-24,1045534200,2.95%
2022-02-23,1015576200,-2.31%
2022-02-22,1039542600,-0.57%
2022-02-18,1045534200,-0.99%
2022-02-17,1056019500,-0.28%
2022-02-16,1059015300,2.76%
2022-02-15,1030555200,3.77%
2022-02-14,993107700,-2.64%
2022-02-11,1020069900,0.74%
2022-02-10,1012580400,-1.02%
2022-02-09,1023065700,3.64%
2022-02-08,987116100,-0.75%
2022-02-07,994605600,-2.21%
2022-02-04,1017074100,-0.44%
2022-02-03,1021567800,-2.01%
2022-02-02,1042538400,2.50%
2022-02-01,1017074100,-3.41%
2022-01-31,1053023700,2.93%
2022-01-28,1023065700,3.96%
2022-01-27,984120300,-2.95%
2022-01-26,1014078299,-0.29%
2022-01-25,1017074100,1.34%
2022-01-24,1003593000,-2.05%
2022-01-21,1024563600,-0.58%
2022-01-20,1030555200,-2.69%
2022-01-19,1059015300,-2.08%
2022-01-18,1081483800,-0.69%
2022-01-14,1088973300,0.83%
2022-01-13,1079985900,
2022-01-12,1079985900,-0.96%
2022-01-11,1090471200,1.39%
2022-01-10,1075492200,-1.24%
2022-01-07,1088973300,-0.27%
2022-01-06,1091969100,-2.41%
2022-01-05,1118931300,-3.11%
2022-01-04,1154880900,-0.64%
2022-01-03,1162370400,0.52%
2021-12-31,1156378800,0.21%
2021-12-30,1153985600,-0.26%
2021-12-29,1156975200,0.52%
2021-12-28,1150996000,-0.65%
2021-12-27,1158470000,0.39%
2021-12-23,1153985600,0.39%
2021-12-22,1149501200,0.52%
2021-12-21,1143522000,3.38%
2021-12-20,1106152000,-1.46%
2021-12-17,1122594800,-1.05%
2021-12-16,1134553200,-1.68%
2021-12-15,1153985600,2.25%
2021-12-14,1128574000,-3.33%
2021-12-13,1167438800,-0.26%
2021-12-10,1170428400,-1.26%
2021-12-09,1185376400,-1.73%
2021-12-08,1206303600,3.33%
2021-12-07,1167438800,1.30%
2021-12-06,1152490800,2.94%
2021-12-03,1119605200,-1.32%
2021-12-02,1134553200,5.12%
2021-12-01,1079245600,-2.56%
2021-11-30,1107646800,-2.76%
2021-11-29,1139037600,0.26%
2021-11-26,1136048000,-5.35%
2021-11-24,1200324400,1.52%
2021-11-23,1182386800,0.64%
2021-11-22,1174912800,0.77%
2021-11-19,1165944000,-2.38%
2021-11-18,1194345200,
2021-11-17,1194345200,-0.25%
2021-11-16,1197334800,-1.60%
2021-11-15,1216767200,1.50%
2021-11-12,1198829600,-0.12%
2021-11-11,1200324400,1.90%
2021-11-10,1177902400,-1.87%
2021-11-09,1200324400,1.52%
2021-11-08,1182386800,0.38%
2021-11-05,1177902400,1.03%
2021-11-04,1165944000,-1.39%
2021-11-03,1182386800,2.86%
2021-11-02,1149501200,0.52%
2021-11-01,1143522000,0.92%
2021-10-29,1133058400,-2.19%
2021-10-28,1158470000,2.92%
2021-10-27,1125584400,0.13%
2021-10-26,1124089600,2.17%
2021-10-25,1100172800,-1.08%
2021-10-22,1112131200,0.54%
2021-10-21,1106152000,-0.40%
2021-10-20,1110636400,1.36%
2021-10-19,1095688400,-1.35%
2021-10-18,1110636400,-0.27%
2021-10-15,1113626000,-0.80%
2021-10-14,1122594800,2.32%
2021-10-13,1097183200,0.55%
2021-10-12,1091204000,1.67%
2021-10-11,1073266400,0.56%
2021-10-08,1067287200,-0.70%
2021-10-07,1074761200,0.56%
2021-10-06,1068782000,0.99%
2021-10-05,1058318400,-2.34%
2021-10-04,1083730000,0.28%
2021-10-01,1080740400,5.55%
2021-09-30,1023938000,-3.02%
2021-09-29,1055822100,1.59%
2021-09-28,1039348280,1.46%
2021-09-27,1024372080,-0.15%
2021-09-24,1025869700,-1.86%
2021-09-23,1045338760,1.60%
2021-09-22,1028864940,1.78%
2021-09-21,1010893500,
2021-09-20,1010893500,0.60%
2021-09-17,1004903020,-2.75%
2021-09-16,1033357800,0.44%
2021-09-15,1028864940,0.29%
2021-09-14,1025869700,-0.29%
2021-09-13,1028864940,0.29%
2021-09-10,1025869700,-2.42%
2021-09-09,1051329239,-2.77%
2021-09-08,1081281640,0.56%
2021-09-07,1075291160,-3.10%
2021-09-03,1109736420,0.54%
2021-09-02,1103745940,1.10%
2021-09-01,1091764980,1.53%
2021-08-31,1075291160,0.84%
2021-08-30,1066305440,0.56%
2021-08-27,1060314960,3.06%
2021-08-26,1028864940,0.44%
2021-08-25,1024372080,0.88%
2021-08-24,1015386360,3.83%
2021-08-23,977945860,-0.76%
2021-08-20,985433960,2.17%
2021-08-19,964467280,-1.83%
2021-08-18,982438720,1.08%
2021-08-17,971955380,-1.52%
2021-08-16,986931580,-3.23%
2021-08-13,1019879220,1.79%
2021-08-12,1001907780,
2021-08-11,1001907780,1.21%
2021-08-10,989926820,-1.93%
2021-08-09,1009395880,-2.03%
2021-08-06,1030362560,0.15%
2021-08-05,1028864940,3.00%
2021-08-04,998912540,-1.77%
2021-08-03,1016883980,-2.44%
2021-08-02,1042343520,
2021-07-30,1042343520,0.87%
2021-07-29,1033357800,0.29%
2021-07-28,1030362560,-0.29%
2021-07-27,1033357800,2.37%
2021-07-26,1009395880,0.45%
2021-07-23,1004903020,1.05%
2021-07-22,994419680,-3.49%
2021-07-21,1030362560,0.58%
2021-07-20,1024372080,4.59%
2021-07-19,979443480,-7.23%
2021-07-16,1055822100,-0.70%
2021-07-15,1063310200,-0.70%
2021-07-14,1070798300,1.27%
2021-07-13,1057319720,-3.16%
2021-07-12,1091764980,1.39%
2021-07-09,1076788780,3.75%
2021-07-08,1037850660,-0.43%
2021-07-07,1042343520,-0.71%
2021-07-06,1049831620,2.79%
2021-07-02,1021376840,0.59%
2021-07-01,1015386360,1.04%
2021-06-30,1004903020,0.37%
2021-06-29,1001242452,-3.46%
2021-06-28,1037161464,-5.84%
2021-06-25,1101516360,-0.94%
2021-06-24,1111992739,0.41%
2021-06-23,1107502862,
2021-06-22,1107502862,-1.07%
2021-06-21,1119475866,3.31%
2021-06-18,1083556854,-1.90%
2021-06-17,1104509611,-2.25%
2021-06-16,1129952244,-0.13%
2021-06-15,1131448870,-1.69%
2021-06-14,1150905001,0.13%
2021-06-11,1149408376,0.92%
2021-06-10,1138931997,0.13%
2021-06-09,1137435372,2.43%
2021-06-08,1110496113,1.92%
2021-06-07,1089543356,1.82%
2021-06-04,1070087225,0.56%
2021-06-03,1064100723,-1.25%
2021-06-02,1077570352,0.42%
2021-06-01,1073080476,1.70%
2021-05-28,1055120970,0.71%
2021-05-27,1047637843,
2021-05-26,1047637843,
2021-05-25,1047637843,-0.28%
2021-05-24,1050631093,2.63%
2021-05-21,1023691835,0.74%
2021-05-20,1016208707,2.57%
2021-05-19,990766074,-0.90%
2021-05-18,999745827,
2021-05-17,999745827,-0.89%
2021-05-14,1008725580,0.75%
2021-05-13,1001242452,1.98%
2021-05-12,981786321,-2.96%
2021-05-11,1011718831,-2.31%
2021-05-10,1035664839,-0.72%
2021-05-07,1043147966,1.16%
2021-05-06,1031174962,4.08%
2021-05-05,990766074,-4.06%
2021-05-04,1032671588,0.73%
2021-05-03,1025188460,-1.30%
2021-04-30,1038658090,2.21%
2021-04-29,1016208707,1.95%
2021-04-28,996752576,-0.89%
2021-04-27,1005732329,0.15%
2021-04-26,1004235703,0.60%
2021-04-23,998249201,1.83%
2021-04-22,980289695,0.31%
2021-04-21,977296444,2.03%
2021-04-20,957840313,0.47%
2021-04-19,953350437,-0.16%
2021-04-16,954847062,0.63%
2021-04-15,948860560,2.26%
2021-04-14,927907803,-0.48%
2021-04-13,932397680,-0.48%
2021-04-12,936887556,0.48%
2021-04-09,932397680,0.16%
2021-04-08,930901054,-3.12%
2021-04-07,960833564,0.31%
2021-04-06,957840313,-0.31%
2021-04-05,960833564,2.23%
2021-04-01,939880807,2.28%
2021-03-31,918928050,-0.95%
2021-03-30,927734220,5.41%
2021-03-29,880081740,-0.17%
2021-03-26,881570880,1.54%
2021-03-25,868168620,3.37%
2021-03-24,839874960,-0.18%
2021-03-23,841364100,
2021-03-22,841364100,1.99%
2021-03-19,824983560,-2.12%
2021-03-18,842853240,-0.70%
2021-03-17,848809800,-0.35%
2021-03-16,851788080,1.24%
2021-03-15,841364100,6.60%
2021-03-12,789244200,4.13%
2021-03-11,757972260,1.80%
2021-03-10,744570000,1.63%
2021-03-09,732656880,0.41%
2021-03-08,729678600,1.66%
2021-03-05,717765480,1.05%
2021-03-04,710319779,-1.04%
2021-03-03,717765480,0.42%
2021-03-02,714787200,-1.03%
2021-03-01,722232900,1.89%
2021-02-26,708830640,-2.86%
2021-02-25,729678600,-2.58%
2021-02-24,749037420,1.00%
2021-02-23,741591720,2.68%
2021-02-22,722232900,0.62%
2021-02-19,717765480,0.84%
2021-02-18,711808920,-3.24%
2021-02-17,735635160,1.02%
2021-02-16,728189460,-0.20%
2021-02-12,729678600,
2021-02-11,729678600,-0.41%
2021-02-10,732656880,-0.61%
2021-02-09,737124300,1.02%
2021-02-08,729678600,1.45%
2021-02-05,719254620,0.21%
2021-02-04,717765480,0.63%
2021-02-03,713298060,-1.84%
2021-02-02,726700320,3.39%
2021-02-01,702874080,2.83%
2021-01-29,683515260,-2.75%
2021-01-28,702874080,2.16%
2021-01-27,687982680,-2.33%
2021-01-26,704363220,-1.05%
2021-01-25,711808920,-0.62%
2021-01-22,716276340,0.84%
2021-01-21,710319779,-0.42%
2021-01-20,713298060,-1.24%
2021-01-19,722232900,-0.82%
2021-01-15,728189460,-0.61%
2021-01-14,732656880,0.82%
2021-01-13,726700320,2.09%
2021-01-12,711808920,-0.83%
2021-01-11,717765480,-1.03%
2021-01-08,725211180,-1.42%
2021-01-07,735635160,-2.56%
2021-01-06,754993980,0.80%
2021-01-05,749037420,-0.59%
2021-01-04,753504840,-4.17%
2020-12-31,786265920,3.94%
2020-12-30,756483120,2.21%
2020-12-29,740102580,-2.17%
2020-12-28,756483120,1.80%
2020-12-24,743080860,-0.20%
2020-12-23,744570000,-1.57%
2020-12-22,756483120,4.96%
2020-12-21,720743760,7.08%
2020-12-18,673091279,-2.80%
2020-12-17,692450100,0.65%
2020-12-16,687982680,-8.33%
2020-12-15,750526560,16.13%
2020-12-14,646286760,-0.59%
2020-12-11,650128741,-0.49%
2020-12-10,653330392,-0.54%
2020-12-09,656859653,-0.94%
2020-12-08,663099150,-1.76%
2020-12-07,674952705,2.06%
2020-12-04,661341965,0.15%
2020-12-03,660374024,1.53%
2020-12-02,650441460,3.57%
2020-12-01,628015012,4.23%
2020-11-30,602520935,-1.40%
2020-11-27,611068599,-2.28%
2020-11-25,625349451,-0.63%
2020-11-24,629310564,2.42%
2020-11-23,614419164,1.01%
2020-11-20,608283907,-0.65%
2020-11-19,612245019,-1.54%
2020-11-18,621790407,-3.00%
2020-11-17,641030095,0.28%
2020-11-16,639243127,3.57%
2020-11-13,617203855,4.19%
2020-11-12,592394783,-2.01%
2020-11-11,604516383,2.15%
2020-11-10,591799127,3.58%
