Date,Market Cap,% Change
2023-04-25,149001220,-2.54%
2023-04-24,152886222,-0.30%
2023-04-21,153343281,0.15%
2023-04-20,153114751,-0.30%
2023-04-19,153571810,0.30%
2023-04-18,153114751,-1.47%
2023-04-17,155400046,1.49%
2023-04-14,153114751,-1.90%
2023-04-13,156085634,0.15%
2023-04-12,155857105,1.04%
2023-04-11,154257399,0.75%
2023-04-10,153114751,-1.03%
2023-04-06,154714457,-1.17%
2023-04-05,156542693,1.63%
2023-04-04,154028869,
2023-04-03,154028869,2.43%
2023-03-31,150372397,2.97%
2023-03-30,146030337,
2023-03-29,146030337,-0.31%
2023-03-28,146487396,-0.62%
2023-03-27,147401514,0.31%
2023-03-24,146944455,2.72%
2023-03-23,143059454,-0.16%
2023-03-22,143287983,-1.72%
2023-03-21,145801808,4.25%
2023-03-20,139860041,3.03%
2023-03-17,135746511,-6.60%
2023-03-16,145344749,-4.93%
2023-03-15,152886222,-2.34%
2023-03-14,156542693,2.70%
2023-03-13,152429163,-4.85%
2023-03-10,160199165,-1.96%
2023-03-09,163398578,-2.19%
2023-03-08,167055049,-0.54%
2023-03-07,167969167,-3.42%
2023-03-06,173910934,-1.04%
2023-03-03,175739170,-7.57%
2023-03-02,190136527,0.48%
2023-03-01,189222409,-1.19%
2023-02-28,191507704,-3.57%
2023-02-27,198592118,-0.23%
2023-02-24,199049177,0.35%
2023-02-23,198363588,-0.80%
2023-02-22,199963295,-0.46%
2023-02-21,200877412,-3.41%
2023-02-17,207961826,2.13%
2023-02-16,203619766,0.11%
2023-02-15,203391237,-0.45%
2023-02-14,204305355,-1.11%
2023-02-13,206590649,2.26%
2023-02-10,202020060,1.26%
2023-02-09,199506236,0.23%
2023-02-08,199049177,1.87%
2023-02-07,195392705,-0.93%
2023-02-06,197220941,-1.60%
2023-02-03,200420353,-1.79%
2023-02-02,204076825,1.48%
2023-02-01,201105942,0.34%
2023-01-31,200420353,1.98%
2023-01-30,196535352,-1.15%
2023-01-27,198820647,0.69%
2023-01-26,197449470,-1.26%
2023-01-25,199963295,0.46%
2023-01-24,199049177,-1.02%
2023-01-23,201105942,0.57%
