Date,Market Cap,% Change
2023-04-26,18922023,3.17%
2023-04-25,18339807,-4.06%
2023-04-24,19116095,-3.90%
2023-04-21,19892384,
2023-04-20,19892384,3.02%
2023-04-19,19310167,1.02%
2023-04-18,19116095,-3.43%
2023-04-17,19795348,0.49%
2023-04-14,19698312,-8.97%
2023-04-13,21639032,5.19%
2023-04-12,20571636,0.95%
2023-04-11,20377564,17.98%
2023-04-10,17272411,-5.32%
2023-04-06,18242771,
2023-04-05,18242771,1.08%
2023-04-04,18048699,-4.62%
2023-04-03,18922023,-1.52%
2023-03-31,19213131,2.06%
2023-03-30,18824987,-4.90%
2023-03-29,19795348,7.94%
2023-03-28,18339807,2.16%
2023-03-27,17951663,
2023-03-24,17951663,1.09%
2023-03-23,17757591,-12.02%
2023-03-22,20183492,-8.37%
2023-03-21,22027176,
2023-03-20,22027176,-6.20%
2023-03-17,23482716,-2.81%
2023-03-16,24161968,0.81%
2023-03-15,23967896,4.44%
2023-03-14,22949018,-1.46%
2023-03-13,23288644,8.11%
2023-03-10,21541996,-10.30%
2023-03-09,24016414,-10.65%
2023-03-08,26878977,-19.48%
2023-03-07,33380390,2.99%
2023-03-06,32410030,56.07%
2023-03-03,20765708,-4.04%
2023-03-02,21639032,-1.33%
2023-03-01,21930140,-4.23%
2023-02-28,22899530,-3.08%
2023-02-27,23628270,-4.13%
2023-02-24,24647149,-12.71%
2023-02-23,28237481,-4.90%
2023-02-22,29693022,-0.65%
2023-02-21,29887094,-8.87%
2023-02-17,32797204,-3.45%
2023-02-16,33970369,0.31%
2023-02-15,33865570,-7.18%
2023-02-14,36485543,-2.08%
2023-02-13,37261831,16.99%
2023-02-10,31850132,6.57%
2023-02-09,29887094,-0.96%
2023-02-08,30178202,-2.51%
2023-02-07,30954490,-1.12%
2023-02-06,31305760,-2.24%
2023-02-03,32021886,4.43%
2023-02-02,30663382,3.95%
2023-02-01,29498950,0.66%
2023-01-31,29304878,-3.21%
2023-01-30,30275238,-6.59%
2023-01-27,32410030,-0.89%
2023-01-26,32701138,-0.88%
2023-01-25,32992246,3.03%
2023-01-24,32021886,1.59%
2023-01-23,31522151,-2.74%
2023-01-20,32410030,-1.18%
2023-01-19,32798174,2.74%
2023-01-18,31924850,8.58%
2023-01-17,29401914,-1.94%
2023-01-13,29984130,-9.38%
2023-01-12,33089282,-9.79%
2023-01-11,36679615,-11.06%
2023-01-10,41240308,5.99%
2023-01-09,38911444,-3.37%
2023-01-06,40269948,-10.94%
2023-01-05,45218785,1.00%
2023-01-04,44772419,-17.61%
2023-01-03,54340171,7.69%
2022-12-30,50458730,4.73%
2022-12-29,48178383,25.16%
2022-12-28,38494189,1.07%
2022-12-27,38086637,-5.58%
2022-12-23,40337873,-1.02%
2022-12-22,40755128,-3.45%
2022-12-21,42210668,2.69%
2022-12-20,41104458,4.59%
2022-12-19,39299588,1.25%
2022-12-16,38814408,-5.90%
2022-12-15,41250012,-1.48%
2022-12-14,41871042,10.58%
2022-12-13,37863455,2.66%
2022-12-12,36883391,18.78%
2022-12-09,31051526,-7.97%
2022-12-08,33739424,5.36%
2022-12-07,32021886,-6.86%
2022-12-06,34379861,-3.62%
2022-12-05,35670440,-0.65%
2022-12-02,35903327,-2.63%
2022-12-01,36873687,-8.17%
2022-11-30,40153505,4.79%
2022-11-29,38319524,-9.01%
2022-11-28,42113632,4.20%
2022-11-25,40415502,1.07%
2022-11-23,39988543,8.73%
2022-11-22,36776651,-5.74%
2022-11-21,39018183,-4.19%
2022-11-18,40726017,-2.87%
2022-11-17,41929264,6.64%
2022-11-16,39318995,-12.20%
2022-11-15,44782123,2.58%
2022-11-14,43656505,-4.28%
2022-11-11,45606929,4.44%
2022-11-10,43666209,-14.43%
2022-11-09,51031242,-16.52%
2022-11-08,61132692,12.20%
2022-11-07,54485725,2.61%
2022-11-04,53098110,6.26%
2022-11-03,49968601,34.77%
2022-11-02,37077463,-6.26%
2022-11-01,39551881,-4.09%
2022-10-31,41240308,1.17%
2022-10-28,40764832,-11.76%
2022-10-27,46198849,-3.09%
2022-10-26,47673796,-6.45%
2022-10-25,50963317,4.33%
2022-10-24,48847932,-8.47%
2022-10-21,53369811,-2.05%
2022-10-20,54485725,0.27%
2022-10-19,54340171,0.72%
2022-10-18,53952027,10.14%
2022-10-17,48983782,3.93%
2022-10-14,47130394,-0.04%
2022-10-13,47149802,-3.26%
2022-10-12,48741192,-3.42%
2022-10-11,50468434,-3.29%
2022-10-10,52185971,14.43%
2022-10-07,45606929,4.44%
2022-10-06,43666209,-13.46%
2022-10-05,50458730,-11.65%
2022-10-04,57115401,-0.88%
2022-10-03,57619988,-7.36%
2022-09-30,62200088,-9.07%
2022-09-29,68400690,25.85%
2022-09-28,54349874,12.04%
2022-09-27,48508306,13.07%
2022-09-26,42899624,2.81%
2022-09-23,41725488,-7.13%
2022-09-22,44927677,-1.49%
2022-09-21,45606929,-6.37%
2022-09-20,48712082,-6.52%
2022-09-19,52108342,5.29%
2022-09-16,49488370,-7.27%
2022-09-15,53369811,1.85%
2022-09-14,52399450,7.87%
2022-09-13,48576231,-1.09%
2022-09-12,49109929,-7.65%
2022-09-09,53175738,-0.05%
2022-09-08,53204849,8.98%
2022-09-07,48818821,1.64%
2022-09-06,48032829,-19.60%
2022-09-02,59745077,3.47%
2022-09-01,57741380,-11.19%
2022-08-31,65014133,-0.49%
2022-08-30,65334352,-1.77%
2022-08-29,66508488,5.45%
2022-08-26,63073413,-2.27%
2022-08-25,64538656,-6.30%
2022-08-24,68876166,8.22%
2022-08-23,63645925,-2.07%
2022-08-22,64989777,-3.91%
2022-08-19,67634105,3.87%
2022-08-18,65111169,-2.71%
2022-08-17,66925742,-0.62%
2022-08-16,67342997,1.67%
2022-08-15,66236787,-3.07%
2022-08-12,68332765,1.48%
2022-08-11,67333294,2.06%
2022-08-10,65974789,1.48%
2022-08-09,65014133,-5.63%
2022-08-08,68895574,3.59%
2022-08-05,66508488,-8.61%
2022-08-04,72777015,16.28%
2022-08-03,62588232,28.00%
2022-08-02,48896450,-8.38%
2022-08-01,53369811,1.10%
2022-07-29,52787594,-8.72%
2022-07-28,57833467,23.32%
2022-07-27,46897508,5.07%
2022-07-26,44636569,2.20%
2022-07-25,43675912,-2.15%
2022-07-22,44636569,0.07%
2022-07-21,44607458,2.96%
2022-07-20,43326582,-1.33%
2022-07-19,43908799,-4.35%
2022-07-18,45907741,2.85%
2022-07-15,44636569,-4.17%
2022-07-14,46577289,
2022-07-13,46577289,2.13%
2022-07-12,45606929,-2.08%
2022-07-11,46577289,2.59%
2022-07-08,45403153,1.72%
2022-07-07,44636569,-3.71%
2022-07-06,46354106,8.82%
2022-07-05,42598812,-6.00%
2022-07-01,45315821,7.27%
2022-06-30,42243080,6.74%
2022-06-29,39575096,-3.30%
2022-06-28,40926874,4.31%
2022-06-27,39237151,0.27%
2022-06-24,39130432,-6.40%
2022-06-23,41807309,14.02%
2022-06-22,36666993,-3.65%
2022-06-21,38054345,-1.70%
2022-06-17,38712447,-5.23%
2022-06-16,40846835,-4.87%
2022-06-15,42936755,4.93%
2022-06-14,40917981,-8.00%
2022-06-13,44475293,-8.24%
2022-06-10,48468376,-1.85%
2022-06-09,49384383,-2.24%
2022-06-08,50513830,1.07%
2022-06-07,49980233,3.73%
2022-06-06,48183791,-7.79%
2022-06-03,52256913,-1.09%
2022-06-02,52834976,4.95%
2022-06-01,50344858,0.19%
2022-05-31,50247032,2.50%
2022-05-27,49019759,1.62%
2022-05-26,48237150,7.49%
2022-05-25,44875490,0.50%
2022-05-24,44653158,4.58%
2022-05-23,42696637,3.92%
2022-05-20,41086953,4.05%
2022-05-19,39486163,-0.72%
2022-05-18,39770748,-6.25%
2022-05-17,42420945,7.41%
2022-05-16,39495056,-1.27%
2022-05-13,40001973,-7.54%
2022-05-12,43265807,5.65%
2022-05-11,40953554,-2.06%
2022-05-10,41816202,-7.80%
2022-05-09,45355728,-16.05%
2022-05-06,54026676,4.31%
2022-05-05,51794462,-1.27%
2022-05-04,52461458,
2022-05-03,52461458,7.45%
2022-05-02,48824107,3.55%
2022-04-29,47152170,-10.04%
2022-04-28,52416992,4.89%
2022-04-27,49971340,0.07%
