Date,Market Cap,% Change
2023-04-25,11496843235,-1.01%
2023-04-24,11613616343,-0.91%
2023-04-21,11719773714,-0.30%
2023-04-20,11755159504,-0.18%
2023-04-19,11776390978,-0.06%
2023-04-18,11783468136,0.51%
2023-04-17,11723312293,2.19%
2023-04-14,11472073182,-0.77%
2023-04-13,11560537658,0.90%
2023-04-12,11457918866,0.25%
2023-04-11,11429610234,1.41%
2023-04-10,11270374178,0.47%
2023-04-06,11217295493,0.63%
2023-04-05,11146523913,-0.51%
2023-04-04,11203141177,0.60%
2023-04-03,11135908175,0.06%
2023-03-31,11128831017,1.85%
2023-03-30,10927132013,1.38%
2023-03-29,10778511694,2.21%
2023-03-28,10544965479,
2023-03-27,10544965479,-0.13%
2023-03-24,10559119795,3.22%
2023-03-23,10230031946,-0.07%
2023-03-22,10237109104,-3.21%
2023-03-21,10576812690,-1.87%
2023-03-20,10778511694,1.50%
2023-03-17,10619275639,-1.83%
2023-03-16,10817436064,0.16%
2023-03-15,10799743169,1.50%
2023-03-14,10640507113,0.37%
2023-03-13,10601582743,2.18%
2023-03-10,10375113686,-4.21%
2023-03-09,10831590380,-1.19%
2023-03-08,10962517803,1.11%
2023-03-07,10842206117,-2.17%
2023-03-06,11082829490,-0.13%
2023-03-03,11096983806,2.75%
2023-03-02,10799743169,0.53%
2023-03-01,10743125904,-2.13%
2023-02-28,10976672120,-0.51%
2023-02-27,11033289384,-1.11%
2023-02-24,11157139650,-4.05%
2023-02-23,11627770659,
2023-02-22,11627770659,0.06%
2023-02-21,11620693501,-1.23%
2023-02-17,11765775241,-0.75%
2023-02-16,11854239717,-2.39%
2023-02-15,12144403196,0.26%
2023-02-14,12112555985,-0.98%
2023-02-13,12232867672,2.13%
2023-02-10,11978089982,-0.18%
2023-02-09,11999321456,-1.48%
2023-02-08,12179788986,-0.15%
2023-02-07,12197481881,0.12%
2023-02-06,12183327565,-0.52%
2023-02-03,12247021988,-2.48%
2023-02-02,12558416941,2.34%
2023-02-01,12271792041,1.14%
2023-01-31,12133787459,2.82%
2023-01-30,11801161031,-1.13%
2023-01-27,11935627034,1.35%
2023-01-26,11776390978,0.73%
2023-01-25,11691465082,-0.09%
2023-01-24,11702080819,1.41%
2023-01-23,11539306184,0.43%
2023-01-20,11489766077,1.53%
2023-01-19,11316375705,-0.65%
2023-01-18,11390685865,-1.35%
2023-01-17,11546383342,0.52%
2023-01-13,11486227498,-1.28%
2023-01-12,11634847817,1.23%
2023-01-11,11493304656,4.98%
2023-01-10,10948363487,-0.32%
2023-01-09,10983749278,0.23%
2023-01-06,10958979224,4.52%
2023-01-05,10484809636,-2.88%
2023-01-04,10796204590,2.52%
2023-01-03,10530811163,0.03%
2022-12-30,10527626158,-1.08%
