Date,Market Cap,% Change
2023-04-25,93931959660,-1.08%
2023-04-24,94956299460,-0.10%
2023-04-21,95049421260,-0.71%
2023-04-20,95724554310,-1.22%
2023-04-19,96902545080,-0.03%
2023-04-18,96930481620,-0.31%
2023-04-17,97233127470,0.94%
2023-04-14,96329846010,-1.86%
2023-04-13,98155033290,-0.21%
2023-04-12,98364557340,0.42%
2023-04-11,97954821420,0.97%
2023-04-10,97009635150,0.80%
2023-04-06,96236724210,0.98%
2023-04-05,95305506210,0.61%
2023-04-04,94728151050,1.17%
2023-04-03,93633969900,-1.59%
2023-03-31,95142543060,1.57%
2023-03-30,93671218620,1.36%
2023-03-29,92418730410,2.91%
2023-03-28,89802007830,-0.14%
2023-03-27,89932378350,-3.24%
2023-03-24,92944868580,4.17%
2023-03-23,89219996580,-0.26%
2023-03-22,89452801080,-3.06%
2023-03-21,92279047710,-1.86%
2023-03-20,94029737550,0.30%
2023-03-17,93750372150,-1.80%
2023-03-16,95473125450,1.35%
2023-03-15,94202012880,1.25%
2023-03-14,93042646470,1.78%
2023-03-13,91413014970,2.65%
2023-03-10,89057033430,0.04%
2023-03-09,89024440800,-2.33%
2023-03-08,91152273930,1.77%
2023-03-07,89569203330,-3.12%
2023-03-06,92455979130,-1.94%
2023-03-03,94285822500,2.52%
2023-03-02,91971745770,1.35%
2023-03-01,90742538010,-1.58%
2023-02-28,92195238090,1.50%
2023-02-27,90831003720,-0.33%
2023-02-24,91133649570,-3.08%
2023-02-23,94034393640,1.34%
2023-02-22,92786561520,-2.62%
2023-02-21,95286881850,-2.67%
2023-02-17,97898948340,-0.82%
2023-02-16,98709108000,-2.12%
2023-02-15,100850909400,0.67%
2023-02-14,100175776350,-0.97%
2023-02-13,101158211340,0.25%
2023-02-10,100906782480,0.71%
2023-02-09,100194400710,-1.50%
2023-02-08,101721598230,-0.46%
2023-02-07,102187207230,-0.50%
2023-02-06,102699377130,-0.67%
2023-02-03,103393134540,-2.34%
2023-02-02,105874830510,0.11%
2023-02-01,105758428260,1.68%
2023-01-31,104012394510,2.44%
2023-01-30,101530698540,-1.24%
2023-01-27,102801811110,-0.11%
2023-01-26,102913557270,1.08%
2023-01-25,101810063940,1.62%
2023-01-24,100185088530,-0.23%
2023-01-23,100417893030,-2.59%
2023-01-20,103090488690,-0.87%
2023-01-19,103993770150,-0.82%
2023-01-18,104850490710,-2.54%
2023-01-17,107578959450,-0.76%
2023-01-13,108398431290,0.26%
2023-01-12,108119065890,1.79%
2023-01-11,106214725080,2.78%
2023-01-10,103341917550,1.21%
2023-01-09,102108053700,0.37%
2023-01-06,101735566500,3.00%
2023-01-05,98769637170,-3.14%
2023-01-04,101968371000,2.02%
2023-01-03,99952284030,2.22%
2022-12-30,97777415340,-1.80%
2022-12-29,99568109060,2.68%
2022-12-28,96965141900,-0.38%
2022-12-27,97334357100,-0.73%
2022-12-23,98049711550,0.88%
2022-12-22,97195901400,
2022-12-21,97195901400,0.92%
2022-12-20,96314400110,-0.44%
2022-12-19,96743612780,-1.79%
2022-12-16,98511230550,-2.19%
2022-12-15,100712676180,-0.74%
2022-12-14,101464952150,-1.58%
2022-12-13,103098729410,3.48%
2022-12-12,99628106530,0.95%
2022-12-09,98691222960,0.75%
2022-12-08,97957407750,0.54%
2022-12-07,97431276090,-0.66%
2022-12-06,98082017880,-1.43%
2022-12-05,99508111590,-1.71%
2022-12-02,101243423030,-0.87%
2022-12-01,102134154700,0.02%
2022-11-30,102111078750,1.86%
2022-11-29,100251157180,1.55%
2022-11-28,98718914100,-2.81%
2022-11-25,101571101520,0.84%
2022-11-23,100726521750,0.06%
2022-11-22,100671139470,-0.81%
2022-11-21,101492643290,1.84%
2022-11-18,99655797670,-0.19%
2022-11-17,99845020460,-1.28%
2022-11-16,101141888850,-0.20%
2022-11-15,101340342020,1.95%
2022-11-14,99401962220,-3.53%
2022-11-11,103038731940,1.07%
2022-11-10,101949547100,9.88%
2022-11-09,92783779760,-0.98%
2022-11-08,93697587380,0.49%
2022-11-07,93236068380,-0.93%
2022-11-04,94112954480,1.29%
2022-11-03,92917620270,-1.88%
2022-11-02,94699083610,-1.29%
2022-11-01,95940569720,0.33%
2022-10-31,95622121610,1.21%
2022-10-28,94477554490,3.04%
2022-10-27,91694594920,0.89%
2022-10-26,90882321480,0.71%
2022-10-25,90240810070,5.46%
2022-10-24,85565622600,-1.15%
2022-10-21,86562503640,-0.23%
2022-10-20,86765572000,-1.57%
2022-10-19,88145513810,-3.16%
2022-10-18,91020777180,2.46%
2022-10-17,88837792310,3.61%
2022-10-14,85740999820,-2.14%
2022-10-13,87619382150,3.30%
2022-10-12,84822577010,-2.90%
2022-10-11,87351701130,-0.16%
2022-10-10,87494772020,-2.59%
2022-10-07,89825442970,-4.16%
2022-10-06,93720663330,-5.17%
2022-10-05,98829678660,-2.70%
2022-10-04,101571101520,1.34%
2022-10-03,100228081230,1.15%
2022-09-30,99088129300,-0.42%
2022-09-29,99506749680,-3.32%
2022-09-28,102924209640,0.21%
2022-09-27,102710036400,-0.35%
2022-09-26,103068543780,-3.25%
2022-09-23,106532563140,-1.71%
2022-09-22,108380971320,-0.59%
2022-09-21,109018835100,-1.58%
2022-09-20,110764812600,-3.88%
2022-09-19,115234515000,0.65%
2022-09-16,114484908660,0.34%
2022-09-15,114098465640,-2.68%
2022-09-14,117245881080,-1.10%
2022-09-13,118554200220,-3.95%
2022-09-12,123424313459,1.34%
2022-09-09,121794734459,-0.03%
