Date,Market Cap,% Change
2023-04-25,291705896,0.33%
2023-04-24,290736774,
2023-04-21,290736774,-2.17%
2023-04-20,297197591,-5.11%
2023-04-19,313188113,-6.33%
2023-04-18,334347290,-1.62%
2023-04-17,339838984,2.19%
2023-04-14,332570565,-3.38%
2023-04-13,344200036,-0.47%
2023-04-12,345815240,-0.60%
2023-04-11,347915006,6.11%
2023-04-10,327886472,-0.64%
2023-04-06,329986238,-0.20%
2023-04-05,330632320,2.20%
2023-04-04,323525421,-4.76%
2023-04-03,339677464,-20.10%
2023-03-31,425121771,1.39%
2023-03-30,419307036,0.43%
2023-03-29,417530311,-1.22%
2023-03-28,422698965,3.40%
2023-03-27,408808208,-3.03%
2023-03-24,421568322,-6.38%
2023-03-23,450318958,-2.14%
2023-03-22,460171705,-5.35%
2023-03-21,486176494,-1.31%
2023-03-20,492637311,1.73%
2023-03-17,484238249,7.07%
2023-03-16,452257204,0.65%
2023-03-15,449349836,0.07%
2023-03-14,449026795,0.72%
2023-03-13,445796386,5.75%
2023-03-10,421568322,0.97%
2023-03-09,417530311,-2.01%
2023-03-08,426090894,2.17%
2023-03-07,417045750,-2.23%
2023-03-06,426575455,-0.86%
2023-03-03,430290425,-2.99%
2023-03-02,443535100,3.47%
2023-03-01,428675221,12.31%
2023-02-28,381672776,-1.21%
2023-02-27,386356868,-1.64%
2023-02-24,392817685,-5.55%
2023-02-23,415915107,-1.76%
2023-02-22,423345047,-0.98%
2023-02-21,427544578,1.30%
2023-02-17,422052883,-0.46%
2023-02-16,423991128,1.74%
2023-02-15,416722709,-2.97%
2023-02-14,429482823,-0.78%
2023-02-13,432874752,-0.56%
2023-02-10,435297558,0.37%
2023-02-09,433682354,2.17%
2023-02-08,424475690,-4.71%
2023-02-07,445473345,0.40%
2023-02-06,443696621,0.37%
2023-02-03,442081416,-1.33%
2023-02-02,448057672,2.17%
2023-02-01,438527967,-0.95%
2023-01-31,442727498,2.70%
2023-01-30,431098027,-2.95%
2023-01-27,444181182,5.57%
2023-01-26,420760720,4.24%
2023-01-25,403639554,7.48%
2023-01-24,375534999,2.69%
2023-01-23,365682253,5.94%
2023-01-20,345169158,7.55%
2023-01-19,320941094,1.95%
2023-01-18,314803318,-0.71%
2023-01-17,317064604,-3.35%
2023-01-13,328047993,-2.73%
2023-01-12,337254657,-2.02%
2023-01-11,344200036,-0.79%
2023-01-10,346945883,0.89%
2023-01-09,343876995,-1.98%
2023-01-06,350822373,-1.32%
2023-01-05,355506466,-6.97%
2023-01-04,382157337,-3.55%
2023-01-03,396209614,-4.37%
2022-12-30,414299902,-3.06%
2022-12-29,427383057,-1.60%
2022-12-28,434328436,-0.59%
2022-12-27,436912763,4.04%
2022-12-23,419953118,0.78%
2022-12-22,416722709,-0.31%
2022-12-21,418014872,3.77%
2022-12-20,402831952,4.83%
2022-12-19,384257102,2.68%
2022-12-16,374242836,4.32%
2022-12-15,358736875,-6.05%
2022-12-14,381834296,-1.87%
2022-12-13,389102715,7.07%
2022-12-12,363420967,2.23%
2022-12-09,355506466,2.42%
2022-12-08,347107404,1.51%
2022-12-07,341938750,-2.17%
2022-12-06,349530210,-0.69%
2022-12-05,351953016,-1.00%
2022-12-02,355506466,0.92%
2022-12-01,352276057,3.22%
2022-11-30,341292668,3.07%
2022-11-29,331116881,3.12%
2022-11-28,321102614,-1.44%
2022-11-25,325786707,
2022-11-23,325786707,-0.74%
2022-11-22,328209513,-1.12%
2022-11-21,331924483,0.24%
2022-11-18,331116881,-1.25%
2022-11-17,335316412,3.54%
2022-11-16,323848462,5.19%
2022-11-15,307857939,
2022-11-14,307857939,-0.78%
2022-11-11,310280746,-0.26%
2022-11-10,311088348,0.31%
2022-11-09,310119225,4.98%
2022-11-08,295420866,3.51%
2022-11-07,285406599,-9.01%
2022-11-04,313672675,-3.14%
2022-11-03,323848462,9.44%
2022-11-02,295905427,0.22%
2022-11-01,295259346,3.10%
2022-10-31,286375722,3.44%
2022-10-28,276846017,2.15%
2022-10-27,271031281,-0.94%
2022-10-26,273615608,-2.87%
2022-10-25,281691629,0.69%
2022-10-24,279753384,0.17%
2022-10-21,279268823,8.88%
2022-10-20,256494442,-1.91%
2022-10-19,261501576,-0.49%
2022-10-18,262793739,2.39%
2022-10-17,256655963,1.79%
2022-10-14,252133391,-2.68%
2022-10-13,259078769,-1.17%
2022-10-12,262147657,-2.87%
2022-10-11,269900638,-0.36%
2022-10-10,270869761,-1.58%
2022-10-07,275230812,0.24%
2022-10-06,274584731,-0.53%
2022-10-05,276038414,-1.84%
2022-10-04,281207068,7.27%
2022-10-03,262147657,1.95%
2022-09-30,257140524,2.31%
2022-09-29,251325789,-3.41%
2022-09-28,260209412,1.83%
2022-09-27,255525320,3.74%
