Date,Market Cap,% Change
2023-04-25,399834700,-2.14%
2023-04-24,408578600,-1.15%
2023-04-21,413348000,1.17%
2023-04-20,408578600,0.19%
2023-04-19,407783700,0.39%
2023-04-18,406193900,-1.73%
2023-04-17,413348000,1.36%
2023-04-14,407783700,-2.29%
2023-04-13,417322500,-1.32%
2023-04-12,422886800,1.53%
2023-04-11,416527600,-0.19%
2023-04-10,417322500,-2.23%
2023-04-06,426861300,0.19%
2023-04-05,426066400,1.32%
2023-04-04,420502100,1.15%
2023-04-03,415732700,-0.38%
2023-03-31,417322500,2.74%
2023-03-30,406193900,0.79%
2023-03-29,403014300,1.60%
2023-03-28,396655100,-2.92%
2023-03-27,408578600,2.39%
2023-03-24,399039799,4.80%
2023-03-23,380757100,-0.42%
2023-03-22,382346899,-1.43%
2023-03-21,387911200,1.46%
2023-03-20,382346899,0.63%
2023-03-17,379962200,-4.78%
2023-03-16,399039799,
2023-03-15,399039799,-1.57%
2023-03-14,405399000,-0.39%
2023-03-13,406988800,1.39%
2023-03-10,401424500,-3.44%
2023-03-09,415732700,-2.61%
2023-03-08,426861300,0.37%
2023-03-07,425271500,-0.37%
2023-03-06,426861300,0.37%
2023-03-03,425271500,2.10%
2023-03-02,416527600,-0.57%
2023-03-01,418912299,-2.95%
2023-02-28,431630700,
2023-02-27,431630700,-3.38%
2023-02-24,446733800,-1.40%
2023-02-23,453093000,0.88%
2023-02-22,449118500,0.36%
2023-02-21,447528700,-4.09%
2023-02-17,466606300,
2023-02-16,466606300,2.26%
2023-02-15,456272600,-3.20%
2023-02-14,471375700,-3.73%
2023-02-13,489658400,1.32%
2023-02-10,483299200,0.16%
2023-02-09,482504300,-1.62%
2023-02-08,490453300,-0.32%
2023-02-07,492043100,0.32%
2023-02-06,490453300,-3.89%
2023-02-03,510325800,-1.23%
2023-02-02,516685000,0.46%
2023-02-01,514300300,3.03%
2023-01-31,499197200,1.95%
2023-01-30,489658400,-0.81%
2023-01-27,493632900,1.64%
2023-01-26,485683900,1.66%
2023-01-25,477734900,-0.66%
