Date,Market Cap,% Change
2023-04-25,13396564350,-0.61%
2023-04-24,13479004746,0.18%
2023-04-21,13454272627,-0.34%
2023-04-20,13499614845,-0.64%
2023-04-19,13586177260,0.06%
2023-04-18,13577933221,-0.63%
2023-04-17,13664495637,-1.02%
2023-04-14,13804644310,-0.09%
2023-04-13,13817010369,4.36%
2023-04-12,13239927597,0.88%
2023-04-11,13124511043,0.92%
2023-04-10,13004972469,-0.22%
2023-04-06,13033826607,0.06%
2023-04-05,13025582568,-0.57%
2023-04-04,13099778924,-0.63%
2023-04-03,13182219320,-2.26%
2023-03-31,13487248785,2.15%
2023-03-30,13202829419,2.04%
2023-03-29,12939020152,1.00%
2023-03-28,12811237538,0.03%
2023-03-27,12807115518,0.16%
2023-03-24,12786505419,-0.70%
2023-03-23,12877189855,0.61%
2023-03-22,12798871479,-1.99%
2023-03-21,13058558726,1.38%
2023-03-20,12881311875,1.73%
2023-03-17,12662844825,-1.63%
2023-03-16,12873067835,1.30%
2023-03-15,12708187043,-2.62%
2023-03-14,13050314686,2.19%
2023-03-13,12770017340,-2.09%
2023-03-10,13042070647,-3.60%
2023-03-09,13528468983,-1.59%
2023-03-08,13746936033,-0.92%
2023-03-07,13874718646,-2.29%
2023-03-06,14200358211,0.50%
2023-03-03,14130283874,1.39%
2023-03-02,13936548943,0.03%
2023-03-01,13932426923,0.54%
2023-02-28,13858230567,0.36%
2023-02-27,13808766330,-1.33%
2023-02-24,13994257221,-0.32%
2023-02-23,14039599438,-1.22%
2023-02-22,14212724270,0.06%
2023-02-21,14204480230,-1.82%
2023-02-17,14468289498,-0.79%
2023-02-16,14583706052,-0.73%
2023-02-15,14690878567,0.31%
2023-02-14,14645536349,1.14%
2023-02-13,14480655557,1.30%
2023-02-10,14295164666,-0.72%
2023-02-09,14398215161,0.63%
2023-02-08,14307530725,2.21%
2023-02-07,13998379240,1.28%
2023-02-06,13821132389,-0.50%
2023-02-03,13891206726,0.99%
2023-02-02,13755180072,2.65%
2023-02-01,13400686369,-0.43%
2023-01-31,13458394647,3.36%
2023-01-30,13021460548,-2.80%
2023-01-27,13396564350,1.40%
2023-01-26,13211073458,1.39%
2023-01-25,13029704587,-1.83%
2023-01-24,13272903756,-0.62%
2023-01-23,13355344152,1.25%
2023-01-20,13190463360,1.91%
2023-01-19,12943142172,-0.35%
2023-01-18,12988484389,-1.10%
2023-01-17,13132755082,-0.09%
2023-01-13,13145121142,2.97%
2023-01-12,12765895320,1.54%
2023-01-11,12572160390,0.96%
