Date,Market Cap,% Change
2023-04-25,658828058,-4.24%
2023-04-24,687994926,0.75%
2023-04-21,682847831,-4.33%
2023-04-20,713730397,-5.88%
2023-04-19,758338546,6.25%
2023-04-18,713730397,-2.58%
2023-04-17,732603075,5.43%
2023-04-14,694857718,-1.70%
2023-04-13,706867604,-0.72%
2023-04-12,712014699,-3.94%
2023-04-11,741181566,0.70%
2023-04-10,736034472,-0.92%
2023-04-06,742897264,0.93%
2023-04-05,736034472,-0.69%
2023-04-04,741181566,-6.29%
2023-04-03,790936810,-2.54%
2023-03-31,811525187,3.96%
2023-03-30,780642621,1.11%
2023-03-29,772064131,3.45%
2023-03-28,746328660,0.93%
2023-03-27,739465868,1.17%
2023-03-24,730887377,3.15%
2023-03-23,708583302,-6.98%
2023-03-22,761769943,-5.73%
2023-03-21,808093790,5.13%
2023-03-20,768632735,0.90%
2023-03-17,761769943,-5.93%
2023-03-16,809809489,-5.41%
2023-03-15,856133336,-0.40%
2023-03-14,859564733,-2.91%
2023-03-13,885300204,-1.34%
2023-03-10,897310090,-4.74%
2023-03-09,941918240,-2.14%
2023-03-08,962506617,-0.88%
2023-03-07,971085107,-2.92%
2023-03-06,1000251974,-0.85%
2023-03-03,1008830465,
2023-03-02,1008830465,0.34%
2023-03-01,1005399069,-0.51%
2023-02-28,1010546163,-1.51%
2023-02-27,1025987445,-1.64%
2023-02-24,1043144426,-2.25%
2023-02-23,1067164199,
2023-02-22,1067164199,-0.48%
2023-02-21,1072311293,-3.70%
2023-02-17,1113488047,-1.37%
2023-02-16,1128929330,-1.94%
2023-02-15,1151233404,1.21%
2023-02-14,1137507820,-0.30%
2023-02-13,1140939216,0.30%
2023-02-10,1137507820,1.38%
2023-02-09,1122066537,-3.11%
2023-02-08,1158096197,-0.15%
2023-02-07,1159811895,0.30%
2023-02-06,1156380499,-2.46%
2023-02-03,1185547366,-2.40%
2023-02-02,1214714233,9.43%
2023-02-01,1110056651,-1.37%
2023-01-31,1125497933,3.47%
2023-01-30,1087752576,-1.71%
2023-01-27,1106625255,4.54%
2023-01-26,1058585709,
2023-01-25,1058585709,-0.96%
2023-01-24,1068879897,-0.32%
2023-01-23,1072311293,-0.79%
2023-01-20,1080889784,-0.32%
2023-01-19,1084321180,-1.71%
2023-01-18,1103193859,-1.23%
2023-01-17,1116919443,-0.61%
2023-01-13,1123782235,-0.30%
2023-01-12,1127213631,3.63%
2023-01-11,1087752576,3.59%
2023-01-10,1050007218,2.00%
2023-01-09,1029418842,-3.07%
2023-01-06,1062017105,1.98%
2023-01-05,1041428728,-1.94%
2023-01-04,1062017105,-1.59%
2023-01-03,1079174086,2.32%
2022-12-30,1054671919,-0.97%
2022-12-29,1064961401,2.81%
2022-12-28,1035807868,-4.43%
2022-12-27,1083825452,1.77%
2022-12-23,1064961401,0.49%
2022-12-22,1059816660,1.15%
2022-12-21,1047812264,-0.97%
2022-12-20,1058101746,-0.16%
2022-12-19,1059816660,0.32%
2022-12-16,1056386833,-5.23%
2022-12-15,1114693898,1.40%
2022-12-14,1099259675,-1.69%
2022-12-13,1118123725,3.82%
2022-12-12,1076965797,-0.48%
2022-12-09,1082110538,0.16%
2022-12-08,1080395624,0.80%
2022-12-07,1071821056,
2022-12-06,1071821056,-3.25%
2022-12-05,1107834243,-4.15%
2022-12-02,1155851827,-0.30%
2022-12-01,1159281654,-2.17%
2022-11-30,1185005359,1.92%
2022-11-29,1162711481,2.73%
2022-11-28,1131843035,-1.79%
2022-11-25,1152421999,3.38%
2022-11-23,1114693898,-0.46%
2022-11-22,1119838639,1.24%
2022-11-21,1106119330,-0.46%
2022-11-18,1111264071,1.89%
2022-11-17,1090685106,-0.93%
2022-11-16,1100974588,-3.31%
2022-11-15,1138702690,0.61%
2022-11-14,1131843035,-4.21%
2022-11-11,1181575532,1.47%
2022-11-10,1164426395,7.78%
2022-11-09,1080395624,-2.63%
2022-11-08,1109549157,-1.07%
2022-11-07,1121553553,-2.10%
2022-11-04,1145562344,2.93%
2022-11-03,1112978984,-0.61%
2022-11-02,1119838639,-1.66%
2022-11-01,1138702690,1.22%
2022-10-31,1124983380,-0.76%
2022-10-28,1133557949,2.48%
2022-10-27,1106119330,-0.15%
2022-10-26,1107834243,0.16%
2022-10-25,1106119330,3.20%
2022-10-24,1071821056,-0.95%
2022-10-21,1082110538,2.77%
2022-10-20,1052957005,0.82%
2022-10-19,1044382437,-3.64%
2022-10-18,1083825452,-2.77%
2022-10-17,1114693898,4.17%
2022-10-14,1070106142,-1.89%
2022-10-13,1090685106,2.42%
2022-10-12,1064961401,0.81%
2022-10-11,1056386833,1.15%
2022-10-10,1044382437,-0.81%
2022-10-07,1052957005,-3.61%
2022-10-06,1092400020,-1.85%
2022-10-05,1112978984,-9.36%
2022-10-04,1227878202,4.22%
2022-10-03,1178145705,1.78%
2022-09-30,1157566740,0.40%
2022-09-29,1152949103,-4.82%
2022-09-28,1211282837,4.28%
2022-09-27,1161527593,-1.88%
2022-09-26,1183831668,-8.00%
2022-09-23,1286773552,-2.34%
2022-09-22,1317656117,-0.26%
2022-09-21,1321087513,-3.87%
2022-09-20,1374274154,-1.72%
2022-09-19,1398293927,-1.69%
2022-09-16,1422313700,1.84%
2022-09-15,1396578228,-1.21%
2022-09-14,1413735209,0.61%
2022-09-13,1405156719,-4.66%
2022-09-12,1473784642,2.38%
2022-09-09,1439470680,1.33%
2022-09-08,1420598001,0.85%
2022-09-07,1408588115,2.24%
2022-09-06,1377705550,0.63%
2022-09-02,1369127059,-0.37%
2022-09-01,1374274154,-0.25%
2022-08-31,1377705550,
2022-08-30,1377705550,-0.99%
2022-08-29,1391431134,0.50%
2022-08-26,1384568342,-2.89%
2022-08-25,1425745096,1.34%
2022-08-24,1406872417,-2.26%
2022-08-23,1439470680,0.84%
2022-08-22,1427460794,-3.93%
2022-08-19,1485794528,-1.70%
2022-08-18,1511529999,1.73%
2022-08-17,1485794528,-2.59%
2022-08-16,1525255584,1.60%
2022-08-15,1501235811,-1.13%
2022-08-12,1518392791,0.45%
2022-08-11,1511529999,1.50%
2022-08-10,1489225924,3.21%
2022-08-09,1442902076,-1.41%
2022-08-08,1463490453,0.12%
2022-08-05,1461774755,-0.23%
2022-08-04,1465206151,-2.51%
2022-08-03,1502951509,-2.23%
2022-08-02,1537265470,-3.45%
2022-08-01,1592167808,-0.75%
2022-07-29,1604177695,1.41%
2022-07-28,1581873620,0.77%
2022-07-27,1569863734,-0.22%
2022-07-26,1573295130,-3.78%
2022-07-25,1635060260,1.17%
2022-07-22,1616187581,1.07%
2022-07-21,1599030601,-2.00%
2022-07-20,1631628864,
2022-07-19,1631628864,4.05%
2022-07-18,1568148035,0.11%
2022-07-15,1566432337,1.78%
2022-07-14,1538981168,-1.10%
2022-07-13,1556138149,-1.63%
2022-07-12,1581873620,1.88%
2022-07-11,1552706753,-1.95%
2022-07-08,1583589318,-2.33%
2022-07-07,1621334676,0.75%
2022-07-06,1609324789,-2.19%
2022-07-05,1645354449,-1.54%
2022-07-01,1671089920,1.04%
2022-06-30,1653932939,-1.41%
2022-06-29,1677534363,-0.81%
2022-06-28,1691256525,-0.10%
2022-06-27,1692971795,0.41%
2022-06-24,1686110714,3.04%
2022-06-23,1636367875,0.21%
2022-06-22,1632937335,-0.10%
2022-06-21,1634652605,0.21%
2022-06-17,1631222064,2.59%
2022-06-16,1590055577,-4.73%
2022-06-15,1668958011,2.31%
2022-06-14,1631222064,-1.25%
2022-06-13,1651805308,-6.96%
2022-06-10,1775304770,-1.15%
2022-06-09,1795888014,-3.06%
2022-06-08,1852491934,-2.35%
2022-06-07,1897088962,2.03%
2022-06-06,1859353016,-0.09%
2022-06-03,1861068286,-1.81%
2022-06-02,1895373692,0.55%
2022-06-01,1885082070,-1.43%
2022-05-31,1912526395,-0.80%
2022-05-27,1927963828,2.46%
2022-05-26,1881651530,0.27%
2022-05-25,1876505719,0.64%
2022-05-24,1864498826,0.65%
2022-05-23,1852491934,1.12%
2022-05-20,1831908691,0.38%
2022-05-19,1825047609,-3.18%
2022-05-18,1885082070,-2.22%
2022-05-17,1927963828,3.88%
2022-05-16,1855922475,
2022-05-13,1855922475,0.93%
2022-05-12,1838769772,2.19%
2022-05-11,1799318555,-2.33%
2022-05-10,1842200312,-3.16%
2022-05-09,1902234773,-2.80%
2022-05-06,1957123423,-1.30%
2022-05-05,1982852478,-2.78%
2022-05-04,2039456398,1.71%
2022-05-03,2005150992,1.92%
2022-05-02,1967415045,-1.71%
2022-04-29,2001720451,-5.04%
2022-04-28,2108067210,1.07%
2022-04-27,2085768696,-1.46%
2022-04-26,2116643562,-1.91%
2022-04-25,2157810049,-0.47%
2022-04-22,2168101671,-2.17%
2022-04-21,2216129240,0.08%
2022-04-20,2214413970,0.55%
2022-04-19,2202407078,1.58%
2022-04-18,2168101671,-0.71%
2022-04-14,2183539104,-0.55%
2022-04-13,2195545996,1.59%
2022-04-12,2161240590,-0.63%
2022-04-11,2174962753,-0.94%
2022-04-08,2195545996,0.55%
2022-04-07,2183539104,-2.60%
2022-04-06,2241858295,-0.91%
2022-04-05,2262441538,-5.04%
2022-04-04,2382510460,-1.84%
2022-04-01,2427107488,0.07%
2022-03-31,2425392218,-1.47%
2022-03-30,2461508417,-0.62%
2022-03-29,2476924962,2.77%
2022-03-28,2410119932,0.50%
2022-03-25,2398129286,1.74%
2022-03-24,2357018498,1.93%
2022-03-23,2312481811,-1.53%
2022-03-22,2348453750,0.88%
2022-03-21,2327898356,0.44%
2022-03-18,2317620659,-0.66%
2022-03-17,2333037205,1.34%
2022-03-16,2302204114,1.66%
2022-03-15,2264519225,-0.45%
2022-03-14,2274796922,-0.38%
2022-03-11,2283361670,-1.11%
2022-03-10,2309055912,-0.88%
2022-03-09,2329611306,1.27%
2022-03-08,2300491165,0.60%
2022-03-07,2286787569,-1.84%
2022-03-04,2329611306,-0.37%
2022-03-03,2338176053,1.26%
2022-03-02,2309055912,2.43%
2022-03-01,2254241528,-1.28%
2022-02-28,2283361670,-0.37%
2022-02-25,2291926417,4.37%
2022-02-24,2196001246,-0.62%
2022-02-23,2209704842,-2.86%
2022-02-22,2274796922,-1.12%
2022-02-18,2300491165,-0.44%
2022-02-17,2310768862,-1.46%
2022-02-16,2345027851,1.78%
2022-02-15,2303917064,2.05%
2022-02-14,2257667427,-0.75%
2022-02-11,2274796922,1.45%
2022-02-10,2242250882,-0.76%
2022-02-09,2259380377,2.17%
2022-02-08,2211417791,-1.15%
2022-02-07,2237112033,0.62%
2022-02-04,2223408438,-0.15%
2022-02-03,2226834337,-1.81%
2022-02-02,2267945124,1.38%
2022-02-01,2237112033,1.56%
2022-01-31,2202853044,0.23%
2022-01-28,2197714195,2.07%
2022-01-27,2153177508,-2.26%
2022-01-26,2202853044,-1.00%
2022-01-25,2225121387,0.08%
2022-01-24,2223408438,-1.22%
2022-01-21,2250815629,-2.09%
2022-01-20,2298778215,-1.68%
2022-01-19,2338176053,-2.64%
2022-01-18,2401555184,-2.03%
2022-01-14,2451230720,-0.35%
2022-01-13,2459795467,1.20%
2022-01-12,2430675326,-1.53%
2022-01-11,2468360215,-1.17%
2022-01-10,2497480356,-0.75%
2022-01-07,2516322800,2.16%
2022-01-06,2463221366,1.48%
2022-01-05,2427249427,-1.39%
2022-01-04,2461508417,2.50%
2022-01-03,2401555184,4.47%
2021-12-31,2298778215,-0.64%
2021-12-30,2313626994,0.15%
2021-12-29,2310204469,-0.52%
2021-12-28,2322183307,-0.15%
2021-12-27,2325605832,0.52%
2021-12-23,2313626994,0.45%
2021-12-22,2303359419,0.22%
2021-12-21,2298225631,2.99%
2021-12-20,2231486391,-2.69%
2021-12-17,2293091843,-1.11%
2021-12-16,2318760782,-0.07%
2021-12-15,2320472044,2.81%
2021-12-14,2257155329,-0.83%
2021-12-13,2275979218,-1.34%
2021-12-10,2306781944,-1.32%
2021-12-09,2337584670,-1.80%
2021-12-08,2380366234,1.90%
2021-12-07,2335873408,-0.51%
2021-12-06,2347852246,3.47%
2021-12-03,2269134167,-0.08%
2021-12-02,2270845430,4.08%
2021-12-01,2181859776,-0.78%
2021-11-30,2198972402,-3.82%
2021-11-29,2286246793,-1.84%
2021-11-26,2329028357,-5.55%
2021-11-24,2465929363,0.70%
