Date,Market Cap,% Change
2023-04-25,258562350,-3.95%
2023-04-24,269188200,0.26%
2023-04-21,268479810,0.26%
2023-04-20,267771420,-2.58%
2023-04-19,274855320,-0.26%
2023-04-18,275563710,0.78%
2023-04-17,273438540,2.39%
2023-04-14,267063030,-1.05%
2023-04-13,269896590,1.06%
2023-04-12,267063030,-1.05%
2023-04-11,269896590,-0.52%
2023-04-10,271313370,-0.78%
2023-04-06,273438540,1.85%
2023-04-05,268479810,-1.04%
2023-04-04,271313370,-2.05%
2023-04-03,276980490,1.30%
2023-03-31,273438540,2.93%
2023-03-30,265646250,-1.57%
2023-03-29,269896590,2.70%
2023-03-28,262812690,-1.59%
2023-03-27,267063030,-3.08%
2023-03-24,275563710,1.30%
2023-03-23,272021760,-0.26%
2023-03-22,272730150,-6.33%
2023-03-21,291148290,1.48%
2023-03-20,286897950,-0.25%
2023-03-17,287606340,-2.87%
2023-03-16,296107020,-2.11%
2023-03-15,302482529,-1.61%
2023-03-14,307441260,0.70%
2023-03-13,305316090,-1.60%
2023-03-10,310274820,-4.99%
2023-03-09,326567790,-2.95%
2023-03-08,336485250,2.15%
2023-03-07,329401350,-0.64%
2023-03-06,331526520,-1.06%
2023-03-03,335068470,2.38%
2023-03-02,327276180,-1.28%
2023-03-01,331526520,0.43%
2023-02-28,330109740,-4.90%
2023-02-27,347111100,-0.20%
2023-02-24,347819490,-3.54%
2023-02-23,360570510,3.46%
2023-02-22,348527880,2.93%
2023-02-21,338610420,
2023-02-17,338610420,-2.25%
2023-02-16,346402710,-2.00%
2023-02-15,353486610,-0.20%
2023-02-14,354195000,-1.19%
2023-02-13,358445340,3.90%
2023-02-10,344985930,-3.75%
2023-02-09,358445340,-1.94%
2023-02-08,365529240,-5.84%
2023-02-07,388197720,3.40%
2023-02-06,375446700,-3.46%
2023-02-03,388906110,0.73%
2023-02-02,386072550,3.02%
2023-02-01,374738310,-0.19%
2023-01-31,375446700,0.76%
2023-01-30,372613140,0.19%
2023-01-27,371904750,-0.19%
2023-01-26,372613140,
2023-01-25,372613140,3.34%
2023-01-24,360570510,-0.59%
2023-01-23,362695680,0.59%
2023-01-20,360570510,4.09%
2023-01-19,346402710,2.30%
2023-01-18,338610420,-2.85%
2023-01-17,348527880,2.71%
2023-01-13,339318810,-0.83%
2023-01-12,342152370,4.09%
2023-01-11,328692960,2.43%
2023-01-10,320900670,3.66%
2023-01-09,309566430,-0.23%
2023-01-06,310274820,8.68%
2023-01-05,285481170,-4.50%
2023-01-04,298940580,2.18%
