Date,Market Cap,% Change
2023-04-25,627010445,-1.87%
2023-04-24,638966152,0.84%
2023-04-21,633652504,-0.42%
2023-04-20,636309328,0.63%
2023-04-19,632324092,1.28%
2023-04-18,624353621,-2.08%
2023-04-17,637637740,2.35%
2023-04-14,623025209,-1.05%
2023-04-13,629667269,
2023-04-12,629667269,1.28%
2023-04-11,621696797,0.43%
2023-04-10,619039973,-1.69%
2023-04-06,629667269,-0.63%
2023-04-05,633652504,2.14%
2023-04-04,620368385,
2023-04-03,620368385,-0.64%
2023-03-31,624353621,2.40%
2023-03-30,609741089,-0.22%
2023-03-29,611069501,2.00%
2023-03-28,599113793,-2.38%
2023-03-27,613726325,3.36%
2023-03-24,593800146,3.47%
2023-03-23,573873966,-2.04%
2023-03-22,585829674,-2.65%
2023-03-21,601770617,2.95%
2023-03-20,584501262,1.85%
2023-03-17,573873966,-4.21%
2023-03-16,599113793,0.89%
2023-03-15,593800146,-4.08%
2023-03-14,619039973,1.53%
2023-03-13,609741089,-2.55%
2023-03-10,625682033,-5.04%
2023-03-09,658892332,-1.98%
2023-03-08,672176451,0.80%
2023-03-07,666862803,-0.79%
2023-03-06,672176451,-0.20%
2023-03-03,673504863,2.42%
2023-03-02,657563920,-2.37%
2023-03-01,673504863,-0.59%
2023-02-28,677490099,3.66%
2023-02-27,653578684,17.42%
2023-02-24,556604611,-2.33%
2023-02-23,569888730,2.63%
2023-02-22,555276199,
2023-02-21,555276199,-3.69%
2023-02-17,576530790,-1.59%
2023-02-16,585829674,0.23%
2023-02-15,584501262,1.62%
2023-02-14,575202378,0.46%
2023-02-13,572545554,1.41%
2023-02-10,564575083,1.67%
2023-02-09,555276199,-1.88%
2023-02-08,565903494,-3.40%
2023-02-07,585829674,1.85%
2023-02-06,575202378,-3.78%
2023-02-03,597785382,-1.32%
2023-02-02,605755853,1.79%
2023-02-01,595128558,2.28%
2023-01-31,581844438,2.10%
2023-01-30,569888730,-2.94%
2023-01-27,587158086,2.31%
2023-01-26,573873966,0.23%
2023-01-25,572545554,1.17%
2023-01-24,565903494,-0.47%
2023-01-23,568560318,
2023-01-20,568560318,1.90%
2023-01-19,557933023,-0.24%
2023-01-18,559261435,0.72%
2023-01-17,555276199,-0.24%
2023-01-13,556604611,0.72%
2023-01-12,552619375,1.71%
2023-01-11,543320491,1.49%
2023-01-10,535350019,3.60%
2023-01-09,516752252,-1.77%
2023-01-06,526051136,3.13%
2023-01-05,510110192,0.26%
2023-01-04,508781780,4.93%
2023-01-03,484870365,2.70%
2022-12-30,472145028,-1.93%
2022-12-29,481428779,2.25%
2022-12-28,470818778,-4.05%
2022-12-27,490712529,-1.07%
2022-12-23,496017529,0.54%
2022-12-22,493365029,-1.33%
2022-12-21,499996280,3.29%
2022-12-20,484081279,
2022-12-19,484081279,-1.62%
2022-12-16,492038779,-2.62%
2022-12-15,505301280,-2.06%
2022-12-14,515911281,-2.51%
2022-12-13,529173781,5.56%
2022-12-12,501322530,-1.56%
2022-12-09,509280030,0.52%
2022-12-08,506627530,-0.26%
2022-12-07,507953780,1.32%
2022-12-06,501322530,-2.33%
2022-12-05,513258780,-2.52%
2022-12-02,526521281,-1.49%
2022-12-01,534478782,-0.98%
2022-11-30,539783782,1.50%
2022-11-29,531826282,-0.99%
2022-11-28,537131282,-2.64%
2022-11-25,551720033,-0.95%
2022-11-23,557025033,-0.47%
2022-11-22,559677533,0.24%
2022-11-21,558351283,-2.77%
2022-11-18,574266284,-0.46%
2022-11-17,576918784,-6.05%
2022-11-16,614053787,-9.39%
2022-11-15,677713790,0.39%
2022-11-14,675061290,-2.68%
2022-11-11,693628791,1.95%
2022-11-10,680366291,4.27%
2022-11-09,652515039,0.82%
2022-11-08,647210039,-13.32%
2022-11-07,746678795,0.36%
2022-11-04,744026294,3.51%
2022-11-03,718827543,-1.63%
2022-11-02,730763794,-3.84%
2022-11-01,759941295,-1.55%
2022-10-31,771877546,-1.52%
2022-10-28,783813797,2.25%
2022-10-27,766572546,-0.69%
2022-10-26,771877546,2.83%
2022-10-25,750657545,5.99%
2022-10-24,708217542,0.75%
2022-10-21,702912542,1.15%
2022-10-20,694955041,-0.95%
2022-10-19,701586292,-1.67%
2022-10-18,713522543,
2022-10-17,713522543,2.67%
2022-10-14,694955041,-4.38%
2022-10-13,726785043,3.79%
2022-10-12,700260042,1.34%
2022-10-11,690976291,3.99%
2022-10-10,664451290,-1.96%
2022-10-07,677713790,-1.54%
2022-10-06,688323791,-3.35%
2022-10-05,712196292,-3.42%
2022-10-04,737395044,8.59%
2022-10-03,679040040,0.20%
2022-09-30,677713790,-0.97%
2022-09-29,684354696,-7.54%
2022-09-28,740166146,2.01%
2022-09-27,725548862,0.55%
2022-09-26,721562330,-7.34%
2022-09-23,778702625,-2.82%
2022-09-22,801292974,-3.52%
2022-09-21,830527543,-0.79%
2022-09-20,837171764,-1.25%
2022-09-19,847802516,-0.16%
2022-09-16,849131360,1.59%
2022-09-15,835842920,-0.47%
2022-09-14,839829452,0.80%
2022-09-13,833185231,-3.54%
2022-09-12,863748645,2.69%
2022-09-09,841158296,2.93%
2022-09-08,817239103,-0.65%
2022-09-07,822554479,
2022-09-06,822554479,-0.64%
2022-09-02,827869855,-1.58%
2022-09-01,841158296,-1.86%
2022-08-31,857104425,-1.83%
2022-08-30,873050553,-4.78%
2022-08-29,916902408,-0.43%
2022-08-26,920888940,-1.98%
2022-08-25,939492757,1.73%
2022-08-24,923546628,0.29%
2022-08-23,920888940,0.87%
2022-08-22,912915876,-2.28%
2022-08-19,934177381,-0.99%
2022-08-18,943479289,0.57%
2022-08-17,938163913,-1.26%
2022-08-16,950123510,2.14%
2022-08-15,930190849,0.86%
2022-08-12,922217784,2.66%
2022-08-11,898298591,-2.31%
2022-08-10,919560096,1.32%
2022-08-09,907600499,-8.57%
2022-08-08,992646520,0.27%
2022-08-05,989988832,-0.13%
2022-08-04,991317676,0.27%
2022-08-03,988659988,0.95%
2022-08-02,979358079,-3.41%
2022-08-01,1013908025,0.53%
2022-07-29,1008592649,1.20%
2022-07-28,996633052,1.08%
2022-07-27,986002299,1.92%
2022-07-26,967398482,1.53%
2022-07-25,952781198,1.13%
2022-07-22,942150445,-0.70%
2022-07-21,948794665,2.00%
2022-07-20,930190849,0.29%
2022-07-19,927533160,3.41%
2022-07-18,896969747,
2022-07-15,896969747,2.58%
2022-07-14,874379398,-2.52%
2022-07-13,896969747,0.75%
2022-07-12,890325526,-0.30%
2022-07-11,892983215,-1.32%
2022-07-08,904942811,
2022-07-07,904942811,0.74%
2022-07-06,898298591,-1.31%
2022-07-05,910258187,0.44%
2022-07-01,906271655,1.64%
2022-06-30,891654370,0.05%
2022-06-29,891172693,-1.90%
