Date,Market Cap,% Change
2023-04-25,329126190,-1.51%
2023-04-24,334167510,-0.05%
2023-04-21,334347557,-0.16%
2023-04-20,334887699,-0.53%
2023-04-19,336688170,0.16%
2023-04-18,336148029,-1.53%
2023-04-17,341369396,1.83%
2023-04-14,335247793,-0.69%
2023-04-13,337588406,0.48%
2023-04-12,335967981,-0.64%
2023-04-11,338128547,-0.84%
2023-04-10,341009302,0.74%
2023-04-06,338488642,0.37%
2023-04-05,337228311,-0.21%
2023-04-04,337948500,-5.91%
2023-04-03,359194064,1.17%
2023-03-31,355052979,2.12%
2023-03-30,347671046,0.94%
2023-03-29,344430197,1.43%
2023-03-28,339568924,-0.68%
2023-03-27,341909537,0.64%
2023-03-24,339748972,1.45%
2023-03-23,334887699,0.70%
2023-03-22,332547086,-2.33%
2023-03-21,340469160,0.69%
2023-03-20,338128547,2.79%
2023-03-17,328946143,-3.74%
2023-03-16,341729490,2.48%
2023-03-15,333447321,-7.26%
2023-03-14,359554158,-0.20%
2023-03-13,360274347,0.25%
2023-03-10,359374111,-4.50%
2023-03-09,376298543,-2.38%
2023-03-08,385480948,1.57%
2023-03-07,379539392,-1.95%
2023-03-06,387101372,-0.32%
2023-03-03,388361702,1.70%
2023-03-02,381880005,0.28%
2023-03-01,380799722,-0.09%
2023-02-28,381159816,-1.90%
2023-02-27,388541749,-1.64%
2023-02-24,395023447,1.01%
2023-02-23,391062409,2.02%
2023-02-22,383320382,1.24%
2023-02-21,378639156,-1.36%
2023-02-17,383860523,1.23%
2023-02-16,379179297,-0.09%
2023-02-15,379539392,-0.47%
2023-02-14,381339863,-1.53%
2023-02-13,387281419,1.56%
2023-02-10,381339863,-0.38%
2023-02-09,382780240,-0.33%
2023-02-08,384040570,-2.02%
2023-02-07,391962645,0.23%
2023-02-06,391062409,1.50%
2023-02-03,385300901,-1.20%
2023-02-02,389982126,2.36%
2023-02-01,380979769,1.00%
2023-01-31,377198779,2.90%
2023-01-30,366575997,-0.10%
2023-01-27,366936091,1.34%
2023-01-26,362074818,0.35%
2023-01-25,360814488,-0.30%
2023-01-24,361894771,-0.30%
2023-01-23,362975054,-0.15%
2023-01-20,363515195,0.35%
2023-01-19,362254865,-0.54%
2023-01-18,364235384,-1.51%
2023-01-17,369816846,1.23%
2023-01-13,365315667,0.30%
2023-01-12,364235384,1.61%
2023-01-11,358473875,2.15%
2023-01-10,350911895,-0.26%
2023-01-09,351812131,-0.71%
2023-01-06,354332791,2.61%
2023-01-05,345330433,-2.09%
2023-01-04,352712366,1.61%
2023-01-03,347130905,-0.67%
2022-12-30,349455207,-0.15%
2022-12-29,349988998,1.92%
2022-12-28,343405575,-0.87%
2022-12-27,346430391,-0.36%
2022-12-23,347675903,0.31%
2022-12-22,346608321,-0.71%
2022-12-21,349099346,1.19%
2022-12-20,345006948,0.15%
2022-12-19,344473157,-5.05%
2022-12-16,362799983,1.09%
2022-12-15,358885515,-3.45%
2022-12-14,371696501,
2022-12-13,371696501,1.31%
2022-12-12,366892381,2.49%
2022-12-09,357995864,-1.13%
2022-12-08,362088262,0.79%
2022-12-07,359241376,1.56%
2022-12-06,353725535,0.20%
2022-12-05,353013814,-3.64%
2022-12-02,366358590,0.29%
2022-12-01,365291008,-0.48%
2022-11-30,367070312,2.08%
2022-11-29,359597237,0.10%
2022-11-28,359241376,-1.46%
2022-11-25,364579287,-0.63%
2022-11-23,366892381,-0.19%
2022-11-22,367604103,1.47%
2022-11-21,362266192,
2022-11-18,362266192,0.44%
2022-11-17,360664819,-0.25%
2022-11-16,361554471,-0.68%
2022-11-15,364045496,-1.16%
2022-11-14,368315824,-3.81%
2022-11-11,382906113,-0.23%
2022-11-10,383795764,5.22%
2022-11-09,364757217,-1.91%
2022-11-08,371874431,-1.28%
2022-11-07,376678550,-1.21%
2022-11-04,381304740,1.13%
2022-11-03,377034411,-1.44%
2022-11-02,382550252,-2.85%
2022-11-01,393759864,-0.14%
2022-10-31,394293655,0.27%
2022-10-28,393226073,2.74%
2022-10-27,382728182,-0.92%
2022-10-26,386286789,-1.27%
2022-10-25,391268839,1.99%
2022-10-24,383617834,0.42%
2022-10-21,382016461,1.37%
2022-10-20,376856481,1.05%
2022-10-19,372942013,-1.60%
2022-10-18,378991645,1.43%
2022-10-17,373653735,3.70%
2022-10-14,360308958,-1.22%
2022-10-13,364757217,5.56%
2022-10-12,345540739,-0.41%
2022-10-11,346964182,1.04%
2022-10-10,343405575,1.26%
2022-10-07,339135247,-1.29%
2022-10-06,343583505,-5.30%
2022-10-05,362799983,-1.12%
2022-10-04,366892381,0.59%
2022-10-03,364757217,0.94%
2022-09-30,361376540,0.43%
2022-09-29,359818913,-1.42%
2022-09-28,365018090,4.68%
2022-09-27,348703431,-5.72%
2022-09-26,369858704,-2.55%
2022-09-23,379539930,-1.76%
2022-09-22,386352645,-2.18%
2022-09-21,394958179,3.09%
2022-09-20,383125569,-4.17%
2022-09-19,399798793,2.20%
2022-09-16,391193258,-2.06%
2022-09-15,399440229,-1.98%
2022-09-14,407507917,-0.70%
2022-09-13,410376429,-1.76%
2022-09-12,417726990,0.56%
2022-09-09,415396324,2.03%
2022-09-08,407149353,-1.48%
2022-09-07,413244940,0.17%
2022-09-06,412527812,-1.12%
2022-09-02,417189144,-0.98%
2022-09-01,421312629,-1.55%
2022-08-31,427946062,0.51%
2022-08-30,425794678,-1.00%
2022-08-29,430097446,-1.40%
2022-08-26,436193033,-2.29%
2022-08-25,446412105,1.34%
2022-08-24,440495800,1.36%
2022-08-23,434579495,-0.78%
2022-08-22,437985852,-1.93%
2022-08-19,446591387,-1.54%
2022-08-18,453583384,1.36%
2022-08-17,447487797,2.76%
2022-08-16,435475905,-2.61%
2022-08-15,447129233,-1.62%
2022-08-12,454479793,6.69%
2022-08-11,425973960,-0.46%
2022-08-10,427946062,2.89%
2022-08-09,415934170,5.36%
2022-08-08,394778897,-0.23%
2022-08-05,395675307,-0.81%
2022-08-04,398902383,-0.89%
2022-08-03,402488022,0.40%
2022-08-02,400874484,-0.75%
2022-08-01,403922278,-2.00%
2022-07-29,412169249,0.97%
2022-07-28,408225045,2.25%
2022-07-27,399260947,-1.76%
2022-07-26,406432225,-0.83%
2022-07-25,409838583,-0.13%
2022-07-22,410376429,-0.78%
2022-07-21,413603504,-1.66%
2022-07-20,420595501,1.16%
2022-07-19,415754888,1.76%
2022-07-18,408583609,0.18%
2022-07-15,407866481,2.89%
2022-07-14,396392435,0.50%
2022-07-13,394420334,0.27%
2022-07-12,393344642,-0.32%
2022-07-11,394599615,-0.50%
2022-07-08,396571717,1.42%
2022-07-07,391013976,-0.86%
2022-07-06,394420334,0.69%
2022-07-05,391731104,-0.68%
2022-07-01,394420334,2.37%
2022-06-30,385276953,2.07%
2022-06-29,377454119,-2.91%
2022-06-28,388763606,0.55%
2022-06-27,386643077,-0.09%
2022-06-24,386996498,-0.82%
2022-06-23,390177291,-0.63%
2022-06-22,392651242,0.41%
2022-06-21,391060845,2.50%
2022-06-17,381518466,0.79%
2022-06-16,378514383,-2.68%
2022-06-15,388940316,6.28%
2022-06-14,365967921,0.53%
2022-06-13,364024103,-5.68%
2022-06-10,385936234,-0.86%
2022-06-09,389293738,-2.13%
2022-06-08,397775853,-1.27%
2022-06-07,402900464,0.93%
2022-06-06,399189539,-0.75%
2022-06-03,402193621,0.09%
2022-06-02,401840200,-1.60%
2022-06-01,408378497,0.87%
2022-05-31,404844282,-1.04%
2022-05-27,409085339,4.94%
2022-05-26,389823870,1.10%
2022-05-25,385582812,2.39%
2022-05-24,376570565,2.75%
2022-05-23,366498054,1.02%
2022-05-20,362787128,2.19%
2022-05-19,355011856,-0.20%
2022-05-18,355718699,-3.31%
2022-05-17,367911739,0.19%
2022-05-16,367204896,1.02%
2022-05-13,363493971,2.39%
2022-05-12,355011856,1.01%
2022-05-11,351477641,5.18%
2022-05-10,334159990,-3.37%
2022-05-09,345822898,-4.68%
2022-05-06,362787128,-1.39%
2022-05-05,367911739,-4.19%
2022-05-04,383992416,0.05%
2022-05-03,383815705,2.31%
2022-05-02,375156879,-3.02%
2022-04-29,386819787,-3.86%
2022-04-28,402370332,2.75%
2022-04-27,391590977,0.27%
2022-04-26,390530713,-2.17%
2022-04-25,399189539,-1.78%
2022-04-22,406434679,-2.58%
2022-04-21,417214033,-3.44%
2022-04-20,432057734,2.30%
2022-04-19,422338644,3.91%
2022-04-18,406434679,-0.39%
2022-04-14,408025075,-1.49%
2022-04-13,414209951,3.53%
2022-04-12,400073092,-0.04%
2022-04-11,400249803,-0.74%
2022-04-08,403253885,-2.81%
2022-04-07,414916794,-1.55%
2022-04-06,421455091,-1.16%
2022-04-05,426402991,-0.12%
2022-04-04,426933123,-3.36%
2022-04-01,441776825,4.30%
2022-03-31,423575619,0.00%
2022-03-30,423590664,-0.25%
2022-03-29,424644372,0.58%
2022-03-28,422185720,-0.54%
2022-03-25,424468754,1.51%
2022-03-24,418146505,0.04%
2022-03-23,417970887,-3.37%
2022-03-22,432547183,1.61%
2022-03-21,425698080,1.47%
2022-03-18,419551449,1.92%
2022-03-17,411648638,0.99%
2022-03-16,407609424,1.09%
2022-03-15,403218973,-0.82%
2022-03-14,406555716,1.05%
2022-03-11,402340883,-2.18%
2022-03-10,411297402,1.04%
2022-03-09,407082570,0.74%
2022-03-08,404097064,0.09%
2022-03-07,403745827,-0.82%
2022-03-04,407082570,2.52%
2022-03-03,397072343,1.03%
2022-03-02,393033128,2.38%
2022-03-01,383900991,-0.68%
2022-02-28,386535262,-2.91%
2022-02-25,398126051,1.61%
2022-02-24,391803802,-0.13%
2022-02-23,392330656,-5.10%
2022-02-22,413404819,-0.13%
2022-02-18,413931673,1.25%
2022-02-17,408838750,-2.06%
2022-02-16,417444033,7.02%
2022-02-15,390047622,0.27%
2022-02-14,388993914,-1.56%
2022-02-11,395140545,4.85%
2022-02-10,376876270,4.48%
2022-02-09,360719413,-0.24%
2022-02-08,361597503,-2.69%
2022-02-07,371607730,1.93%
2022-02-04,364583009,-2.08%
2022-02-03,372310202,-1.21%
2022-02-02,376876270,-1.38%
2022-02-01,382144811,-1.94%
2022-01-31,389696386,3.31%
2022-01-28,377227506,2.58%
2022-01-27,367744133,-2.20%
2022-01-26,375998180,-3.52%
2022-01-25,389696386,0.73%
2022-01-24,386886498,3.48%
2022-01-21,373890764,5.76%
2022-01-20,353519074,-2.04%
2022-01-19,360895031,-2.61%
2022-01-18,370554022,-1.36%
2022-01-14,375646944,0.66%
2022-01-13,373188292,-0.98%
2022-01-12,376876270,1.95%
2022-01-11,369675932,-1.50%
2022-01-10,375295708,-5.78%
2022-01-07,398301669,-1.22%
2022-01-06,403218973,
2022-01-05,403218973,-1.12%
2022-01-04,407785042,-0.26%
2022-01-03,408838750,-2.96%
2021-12-31,421307629,5.62%
2021-12-30,398894653,3.12%
2021-12-29,386812093,0.53%
2021-12-28,384769970,0.09%
2021-12-27,384429617,-0.22%
2021-12-23,385280501,2.68%
2021-12-22,375240064,1.94%
2021-12-21,368092634,10.87%
2021-12-20,332015131,6.32%
2021-12-17,312274611,-3.27%
2021-12-16,322825579,-0.89%
2021-12-15,325718586,-0.21%
2021-12-14,326399294,-2.44%
2021-12-13,334567785,2.13%
2021-12-10,327590532,-1.18%
2021-12-09,331504601,-2.65%
2021-12-08,340523976,1.94%
2021-12-07,334057254,1.82%
2021-12-06,328101063,1.47%
2021-12-03,323336110,-0.11%
2021-12-02,323676463,1.77%
2021-12-01,318060626,-0.69%
2021-11-30,320272925,-0.21%
2021-11-29,320953633,-1.15%
2021-11-26,324697525,-4.07%
2021-11-24,338481854,2.53%
2021-11-23,330143186,0.15%
2021-11-22,329632655,-0.36%
2021-11-19,330823893,-0.31%
2021-11-18,331844955,-1.02%
2021-11-17,335248493,0.15%
2021-11-16,334737962,-2.04%
2021-11-15,341715215,1.11%
2021-11-12,337971323,-0.70%
2021-11-11,340353800,-0.45%
2021-11-10,341885392,-0.99%
2021-11-09,345288930,-2.73%
2021-11-08,354989013,-0.29%
2021-11-05,356010074,4.34%
2021-11-04,341204684,0.20%
2021-11-03,340523976,0.70%
2021-11-02,338141500,-0.30%
2021-11-01,339162561,0.15%
2021-10-29,338652031,-1.49%
2021-10-28,343757338,2.18%
2021-10-27,336439731,-0.75%
2021-10-26,338992384,-0.10%
2021-10-25,339332738,0.55%
2021-10-22,337460792,1.38%
2021-10-21,332866016,-2.25%
2021-10-20,340523976,0.70%
2021-10-19,338141500,-0.40%
2021-10-18,339502915,0.20%
2021-10-15,338822207,-0.70%
2021-10-14,341204684,0.50%
2021-10-13,339502915,1.84%
2021-10-12,333376547,2.30%
2021-10-11,325888763,-0.31%
2021-10-08,326909824,-1.13%
2021-10-07,330653716,0.67%
2021-10-06,328441417,0.99%
2021-10-05,325208055,-1.09%
2021-10-04,328781770,-0.77%
2021-10-01,331334424,0.99%
2021-09-30,328101063,-1.62%
2021-09-29,333492566,1.79%
2021-09-28,327623649,-0.84%
2021-09-27,330385492,0.16%
2021-09-24,329867647,-1.80%
2021-09-23,335909179,-0.97%
2021-09-22,339188868,1.29%
2021-09-21,334873488,2.00%
2021-09-20,328314110,-1.19%
2021-09-17,332284260,-3.22%
2021-09-16,343331632,1.27%
2021-09-15,339016252,2.08%
2021-09-14,332111644,-1.99%
2021-09-13,338843637,0.05%
2021-09-10,338671022,-4.20%
2021-09-09,353515929,-0.97%
2021-09-08,356968233,0.44%
2021-09-07,355414696,0.34%
2021-09-03,354206390,-0.05%
2021-09-02,354379005,2.75%
2021-09-01,344885169,2.88%
2021-08-31,335218718,1.36%
2021-08-30,330730723,-0.93%
2021-08-27,333837796,3.76%
2021-08-26,321754732,-0.59%
2021-08-25,323653500,-0.32%
2021-08-24,324689191,-6.09%
2021-08-23,345748245,7.46%
2021-08-20,321754732,1.53%
2021-08-19,316921507,1.32%
2021-08-18,312778742,-1.04%
2021-08-17,316058431,3.27%
2021-08-16,306046749,0.23%
2021-08-13,305356288,-0.45%
2021-08-12,306737210,-0.67%
2021-08-11,308808592,1.59%
2021-08-10,303975367,-0.62%
2021-08-09,305874134,-0.73%
2021-08-06,308118132,2.12%
2021-08-05,301731369,0.81%
2021-08-04,299314756,0.06%
2021-08-03,299142141,-0.23%
2021-08-02,299832602,-1.14%
2021-07-30,303284906,0.69%
2021-07-29,301213524,-0.68%
2021-07-28,303284906,-1.29%
2021-07-27,307255056,-1.00%
2021-07-26,310362129,1.24%
2021-07-23,306564595,0.34%
2021-07-22,305528904,-1.83%
2021-07-21,311225205,2.74%
2021-07-20,302939676,1.27%
2021-07-19,299142141,-2.31%
2021-07-16,306219364,0.06%
2021-07-15,306046749,0.91%
2021-07-14,303284906,0.23%
2021-07-13,302594445,-0.85%
2021-07-12,305183673,-0.17%
2021-07-09,305701519,
2021-07-08,305701519,0.57%
2021-07-07,303975367,-0.73%
2021-07-06,306219364,2.07%
2021-07-02,300005217,-0.52%
2021-07-01,301558754,0.75%
2021-06-30,299314756,-3.59%
2021-06-29,310462949,-0.40%
2021-06-28,311703383,0.40%
2021-06-25,310462949,-1.63%
2021-06-24,315601891,-1.00%
2021-06-23,318791579,0.28%
2021-06-22,317905554,-0.17%
2021-06-21,318437169,2.69%
2021-06-18,310108540,-2.62%
2021-06-17,318437169,-1.75%
2021-06-16,324107725,-0.81%
2021-06-15,326765798,
2021-06-14,326765798,5.19%
2021-06-11,310640154,-1.24%
2021-06-10,314538662,-0.62%
2021-06-09,316487915,-0.67%
2021-06-08,318614374,-0.28%
2021-06-07,319500398,-0.55%
2021-06-04,321272447,-0.06%
2021-06-03,321449652,-1.25%
2021-06-02,325525364,-0.22%
2021-06-01,326234184,2.68%
2021-05-28,317728349,1.36%
2021-05-27,313475432,-1.23%
2021-05-26,317373940,1.13%
2021-05-25,313829842,-2.80%
2021-05-24,322867291,-0.87%
2021-05-21,325702569,0.99%
2021-05-20,322512881,0.83%
2021-05-19,319854808,-0.61%
2021-05-18,321804062,-0.06%
2021-05-17,321981266,-2.26%
2021-05-14,329423871,1.75%
2021-05-13,323753315,13.55%
2021-05-12,285122651,-7.74%
2021-05-11,309045310,-1.13%
2021-05-10,312589408,-3.45%
2021-05-07,323753315,3.10%
2021-05-06,314007047,-1.50%
2021-05-05,318791579,-1.05%
2021-05-04,322158471,-5.26%
2021-05-03,340056164,1.91%
2021-04-30,333676789,1.02%
2021-04-29,330309896,-0.21%
2021-04-28,331018715,-0.48%
2021-04-27,332613559,2.29%
2021-04-26,325170954,2.00%
2021-04-23,318791579,1.52%
2021-04-22,314007047,-0.95%
2021-04-21,317019530,0.96%
2021-04-20,314007047,0.11%
2021-04-19,313652637,
2021-04-16,313652637,-1.83%
2021-04-15,319500398,4.83%
2021-04-14,304792393,-0.98%
2021-04-13,307804876,2.54%
2021-04-12,300185066,-0.06%
2021-04-09,300362271,-0.59%
2021-04-08,302134320,0.29%
2021-04-07,301248296,-1.28%
2021-04-06,305146803,0.23%
2021-04-05,304437983,-1.26%
2021-04-01,308336491,3.33%
2021-03-31,298413017,1.29%
2021-03-30,294599966,-3.08%
2021-03-29,303952346,-1.96%
2021-03-26,310014073,0.85%
2021-03-25,307416190,1.02%
2021-03-24,304298730,0.80%
2021-03-23,301874039,-4.13%
2021-03-22,314863455,-1.09%
2021-03-19,318327300,-2.49%
2021-03-18,326467334,-3.13%
2021-03-17,337032060,-1.57%
2021-03-16,342401018,-4.68%
2021-03-15,359200664,1.52%
2021-03-12,353831705,2.66%
2021-03-11,344652517,10.31%
2021-03-10,312438764,-2.49%
2021-03-09,320405607,0.60%
2021-03-08,318500492,8.56%
2021-03-05,293387620,-0.65%
2021-03-04,295292735,-2.35%
2021-03-03,302393616,6.85%
2021-03-02,282996087,0.18%
2021-03-01,282476510,2.97%
2021-02-26,274336476,-5.09%
2021-02-25,289057815,1.15%
2021-02-24,285767163,3.51%
2021-02-23,276068398,0.95%
2021-02-22,273470515,-0.63%
2021-02-19,275202437,2.52%
2021-02-18,268447941,-0.83%
2021-02-17,270699439,4.06%
2021-02-16,260134714,-0.40%
2021-02-12,261173867,0.07%
2021-02-11,261000675,-0.13%
2021-02-10,261347059,-0.46%
2021-02-09,262559405,-3.50%
2021-02-08,272084977,2.21%
2021-02-05,266196442,3.36%
2021-02-04,257536831,1.43%
2021-02-03,253899794,0.48%
2021-02-02,252687448,-0.41%
2021-02-01,253726602,4.79%
2021-01-29,242122723,-3.45%
2021-01-28,250782334,-0.41%
2021-01-27,251821487,-2.02%
2021-01-26,257017254,-3.39%
2021-01-25,266023249,-0.65%
2021-01-22,267755172,1.18%
2021-01-21,264637712,1.06%
2021-01-20,261866636,0.40%
2021-01-19,260827483,-1.38%
2021-01-15,264464519,2.35%
2021-01-14,258402792,1.29%
2021-01-13,255112140,-1.73%
2021-01-12,259615137,1.08%
2021-01-11,256844062,-3.01%
2021-01-08,264810904,-0.33%
2021-01-07,265676865,-1.86%
2021-01-06,270699439,4.06%
2021-01-05,260134714,2.53%
2021-01-04,253726602,-3.62%
2020-12-31,263252174,2.81%
2020-12-30,256050827,0.74%
2020-12-29,254168100,-1.26%
2020-12-28,257420082,3.51%
2020-12-24,248691077,-1.29%
2020-12-23,251943059,-1.27%
2020-12-22,255195042,-0.40%
2020-12-21,256221984,-5.31%
2020-12-18,270599169,0.96%
2020-12-17,268031815,4.40%
2020-12-16,256735455,-2.34%
2020-12-15,262897105,1.79%
2020-12-14,258275867,2.37%
2020-12-11,252285373,0.61%
2020-12-10,250744961,0.07%
2020-12-09,250573804,-1.35%
2020-12-08,253996943,0.68%
2020-12-07,252285373,1.59%
2020-12-04,248348763,4.92%
2020-12-03,236710089,2.14%
2020-12-02,231746537,2.97%
2020-12-01,225071415,0.69%
2020-11-30,223531002,-3.76%
2020-11-27,232260008,2.73%
2020-11-25,226098357,-2.80%
2020-11-24,232602322,1.65%
2020-11-23,228836868,0.75%
2020-11-20,227125299,-0.82%
2020-11-19,229008025,0.83%
2020-11-18,227125299,-3.84%
2020-11-17,236196618,-1.15%
2020-11-16,238935130,5.76%
2020-11-13,225927200,1.77%
2020-11-12,221990590,-4.21%
2020-11-11,231746537,-4.65%
2020-11-10,243042897,8.65%
2020-11-09,223702159,4.64%
2020-11-06,213775055,-1.65%
2020-11-05,217369351,3.17%
2020-11-04,210694230,-4.35%
2020-11-03,220279020,5.06%
2020-11-02,209667288,-1.61%
2020-10-30,213090427,2.98%
2020-10-29,206928776,-1.06%
