Date,Market Cap,% Change
2023-04-25,6198778620,0.73%
2023-04-24,6153707520,-1.01%
2023-04-21,6216807060,0.83%
2023-04-20,6165726480,-0.97%
2023-04-19,6225821280,0.29%
2023-04-18,6207792840,-0.39%
2023-04-17,6231830760,1.92%
2023-04-14,6114645900,-0.88%
2023-04-13,6168731220,0.05%
2023-04-12,6165726480,-1.72%
2023-04-11,6273897120,0.14%
2023-04-10,6264882900,0.34%
2023-04-06,6243849720,-0.29%
2023-04-05,6261878160,-0.95%
2023-04-04,6321972960,-1.17%
2023-04-03,6397091460,-1.07%
2023-03-31,6466200480,2.67%
2023-03-30,6297935040,1.21%
2023-03-29,6222816540,1.47%
2023-03-28,6132674340,0.15%
2023-03-27,6123660120,0.49%
2023-03-24,6093612720,2.58%
2023-03-23,5940370980,0.15%
2023-03-22,5931356760,-4.27%
2023-03-21,6195773880,0.63%
2023-03-20,6156712260,2.40%
2023-03-17,6012484740,-2.96%
2023-03-16,6195773880,-2.18%
2023-03-15,6333991919,-2.14%
2023-03-14,6472209960,1.36%
2023-03-13,6385072500,-0.14%
2023-03-10,6394086720,-3.62%
2023-03-09,6634465919,-1.95%
2023-03-08,6766674480,1.26%
2023-03-07,6682541760,-2.67%
2023-03-06,6865830900,
2023-03-03,6865830900,1.38%
2023-03-02,6772683960,-0.09%
2023-03-01,6778693440,-0.35%
2023-02-28,6802731360,-0.04%
2023-02-27,6805736100,0.58%
2023-02-24,6766674480,-0.40%
2023-02-23,6793717140,1.03%
2023-02-22,6724608120,0.04%
2023-02-21,6721603380,-3.66%
2023-02-17,6977006280,0.43%
2023-02-16,6946958880,0.30%
2023-02-15,6925925700,-0.47%
2023-02-14,6958977840,-0.30%
2023-02-13,6980011020,0.65%
2023-02-10,6934939919,1.27%
2023-02-09,6847802460,-2.06%
2023-02-08,6992029980,-0.56%
2023-02-07,7031091600,0.78%
2023-02-06,6977006280,-1.28%
2023-02-03,7067148480,-1.59%
2023-02-02,7181328600,1.01%
2023-02-01,7109214840,0.55%
2023-01-31,7070153220,2.89%
2023-01-30,6871840380,-2.06%
2023-01-27,7016067900,2.64%
2023-01-26,6835783500,0.26%
2023-01-25,6817755060,-0.18%
2023-01-24,6829774020,0.22%
2023-01-23,6814750320,0.53%
2023-01-20,6778693440,1.21%
2023-01-19,6697565460,-0.80%
2023-01-18,6751650780,-1.53%
2023-01-17,6856816680,2.56%
2023-01-13,6685546500,-2.28%
2023-01-12,6841792980,2.48%
2023-01-11,6676532280,2.63%
2023-01-10,6505262100,-3.61%
2023-01-09,6748646040,-2.56%
2023-01-06,6925925700,1.95%
2023-01-05,6793717140,-2.63%
2023-01-04,6977006280,2.83%
2023-01-03,6784702919,-0.22%
2022-12-30,6799594460,0.44%
2022-12-29,6769600660,1.76%
2022-12-28,6652624840,-1.73%
2022-12-27,6769600660,0.40%
2022-12-23,6742606240,1.26%
2022-12-22,6658623600,-0.18%
2022-12-21,6670621120,1.46%
2022-12-20,6574640960,-0.14%
2022-12-19,6583639100,-0.86%
2022-12-16,6640627320,-1.64%
2022-12-15,6751604380,-1.92%
2022-12-14,6883577100,0.48%
2022-12-13,6850583920,0.97%
2022-12-12,6784597560,0.35%
2022-12-09,6760602520,-0.27%
2022-12-08,6778598800,0.44%
2022-12-07,6748605000,-0.13%
2022-12-06,6757603140,-0.18%
2022-12-05,6769600660,-2.00%
2022-12-02,6907572140,0.26%
2022-12-01,6889575860,-0.91%
2022-11-30,6952562840,0.56%
2022-11-29,6913570900,1.99%
2022-11-28,6778598800,-2.38%
2022-11-25,6943564700,0.30%
2022-11-23,6922569039,-0.43%
2022-11-22,6952562840,2.34%
2022-11-21,6793595700,-0.31%
2022-11-18,6814591360,1.88%
2022-11-17,6688617400,0.72%
2022-11-16,6640627320,-1.25%
2022-11-15,6724609960,1.22%
2022-11-14,6643626700,-1.47%
2022-11-11,6742606240,-1.01%
2022-11-10,6811591980,7.12%
2022-11-09,6358685600,-0.47%
2022-11-08,6388679400,-1.39%
2022-11-07,6478660800,-1.01%
2022-11-04,6544647160,4.05%
2022-11-03,6289699860,-0.38%
2022-11-02,6313694900,-1.96%
2022-11-01,6439668860,0.75%
2022-10-31,6391678780,0.66%
2022-10-28,6349687460,2.22%
2022-10-27,6211715980,1.07%
2022-10-26,6145729620,-0.92%
2022-10-25,6202717840,4.29%
2022-10-24,5947770539,1.48%
2022-10-21,5860788520,2.25%
2022-10-20,5731815180,0.05%
2022-10-19,5728815800,-2.10%
2022-10-18,5851790380,1.56%
2022-10-17,5761808980,2.89%
2022-10-14,5599842460,-1.94%
2022-10-13,5710819520,1.55%
2022-10-12,5623837500,-0.74%
2022-10-11,5665828820,2.11%
2022-10-10,5548853000,0.11%
2022-10-07,5542854240,-2.58%
2022-10-06,5689823860,-0.42%
2022-10-05,5713818900,-1.14%
2022-10-04,5779805260,4.05%
2022-10-03,5554851760,0.27%
2022-09-30,5539854860,1.67%
2022-09-29,5448865950,-3.51%
2022-09-28,5647006530,2.34%
2022-09-27,5517914940,0.49%
2022-09-26,5490895770,-4.39%
2022-09-23,5743074690,-2.15%
2022-09-22,5869164150,-3.27%
2022-09-21,6067304730,-1.80%
2022-09-20,6178383539,-3.24%
2022-09-19,6385530510,
2022-09-16,6385530510,0.57%
2022-09-15,6349504950,-0.42%
2022-09-14,6376524120,-1.67%
2022-09-13,6484600800,-5.30%
2022-09-12,6847858530,1.02%
2022-09-09,6778809539,1.48%
2022-09-08,6679739250,0.09%
2022-09-07,6673734990,2.54%
2022-09-06,6508617840,0.32%
2022-09-02,6487602930,-0.60%
2022-09-01,6526630620,1.21%
2022-08-31,6448575240,-1.06%
2022-08-30,6517624230,-0.96%
2022-08-29,6580668960,-0.90%
2022-08-26,6640711560,-3.24%
2022-08-25,6862869180,1.83%
2022-08-24,6739781850,-0.09%
2022-08-23,6745786110,0.04%
2022-08-22,6742783980,-2.73%
2022-08-19,6931918170,-2.74%
2022-08-18,7127056620,-0.08%
2022-08-17,7133060880,-1.90%
2022-08-16,7271158860,0.04%
2022-08-15,7268156730,0.37%
2022-08-12,7241137560,2.20%
2022-08-11,7085026800,0.77%
2022-08-10,7030988460,2.54%
2022-08-09,6856864920,0.75%
2022-08-08,6805828710,2.03%
2022-08-05,6670732860,0.27%
2022-08-04,6652720080,-0.40%
2022-08-03,6679739250,-1.16%
2022-08-02,6757794630,-1.79%
2022-08-01,6880881960,-1.12%
2022-07-29,6958937340,1.36%
2022-07-28,6865871310,2.60%
2022-07-27,6691747770,1.41%
2022-07-26,6598681740,-0.90%
2022-07-25,6658724340,0.77%
2022-07-22,6607688130,0.36%
2022-07-21,6583671090,0.50%
2022-07-20,6550647660,1.35%
2022-07-19,6463585890,3.71%
2022-07-18,6232421880,1.02%
2022-07-15,6169377150,3.37%
2022-07-14,5968234440,-2.12%
2022-07-13,6097326030,-1.31%
2022-07-12,6178383539,2.34%
2022-07-11,6037283430,-0.98%
2022-07-08,6097326030,-0.49%
2022-07-07,6127347330,1.04%
2022-07-06,6064302600,-1.32%
2022-07-05,6145360110,-0.44%
2022-07-01,6172379280,1.73%
2022-06-30,6067304730,-2.01%
2022-06-29,6191834880,-1.39%
2022-06-28,6278832560,-0.52%
2022-06-27,6311831680,0.86%
2022-06-24,6257833120,2.46%
2022-06-23,6107837120,2.11%
2022-06-22,5981840480,1.32%
2022-06-21,5903842560,-0.25%
2022-06-17,5918842160,0.92%
2022-06-16,5864843600,-3.41%
2022-06-15,6071838080,1.45%
2022-06-14,5984840400,-1.77%
2022-06-13,6092837520,-6.79%
2022-06-10,6536825680,-2.98%
2022-06-09,6737820320,-4.30%
2022-06-08,7040812240,-2.65%
2022-06-07,7232807120,1.52%
2022-06-06,7124810000,-0.50%
2022-06-03,7160809040,-1.57%
2022-06-02,7274806000,1.55%
2022-06-01,7163808960,-2.05%
2022-05-31,7313804960,-0.49%
2022-05-27,7349804000,2.73%
2022-05-26,7154809200,0.89%
2022-05-25,7091810880,1.76%
2022-05-24,6968814160,3.15%
2022-05-23,6755819840,1.26%
2022-05-20,6671822080,-2.67%
