Date,Market Cap,% Change
2023-04-25,52925590000,-1.81%
2023-04-24,53899840000,-1.18%
2023-04-21,54545010000,-0.76%
2023-04-20,54960690000,-4.96%
2023-04-19,57827150000,0.87%
2023-04-18,57329200000,0.17%
2023-04-17,57233940000,2.25%
2023-04-14,55973910000,-3.48%
2023-04-13,57991690000,0.13%
2023-04-12,57913750000,-0.57%
2023-04-11,58242829999,0.37%
2023-04-10,58030660000,-0.30%
2023-04-06,58203859999,0.52%
2023-04-05,57900760000,0.02%
2023-04-04,57887770000,1.11%
2023-04-03,57251260000,-1.21%
2023-03-31,57952720000,0.99%
2023-03-30,57385490000,1.19%
2023-03-29,56710010000,2.73%
2023-03-28,55203170000,0.02%
2023-03-27,55194510000,-1.54%
2023-03-24,56056180000,4.61%
2023-03-23,53583750000,-1.85%
2023-03-22,54592640000,-2.63%
2023-03-21,56069170000,-1.33%
2023-03-20,56826920000,0.75%
2023-03-17,56402579999,-1.71%
2023-03-16,57381160000,-0.13%
2023-03-15,57454770000,1.17%
2023-03-14,56787950000,0.44%
2023-03-13,56541140000,2.92%
2023-03-10,54939040000,-0.77%
2023-03-09,55363380000,-1.68%
2023-03-08,56307320000,2.78%
2023-03-07,54783160000,-2.78%
2023-03-06,56350619999,-1.04%
2023-03-03,56943829999,1.70%
2023-03-02,55991230000,0.27%
2023-03-01,55839680000,-1.37%
2023-02-28,56614750000,-0.68%
2023-02-27,57004450000,0.37%
2023-02-24,56792280000,-2.31%
2023-02-23,58134579999,0.03%
2023-02-22,58117260000,-1.79%
2023-02-21,59173780000,-2.86%
2023-02-17,60914440000,0.66%
2023-02-16,60516079999,-0.26%
2023-02-15,60676290000,0.78%
2023-02-14,60204320000,-1.90%
2023-02-13,61373420000,0.17%
2023-02-10,61269500000,0.35%
2023-02-09,61053000000,-1.69%
2023-02-08,62100859999,-1.14%
2023-02-07,62815310000,-0.47%
2023-02-06,63114079999,-0.14%
2023-02-03,63205010000,-4.31%
2023-02-02,66049820000,2.30%
2023-02-01,64564630000,0.68%
2023-01-31,64131630000,2.32%
2023-01-30,62676750000,-0.90%
2023-01-27,63248310000,-1.39%
2023-01-26,64140290000,1.83%
2023-01-25,62988510000,0.11%
2023-01-24,62919230000,0.37%
2023-01-23,62689740000,-2.25%
2023-01-20,64135960000,1.98%
2023-01-19,62888920000,-0.01%
2023-01-18,62893250000,-3.37%
2023-01-17,65084230000,-0.36%
2023-01-13,65322380000,-0.26%
2023-01-12,65491250000,-0.22%
2023-01-11,65638470000,3.05%
2023-01-10,63694300000,1.18%
2023-01-09,62949540000,-0.23%
2023-01-06,63092430000,3.52%
2023-01-05,60944750000,-1.81%
2023-01-04,62070550000,3.64%
2023-01-03,59888230000,1.97%
2022-12-30,58732119999,-2.00%
2022-12-29,59931530000,2.63%
2022-12-28,58394380000,-1.51%
2022-12-27,59290690000,-0.04%
2022-12-23,59312339999,1.02%
2022-12-22,58714800000,0.82%
2022-12-21,58238500000,0.52%
2022-12-20,57939730000,0.45%
2022-12-19,57679930000,-1.16%
2022-12-16,58355410000,-2.34%
2022-12-15,59754000000,0.38%
2022-12-14,59528839999,-5.17%
2022-12-13,62772010000,3.01%
2022-12-12,60936089999,0.65%
2022-12-09,60542060000,0.44%
2022-12-08,60277930000,0.35%
2022-12-07,60065760000,1.06%
2022-12-06,59437910000,-0.97%
2022-12-05,60022460000,-1.11%
2022-12-02,60693609999,-1.09%
2022-12-01,61360430000,0.20%
2022-11-30,61239190000,1.67%
2022-11-29,60234630000,1.16%
2022-11-28,59546160000,-2.60%
2022-11-25,61135270000,0.76%
2022-11-23,60671960000,0.73%
2022-11-22,60234630000,
2022-11-21,60234630000,2.41%
2022-11-18,58818720000,1.66%
2022-11-17,57857460000,-1.47%
2022-11-16,58719130000,-0.29%
2022-11-15,58888000000,0.66%
2022-11-14,58502630000,-3.82%
2022-11-11,60823510000,1.31%
2022-11-10,60039780000,8.63%
2022-11-09,55272450000,-1.67%
2022-11-08,56212060000,-0.02%
2022-11-07,56220720000,-0.16%
2022-11-04,56311650000,0.56%
2022-11-03,55995560000,0.37%
2022-11-02,55787720000,-2.59%
2022-11-01,57268579999,-0.75%
2022-10-31,57701579999,0.57%
2022-10-28,57372500000,3.52%
2022-10-27,55424000000,-0.24%
2022-10-26,55558230000,1.49%
2022-10-25,54744190000,3.25%
2022-10-24,53020850000,-0.92%
2022-10-21,53514470000,-2.53%
2022-10-20,54904400000,-2.98%
2022-10-19,56593099999,-2.01%
2022-10-18,57753540000,0.31%
2022-10-17,57576010000,4.17%
2022-10-14,55272450000,-2.65%
2022-10-13,56774960000,1.62%
2022-10-12,55869990000,-2.64%
2022-10-11,57385490000,-0.08%
2022-10-10,57428790000,-1.28%
2022-10-07,58173550000,-2.43%
2022-10-06,59624099999,-5.54%
2022-10-05,63118410000,-3.05%
2022-10-04,65105880000,1.79%
2022-10-03,63958430000,2.19%
2022-09-30,62590150000,0.21%
2022-09-29,62460250000,-3.88%
2022-09-28,64980310000,1.30%
2022-09-27,64144619999,-1.74%
2022-09-26,65279079999,-1.89%
2022-09-23,66534780000,-2.18%
2022-09-22,68019970000,-0.82%
2022-09-21,68582869999,-1.83%
2022-09-20,69860220000,-1.27%
2022-09-19,70760860000,0.12%
2022-09-16,70674260000,1.00%
2022-09-15,69972800000,-2.94%
2022-09-14,72094500000,-1.56%
2022-09-13,73233290000,-4.35%
2022-09-12,76567390000,1.31%
2022-09-09,75580150000,0.18%
2022-09-08,75441590000,0.32%
2022-09-07,75203440000,2.63%
2022-09-06,73276590000,0.88%
2022-09-02,72640080000,-2.47%
2022-09-01,74476000000,0.68%
2022-08-31,73969390000,0.39%
2022-08-30,73683610000,-1.89%
2022-08-29,75103850000,0.02%
2022-08-26,75086530000,-2.26%
2022-08-25,76822860000,1.48%
2022-08-24,75705720000,1.00%
2022-08-23,74956630000,-2.20%
2022-08-22,76641000000,-1.74%
2022-08-19,78000620000,-0.50%
2022-08-18,78394650000,-0.23%
2022-08-17,78576510000,-0.46%
2022-08-16,78940230000,-0.99%
2022-08-15,79732620000,1.35%
2022-08-12,78667440000,1.57%
2022-08-11,77455040000,-1.61%
2022-08-10,78719400000,1.08%
2022-08-09,77879380000,0.35%
2022-08-08,77610920000,0.47%
2022-08-05,77247200000,0.03%
2022-08-04,77225550000,-0.08%
2022-08-03,77290500000,0.37%
2022-08-02,77009050000,-1.18%
2022-08-01,77927010000,-0.38%
2022-07-29,78225780000,-0.30%
2022-07-28,78463930000,4.42%
2022-07-27,75142820000,-0.62%
2022-07-26,75610460000,1.82%
2022-07-25,74259500000,-0.79%
2022-07-22,74848380000,-0.09%
2022-07-21,74913330000,1.45%
2022-07-20,73839490000,-1.73%
2022-07-19,75138490000,2.00%
2022-07-18,73666290000,-1.89%
2022-07-15,75082200000,1.39%
2022-07-14,74051660000,0.06%
2022-07-13,74004030000,-0.02%
2022-07-12,74017020000,-0.77%
2022-07-11,74588580000,0.50%
2022-07-08,74216200000,-0.14%
2022-07-07,74320120000,-0.08%
2022-07-06,74376410000,0.14%
2022-07-05,74272490000,-0.48%
2022-07-01,74631880000,2.36%
2022-06-30,72908540000,0.64%
2022-06-29,72445230000,-0.76%
2022-06-28,72999470000,-2.81%
2022-06-27,75108180000,-0.87%
2022-06-24,75770670000,1.99%
2022-06-23,74294140000,2.09%
2022-06-22,72774310000,3.77%
2022-06-21,70128680000,3.72%
2022-06-17,67612950000,0.75%
2022-06-16,67110670000,-3.28%
2022-06-15,69388250000,1.48%
2022-06-14,68379359999,-4.89%
2022-06-13,71895320000,-3.83%
2022-06-10,74757450000,-3.89%
2022-06-09,77779790000,-2.61%
2022-06-08,79866850000,-0.81%
2022-06-07,80520680000,0.64%
2022-06-06,80009740000,0.95%
2022-06-03,79256320000,-2.23%
2022-06-02,81061930000,-0.47%
2022-06-01,81442970000,-0.82%
2022-05-31,82118450000,-1.93%
2022-05-27,83737870000,3.12%
2022-05-26,81200490000,-1.39%
2022-05-25,82347940000,-0.75%
2022-05-24,82967130000,3.46%
2022-05-23,80195930000,1.65%
2022-05-20,78892600000,2.14%
2022-05-19,77238540000,1.66%
2022-05-18,75974180000,-0.76%
2022-05-17,76554400000,0.63%
2022-05-16,76073770000,-0.45%
2022-05-13,76420170000,2.58%
2022-05-12,74497650000,0.79%
2022-05-11,73913100000,0.24%
2022-05-10,73735570000,-2.90%
2022-05-09,75939540000,-3.95%
2022-05-06,79065800000,0.56%
2022-05-05,78628470000,-1.55%
2022-05-04,79862520000,0.40%
2022-05-03,79546430000,1.60%
2022-05-02,78295060000,-2.37%
2022-04-29,80195930000,-3.57%
2022-04-28,83166310000,1.76%
2022-04-27,81724420000,0.06%
2022-04-26,81672460000,-2.20%
2022-04-25,83512710000,-0.65%
2022-04-22,84062620000,-1.15%
2022-04-21,85041200000,-0.77%
2022-04-20,85703690000,2.09%
2022-04-19,83945710000,1.53%
2022-04-18,82681350000,-0.90%
2022-04-14,83430440000,-0.40%
2022-04-13,83768180000,-0.32%
2022-04-12,84040970000,-1.00%
2022-04-11,84893980000,-0.99%
2022-04-08,85742660000,0.76%
2022-04-07,85093160000,-0.53%
2022-04-06,85547810000,2.31%
2022-04-05,83616630000,2.13%
2022-04-04,81875970000,0.03%
2022-04-01,81854320000,2.41%
2022-03-31,79931800000,0.02%
2022-03-30,79914480000,0.38%
2022-03-29,79615710000,1.68%
2022-03-28,78299390000,1.83%
2022-03-25,76892140000,1.29%
2022-03-24,75909230000,1.09%
2022-03-23,75090860000,-0.34%
2022-03-22,75350660000,-0.62%
2022-03-21,75818300000,0.13%
2022-03-18,75723040000,-1.15%
2022-03-17,76606360000,2.03%
2022-03-16,75082200000,0.37%
2022-03-15,74805080000,-0.01%
2022-03-14,74809410000,-0.50%
2022-03-11,75181790000,-1.44%
2022-03-10,76281610000,1.27%
2022-03-09,75324680000,0.06%
2022-03-08,75277050000,-1.66%
2022-03-07,76545740000,-1.30%
2022-03-04,77550300000,1.85%
2022-03-03,76138720000,1.52%
2022-03-02,74995600000,3.09%
2022-03-01,72748330000,0.85%
2022-02-28,72133470000,-0.59%
2022-02-25,72562140000,1.56%
2022-02-24,71445000000,3.17%
2022-02-23,69249690000,-1.97%
2022-02-22,70643950000,0.50%
2022-02-18,70293220000,-0.63%
2022-02-17,70739210000,-0.79%
2022-02-16,71302110000,-0.56%
2022-02-15,71704800000,-1.18%
2022-02-14,72562140000,-0.77%
2022-02-11,73125040000,-2.41%
2022-02-10,74930650000,-3.67%
2022-02-09,77784120000,1.21%
2022-02-08,76853170000,-1.88%
2022-02-07,78325370000,0.33%
