Date,Market Cap,% Change
2023-04-25,246,-3.95%
2023-04-24,256,1.17%
2023-04-21,253,-1.64%
2023-04-20,257,-2.24%
2023-04-19,263,1.63%
2023-04-18,259,-3.00%
2023-04-17,267,4.10%
2023-04-14,256,-1.13%
2023-04-13,259,-2.07%
2023-04-12,265,-2.33%
2023-04-11,271,
2023-04-10,271,-7.87%
2023-04-06,294,1.60%
2023-04-05,289,0.29%
2023-04-04,288,-0.87%
2023-04-03,291,0.29%
2023-03-31,290,4.39%
2023-03-30,278,2.32%
2023-03-29,272,2.05%
2023-03-28,266,1.12%
2023-03-27,263,1.96%
2023-03-24,258,2.16%
2023-03-23,253,-6.24%
2023-03-22,270,-3.90%
2023-03-21,280,2.93%
2023-03-20,273,
2023-03-17,273,-7.56%
2023-03-16,295,-3.18%
2023-03-15,304,
2023-03-14,304,-2.03%
2023-03-13,311,-3.53%
2023-03-10,322,-5.43%
2023-03-09,341,-3.23%
2023-03-08,352,0.97%
2023-03-07,349,-1.78%
2023-03-06,355,-0.82%
2023-03-03,358,-1.05%
2023-03-02,362,0.12%
2023-03-01,361,1.54%
2023-02-28,356,-0.82%
2023-02-27,359,-0.70%
2023-02-24,361,-2.05%
2023-02-23,369,-0.23%
2023-02-22,370,-1.35%
2023-02-21,375,-2.94%
2023-02-17,386,-1.50%
2023-02-16,392,-2.21%
2023-02-15,401,0.42%
2023-02-14,399,-0.84%
2023-02-13,402,0.74%
2023-02-10,399,1.17%
2023-02-09,395,-2.59%
2023-02-08,405,-0.62%
2023-02-07,408,0.10%
2023-02-06,407,-2.81%
2023-02-03,419,-0.80%
2023-02-02,423,1.82%
2023-02-01,415,0.30%
2023-01-31,414,3.47%
2023-01-30,400,-1.55%
2023-01-27,406,3.09%
2023-01-26,394,-0.11%
2023-01-25,394,3.88%
2023-01-24,380,-2.80%
2023-01-23,391,-0.96%
2023-01-20,394,0.54%
2023-01-19,392,0.98%
2023-01-18,389,-2.33%
2023-01-17,398,0.85%
2023-01-13,394,3.08%
2023-01-12,383,4.24%
2023-01-11,367,6.59%
2023-01-10,344,1.74%
2023-01-09,339,-4.62%
2023-01-06,355,2.30%
2023-01-05,347,-3.85%
2023-01-04,361,1.30%
2023-01-03,356,-100.00%
2022-12-30,352395760,-2.67%
2022-12-29,362067720,4.74%
2022-12-28,345667440,-2.38%
2022-12-27,354077840,-1.17%
2022-12-23,358283040,-0.81%
2022-12-22,361226680,-1.72%
2022-12-21,367534480,0.69%
2022-12-20,365011360,-1.48%
2022-12-19,370478120,-2.65%
2022-12-16,380570600,-0.98%
2022-12-15,384355280,-1.19%
2022-12-14,388981000,-0.96%
2022-12-13,392765680,1.08%
2022-12-12,388560480,-1.49%
2022-12-09,394447760,0.97%
2022-12-08,390663079,0.11%
2022-12-07,390242560,0.54%
2022-12-06,388139960,-2.84%
2022-12-05,399494000,-4.90%
2022-12-02,420099480,0.60%
2022-12-01,417576360,0.40%
2022-11-30,415894280,1.12%
2022-11-29,411268560,
2022-11-28,411268560,-2.49%
2022-11-25,421781560,1.21%
2022-11-23,416735320,-0.60%
2022-11-22,419258440,0.91%
2022-11-21,415473760,2.38%
2022-11-18,405801800,1.05%
2022-11-17,401596600,0.63%
2022-11-16,399073480,-3.16%
2022-11-15,412109600,-0.31%
2022-11-14,413371160,-1.50%
2022-11-11,419678960,1.53%
2022-11-10,413371160,6.39%
2022-11-09,388560480,-2.63%
2022-11-08,399073480,-5.57%
2022-11-07,422622600,-3.74%
2022-11-04,439022880,2.76%
2022-11-03,427248320,-2.21%
2022-11-02,436920280,-1.89%
2022-11-01,445330680,-0.28%
2022-10-31,446592239,-1.21%
2022-10-28,452059000,2.28%
2022-10-27,441966520,0.48%
2022-10-26,439863920,0.77%
2022-10-25,436499760,3.49%
2022-10-24,421781560,0.91%
2022-10-21,417996880,0.20%
2022-10-20,417155840,1.85%
2022-10-19,409586480,-2.31%
2022-10-18,419258440,-0.30%
2022-10-17,420520000,2.67%
2022-10-14,409586480,-1.32%
2022-10-13,415053239,3.68%
2022-10-12,400335040,0.63%
2022-10-11,397811920,2.60%
2022-10-10,387719440,0.33%
2022-10-07,386457880,-1.18%
2022-10-06,391083600,-5.20%
2022-10-05,412530120,-3.82%
2022-10-04,428930399,1.80%
2022-10-03,421361040,0.50%
2022-09-30,419258440,2.62%
2022-09-29,408547880,-3.98%
2022-09-28,425501789,2.59%
2022-09-27,414750530,-0.89%
