Date,Market Cap,% Change
2023-04-26,106966860,0.43%
2023-04-25,106503799,-2.13%
2023-04-24,108819100,1.51%
2023-04-21,107198390,-0.43%
2023-04-20,107661450,-3.73%
2023-04-19,111828990,-3.98%
2023-04-18,116459590,-2.14%
2023-04-17,119006420,21.51%
2023-04-14,97937190,0.24%
2023-04-13,97705660,
2023-04-12,97705660,-0.47%
2023-04-11,98168720,0.47%
2023-04-10,97705660,1.44%
2023-04-06,96316480,1.96%
2023-04-05,94464240,
2023-04-04,94464240,-1.92%
2023-04-03,96316480,2.21%
2023-03-31,94232710,2.39%
2023-03-30,92033175,0.13%
2023-03-29,91917410,1.28%
2023-03-28,90759760,-2.24%
2023-03-27,92843530,-3.84%
2023-03-24,96548010,-0.71%
2023-03-23,97242600,-2.33%
2023-03-22,99557900,-3.37%
2023-03-21,103030850,-1.11%
2023-03-20,104188500,
2023-03-17,104188500,-1.53%
2023-03-16,105809210,2.47%
2023-03-15,103262380,-1.98%
2023-03-14,105346150,-0.87%
2023-03-13,106272270,3.61%
2023-03-10,102567790,-7.71%
2023-03-09,111134400,-2.04%
2023-03-08,113449700,
2023-03-07,113449700,-2.27%
2023-03-06,116086826,1.29%
2023-03-03,114607350,-0.17%
2023-03-02,114804150,2.24%
2023-03-01,112292049,-4.53%
2023-02-28,117617240,0.59%
2023-02-27,116922650,
2023-02-24,116922650,-1.94%
2023-02-23,119237950,-1.90%
2023-02-22,121553250,-1.50%
2023-02-21,123405490,-2.20%
2023-02-17,126183850,0.93%
2023-02-16,125026200,0.19%
2023-02-15,124794670,2.67%
2023-02-14,121553250,-5.02%
2023-02-13,127973576,1.23%
2023-02-10,126415380,1.30%
2023-02-09,124794670,-2.18%
2023-02-08,127573030,-2.65%
2023-02-07,131045980,1.07%
2023-02-06,129656799,2.94%
2023-02-03,125952320,3.62%
2023-02-02,121553250,0.19%
2023-02-01,121321720,-0.76%
2023-01-31,122247840,2.33%
2023-01-30,119469480,-0.77%
2023-01-27,120395600,-2.44%
