Date,Market Cap,% Change
2023-04-25,7938689250,0.17%
2023-04-24,7925211000,-1.11%
2023-04-21,8014167450,0.92%
2023-04-20,7941384900,0.03%
2023-04-19,7938689250,1.06%
2023-04-18,7855124100,0.80%
2023-04-17,7793124150,2.05%
2023-04-14,7636776450,-0.25%
2023-04-13,7655646000,0.39%
2023-04-12,7625993850,1.18%
2023-04-11,7537037400,-0.25%
2023-04-10,7555906950,-0.11%
2023-04-06,7563993900,0.21%
2023-04-05,7547820000,-0.07%
2023-04-04,7553211300,-0.11%
2023-04-03,7561298250,-1.41%
2023-03-31,7669124250,1.43%
2023-03-30,7561298250,0.18%
2023-03-29,7547820000,1.19%
2023-03-28,7458863550,-0.07%
2023-03-27,7464254850,0.29%
2023-03-24,7442689650,2.11%
2023-03-23,7289037600,1.05%
2023-03-22,7213559400,-3.18%
2023-03-21,7450776600,-2.30%
2023-03-20,7625993850,1.11%
2023-03-17,7542428700,-2.00%
2023-03-16,7696080750,-0.70%
2023-03-15,7749993750,-1.13%
2023-03-14,7838950200,1.04%
2023-03-13,7758080700,0.42%
2023-03-10,7725732900,-1.65%
2023-03-09,7855124100,-1.85%
2023-03-08,8003384850,0.30%
2023-03-07,7979124000,-0.44%
2023-03-06,8014167450,-0.67%
2023-03-03,8068080450,2.39%
2023-03-02,7879384950,0.14%
2023-03-01,7868602350,-0.71%
2023-02-28,7925211000,-1.11%
2023-02-27,8014167450,-0.90%
2023-02-24,8086950000,-1.96%
2023-02-23,8248689000,0.16%
2023-02-22,8235210750,-1.45%
2023-02-21,8356515000,-2.64%
2023-02-17,8582949600,4.87%
2023-02-16,8183993400,-1.04%
2023-02-15,8270254200,0.07%
2023-02-14,8264862900,-0.68%
2023-02-13,8321471550,0.36%
2023-02-10,8291819400,0.98%
2023-02-09,8210949900,-1.20%
2023-02-08,8310688950,-1.41%
2023-02-07,8429297550,-1.11%
2023-02-06,8523645300,-0.69%
2023-02-03,8582949600,-0.84%
2023-02-02,8655732150,1.33%
2023-02-01,8542514850,0.89%
2023-01-31,8467036650,1.22%
2023-01-30,8364601950,-2.51%
2023-01-27,8580253950,0.41%
2023-01-26,8545210500,2.26%
2023-01-25,8356515000,0.16%
2023-01-24,8343036750,1.11%
2023-01-23,8251384650,0.03%
2023-01-20,8248689000,0.59%
2023-01-19,8200167300,-0.23%
2023-01-18,8219036850,-0.88%
2023-01-17,8291819400,-1.35%
2023-01-13,8405036700,-0.67%
2023-01-12,8461645350,1.98%
2023-01-11,8297210700,4.52%
2023-01-10,7938689250,1.94%
2023-01-09,7787732850,0.31%
2023-01-06,7763472000,1.95%
2023-01-05,7615211250,-3.19%
2023-01-04,7865906700,2.39%
2023-01-03,7682602500,0.57%
2022-12-30,7638774060,-0.81%
2022-12-29,7700834040,1.60%
2022-12-28,7579412340,-1.54%
2022-12-27,7698135780,0.14%
2022-12-23,7687342740,0.96%
2022-12-22,7614489720,-0.39%
2022-12-21,7644170580,1.14%
2022-12-20,7557826260,-0.43%
2022-12-19,7590205380,-0.28%
2022-12-16,7611791460,-1.84%
2022-12-15,7754799240,-1.68%
2022-12-14,7887013980,0.72%
2022-12-13,7830350520,0.90%
2022-12-12,7760195760,-1.34%
2022-12-09,7865427900,0.07%
2022-12-08,7860031380,0.59%
2022-12-07,7814160960,
2022-12-06,7814160960,-1.33%
2022-12-05,7919393100,-2.13%
2022-12-02,8092081740,0.20%
2022-12-01,8075892180,0.27%
2022-11-30,8054306100,1.15%
2022-11-29,7962565260,2.39%
2022-11-28,7776385320,-2.93%
2022-11-25,8011133940,0.71%
2022-11-23,7954470480,1.27%
2022-11-22,7854634860,0.83%
2022-11-21,7789876620,-0.35%
2022-11-18,7816859220,1.47%
2022-11-17,7703532300,-1.38%
2022-11-16,7811462700,-0.48%
2022-11-15,7849238340,1.50%
2022-11-14,7733213160,-0.49%
2022-11-11,7770988800,-2.67%
2022-11-10,7984151340,5.19%
2022-11-09,7590205380,-3.13%
2022-11-08,7835747040,2.07%
2022-11-07,7676549700,2.86%
2022-11-04,7463387160,15.30%
2022-11-03,6473125740,-0.79%
2022-11-02,6524392680,-1.47%
2022-11-01,6621530040,1.20%
2022-10-31,6543280500,0.04%
2022-10-28,6540582240,2.02%
2022-10-27,6411065760,0.47%
2022-10-26,6381384900,2.25%
2022-10-25,6241075380,4.61%
2022-10-24,5965852860,-0.58%
2022-10-21,6000930240,0.41%
2022-10-20,5976645900,-0.40%
2022-10-19,6000930240,-4.63%
2022-10-18,6292342320,0.52%
2022-10-17,6259963200,2.56%
2022-10-14,6103464120,-3.37%
2022-10-13,6316626660,0.34%
2022-10-12,6295040580,-2.55%
2022-10-11,6459634440,0.63%
2022-10-10,6419160540,-1.65%
2022-10-07,6527090940,-3.01%
2022-10-06,6729460440,-2.31%
2022-10-05,6888657780,-1.47%
2022-10-04,6991191660,1.77%
2022-10-03,6869769960,3.50%
2022-09-30,6637719600,0.50%
2022-09-29,6604857000,-4.26%
2022-09-28,6898705740,1.35%
2022-09-27,6807046500,-0.86%
2022-09-26,6866355420,-5.17%
2022-09-23,7241079960,-1.32%
2022-09-22,7338130920,0.63%
2022-09-21,7292301300,0.07%
2022-09-20,7286909580,-4.15%
2022-09-19,7602325200,-0.60%
2022-09-16,7648154820,0.28%
2022-09-15,7626587940,-2.41%
2022-09-14,7815298140,-0.99%
2022-09-13,7893478080,-4.56%
2022-09-12,8270898480,1.69%
2022-09-09,8133409620,1.62%
2022-09-08,8004008340,-0.17%
2022-09-07,8017487640,1.74%
2022-09-06,7879998780,0.83%
2022-09-02,7815298140,-1.02%
2022-09-01,7896173940,-0.44%
2022-08-31,7931220120,-0.30%
2022-08-30,7955482860,-1.63%
2022-08-29,8087580000,-0.10%
2022-08-26,8095667580,-2.28%
2022-08-25,8284377780,0.56%
2022-08-24,8238548160,-0.68%
2022-08-23,8295161220,-0.49%
2022-08-22,8335599120,-0.29%
2022-08-19,8359861860,-0.58%
2022-08-18,8408387340,-1.55%
2022-08-17,8540484480,-1.89%
2022-08-16,8704931940,-0.71%
2022-08-15,8766936720,0.22%
2022-08-12,8748065700,0.96%
2022-08-11,8664494040,-0.19%
2022-08-10,8680669200,1.71%
2022-08-09,8535092760,1.54%
2022-08-08,8405691480,0.42%
2022-08-05,8370645300,-4.43%
2022-08-04,8758849140,0.43%
2022-08-03,8721107100,-0.58%
2022-08-02,8772328440,-0.40%
2022-08-01,8807374620,-0.24%
2022-07-29,8828941500,-0.06%
2022-07-28,8834333220,4.13%
2022-07-27,8483871420,-0.88%
2022-07-26,8559355500,1.63%
2022-07-25,8421866640,-0.38%
2022-07-22,8454216960,0.29%
2022-07-21,8429954220,0.42%
2022-07-20,8394908040,-1.74%
2022-07-19,8543180340,2.46%
2022-07-18,8338294980,-0.71%
2022-07-15,8397603900,0.23%
2022-07-14,8378732880,-0.16%
2022-07-13,8392212180,0.94%
2022-07-12,8314032240,-1.60%
2022-07-11,8448825240,-0.16%
2022-07-08,8462304540,-1.29%
2022-07-07,8572834800,2.58%
2022-07-06,8357166000,-1.77%
2022-07-05,8508134160,2.17%
2022-07-01,8327511540,2.83%
2022-06-30,8098363440,0.40%
2022-06-29,8066045210,-0.43%
2022-06-28,8101079820,-0.76%
