Date,Market Cap,% Change
2023-04-25,11373849620,-1.33%
2023-04-24,11526788090,-0.49%
2023-04-21,11583190930,0.39%
2023-04-20,11538719460,-0.50%
2023-04-19,11596206970,0.91%
2023-04-18,11492078650,-0.58%
2023-04-17,11559328190,3.03%
2023-04-14,11219826480,-0.63%
2023-04-13,11291414700,0.18%
2023-04-12,11270805970,-0.61%
2023-04-11,11340224850,-0.24%
2023-04-10,11367341600,0.23%
2023-04-06,11341309520,1.03%
2023-04-05,11225249830,-0.09%
2023-04-04,11235011860,-0.21%
2023-04-03,11258874600,-0.99%
2023-03-31,11371680280,1.58%
2023-03-30,11194879070,0.56%
2023-03-29,11133052880,2.12%
2023-03-28,10902018170,0.51%
2023-03-27,10846700000,0.11%
2023-03-24,10834768630,1.26%
2023-03-23,10700269550,-0.96%
2023-03-22,10804397870,-2.52%
2023-03-21,11084242730,-1.11%
2023-03-20,11208979780,1.59%
2023-03-17,11033263240,-3.25%
2023-03-16,11404220380,-1.89%
2023-03-15,11624408390,-0.93%
2023-03-14,11733960060,-0.35%
2023-03-13,11775177520,1.54%
2023-03-10,11596206970,-3.50%
2023-03-09,12017058930,-2.28%
2023-03-08,12297988460,1.21%
2023-03-07,12150473340,-4.41%
2023-03-06,12711247730,0.91%
2023-03-03,12596272710,1.87%
2023-03-02,12365238000,1.82%
2023-03-01,12143965320,-2.44%
2023-02-28,12447672920,-0.06%
2023-02-27,12455265610,-1.37%
2023-02-24,12628812810,-1.39%
2023-02-23,12806698690,0.43%
2023-02-22,12751380520,-0.42%
2023-02-21,12804529350,-1.67%
2023-02-17,13021463350,
2023-02-16,13021463350,-1.17%
2023-02-15,13175486490,-0.64%
2023-02-14,13260090750,-0.76%
2023-02-13,13362049730,0.30%
2023-02-10,13321916940,0.60%
2023-02-09,13242736030,-1.49%
2023-02-08,13443399980,0.23%
2023-02-07,13413029220,1.00%
2023-02-06,13280699480,0.57%
2023-02-03,13204772580,-3.62%
2023-02-02,13700466770,2.07%
2023-02-01,13422791250,0.44%
2023-01-31,13364219070,2.86%
2023-01-30,12992177260,-1.54%
2023-01-27,13195010550,1.50%
2023-01-26,12999769950,0.49%
2023-01-25,12936859090,1.05%
2023-01-24,12802360010,2.75%
2023-01-23,12459604290,0.17%
2023-01-20,12438995560,0.12%
2023-01-19,12423810180,-0.62%
2023-01-18,12501906420,-2.11%
2023-01-17,12770904580,-0.18%
2023-01-13,12793682650,-0.32%
2023-01-12,12834900110,0.04%
2023-01-11,12829476760,4.31%
2023-01-10,12299073130,0.34%
2023-01-09,12257855670,-0.87%
2023-01-06,12365238000,3.95%
2023-01-05,11895575890,-2.73%
2023-01-04,12229654250,1.87%
2023-01-03,12005127560,5.20%
2022-12-30,11411648120,-0.94%
2022-12-29,11519767060,2.80%
2022-12-28,11205610140,-1.48%
2022-12-27,11373908490,0.18%
2022-12-23,11353508690,1.04%
2022-12-22,11236209840,-0.33%
2022-12-21,11272929480,0.66%
2022-12-20,11199490200,-0.53%
2022-12-19,11259669610,-1.61%
2022-12-16,11444287800,-2.21%
2022-12-15,11702345270,-1.76%
2022-12-14,11911443220,-1.40%
2022-12-13,12080761560,1.85%
2022-12-12,11861463710,0.25%
2022-12-09,11831884000,-0.18%
2022-12-08,11853303790,1.69%
2022-12-07,11656445720,-0.31%
2022-12-06,11692145370,-1.51%
2022-12-05,11871663610,-2.91%
2022-12-02,12227640120,0.33%
2022-12-01,12187860510,-0.70%
2022-11-30,12273539670,2.19%
2022-11-29,12010382250,2.20%
2022-11-28,11751304790,-2.47%
2022-11-25,12049141870,0.64%
2022-11-23,11972642620,0.47%
2022-11-22,11916543170,0.50%
2022-11-21,11857383750,1.25%
2022-11-18,11711525180,1.15%
2022-11-17,11578926480,-0.69%
2022-11-16,11659505690,-0.28%
2022-11-15,11692145370,2.47%
2022-11-14,11410628130,-2.92%
2022-11-11,11753344770,-0.83%
2022-11-10,11852283800,6.24%
2022-11-09,11155630630,-0.44%
2022-11-08,11204590150,0.19%
2022-11-07,11183170360,-1.67%
2022-11-04,11372888500,1.29%
2022-11-03,11228049920,-1.62%
2022-11-02,11412668110,-3.04%
2022-11-01,11770684600,-0.13%
2022-10-31,11785984450,0.50%
2022-10-28,11727845020,0.07%
2022-10-27,11719685100,-0.14%
2022-10-26,11736004940,-1.46%
2022-10-25,11910423230,3.34%
2022-10-24,11525887000,-0.78%
2022-10-21,11616666110,1.44%
2022-10-20,11451427730,-0.41%
2022-10-19,11498347270,-2.36%
2022-10-18,11776804540,0.04%
2022-10-17,11771704590,4.27%
2022-10-14,11289249320,-3.26%
2022-10-13,11669705590,2.02%
2022-10-12,11438167860,-1.16%
2022-10-11,11572806540,1.32%
2022-10-10,11421848020,-0.90%
2022-10-07,11525887000,-2.90%
2022-10-06,11869623630,-2.55%
2022-10-05,12180720580,-3.02%
2022-10-04,12560156860,0.84%
2022-10-03,12456117880,2.24%
2022-09-30,12183780550,-4.98%
2022-09-29,12822850520,-1.78%
2022-09-28,13054967760,2.59%
2022-09-27,12725231120,-1.18%
2022-09-26,12877083520,-2.65%
2022-09-23,13227428700,-0.67%
2022-09-22,13316370820,0.26%
2022-09-21,13281661700,-1.34%
2022-09-20,13461715260,-2.96%
2022-09-19,13871716740,-0.86%
2022-09-16,13992114000,-0.10%
2022-09-15,14006214580,-1.25%
2022-09-14,14183014159,-1.18%
2022-09-13,14352221120,-2.03%
2022-09-12,14649417960,0.16%
2022-09-09,14625555440,1.28%
2022-09-08,14441163239,1.69%
2022-09-07,14201453380,0.65%
2022-09-06,14110341940,2.68%
2022-09-02,13741557540,-1.87%
2022-09-01,14002960600,0.46%
2022-08-31,13938965659,-1.44%
2022-08-30,14142881739,-1.59%
2022-08-29,14370660340,-1.64%
2022-08-26,14610370199,-2.53%
2022-08-25,14988916540,1.08%
2022-08-24,14829471520,0.50%
2022-08-23,14755714640,-2.27%
2022-08-22,15098467199,-2.18%
2022-08-19,15434711800,-1.06%
2022-08-18,15599580120,-1.87%
2022-08-17,15896776960,-0.10%
2022-08-16,15913046860,0.33%
2022-08-15,15860983179,0.35%
2022-08-12,15805665520,1.65%
2022-08-11,15549685760,0.01%
2022-08-10,15548601100,1.73%
2022-08-09,15283944060,2.12%
2022-08-08,14967223340,0.52%
2022-08-05,14890212480,0.12%
2022-08-04,14871773260,0.59%
2022-08-03,14783915800,-0.56%
2022-08-02,14867434620,-1.33%
2022-08-01,15068096719,-1.54%
2022-07-29,15304552600,-0.16%
2022-07-28,15329499780,4.06%
2022-07-27,14730767460,0.60%
2022-07-26,14642910000,-0.63%
2022-07-25,14735106100,0.01%
2022-07-22,14734021440,0.94%
2022-07-21,14597354280,0.49%
2022-07-20,14526851380,0.07%
2022-07-19,14516004780,2.05%
2022-07-18,14224231239,-0.71%
2022-07-15,14326189280,1.21%
2022-07-14,14154813000,-1.40%
2022-07-13,14355475100,-0.16%
2022-07-12,14378252960,-0.17%
2022-07-11,14403200140,0.04%
2022-07-08,14397776840,-1.06%
2022-07-07,14551798560,-0.42%
2022-07-06,14613624179,0.61%
2022-07-05,14524682060,-1.58%
2022-07-01,14757883960,1.17%
2022-06-30,14586507679,0.75%
2022-06-29,14477555519,-0.64%
2022-06-28,14570526680,-0.57%
2022-06-27,14653768300,0.33%
2022-06-24,14606201660,0.37%
2022-06-23,14552148660,2.06%
2022-06-22,14258100339,1.17%
2022-06-21,14093779220,1.39%
2022-06-17,13900269480,0.78%
2022-06-16,13792163480,-0.75%
2022-06-15,13897026300,2.02%
2022-06-14,13621356000,-0.40%
2022-06-13,13675409000,-5.02%
2022-06-10,14398638140,-1.27%
2022-06-09,14584580460,-3.19%
2022-06-08,15065652160,-2.29%
2022-06-07,15419158780,2.00%
2022-06-06,15117543040,-2.59%
2022-06-03,15519697360,-0.76%
2022-06-02,15638613960,0.77%
2022-06-01,15519697360,0.05%
2022-05-31,15512129940,-1.03%
2022-05-27,15673207879,2.17%
2022-05-26,15340241400,0.21%
2022-05-25,15307809600,0.26%
2022-05-24,15267810379,0.28%
2022-05-23,15225649040,1.59%
2022-05-20,14987815839,0.46%
2022-05-19,14918628000,-0.17%
2022-05-18,14944573440,-3.44%
2022-05-17,15477536019,-0.72%
2022-05-16,15589966260,-1.22%
