Date,Market Cap,% Change
2023-04-26,28286751920,4.20%
2023-04-25,27145454000,-2.50%
2023-04-24,27842913840,0.37%
2023-04-21,27739880000,1.43%
2023-04-20,27347558840,-0.98%
2023-04-19,27617031960,-0.24%
2023-04-18,27684400240,0.24%
2023-04-17,27617031960,0.68%
2023-04-14,27430778480,-0.79%
2023-04-13,27648734680,1.72%
2023-04-12,27181119560,-0.31%
2023-04-11,27264339200,-0.03%
2023-04-10,27272264879,0.67%
2023-04-06,27089974240,0.90%
2023-04-05,26848241000,-0.40%
2023-04-04,26955237680,-1.09%
2023-04-03,27252450680,-0.12%
2023-03-31,27284153399,1.03%
2023-03-30,27006754600,-0.09%
2023-03-29,27030531639,1.20%
2023-03-28,26709541600,-0.71%
2023-03-27,26899757920,1.10%
2023-03-24,26606507760,1.96%
2023-03-23,26095301399,-0.21%
2023-03-22,26150781159,-2.76%
2023-03-21,26891832240,1.65%
2023-03-20,26455919840,-0.25%
2023-03-17,26523288120,-1.21%
2023-03-16,26848241000,0.59%
2023-03-15,26689727399,-0.40%
2023-03-14,26796724080,1.17%
2023-03-13,26487622560,-0.36%
2023-03-10,26582730720,-2.60%
2023-03-09,27292079080,-2.12%
2023-03-08,27882542240,-0.40%
2023-03-07,27993501760,-1.71%
2023-03-06,28480931080,-0.75%
2023-03-03,28694924440,1.67%
2023-03-02,28223346480,1.70%
2023-03-01,27751768520,-0.89%
2023-02-28,28001427440,-0.32%
2023-02-27,28092572760,0.23%
2023-02-24,28029167320,-0.01%
2023-02-23,28033130159,-1.93%
2023-02-22,28583964920,-5.12%
2023-02-21,30125509680,-1.99%
2023-02-17,30735787040,-0.79%
2023-02-16,30981483120,-0.91%
2023-02-15,31266807600,2.76%
2023-02-14,30426685520,-0.39%
2023-02-13,30545570720,1.47%
2023-02-10,30101732639,0.22%
2023-02-09,30034364360,-0.94%
2023-02-08,30319688840,-1.73%
2023-02-07,30852690820,2.81%
2023-02-06,30010587320,-1.11%
2023-02-03,30347428720,-4.29%
2023-02-02,31706682840,1.27%
2023-02-01,31310398840,1.42%
2023-01-31,30870523600,
2023-01-30,30870523600,0.15%
2023-01-27,30822969520,-1.18%
2023-01-26,31191513639,1.73%
2023-01-25,30660493080,-1.60%
2023-01-24,31159810920,-0.15%
2023-01-23,31207365000,0.29%
2023-01-20,31116219680,2.48%
2023-01-19,30363280080,-1.87%
2023-01-18,30941854720,-1.93%
2023-01-17,31552132080,-1.76%
2023-01-13,32118818200,0.91%
2023-01-12,31829530879,-0.53%
2023-01-11,31999933000,3.75%
2023-01-10,30842783720,0.97%
2023-01-09,30545570720,-0.05%
2023-01-06,30561422080,2.96%
2023-01-05,29681671600,-3.97%
2023-01-04,30910152000,0.45%
2023-01-03,30771452600,-1.49%
2022-12-30,31235416800,-0.50%
2022-12-29,31393048950,2.13%
2022-12-28,30738269250,-0.91%
