Date,Market Cap,% Change
2023-04-25,1024828200,-7.79%
2023-04-24,1111433400,0.43%
2023-04-21,1106622000,0.22%
2023-04-20,1104216300,0.11%
2023-04-19,1103013450,1.33%
2023-04-18,1088579250,-1.52%
2023-04-17,1105419150,-1.71%
2023-04-14,1124664750,-2.30%
2023-04-13,1151127450,1.48%
2023-04-12,1134287550,-1.46%
2023-04-11,1151127450,0.63%
2023-04-10,1143910350,1.82%
2023-04-06,1123461900,2.52%
2023-04-05,1095796350,0.22%
2023-04-04,1093390650,-1.73%
2023-04-03,1112636250,0.54%
2023-03-31,1106622000,0.99%
2023-03-30,1095796350,0.33%
2023-03-29,1092187800,-0.22%
2023-03-28,1094593500,0.11%
2023-03-27,1093390650,0.89%
2023-03-24,1083767850,0.22%
2023-03-23,1081362150,0.67%
2023-03-22,1074145050,-0.89%
2023-03-21,1083767850,0.67%
2023-03-20,1076550750,-0.33%
2023-03-17,1080159300,-1.10%
2023-03-16,1092187800,-3.40%
2023-03-15,1130679000,-2.89%
2023-03-14,1164358800,4.42%
2023-03-13,1115041950,-3.24%
2023-03-10,1152330300,0.31%
2023-03-09,1148721750,-2.85%
2023-03-08,1182401550,3.80%
2023-03-07,1139098950,-2.17%
2023-03-06,1164358800,-4.54%
2023-03-03,1219689900,4.11%
2023-03-02,1171575900,-0.71%
2023-03-01,1179995850,1.03%
2023-02-28,1167967350,-1.02%
2023-02-27,1179995850,-2.29%
2023-02-24,1207661400,-0.99%
2023-02-23,1219689900,0.80%
2023-02-22,1210067100,-4.19%
2023-02-21,1262992500,-0.57%
2023-02-17,1270209600,-3.91%
2023-02-16,1321932150,1.57%
2023-02-15,1301483700,-0.64%
2023-02-14,1309903650,-6.12%
2023-02-13,1395306000,0.52%
2023-02-10,1388088900,1.23%
2023-02-09,1371249000,13.10%
2023-02-08,1212472800,-1.08%
2023-02-07,1225704150,0.79%
2023-02-06,1216081350,-3.25%
2023-02-03,1256978250,-1.51%
2023-02-02,1276223850,
2023-02-01,1276223850,-0.28%
2023-01-31,1279832400,2.50%
2023-01-30,1248558300,-1.70%
2023-01-27,1270209600,-2.40%
2023-01-26,1301483700,-1.64%
2023-01-25,1323135000,3.68%
2023-01-24,1276223850,-0.93%
2023-01-23,1288252350,-3.43%
2023-01-20,1333960650,0.82%
2023-01-19,1323135000,-0.36%
2023-01-18,1327946400,-2.13%
2023-01-17,1356814800,-1.91%
2023-01-13,1383277500,-0.69%
2023-01-12,1392900300,1.40%
2023-01-11,1373654700,2.06%
2023-01-10,1345989150,-1.50%
2023-01-09,1366437600,-1.13%
2023-01-06,1382074650,1.14%
2023-01-05,1366437600,0.09%
2023-01-04,1365234750,-1.13%
2023-01-03,1380871800,3.89%
2022-12-30,1329191920,-0.69%
2022-12-29,1338390480,-0.17%
2022-12-28,1340690120,-5.59%
2022-12-27,1420027700,4.13%
2022-12-23,1363686520,1.28%
2022-12-22,1346439220,-0.68%
2022-12-21,1355637780,3.51%
2022-12-20,1309644980,-4.92%
