Date,Market Cap,% Change
2023-04-26,1825358425,0.90%
2023-04-25,1809136450,-1.84%
2023-04-24,1843125350,-1.65%
2023-04-21,1874024350,2.54%
2023-04-20,1827675850,-0.59%
2023-04-19,1838490500,-0.17%
2023-04-18,1841580400,-2.30%
2023-04-17,1884839000,4.18%
2023-04-14,1809136450,-1.60%
2023-04-13,1838490500,6.16%
2023-04-12,1731888950,-2.52%
2023-04-11,1776692500,0.35%
2023-04-10,1770512700,0.61%
2023-04-06,1759698050,0.26%
2023-04-05,1755063200,-0.44%
2023-04-04,1762787950,-2.89%
2023-04-03,1815316250,-2.00%
2023-03-31,1852395050,1.52%
2023-03-30,1824585950,2.70%
2023-03-29,1776692500,4.74%
2023-03-28,1696355100,-3.94%
2023-03-27,1765877850,5.54%
2023-03-24,1673180850,4.84%
2023-03-23,1595933350,-1.53%
2023-03-22,1620652550,-8.78%
2023-03-21,1776692500,4.83%
2023-03-20,1694810150,-1.17%
2023-03-17,1714894500,-5.77%
2023-03-16,1819951100,1.29%
2023-03-15,1796776850,-0.68%
2023-03-14,1809136450,3.72%
2023-03-13,1744248549,-1.91%
2023-03-10,1778237450,-4.80%
2023-03-09,1867844550,-6.06%
2023-03-08,1988350649,6.36%
2023-03-07,1869389500,-0.33%
2023-03-06,1875569300,-1.62%
2023-03-03,1906468300,-0.64%
2023-03-02,1918827900,-0.56%
2023-03-01,1929642550,1.79%
2023-02-28,1895653650,-0.81%
2023-02-27,1911103149,1.31%
2023-02-24,1886383950,-11.20%
2023-02-23,2124306250,0.36%
2023-02-22,2116581500,0.81%
2023-02-21,2099587050,-5.62%
2023-02-17,2224728000,-3.36%
2023-02-16,2301975500,-1.19%
2023-02-15,2329784600,5.82%
2023-02-14,2201553750,0.07%
2023-02-13,2200008800,2.23%
2023-02-10,2152115350,-1.49%
2023-02-09,2184559300,-1.74%
2023-02-08,2223183050,-3.81%
2023-02-07,2311245200,0.67%
2023-02-06,2295795700,-2.43%
2023-02-03,2352958850,-1.10%
2023-02-02,2379223000,1.38%
2023-02-01,2346779050,2.64%
2023-01-31,2286526000,6.86%
2023-01-30,2139755750,2.59%
2023-01-27,2085682500,0.90%
2023-01-26,2067143100,3.00%
2023-01-25,2006890050,1.41%
2023-01-24,1979080950,5.26%
2023-01-23,1880204150,1.93%
2023-01-20,1844670300,2.75%
2023-01-19,1795231899,-2.52%
2023-01-18,1841580400,-1.41%
2023-01-17,1867844550,0.42%
2023-01-13,1860119799,1.18%
2023-01-12,1838490500,0.68%
2023-01-11,1826130900,4.32%
2023-01-10,1750428350,2.35%
2023-01-09,1710259650,2.22%
2023-01-06,1673180850,
2023-01-05,1673180850,-4.41%
2023-01-04,1750428350,7.60%
2023-01-03,1626832350,-6.38%
2022-12-30,1737676780,-1.71%
2022-12-29,1767855810,6.81%
2022-12-28,1655081540,-2.62%
2022-12-27,1699555900,-3.43%
2022-12-23,1759913960,
2022-12-22,1759913960,-1.42%
2022-12-21,1785327880,0.45%
2022-12-20,1777386030,0.18%
2022-12-19,1774209290,-8.14%
2022-12-16,1931457920,-4.85%
2022-12-15,2029936860,-4.13%
2022-12-14,2117297210,1.60%
2022-12-13,2083941439,4.88%
2022-12-12,1987050870,-0.79%
2022-12-09,2002934570,-0.16%
2022-12-08,2006111310,-0.79%
2022-12-07,2021995010,-1.93%
2022-12-06,2061704260,-7.02%
2022-12-05,2217364520,-2.31%
2022-12-02,2269780730,0.63%
2022-12-01,2255485400,-1.59%
2022-11-30,2292017910,3.07%
2022-11-29,2223718000,-2.57%
2022-11-28,2282487690,-6.51%
2022-11-25,2441324690,3.50%
2022-11-23,2358729450,2.13%
2022-11-22,2309489980,0.28%
2022-11-21,2303136500,-3.14%
2022-11-18,2377789890,1.91%
2022-11-17,2333315530,-2.39%
2022-11-16,2390496850,-1.31%
2022-11-15,2422264250,6.72%
2022-11-14,2269780730,-1.99%
2022-11-11,2315843460,3.33%
2022-11-10,2241190070,17.68%
2022-11-09,1904455630,-1.40%
2022-11-08,1931457920,-0.82%
2022-11-07,1947341620,-1.37%
2022-11-04,1974343910,-4.60%
2022-11-03,2069646110,0.62%
2022-11-02,2056939150,-4.99%
2022-11-01,2164948310,6.48%
2022-10-31,2033113600,-4.62%
2022-10-28,2131592540,1.44%
2022-10-27,2101413510,-0.08%
2022-10-26,2103001880,0.15%
2022-10-25,2099825140,6.27%
2022-10-24,1975932280,-2.51%
2022-10-21,2026760120,-0.85%
2022-10-20,2044232189,-1.00%
2022-10-19,2064881000,-2.48%
