Date,Market Cap,% Change
2023-04-26,214220454,-0.37%
2023-04-25,215006890,-4.74%
2023-04-24,225707189,-1.59%
2023-04-21,229353393,-2.40%
2023-04-20,235001435,-1.39%
2023-04-19,238314000,1.01%
2023-04-18,235930860,-7.48%
2023-04-17,254995980,
2023-04-14,254995980,-2.73%
2023-04-13,262145400,-5.17%
2023-04-12,276444240,-3.33%
2023-04-11,285976800,-3.23%
2023-04-10,295509360,-1.59%
2023-04-06,300275640,3.28%
2023-04-05,290743080,-2.40%
2023-04-04,297892500,-4.58%
2023-04-03,312191340,-2.96%
2023-03-31,321723900,-0.74%
2023-03-30,324107040,0.74%
2023-03-29,321723900,5.47%
2023-03-28,305041920,-2.29%
2023-03-27,312191340,-0.76%
2023-03-24,314574480,
2023-03-23,314574480,-0.75%
2023-03-22,316957620,-8.28%
2023-03-21,345555300,-7.64%
2023-03-20,374152980,-1.87%
2023-03-17,381302400,2.56%
2023-03-16,371769840,1.96%
2023-03-15,364620420,-3.16%
2023-03-14,376536120,7.48%
2023-03-13,350321580,-2.00%
2023-03-10,357471000,-14.77%
2023-03-09,419432640,-6.88%
2023-03-08,450413460,2.16%
2023-03-07,440880900,3.35%
2023-03-06,426582060,8.48%
2023-03-03,393218100,11.49%
2023-03-02,352704720,59.14%
2023-03-01,221632020,-5.10%
2023-02-28,233547720,-5.77%
2023-02-27,247846560,14.30%
2023-02-24,216841908,10.10%
2023-02-23,196942689,0.84%
2023-02-22,195298323,3.43%
2023-02-21,188816182,-8.14%
2023-02-17,205545825,7.49%
2023-02-16,191223153,14.96%
2023-02-15,166343172,7.55%
2023-02-14,154665786,-5.60%
2023-02-13,163840875,2.70%
2023-02-10,159527391,0.33%
2023-02-09,159003100,-4.47%
2023-02-08,166438497,-1.81%
2023-02-07,169512748,-0.85%
2023-02-06,170966463,-3.70%
2023-02-03,177543930,2.56%
2023-02-02,173111289,-0.99%
2023-02-01,174850981,-7.29%
2023-01-31,188601699,-0.08%
2023-01-30,188744688,3.71%
2023-01-27,182000401,3.08%
2023-01-26,176566842,3.19%
2023-01-25,171109452,-1.21%
2023-01-24,173206615,-6.50%
2023-01-23,185241472,2.02%
2023-01-20,181571436,4.63%
2023-01-19,173540254,-2.53%
2023-01-18,178044389,3.23%
2023-01-17,172467841,-2.85%
2023-01-13,177520098,-9.31%
2023-01-12,195751119,-2.71%
2023-01-11,201208510,0.98%
2023-01-10,199254335,4.51%
2023-01-09,190651200,5.08%
2023-01-06,181428448,12.20%
2023-01-05,161696049,-4.75%
2023-01-04,169751062,8.33%
2023-01-03,156691455,1.65%
2022-12-30,154141495,0.43%
2022-12-29,153474216,1.02%
2022-12-28,151925175,-1.92%
2022-12-27,154904100,-0.98%
2022-12-23,156429309,4.47%
2022-12-22,149732686,-1.83%
2022-12-21,152520960,-1.08%
2022-12-20,154189158,1.62%
2022-12-19,151734523,-10.37%
2022-12-16,169298265,-3.53%
2022-12-15,175494429,-2.68%
2022-12-14,180332203,-2.94%
2022-12-13,185789594,1.76%
2022-12-12,182572355,-0.34%
2022-12-09,183191971,-3.31%
2022-12-08,189459630,-0.15%
2022-12-07,189745606,-1.82%
2022-12-06,193272654,-4.04%
2022-12-05,201399161,-15.06%
2022-12-02,237098598,-1.50%
2022-12-01,240697140,2.02%
2022-11-30,235930860,-1.98%
2022-11-29,240697140,3.41%
2022-11-28,232761283,-5.17%
2022-11-25,245463420,-0.96%
2022-11-23,247846560,-0.95%
2022-11-22,250229700,0.96%
2022-11-21,247846560,-2.80%
2022-11-18,254995980,
2022-11-17,254995980,
2022-11-16,254995980,-9.32%
2022-11-15,281210520,1.72%
2022-11-14,276444240,-6.45%
2022-11-11,295509360,-6.77%
2022-11-10,316957620,13.68%
2022-11-09,278827380,-7.14%
2022-11-08,300275640,-1.56%
2022-11-07,305041920,6.67%
2022-11-04,285976800,1.69%
2022-11-03,281210520,-12.59%
2022-11-02,321723900,-0.74%
2022-11-01,324107040,
2022-10-31,324107040,4.62%
2022-10-28,309808200,8.33%
2022-10-27,285976800,
2022-10-26,285976800,-3.23%
2022-10-25,295509360,9.73%
2022-10-24,269294820,5.61%
2022-10-21,254995980,
2022-10-20,254995980,0.94%
