Date,Market Cap,% Change
2023-04-25,28072185360,0.56%
2023-04-24,27914701660,0.88%
2023-04-21,27671317760,2.54%
2023-04-20,26986979500,-2.34%
2023-04-19,27634094340,-1.09%
2023-04-18,27937608379,1.42%
2023-04-17,27545330800,7.15%
2023-04-14,25707066520,-2.34%
2023-04-13,26322684620,-0.94%
2023-04-12,26571795200,-1.11%
2023-04-11,26869582560,1.31%
2023-04-10,26523118420,1.87%
2023-04-06,26036350620,0.80%
2023-04-05,25830190140,-2.77%
2023-04-04,26566068520,-0.58%
2023-04-03,26720688879,-5.08%
2023-03-31,28149495540,5.18%
2023-03-30,26763638980,1.16%
2023-03-29,26457261600,1.07%
2023-03-28,26176654280,-2.74%
2023-03-27,26915396000,-0.39%
2023-03-24,27021339580,0.92%
2023-03-23,26775092340,1.32%
2023-03-22,26425764860,-5.66%
2023-03-21,28012055220,-3.77%
2023-03-20,29108714440,0.95%
2023-03-17,28833833800,-2.32%
2023-03-16,29518172060,-2.06%
2023-03-15,30139516840,-0.42%
2023-03-14,30265503800,-0.22%
2023-03-13,30331360620,3.31%
2023-03-10,29360688360,-1.76%
2023-03-09,29887542920,-1.33%
2023-03-08,30291273860,2.76%
2023-03-07,29478085300,-2.25%
2023-03-06,30156696879,-0.64%
2023-03-03,30351404000,2.81%
2023-03-02,29521035400,2.25%
2023-03-01,28871057220,-3.26%
2023-02-28,29844592820,-0.62%
2023-02-27,30030709920,-0.15%
2023-02-24,30076523360,-3.42%
2023-02-23,31141685840,1.99%
2023-02-22,30534657760,-1.63%
2023-02-21,31041468940,-2.12%
2023-02-17,31714353840,-1.88%
2023-02-16,32321381920,-0.66%
2023-02-15,32536132420,0.71%
2023-02-14,32307065220,-0.12%
2023-02-13,32347151980,1.35%
2023-02-10,31914787640,0.14%
2023-02-09,31868974200,-1.16%
2023-02-08,32244071740,-0.77%
2023-02-07,32493182320,-0.80%
2023-02-06,32756609600,-0.70%
2023-02-03,32988540140,-3.93%
2023-02-02,34337173280,3.25%
2023-02-01,33257694100,1.33%
2023-01-31,32819603080,3.23%
2023-01-30,31791664020,-0.25%
2023-01-27,31871837540,1.83%
2023-01-26,31299169540,1.98%
2023-01-25,30692141460,0.18%
2023-01-24,30637738000,-0.21%
2023-01-23,30700731480,0.45%
2023-01-20,30563291160,1.70%
2023-01-19,30053616640,-0.46%
2023-01-18,30191056960,-1.32%
2023-01-17,30594787900,0.80%
2023-01-13,30351404000,-1.19%
2023-01-12,30717911520,2.14%
2023-01-11,30073660020,2.65%
2023-01-10,29297694879,1.17%
2023-01-09,28959820760,-0.24%
