Date,Market Cap,% Change
2023-04-25,12656248799,-0.13%
2023-04-24,12672975120,-0.26%
2023-04-21,12706427760,0.41%
2023-04-20,12654390320,0.18%
2023-04-19,12632088560,0.50%
2023-04-18,12568900240,2.87%
2023-04-17,12217647520,3.12%
2023-04-14,11847810000,-2.78%
2023-04-13,12186053359,-0.70%
2023-04-12,12271543440,-1.32%
2023-04-11,12435089680,0.48%
2023-04-10,12375618320,-0.67%
2023-04-06,12459249920,0.77%
2023-04-05,12364467440,0.11%
2023-04-04,12351458079,-0.17%
2023-04-03,12371901359,-0.83%
2023-03-31,12475976240,2.15%
2023-03-30,12213930560,0.38%
2023-03-29,12167468560,2.44%
2023-03-28,11877545680,-0.34%
2023-03-27,11918432240,0.03%
2023-03-24,11914715280,3.30%
2023-03-23,11533726880,-0.48%
2023-03-22,11589481280,-3.53%
2023-03-21,12013214720,-1.90%
2023-03-20,12245524720,1.51%
2023-03-17,12063393680,-0.90%
2023-03-16,12173044000,-0.82%
2023-03-15,12273401920,-0.05%
2023-03-14,12278977359,0.50%
2023-03-13,12217647520,3.49%
2023-03-10,11805064960,-2.53%
2023-03-09,12111714160,-2.59%
2023-03-08,12433231200,0.21%
2023-03-07,12407212480,-1.85%
2023-03-06,12641380960,-0.07%
2023-03-03,12650673359,1.35%
2023-03-02,12481551680,1.33%
2023-03-01,12318005440,-3.25%
2023-02-28,12732446480,-0.41%
2023-02-27,12784483920,-0.75%
2023-02-24,12881124880,-0.55%
2023-02-23,12951747120,-1.20%
2023-02-22,13109717920,-1.02%
2023-02-21,13245386960,-0.85%
2023-02-17,13358754240,0.56%
2023-02-16,13284415040,-0.60%
2023-02-15,13364329680,0.29%
2023-02-14,13325301600,-0.32%
2023-02-13,13368046640,0.42%
2023-02-10,13312292240,0.03%
2023-02-09,13308575280,-0.98%
2023-02-08,13440527359,-0.26%
2023-02-07,13475838480,-0.01%
2023-02-06,13477696960,-0.15%
2023-02-03,13498140240,-1.16%
2023-02-02,13656111040,1.80%
2023-02-01,13414508640,0.56%
2023-01-31,13340169440,6.10%
2023-01-30,12572617200,-1.96%
2023-01-27,12823512000,0.74%
2023-01-26,12728729520,0.74%
2023-01-25,12635805520,-0.44%
2023-01-24,12691559920,-0.12%
2023-01-23,12706427760,0.51%
2023-01-20,12641380960,1.30%
2023-01-19,12479693200,-0.39%
2023-01-18,12528013680,-1.03%
2023-01-17,12658107280,1.04%
2023-01-13,12528013680,-1.49%
2023-01-12,12717578640,0.43%
2023-01-11,12663682720,4.05%
2023-01-10,12171185520,0.05%
2023-01-09,12165610079,-0.20%
2023-01-06,12189770320,2.52%
2023-01-05,11890555040,-2.84%
2023-01-04,12238090799,2.59%
2023-01-03,11929583120,-0.63%
2022-12-30,12005780799,-1.10%
2022-12-29,12139591359,1.54%
2022-12-28,11955601840,-1.11%
2022-12-27,12089412400,0.08%
2022-12-23,12080120000,0.76%
2022-12-22,11989054480,0.12%
2022-12-21,11974186640,1.88%
2022-12-20,11753027520,-0.39%
2022-12-19,11799489520,-2.73%
2022-12-16,12130298960,0.02%
2022-12-15,12128440480,-1.49%
2022-12-14,12312430000,-0.14%
2022-12-13,12329156320,2.25%
2022-12-12,12057818240,0.11%
2022-12-09,12044808880,-0.05%
2022-12-08,12050384320,1.42%
2022-12-07,11881262640,
2022-12-06,11881262640,-1.05%
2022-12-05,12007639280,-2.22%
2022-12-02,12280835840,0.23%
2022-12-01,12252958640,-0.74%
2022-11-30,12344024160,1.51%
2022-11-29,12160034640,2.55%
2022-11-28,11857102400,-1.73%
2022-11-25,12065252160,0.60%
2022-11-23,11992771440,0.05%
2022-11-22,11987196000,-0.65%
2022-11-21,12065252160,-0.48%
2022-11-18,12122865040,2.69%
2022-11-17,11805064960,-0.42%
2022-11-16,11855243920,-1.18%
2022-11-15,11996488400,2.20%
2022-11-14,11738159680,-4.46%
2022-11-11,12286411280,0.41%
2022-11-10,12236232320,6.55%
2022-11-09,11483547920,-0.45%
2022-11-08,11535585360,1.19%
2022-11-07,11399916320,-0.26%
2022-11-04,11429652000,-0.08%
2022-11-03,11438944400,-1.03%
2022-11-02,11557887120,-2.90%
2022-11-01,11903564400,0.14%
2022-10-31,11886838080,1.44%
2022-10-28,11717716400,2.85%
2022-10-27,11392482400,-0.03%
2022-10-26,11396199360,1.29%
2022-10-25,11251237920,3.74%
2022-10-24,10846089280,-0.02%
2022-10-21,10847947760,0.43%
2022-10-20,10801485760,-1.04%
2022-10-19,10914853040,-5.30%
2022-10-18,11526292960,-0.89%
2022-10-17,11630367840,4.16%
2022-10-14,11165747840,-2.45%
2022-10-13,11446378320,2.05%
2022-10-12,11215926800,-1.45%
2022-10-11,11381331520,1.90%
2022-10-10,11169464800,-1.15%
2022-10-07,11299558400,-2.42%
2022-10-06,11580188880,-2.53%
2022-10-05,11881262640,-2.22%
2022-10-04,12150742240,2.36%
2022-10-03,11870111760,1.64%
2022-09-30,11678688320,0.90%
2022-09-29,11574354060,-3.32%
2022-09-28,11971996020,1.34%
2022-09-27,11814054120,-3.29%
2022-09-26,12215412360,-3.59%
2022-09-23,12670656660,1.37%
2022-09-22,12499707780,-0.37%
2022-09-21,12546161280,-0.43%
2022-09-20,12600047340,-3.18%
2022-09-19,13014412560,-0.51%
2022-09-16,13081305600,-0.27%
2022-09-15,13116610260,-1.52%
2022-09-14,13319147520,-1.12%
2022-09-13,13469656860,-0.94%
2022-09-12,13597868520,0.74%
2022-09-09,13497528960,-0.07%
2022-09-08,13506819660,-0.15%
2022-09-07,13527259200,2.25%
2022-09-06,13229956800,1.79%
2022-09-02,12997689300,-0.07%
2022-09-01,13006980000,-0.14%
2022-08-31,13025561399,-1.81%
2022-08-30,13265261460,-1.54%
2022-08-29,13473373140,-0.03%
2022-08-26,13477089420,-2.53%
2022-08-25,13826419740,1.71%
2022-08-24,13594152240,0.69%
2022-08-23,13501245240,-2.04%
2022-08-22,13781824380,-2.32%
2022-08-19,14108857020,0.03%
2022-08-18,14105140740,-1.43%
2022-08-17,14309536140,0.56%
2022-08-16,14229636120,-0.42%
2022-08-15,14289096600,0.08%
2022-08-12,14277947760,1.48%
2022-08-11,14069836080,-0.46%
2022-08-10,14134870979,1.66%
2022-08-09,13904461620,0.39%
2022-08-08,13850575560,1.11%
2022-08-05,13698208080,-0.04%
2022-08-04,13703782500,1.11%
2022-08-03,13553273160,-0.41%
2022-08-02,13609017360,0.27%
2022-08-01,13571854560,-0.65%
2022-07-29,13661045280,0.74%
2022-07-28,13560705720,2.33%
2022-07-27,13252254479,-0.36%
2022-07-26,13300566120,0.24%
2022-07-25,13268977740,-0.54%
2022-07-22,13341445200,0.74%
2022-07-21,13242963780,1.18%
2022-07-20,13088738160,-0.28%
2022-07-19,13125900960,-3.40%
2022-07-18,13588577820,-0.25%
2022-07-15,13622024340,1.20%
2022-07-14,13460366160,-0.03%
2022-07-13,13464082439,-0.28%
2022-07-12,13501245240,-0.90%
2022-07-11,13623882479,1.23%
2022-07-08,13458508020,-0.93%
2022-07-07,13584861540,0.22%
2022-07-06,13555131300,1.33%
2022-07-05,13376749860,0.18%
2022-07-01,13352594040,1.97%
2022-06-30,13094312580,-0.96%
2022-06-29,13221037390,-1.85%
2022-06-28,13469965170,-0.79%
2022-06-27,13577710030,-0.49%
2022-06-24,13644586150,1.28%
2022-06-23,13471822840,2.20%
2022-06-22,13182026319,2.01%
2022-06-21,12921952520,-0.32%
2022-06-17,12962821260,-0.34%
2022-06-16,13007405340,-0.38%
2022-06-15,13057562430,2.36%
2022-06-14,12756619890,0.53%
2022-06-13,12689743770,-3.00%
