Date,Market Cap,% Change
2023-04-25,65020399830,-0.42%
2023-04-24,65291444070,0.00%
2023-04-21,65288697000,1.13%
2023-04-20,64557976380,-0.27%
2023-04-19,64735620240,0.20%
2023-04-18,64607423639,-0.34%
2023-04-17,64825357860,2.80%
2023-04-14,63061738919,-2.83%
2023-04-13,64895865990,-0.33%
2023-04-12,65109221760,0.64%
2023-04-11,64696245570,0.04%
2023-04-10,64669690560,-0.70%
2023-04-06,65126619870,1.05%
2023-04-05,64448093580,-0.94%
2023-04-04,65057943120,0.07%
2023-04-03,65009411550,-1.54%
2023-03-31,66024911760,2.71%
2023-03-30,64282353690,1.08%
2023-03-29,63595586190,1.68%
2023-03-28,62546205449,-0.66%
2023-03-27,62964675780,0.87%
2023-03-24,62422587300,2.30%
2023-03-23,61018834530,0.50%
2023-03-22,60712994070,-3.62%
2023-03-21,62993977860,-0.22%
2023-03-20,63132247050,-0.20%
2023-03-17,63260443650,-1.67%
2023-03-16,64334548020,1.09%
2023-03-15,63639539310,0.51%
2023-03-14,63317216430,1.28%
2023-03-13,62514156300,2.56%
2023-03-10,60951073470,-2.53%
2023-03-09,62530638720,-1.61%
2023-03-08,63550717380,1.23%
2023-03-07,62776043639,-1.98%
2023-03-06,64046105669,-0.85%
2023-03-03,64593688290,2.53%
2023-03-02,62996724930,1.77%
2023-03-01,61898812620,-1.79%
2023-02-28,63024195630,-0.71%
2023-02-27,63475630800,1.23%
2023-02-24,62706451199,-3.05%
2023-02-23,64677016080,1.12%
2023-02-22,63958199430,-0.66%
2023-02-21,64383995280,-1.90%
2023-02-17,65632996440,-0.75%
2023-02-16,66130216110,-0.70%
2023-02-15,66593555250,-0.16%
2023-02-14,66700690980,-1.41%
2023-02-13,67657587030,1.25%
2023-02-10,66822477750,-0.40%
2023-02-09,67092606300,0.23%
2023-02-08,66936023310,0.76%
2023-02-07,66431478120,0.23%
2023-02-06,66280389270,-1.25%
2023-02-03,67120077000,-2.65%
2023-02-02,68949625620,2.01%
2023-02-01,67589825970,
2023-01-31,67589825970,1.83%
2023-01-30,66374705340,-0.73%
2023-01-27,66865515180,0.14%
2023-01-26,66771199110,1.31%
2023-01-25,65908619130,0.02%
2023-01-24,65894883780,0.46%
2023-01-23,65592706080,-0.52%
2023-01-20,65935174139,2.46%
2023-01-19,64351030440,0.01%
2023-01-18,64343704919,-2.13%
2023-01-17,65746542000,-0.54%
2023-01-13,66102745410,-0.48%
2023-01-12,66418658460,1.43%
2023-01-11,65482823280,2.87%
2023-01-10,63654190350,2.05%
2023-01-09,62373140040,1.07%
2023-01-06,61712011860,2.02%
2023-01-05,60492312780,-2.87%
2023-01-04,62280655350,2.66%
2023-01-03,60665378190,0.05%
2022-12-30,60638092190,-1.55%
2022-12-29,61595297010,1.97%
2022-12-28,60407585420,-0.31%
2022-12-27,60596434340,-0.47%
2022-12-23,60883410639,0.40%
2022-12-22,60642720840,-1.63%
2022-12-21,61648989350,2.12%
2022-12-20,60371481950,-0.92%
2022-12-19,60930622870,-1.44%
2022-12-16,61823952320,-3.40%
2022-12-15,64001269280,-1.72%
2022-12-14,65118625389,-0.51%
2022-12-13,65450036730,3.92%
2022-12-12,62983892010,0.68%
2022-12-09,62560833399,-1.10%
2022-12-08,63258833820,-0.26%
2022-12-07,63423613760,-0.25%
2022-12-06,63585616510,0.38%
2022-12-05,63344926710,-1.04%
2022-12-02,64011452310,-0.96%
2022-12-01,64629839950,1.09%
2022-11-30,63935542450,2.93%
2022-11-29,62112780080,1.26%
2022-11-28,61339795530,-1.79%
2022-11-25,62455300180,0.43%
2022-11-23,62187764210,2.39%
2022-11-22,60734368110,0.18%
2022-11-21,60625131970,1.16%
2022-11-18,59932685930,1.17%
2022-11-17,59241165620,-1.23%
2022-11-16,59977120970,-1.42%
2022-11-15,60841752790,2.86%
2022-11-14,59148592620,-3.28%
2022-11-11,61153723800,1.94%
2022-11-10,59987304000,8.37%
2022-11-09,55354025350,0.29%
2022-11-08,55196651250,-1.69%
2022-11-07,56147375960,-0.75%
2022-11-04,56570434570,4.40%
2022-11-03,54187605550,6.57%
2022-11-02,50845720250,-0.95%
2022-11-01,51332654230,-2.11%
2022-10-31,52437050120,-0.28%
2022-10-28,52586092649,2.36%
2022-10-27,51371534889,-0.04%
2022-10-26,51390975220,0.05%
2022-10-25,51367831970,4.47%
2022-10-24,49171074680,-0.64%
2022-10-21,49489525800,1.60%
2022-10-20,48711912600,0.13%
2022-10-19,48648962960,-2.72%
2022-10-18,50008860330,2.52%
2022-10-17,48778565160,4.26%
2022-10-14,46785468470,-3.28%
2022-10-13,48370318230,2.08%
2022-10-12,47384415780,-2.37%
2022-10-11,48536023899,-0.69%
2022-10-10,48872063889,-2.57%
2022-10-07,50161605780,-2.79%
2022-10-06,51602967389,-3.63%
2022-10-05,53545148930,-1.60%
2022-10-04,54417186590,1.54%
2022-10-03,53590509700,1.77%
2022-09-30,52659225320,2.07%
2022-09-29,51589495440,-2.62%
2022-09-28,52978044000,1.55%
2022-09-27,52168440240,-2.39%
2022-09-26,53445794640,-1.95%
2022-09-23,54506274480,-2.65%
2022-09-22,55988556960,-1.76%
2022-09-21,56993899200,0.60%
2022-09-20,56653884000,-1.51%
2022-09-19,57523220160,0.19%
2022-09-16,57412026000,1.37%
2022-09-15,56637342720,-1.65%
2022-09-14,57589385279,-1.51%
2022-09-13,58470667920,-4.39%
2022-09-12,61154031120,1.15%
2022-09-09,60457459440,1.07%
2022-09-08,59815106400,0.57%
2022-09-07,59475091200,2.43%
2022-09-06,58063568640,0.11%
2022-09-02,58001079360,-3.39%
2022-09-01,60035656799,-0.62%
2022-08-31,60409673520,0.23%
2022-08-30,60273667440,-0.52%
2022-08-29,60589789680,-1.70%
2022-08-26,61638323040,-2.73%
2022-08-25,63365048880,2.69%
2022-08-24,61705407120,0.55%
2022-08-23,61366310880,-1.12%
2022-08-22,62061963600,-3.08%
2022-08-19,64032213840,-0.66%
2022-08-18,64457692320,-0.78%
2022-08-17,64961282400,-0.72%
2022-08-16,65433627840,-0.38%
2022-08-15,65686341840,1.45%
2022-08-12,64746245759,2.21%
2022-08-11,63344831759,-2.84%
2022-08-10,65196536160,1.68%
2022-08-09,64120434000,0.10%
2022-08-08,64053349920,-0.07%
2022-08-05,64098378960,0.07%
2022-08-04,64051512000,0.12%
2022-08-03,63974319360,1.08%
2022-08-02,63289694160,-0.82%
2022-08-01,63815339279,-1.32%
2022-07-29,64670891040,-1.06%
2022-07-28,65366543759,9.06%
2022-07-27,59935490160,1.64%
2022-07-26,58969663200,-1.20%
2022-07-25,59684614080,-0.66%
2022-07-22,60079766880,0.55%
2022-07-21,59749860240,2.01%
2022-07-20,58572672480,
2022-07-19,58572672480,3.64%
2022-07-18,56513283120,-0.77%
2022-07-15,56952546000,1.28%
2022-07-14,56233919279,-2.23%
2022-07-13,57516787440,-0.38%
2022-07-12,57733662000,-2.94%
2022-07-11,59485199759,-0.49%
2022-07-08,59780185920,-1.55%
2022-07-07,60719363040,-0.27%
2022-07-06,60883856880,-0.69%
2022-07-05,61309335360,-0.87%
2022-07-01,61848764880,2.44%
2022-06-30,60377509920,2.11%
2022-06-29,59127882000,-2.93%
2022-06-28,60912187600,-2.40%
2022-06-27,62411550520,-0.52%
2022-06-24,62739280120,1.73%
2022-06-23,61669607120,2.96%
2022-06-22,59897136200,2.78%
2022-06-21,58279426479,1.16%
2022-06-17,57608491159,2.33%
2022-06-16,56299393479,-3.56%
2022-06-15,58376835000,3.68%
2022-06-14,56306676360,0.36%
2022-06-13,56103666080,-5.07%
2022-06-10,59097840120,-1.40%
2022-06-09,59939923120,-1.53%
2022-06-08,60872131760,-3.31%
2022-06-07,62955945799,-0.12%
2022-06-06,63029684960,2.05%
2022-06-03,61762463840,-2.33%
2022-06-02,63237247040,2.30%
2022-06-01,61813444000,-1.18%
2022-05-31,62549925240,-0.95%
2022-05-27,63149852479,3.53%
2022-05-26,60994120000,-2.41%
2022-05-25,62498945080,2.19%
2022-05-24,61158895159,1.25%
2022-05-23,60405117080,1.80%
2022-05-20,59336354440,2.63%
2022-05-19,57816053240,-0.37%
2022-05-18,58029987840,-1.45%
2022-05-17,58882995159,0.06%
2022-05-16,58847491120,-2.03%
2022-05-13,60065552799,4.75%
2022-05-12,57341755680,0.91%
2022-05-11,56821940120,-0.93%
2022-05-10,57357231799,-3.69%
2022-05-09,59554840840,-8.30%
2022-05-06,64948723840,0.01%
2022-05-05,64944172040,-2.56%
2022-05-04,66651097040,1.50%
2022-05-03,65666087520,2.70%
2022-05-02,63942776040,-2.32%
2022-04-29,65462166880,-4.94%
2022-04-28,68864182200,5.37%
2022-04-27,65354744400,-2.89%
2022-04-26,67301094080,-1.76%
2022-04-25,68506410720,0.95%
2022-04-22,67859144760,-1.61%
2022-04-21,68971604680,-1.37%
2022-04-20,69931124120,1.85%
2022-04-19,68661171920,3.22%
2022-04-18,66516363760,-0.62%
2022-04-14,66933308640,-2.22%
2022-04-13,68452699479,1.39%
2022-04-12,67516849400,-1.33%
2022-04-11,68423567960,-2.23%
