Date,Market Cap,% Change
2023-04-26,1686141828,-0.98%
2023-04-25,1702896625,-4.36%
2023-04-24,1780577956,-1.93%
2023-04-21,1815610713,0.42%
2023-04-20,1807994896,-1.17%
2023-04-19,1829319183,-0.17%
2023-04-18,1832365510,-3.57%
2023-04-17,1900146279,0.28%
2023-04-14,1894815207,-1.82%
2023-04-13,1929847964,4.28%
2023-04-12,1850643470,-1.22%
2023-04-11,1873490920,2.41%
2023-04-10,1829319183,1.44%
2023-04-06,1803425406,-0.25%
2023-04-05,1807994896,-2.22%
2023-04-04,1849120306,-2.96%
2023-04-03,1905477350,-1.42%
2023-03-31,1932894291,4.02%
2023-03-30,1858259287,-0.33%
2023-03-29,1864351940,4.35%
2023-03-28,1786670609,0.69%
2023-03-27,1774485302,-1.19%
2023-03-24,1795809589,2.43%
2023-03-23,1753161015,2.40%
2023-03-22,1712035605,-5.31%
2023-03-21,1807994896,4.12%
2023-03-20,1736406219,-3.80%
2023-03-17,1804948569,-1.33%
2023-03-16,1829319183,-2.83%
2023-03-15,1882629900,2.32%
2023-03-14,1839981326,1.85%
2023-03-13,1806471733,5.70%
2023-03-10,1708989278,1.45%
2023-03-09,1684618665,-4.74%
2023-03-08,1768392649,-0.68%
2023-03-07,1780577956,-2.58%
2023-03-06,1827796020,-2.83%
2023-03-03,1881106737,4.22%
2023-03-02,1804948569,0.59%
2023-03-01,1794286426,-2.48%
2023-02-28,1839981326,-4.13%
2023-02-27,1919185821,0.72%
2023-02-24,1905477350,-4.79%
2023-02-23,2001436641,-2.09%
2023-02-22,2044085215,-0.52%
2023-02-21,2054747359,-8.73%
2023-02-17,2251235431,-4.52%
2023-02-16,2357856865,-2.70%
2023-02-15,2423352889,0.76%
2023-02-14,2405074929,-1.00%
2023-02-13,2429445543,3.04%
2023-02-10,2357856865,-1.46%
2023-02-09,2392889622,-3.14%
2023-02-08,2470570953,-1.40%
2023-02-07,2505603710,-0.06%
2023-02-06,2507126874,-2.37%
2023-02-03,2568053408,-4.80%
2023-02-02,2697522292,6.69%
2023-02-01,2528451161,6.48%
2023-01-31,2374611662,2.97%
2023-01-30,2306069311,-10.15%
2023-01-27,2566530244,5.71%
2023-01-26,2427922379,8.36%
2023-01-25,2240573287,3.23%
2023-01-24,2170507773,
2023-01-23,2170507773,2.89%
2023-01-20,2109581239,6.21%
2023-01-19,1986205008,-4.05%
2023-01-18,2069978992,-0.15%
2023-01-17,2073025319,1.49%
2023-01-13,2042562052,1.28%
2023-01-12,2016668275,4.66%
2023-01-11,1926801637,5.50%
2023-01-10,1826272856,4.17%
2023-01-09,1753161015,3.60%
2023-01-06,1692234481,2.40%
2023-01-05,1652632234,-6.22%
2023-01-04,1762299995,1.76%
2023-01-03,1731836728,3.49%
2022-12-30,1673480098,-0.36%
2022-12-29,1679521543,5.20%
2022-12-28,1596451682,3.58%
2022-12-27,1541323502,-10.09%
2022-12-23,1714259848,-1.56%
2022-12-22,1741446348,-1.96%
2022-12-21,1776184653,3.61%
2022-12-20,1714259848,0.98%
2022-12-19,1697645876,-5.47%
2022-12-16,1795819347,-0.25%
2022-12-15,1800350431,-4.49%
2022-12-14,1884930652,1.13%
2022-12-13,1863785597,-0.72%
2022-12-12,1877378847,2.22%
2022-12-09,1836599097,-1.30%
2022-12-08,1860764875,0.82%
2022-12-07,1845661264,0.16%
2022-12-06,1842640542,-2.01%
2022-12-05,1880399569,-4.67%
2022-12-02,1972531596,-2.25%
2022-12-01,2017842429,2.22%
2022-11-30,1974041957,7.31%
2022-11-29,1839619819,2.78%
2022-11-28,1789777903,-0.84%
2022-11-25,1804881514,0.67%
2022-11-23,1792798625,3.13%
2022-11-22,1738425626,0.88%
2022-11-21,1723322015,-1.98%
2022-11-18,1758060320,-3.00%
2022-11-17,1812433320,-2.04%
2022-11-16,1850192347,-7.20%
2022-11-15,1993676652,2.80%
2022-11-14,1939303652,-7.16%
2022-11-11,2088829401,9.50%
2022-11-10,1907586069,13.58%
2022-11-09,1679521543,-3.56%
2022-11-08,1741446348,2.95%
2022-11-07,1691604432,-0.88%
2022-11-04,1706708043,-1.31%
2022-11-03,1729363459,-2.76%
2022-11-02,1778450195,-11.27%
2022-11-01,2004249179,0.45%
2022-10-31,1995187013,0.53%
2022-10-28,1984614485,1.86%
2022-10-27,1948365819,2.38%
2022-10-26,1903054986,0.08%
2022-10-25,1901544624,8.53%
2022-10-24,1752018876,-4.76%
2022-10-21,1839619819,0.58%
2022-10-20,1829047292,1.59%
2022-10-19,1800350431,-5.85%
2022-10-18,1912117152,2.18%
2022-10-17,1871337402,9.36%
2022-10-14,1711239126,-10.08%
2022-10-13,1903054986,1.78%
2022-10-12,1869827041,0.57%
2022-10-11,1859254514,-3.60%
2022-10-10,1928731124,3.48%
2022-10-07,1863785597,-4.12%
2022-10-06,1943834735,4.29%
2022-10-05,1863785597,-3.52%
2022-10-04,1931751846,10.07%
2022-10-03,1755039598,3.66%
2022-09-30,1693114793,0.74%
2022-09-29,1680717307,-6.19%
2022-09-28,1791550517,2.61%
2022-09-27,1746002622,6.28%
2022-09-26,1642760728,-0.28%
2022-09-23,1647315517,-2.60%
2022-09-22,1691345149,-3.13%
2022-09-21,1746002622,1.41%
2022-09-20,1721710412,-6.67%
2022-09-19,1844689727,0.50%
2022-09-16,1835580148,-3.12%
2022-09-15,1894792411,0.08%
2022-09-14,1893274148,-0.24%
2022-09-13,1897828937,-8.83%
2022-09-12,2081538778,0.81%
2022-09-09,2064837884,5.51%
2022-09-08,1957041200,0.55%
2022-09-07,1946413358,4.48%
2022-09-06,1862908885,-2.62%
2022-09-02,1913011569,-2.02%
2022-09-01,1952486410,-0.54%
2022-08-31,1963114252,-1.82%
2022-08-30,1999552568,-0.38%
2022-08-29,2007143884,-2.07%
2022-08-26,2049655252,-7.15%
2022-08-25,2207554620,2.18%
2022-08-24,2160488462,-0.42%
2022-08-23,2169598041,-3.90%
2022-08-22,2257657304,-4.13%
2022-08-19,2354826145,-4.79%
2022-08-18,2473250671,-0.49%
2022-08-17,2485396776,-5.43%
2022-08-16,2628113512,0.70%
2022-08-15,2609894354,-5.55%
2022-08-12,2763238933,2.30%
2022-08-11,2700990143,
2022-08-10,2700990143,9.28%
2022-08-09,2471732408,-4.40%
2022-08-08,2585602144,11.53%
2022-08-05,2318387830,0.79%
2022-08-04,2300168672,-2.32%
2022-08-03,2354826145,-2.33%
2022-08-02,2411001882,5.59%
2022-08-01,2283467777,1.21%
2022-07-29,2256139040,1.85%
2022-07-28,2215145935,3.04%
2022-07-27,2149860620,4.12%
2022-07-26,2064837884,-3.48%
2022-07-25,2139232778,-3.43%
2022-07-22,2215145935,-2.54%
2022-07-21,2272839935,-0.13%
2022-07-20,2275876461,4.61%
2022-07-19,2175671093,6.07%
2022-07-18,2051173515,0.07%
2022-07-15,2049655252,1.89%
2022-07-14,2011698673,-1.41%
2022-07-13,2040545673,-2.40%
2022-07-12,2090648357,-0.79%
2022-07-11,2107349252,-4.34%
2022-07-08,2202999830,-0.62%
2022-07-07,2216664199,6.49%
2022-07-06,2081538778,-4.66%
2022-07-05,2183262409,14.31%
2022-07-01,1909975042,6.88%
2022-06-30,1786995727,-1.81%
2022-06-29,1819955855,-0.41%
2022-06-28,1827495026,-1.38%
2022-06-27,1853128207,0.49%
2022-06-24,1844081202,0.25%
2022-06-23,1839557699,4.99%
2022-06-22,1752103317,0.17%
2022-06-21,1749087648,
2022-06-17,1749087648,1.22%
2022-06-16,1727977970,-6.83%
2022-06-15,1854636041,0.57%
2022-06-14,1844081202,-1.85%
2022-06-13,1878761388,-8.18%
2022-06-10,2046130982,-3.42%
2022-06-09,2118507022,-4.68%
2022-06-08,2222547581,-0.14%
2022-06-07,2225563249,1.30%
2022-06-06,2196914400,1.25%
2022-06-03,2169773385,-4.00%
2022-06-02,2260243435,10.14%
2022-06-01,2052162318,-2.58%
2022-05-31,2106444349,-3.59%
2022-05-27,2184851726,5.92%
2022-05-26,2062717158,1.41%
2022-05-25,2034068308,5.80%
2022-05-24,1922488579,-7.94%
2022-05-23,2088350339,-1.42%
2022-05-20,2118507022,-0.64%
2022-05-19,2132077530,7.77%
2022-05-18,1978278444,-6.88%
2022-05-17,2124538359,4.99%
2022-05-16,2023513469,-6.68%
2022-05-13,2168265550,8.12%
2022-05-12,2005419459,11.39%
2022-05-11,1800354010,-9.68%
2022-05-10,1993356785,-2.79%
2022-05-09,2050654484,-9.21%
2022-05-06,2258735601,-1.06%
2022-05-05,2282860948,-5.08%
2022-05-04,2404995517,7.70%
2022-05-03,2233102420,3.42%
2022-05-02,2159218545,6.95%
2022-04-29,2018989967,-4.49%
2022-04-28,2113983520,-1.68%
2022-04-27,2150171540,-1.38%
2022-04-26,2180328224,-5.24%
2022-04-25,2300954958,2.97%
2022-04-22,2234610254,-5.06%
2022-04-21,2353729154,-6.19%
2022-04-20,2509036075,0.42%
2022-04-19,2498481236,4.21%
2022-04-18,2397456346,-2.69%
2022-04-14,2463801050,-4.67%
2022-04-13,2584427784,2.82%
2022-04-12,2513559578,-3.14%
2022-04-11,2594982623,1.83%
2022-04-08,2548239764,-3.32%
2022-04-07,2635694146,-5.97%
2022-04-06,2803063740,-6.44%
2022-04-05,2996066515,-8.73%
2022-04-04,3282555009,6.98%
2022-04-01,3068442556,-3.87%
2022-03-31,3192084959,-4.33%
2022-03-30,3336697071,-5.97%
2022-03-29,3548598227,7.07%
2022-03-28,3314313146,1.93%
2022-03-25,3251638157,-7.83%
2022-03-24,3527706564,-1.50%
2022-03-23,3581427984,-4.50%
2022-03-22,3750053551,2.32%
2022-03-21,3664994636,-2.58%
2022-03-18,3761991644,-1.45%
2022-03-17,3817205326,2.36%
2022-03-16,3729161888,7.58%
2022-03-15,3466523836,8.96%
2022-03-14,3181501859,-6.41%
2022-03-11,3399372061,-5.20%
2022-03-10,3585904768,-1.92%
2022-03-09,3656041067,7.64%
2022-03-08,3396387538,-0.13%
2022-03-07,3400864323,-6.48%
2022-03-04,3636641665,-2.56%
2022-03-03,3732146411,-6.75%
2022-03-02,4002245772,0.52%
2022-03-01,3981354108,-0.22%
2022-02-28,3990307678,0.72%
2022-02-25,3961954707,-6.35%
2022-02-24,4230561806,19.52%
2022-02-23,3539644657,-5.69%
2022-02-22,3753038074,1.86%
