Date,Market Cap,% Change
2023-04-26,902191999,-0.39%
2023-04-25,905684999,0.83%
2023-04-24,898200000,5.14%
2023-04-21,854288000,1.36%
2023-04-20,842811000,8.90%
2023-04-19,773949000,-0.64%
2023-04-18,778939000,0.52%
2023-04-17,774947000,2.31%
2023-04-14,757482000,-2.57%
2023-04-13,777442000,1.63%
2023-04-12,764967000,0.86%
2023-04-11,758480000,1.54%
2023-04-10,747003000,0.81%
2023-04-06,741015000,-0.54%
2023-04-05,745007000,-0.13%
2023-04-04,746005000,-3.92%
2023-04-03,776444000,
2023-03-31,776444000,4.99%
2023-03-30,739518000,0.34%
2023-03-29,737023000,0.20%
2023-03-28,735526000,-1.40%
2023-03-27,746005000,-1.12%
2023-03-24,754488000,2.37%
2023-03-23,737023000,-0.14%
2023-03-22,738021000,0.20%
2023-03-21,736524000,1.72%
2023-03-20,724049000,0.35%
2023-03-17,721554000,-1.16%
2023-03-16,730037000,3.69%
2023-03-15,704089000,0.64%
2023-03-14,699598000,
2023-03-13,699598000,-0.57%
2023-03-10,703590000,-0.56%
2023-03-09,707582000,-1.32%
2023-03-08,717063000,1.48%
2023-03-07,706584000,-1.26%
2023-03-06,715566000,-1.04%
2023-03-03,723051000,1.97%
2023-03-02,709079000,0.14%
2023-03-01,708081000,-0.56%
2023-02-28,712073000,0.56%
2023-02-27,708081000,1.43%
2023-02-24,698101000,-0.71%
2023-02-23,703091000,0.21%
2023-02-22,701594000,-0.07%
2023-02-21,702093000,-0.64%
2023-02-17,706584000,-1.26%
2023-02-16,715566000,-1.65%
2023-02-15,727542000,0.69%
2023-02-14,722552000,-1.09%
2023-02-13,730536000,1.46%
2023-02-10,720057000,0.21%
2023-02-09,718560000,-1.23%
2023-02-08,727542000,-2.02%
2023-02-07,742512000,1.09%
2023-02-06,734528000,-4.04%
2023-02-03,765466000,-3.34%
2023-02-02,791913000,5.45%
2023-02-01,750995000,1.14%
2023-01-31,742512000,3.62%
2023-01-30,716564000,-3.69%
2023-01-27,744009000,-0.07%
2023-01-26,744508000,-1.06%
2023-01-25,752492000,-1.24%
2023-01-24,761973000,-8.56%
2023-01-23,833330000,0.60%
2023-01-20,828340000,1.22%
2023-01-19,818359999,-0.61%
2023-01-18,823350000,-2.08%
2023-01-17,840815000,-0.88%
2023-01-13,848300000,-0.29%
2023-01-12,850795000,0.71%
2023-01-11,844807000,3.80%
2023-01-10,813868999,2.07%
2023-01-09,797402000,-1.30%
2023-01-06,807881000,2.79%
2023-01-05,785925000,-0.69%
2023-01-04,791414000,2.12%
2023-01-03,774947000,0.78%
2022-12-30,768959000,1.92%
2022-12-29,754488000,2.93%
2022-12-28,733031000,-4.36%
2022-12-27,766464000,1.45%
2022-12-23,755486000,-0.26%
2022-12-22,757482000,-1.17%
2022-12-21,766464000,-0.26%
2022-12-20,768460000,0.79%
2022-12-19,762472000,-1.23%
2022-12-16,771953000,-0.45%
2022-12-15,775446000,1.17%
2022-12-14,766464000,-1.09%
2022-12-13,774947000,2.17%
2022-12-12,758480000,-0.72%
2022-12-09,763969000,-0.26%
2022-12-08,765965000,-0.45%
2022-12-07,769458000,2.19%
2022-12-06,752991000,0.27%
2022-12-05,750995000,0.20%
2022-12-02,749498000,0.33%
2022-12-01,747003000,0.94%
2022-11-30,740017000,1.92%
2022-11-29,726045000,0.55%
2022-11-28,722053000,-1.63%
2022-11-25,734029000,-0.27%
2022-11-23,736025000,0.89%
2022-11-22,729538000,3.69%
2022-11-21,703590000,1.00%
2022-11-18,696604000,1.97%
2022-11-17,683131000,-1.86%
2022-11-16,696105000,-0.71%
2022-11-15,701095000,3.38%
2022-11-14,678141000,-1.66%
2022-11-11,689618000,2.75%
2022-11-10,671155000,6.41%
2022-11-09,630736000,8.97%
2022-11-08,578840000,-0.68%
2022-11-07,582832000,3.73%
2022-11-04,561874000,2.64%
2022-11-03,547403000,-2.92%
2022-11-02,563870000,-4.80%
2022-11-01,592313000,2.50%
2022-10-31,577842000,-0.34%
2022-10-28,579838000,2.47%
2022-10-27,565866000,-0.35%
2022-10-26,567862000,1.25%
2022-10-25,560876000,5.34%
2022-10-24,532433000,2.30%
2022-10-21,520457000,-0.29%
2022-10-20,521954000,-1.51%
2022-10-19,529937999,-4.75%
2022-10-18,556385000,1.36%
2022-10-17,548900000,0.64%
2022-10-14,545407000,-2.58%
2022-10-13,559878000,2.94%
2022-10-12,543910000,-1.27%
2022-10-11,550896000,-0.81%
2022-10-10,555387000,-0.18%
2022-10-07,556385000,-2.71%
2022-10-06,571854000,-0.69%
2022-10-05,575846000,-4.15%
2022-10-04,600796000,7.50%
2022-10-03,558880000,0.09%
2022-09-30,558381000,-2.75%
2022-09-29,574194000,-1.96%
2022-09-28,585648000,2.80%
2022-09-27,569712000,-0.52%
2022-09-26,572700000,-0.95%
2022-09-23,578178000,0.87%
2022-09-22,573198000,-3.76%
2022-09-21,595608000,-0.50%
2022-09-20,598596000,-2.83%
2022-09-19,616026000,0.98%
2022-09-16,610050000,0.82%
2022-09-15,605070000,0.75%
2022-09-14,600588000,-1.15%
2022-09-13,607560000,-5.13%
2022-09-12,640428000,2.63%
2022-09-09,623994000,1.95%
2022-09-08,612042000,-2.15%
2022-09-07,625488000,2.03%
2022-09-06,613038000,1.57%
2022-09-02,603576000,-2.65%
2022-09-01,620010000,0.08%
2022-08-31,619512000,-2.12%
2022-08-30,632958000,0.87%
2022-08-29,627480000,-2.48%
2022-08-26,643416000,-0.77%
2022-08-25,648396000,3.58%
2022-08-24,625986000,
2022-08-23,625986000,-1.10%
2022-08-22,632958000,-3.93%
2022-08-19,658854000,-1.19%
2022-08-18,666822000,
2022-08-17,666822000,-1.98%
2022-08-16,680268000,-1.66%
2022-08-15,691722000,-0.29%
2022-08-12,693714000,2.20%
2022-08-11,678774000,1.49%
2022-08-10,668814000,3.39%
2022-08-09,646902000,-2.99%
2022-08-08,666822000,0.75%
2022-08-05,661842000,-0.82%
2022-08-04,667320000,0.22%
2022-08-03,665826000,-1.26%
2022-08-02,674292000,-1.53%
2022-08-01,684750000,-0.65%
2022-07-29,689232000,-1.00%
2022-07-28,696204000,0.87%
2022-07-27,690228000,1.84%
2022-07-26,677778000,-2.02%
2022-07-25,691722000,-1.49%
2022-07-22,702180000,0.64%
2022-07-21,697698000,-1.41%
2022-07-20,707658000,-10.29%
2022-07-19,788832000,4.55%
2022-07-18,754470000,-0.85%
2022-07-15,760944000,2.69%
2022-07-14,741024000,0.20%
2022-07-13,739530000,-0.20%
2022-07-12,741024000,0.95%
2022-07-11,734052000,-1.14%
2022-07-08,742518000,-0.40%
2022-07-07,745506000,2.82%
2022-07-06,725088000,-3.45%
2022-07-05,750984000,6.12%
2022-07-01,707658000,3.80%
2022-06-30,681762000,0.53%
2022-06-29,678141000,-0.29%
2022-06-28,680137000,-3.61%
2022-06-27,705586000,2.17%
2022-06-24,690616000,0.65%
2022-06-23,686125000,3.54%
2022-06-22,662672000,-0.52%
2022-06-21,666165000,
2022-06-17,666165000,-0.82%
2022-06-16,671654000,-4.47%
2022-06-15,703091000,4.22%
2022-06-14,674648000,-3.50%
2022-06-13,699099000,-8.79%
2022-06-10,766464000,-4.77%
2022-06-09,804887000,-0.68%
2022-06-08,810375999,-0.98%
2022-06-07,818359999,-1.03%
2022-06-06,826843000,0.85%
2022-06-03,819857000,-1.79%
2022-06-02,834827000,2.14%
2022-06-01,817362000,-1.21%
2022-05-31,827341999,-1.19%
2022-05-27,837322000,0.66%
2022-05-26,831833000,2.71%
2022-05-25,809877000,1.95%
2022-05-24,794408000,-0.87%
2022-05-23,801393999,-0.56%
2022-05-20,805884999,
2022-05-19,805884999,
2022-05-18,805884999,-2.36%
2022-05-17,825346000,6.03%
2022-05-16,778440000,1.56%
2022-05-13,766464000,6.15%
2022-05-12,722053000,-0.14%
2022-05-11,723051000,-2.09%
2022-05-10,738520000,-2.37%
2022-05-09,756484000,-1.56%
2022-05-06,768460000,-3.02%
2022-05-05,792412000,-4.74%
2022-05-04,831833000,0.85%
2022-05-03,824847000,0.67%
2022-05-02,819358000,0.67%
2022-04-29,813868999,-2.28%
2022-04-28,832831000,2.83%
2022-04-27,809877000,-2.81%
2022-04-26,833330000,-2.62%
2022-04-25,855784999,3.38%
2022-04-22,827841000,-0.48%
2022-04-21,831833000,-3.03%
2022-04-20,857781000,-0.41%
2022-04-19,861274000,3.48%
2022-04-18,832332000,0.06%
2022-04-14,831833000,0.12%
2022-04-13,830834999,1.59%
2022-04-12,817861000,-1.62%
2022-04-11,831334000,3.16%
2022-04-08,805884999,1.19%
2022-04-07,796404000,-1.42%
2022-04-06,807881000,-1.40%
2022-04-05,819358000,-7.23%
2022-04-04,883230000,-1.50%
2022-04-01,896703000,1.18%
2022-03-31,886224000,2.16%
2022-03-30,867516000,-1.25%
2022-03-29,878472000,5.44%
2022-03-28,833154000,-1.76%
2022-03-25,848094000,1.07%
2022-03-24,839130000,
2022-03-23,839130000,-4.32%
2022-03-22,876978000,-1.89%
2022-03-21,893910000,-1.59%
2022-03-18,908351999,1.84%
2022-03-17,891918000,0.90%
2022-03-16,883950000,2.07%
2022-03-15,866022000,3.14%
2022-03-14,839628000,-4.37%
2022-03-11,877974000,-2.00%
2022-03-10,895901999,-0.44%
2022-03-09,899886000,3.32%
2022-03-08,871001999,0.75%
2022-03-07,864528000,-3.61%
2022-03-04,896898000,-1.96%
2022-03-03,914826000,-0.86%
2022-03-02,922794000,1.93%
2022-03-01,905364000,-0.71%
2022-02-28,911837999,-1.56%
2022-02-25,926280000,1.86%
2022-02-24,909348000,2.64%
2022-02-23,885942000,-2.20%
2022-02-22,905862000,-2.26%
2022-02-18,926778000,-1.59%
2022-02-17,941718000,-2.43%
2022-02-16,965124000,0.73%
2022-02-15,958151999,2.50%
2022-02-14,934746000,-1.73%
2022-02-11,951180000,-0.37%
2022-02-10,954666000,-1.99%
2022-02-09,974087999,-0.20%
2022-02-08,976080000,0.05%
2022-02-07,975582000,-0.05%
2022-02-04,976080000,-2.78%
2022-02-03,1003968000,0.65%
2022-02-02,997494000,-1.72%
2022-02-01,1014924000,2.16%
2022-01-31,993510000,0.50%
2022-01-28,988530000,10.46%
2022-01-27,894906000,-1.53%
2022-01-26,908850000,-2.61%
2022-01-25,933251999,-1.00%
2022-01-24,942714000,2.94%
2022-01-21,915822000,-1.29%
2022-01-20,927774000,-0.69%
2022-01-19,934248000,0.32%
2022-01-18,931260000,-3.11%
2022-01-14,961140000,-0.97%
2022-01-13,970601999,1.14%
2022-01-12,959646000,-1.18%
2022-01-11,971100000,0.05%
2022-01-10,970601999,-3.47%
2022-01-07,1005462000,-5.03%
2022-01-06,1058748000,-0.65%
2022-01-05,1065719999,-2.68%
2022-01-04,1095102000,-0.95%
2022-01-03,1105560000,2.07%
2021-12-31,1083150000,0.66%
2021-12-30,1076005000,-0.46%
2021-12-29,1080975000,0.18%
2021-12-28,1078987000,0.51%
2021-12-27,1073520000,0.98%
2021-12-23,1063083000,0.09%
2021-12-22,1062089000,2.05%
2021-12-21,1040718000,1.45%
2021-12-20,1025808000,-2.73%
2021-12-17,1054634000,-0.33%
2021-12-16,1058113000,-1.89%
2021-12-15,1078490000,3.33%
2021-12-14,1043700000,-0.10%
2021-12-13,1044694000,-1.50%
2021-12-10,1060598000,1.47%
2021-12-09,1045191000,-2.23%
2021-12-08,1069047000,0.75%
2021-12-07,1061095000,0.05%
2021-12-06,1060598000,5.49%
2021-12-03,1005431000,-0.93%
2021-12-02,1014874000,4.34%
2021-12-01,972629000,-1.26%
2021-11-30,985054000,-0.60%
2021-11-29,991018000,-0.10%
2021-11-26,992012000,-5.27%
2021-11-24,1047179000,-0.89%
2021-11-23,1056622000,1.58%
2021-11-22,1040221000,0.43%
2021-11-19,1035748000,-2.75%
2021-11-18,1065071000,0.28%
2021-11-17,1062089000,-0.51%
2021-11-16,1067556000,0.66%
2021-11-15,1060598000,-2.78%
2021-11-12,1090915000,1.43%
2021-11-11,1075508000,0.60%
